行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジュンペイ	gamingの方が遅延少ないとか聞いたことはある	
1	00:00:00	こみこ	おいしい煮玉子(夜食)	
2	00:00:00	メレンゲ	おいしい煮玉子	
3	00:00:00	スーパーレタス	美味しい煮王子	
4	00:00:00	さえのき	なるほど、配信者にとって便利なのね。ありがとう	
5	00:00:00	タマウガチ	あったよ！煮玉子が！	
6	00:00:00	_ Die	​おいしい煮玉子	
7	00:00:00	ジョナサン・グレーン	おいしいバーフバリ	
8	00:00:00	くものいと	でかした！	
9	00:00:00	ジュンペイ	でかした！	
10	00:00:00	ジョナサン・グレーン	でかした！	
11	00:00:00	せせらぎ	ＰＫバーフバリ	
12	00:00:00	スーパーレタス	スバラシイデス	
13	00:00:00	和音	PKミソシタ	
14	00:00:00	くものいと	だいこうぶつの にたまごをつくっておいたわ	
15	00:00:00	和音	きょうは クゥのすきな にたまごよ	
16	00:00:00	ジュンペイ	PKポエムコア	
17	00:00:00	こみこ	やっぱりミソシさんになるのかな	
18	00:00:00	mk 95	PKゾーパー	
19	00:00:00	タマウガチ	おじいちゃん、煮玉子よ、食べて	
20	00:00:00	せせらぎ	本命ミソシタ 大穴シヴドゥ	
21	00:00:00	tage	PKイチモt	
22	00:00:00	和音	おとなも こどもも おねーさんも ミソシタも	
23	00:00:00	究極ド根性ダイコン	キャラの名前がどうなるのかが気になって仕方ない	
24	00:00:00	Garden	PKにたまごかPKポエムコアか…	
25	00:00:00	リトマス	せっかくだしVtuber名でやったり？	
26	00:00:00	くものいと	ポーキー君は煮玉子は大っ嫌いだったわね	
27	00:00:00	こみこ	そうか名前付けれるキャラ複数いたな	
28	00:00:00	もっぃ	ぐんまけん	
29	00:00:00	さえのき	ミとソとシとタで四人やぞ	
30	00:00:00	たびびと	ヒャアがまんできねぇ煮玉子だ！	
31	00:00:00	リトマス	ヒロインを好きな子にした思い出とかみんなもあるよな？？	
32	00:00:00	和音	イチモツけしマシーン	
33	00:00:00	くものいと	大人になるって悲しい事なの	
34	00:00:00	せせらぎ	姉ちゃんおうじゃのつるぎ狙うって嘘だろ…？	
35	00:00:00	究極ド根性ダイコン	マル・デ・ミソ	
36	00:00:00	tage	ガッツのバットも狙って(苦行)	
37	00:00:00	周恩来	バーフバリ！バーフバリ！	
38	00:00:00	たびびと	おいしい煮玉子・・・	
39	00:00:00	始祖くらげ	ワクワク	
40	00:00:00	伏葦たぐい	レアドロは沼過ぎる	
41	00:00:00	もふ	ゾーパー家の朝は早い	
42	00:00:00	ヌルヌペペ	めっちゃたのしみ	
43	00:00:00	ネズミ2/2/6	おいしい煮玉子	
44	00:00:00	究極ド根性ダイコン	レベル上げすぎてマジカントのステアップの恩恵受けられなくなる姉ちゃんが見たい	
45	00:00:00	くものいと	パラボラ！おうじゃのつるぎ！ガッツのバット！	
46	00:00:00	EEB	ギリギリセーフだがそもそも姉ちゃんがちゃんと時間通りに始めるかの問題があった	
47	00:00:00	ジョナサン・グレーン	おいしい巨人伝	
48	00:00:00	りこった	ねむい	
49	00:00:00	ミワタリ	緑の煮玉子	
50	00:00:05	LINO HIKA	まずい、煮卵用意してない	
51	00:00:11	めろんソーダ	きた	
52	00:00:11	くものいと	お	
53	00:00:14	ハチ	始まったー！	
54	00:00:14	ゆおた	きた	
55	00:00:15	_ Die	きた	
56	00:00:15	りこった	おいしい煮玉子	
57	00:00:16	ジョナサン・グレーン	また	
58	00:00:16	mori mori	おはよう姉ちゃん	
59	00:00:16	追放	やぁ	
60	00:00:18	行方不明	きた	
61	00:00:19	船見結衣	お？	
62	00:00:20	tage	こんばんは	
63	00:00:20	なる	オハイオ州	
64	00:00:20	伏葦たぐい	きた	
65	00:00:20	こみこ	こんばん煮玉子	
66	00:00:21	始祖くらげ	きた！	
67	00:00:21	周恩来	定時！	
68	00:00:22	究極ド根性ダイコン	おいしい煮玉子	
69	00:00:22	スプーキー【Spooky Night】	こんばんは～	
70	00:00:23	にりつかなえ	おいしい煮玉子	
71	00:00:23	たびびと	おはよう姉ちゃん	
72	00:00:23	Shuzo	こんばんｗ	
73	00:00:24	ノンフロン	眠いよ姉ちゃん	
74	00:00:25	せせらぎ	キター	
75	00:00:25	ヱンタ猫	こんばんは	
76	00:00:25	にゃんまる	神ゲーきた	
77	00:00:26	タマウガチ	キター！	
78	00:00:27	Garden	こんばんは	
79	00:00:27	むらさきあんこ	おいしい母の日	
80	00:00:28	もふ	姉ちゃんおはよう	
81	00:00:29	らうらう	おいしい煮玉子	
82	00:00:29	メレンゲ	こんばんは	
83	00:00:29	袖口	煮卵用意して待ってた	
84	00:00:30	さえのき	おいしい煮玉子	
85	00:00:30	まがまわ	こんばんはー	
86	00:00:31	Loki GH	おいしい煮玉子	
87	00:00:31	ヱンタ猫	おいしい煮玉子	
88	00:00:31	耶律阿保機	こんばんは	
