行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	バーチャルツイッタラー・フラン・ゾーパーとはいったい・・・・	
1	00:00:00	あざーら	どーんとコイッ꧁꧂	
2	00:00:00	なんたら	配信説明文のテンションが良すぎる…	
3	00:00:00	周恩来	関係ねえ布教してえ	
4	00:00:00	Shuzo		
5	00:00:00	めるカバ	アカフンレズ	
6	00:00:00	ジュンペイ	ア…レズ…♪	
7	00:00:00	ジョナサン・グレーン	姉ちゃん！？	
8	00:00:00	食べる小魚	アカフンレズ	
9	00:00:00	ヌルヌペペ	今まで以上に早口になりそう	
10	00:00:00	岸辺一徳	おいしい煮玉子	
11	00:00:00	うぇいのる	おいしい煮玉子	
12	00:00:00	竹輪	おいしい煮玉子〜	
13	00:00:00	らうらう	おいしい煮玉子～	
14	00:00:00	Garden	膨大な話数から逃げ続けてきたがついに対峙する時が来たか…	
15	00:00:00	ASDえーえすでぃー	よりによって11話実況か姉ちゃん…	
16	00:00:00	早坂達夫	おいしい煮卵	
17	00:00:00	A-100100	おいしい百合回	
18	00:00:00	周恩来	おいしい煮玉子	
19	00:00:00	タケノコ男	おいしい煮玉子	
20	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
21	00:00:00	バーチャルYouTuberガニメデちゃんねる	ア・・ツ・・・・・み・	
22	00:00:00	うぇいのる	なんだかんだ初めてのアイカツだ	
23	00:00:00	ふじ	おいしい煮玉子＾～	
24	00:00:00	あざーら	おいしい煮玉子！10話観てきました！	
25	00:00:00	めるカバ	おいしい煮玉子〜	
26	00:00:00	スモーク	おいたま！アイカツ初めて見るんだ…	
27	00:00:00	A-100100	遂にみおはあいねとフレンズ結成のための行動に出る。 憧れは、もはや伝説となっている『ラブミーティア』結成秘話のようなドラマチックすぎるシチュエーション。あいねに話すタイミングをうかがっていると、名古屋から来たアイドル海老原なこと何やら親密そうにしており――？	
28	00:00:00	たんこぶ	アイカツ！アイカツ！！	
29	00:00:00	あい	おいしい煮玉子	
30	00:00:00	ASDえーえすでぃー	アイ！カツ！ブイ！カツ！	
31	00:00:00	めるカバ	あいつ	
32	00:00:00	ASDえーえすでぃー	11話のあらすじ乙	
33	00:00:00	バーチャルYouTuberガニメデちゃんねる	遅刻はＪＣの嗜み	
34	00:00:00	なんたら	しており――？	
35	00:00:00	岸辺一徳	光画部時間！光画部時間です！	
36	00:00:00	あざーら	あらすじ弟有能ですね！	
37	00:00:12	ヌルヌペペ	おいしい煮玉子	
38	00:00:13	周恩来	おいしい煮玉子	
39	00:00:16	なんたら	おいしい煮玉子	
40	00:00:17	mori mori	いつもの部屋だ！	
41	00:00:18	あざーら	おいしい煮玉子！	
42	00:00:19	あい	おいしい煮玉子	
43	00:00:19	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
44	00:00:20	海東純一	おいしい煮玉子	
45	00:00:21	A-100100	おいしい煮卵	
46	00:00:21	竹輪	おいしい煮玉子	
47	00:00:22	うぇいのる	おいしい煮玉子	
48	00:00:22	ふじ	おいしい煮玉子	
49	00:00:23	秋箱	おいしい煮玉子	
50	00:00:23	Dwi Mulyo Sutanto	こんばんわ～	
51	00:00:25	八木谷	おいしい煮玉子	
52	00:00:26	岸辺一徳	おいしい煮玉子	
53	00:00:27	Garden	おいしい煮玉子	
54	00:00:27	ジョナサン・グレーン	おいしい煮玉子〜	
55	00:00:28	ASDえーえすでぃー	​おいしい煮玉子	
56	00:00:28	らうらう	おいしい煮玉子	
57	00:00:29	たんこぶ	こんばんはー！	
58	00:00:29	めるカバ	おいしい煮玉子	
59	00:00:34	えび	おいしい煮玉子	
60	00:00:34	食べる小魚	生活感はんぱないな！	
61	00:00:35	あざーら	大丈夫です	
62	00:00:36	周恩来	定時ヨシ！	
63	00:00:38	ありすみ	おいしい煮玉子	
64	00:00:39	Garden	大丈夫です	
65	00:00:39	食べる小魚	おいたま！	
66	00:00:40	タケノコ男	おいしい煮玉子	
67	00:00:44	マーボー炒飯あんかけ風	美味しい煮玉子	
68	00:00:47	ジョナサン・グレーン	ヨシ！	
69	00:00:49	スモーク	始まってるよ１	
70	00:00:50	さんぽーる	おいしい煮玉子	
71	00:00:50	秋箱	大丈夫！	
72	00:00:53	Dwi Mulyo Sutanto	アイカツ初見なので楽しみです	
73	00:00:54	近藤亮	はじまた	
74	00:00:57	𝕊𝕐𝕌ℕ𝕋𝕀	アイカツを見れば幸せになれる	
75	00:00:59	いぶきんぐ	おいしい煮玉子	
76	00:01:02	尾花	おいしい煮玉子	
77	00:01:07	めるカバ		
78	00:01:15	ジョナサン・グレーン		
79	00:01:18	うぇいのる	ほんとに急すぎる…	
80	00:01:18	あざーら	習性	
81	00:01:23	A-100100	すばらしい	
82	00:01:23	らうらう	草	
83	00:01:24	さんぽーる	幸せになりたいので見に来ました	
84	00:01:26	eve 8848	おいしい煮玉子	
85	00:01:36	ASDえーえすでぃー	わかる	
86	00:01:37	バーチャルYouTuberガニメデちゃんねる	サッカーなんて関係ない クゥ姉ちゃんのほうが見たい	
87	00:00:00	らうらう	バーチャルツイッタラー・フラン・ゾーパーとはいったい・・・・	
88	00:00:00	あざーら	どーんとコイッ꧁꧂	
89	00:00:00	なんたら	配信説明文のテンションが良すぎる…	
90	00:00:00	周恩来	関係ねえ布教してえ	
91	00:00:00	Shuzo		
92	00:00:00	めるカバ	アカフンレズ	
93	00:00:00	ジュンペイ	ア…レズ…♪	
94	00:00:00	ジョナサン・グレーン	姉ちゃん！？	
95	00:00:00	食べる小魚	アカフンレズ	
96	00:00:00	ヌルヌペペ	今まで以上に早口になりそう	
