行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	こみこ	煮玉子待機	
1	00:00:00	玉子王子	64って隠しキャラ少ないし今日はすぐ終わりそうだね！	
2	00:00:00	周恩来	おいしい煮玉子	
3	00:00:00	スモーク	おいたま	
4	00:00:00	ミワタリ	煮玉子	
5	00:00:00	岸辺一徳	꧁꧂<ｵｲｼｲﾆﾀﾏｺﾞ	
6	00:00:00	あい	おいしい煮玉子	
7	00:00:00	近藤亮	おいしい煮玉子	
8	00:00:00	畑秋	おいしい煮玉子	
9	00:00:00	なんたら	PK煮玉子	
10	00:00:00	らうらう	煮玉子おいしい	
11	00:00:00	竹輪	おいしい煮玉子〜	
12	00:00:00	ゼッケン	おにたま～	
13	00:00:00	_ Die	おいしい煮玉子	
14	00:00:00	ジュンペイ	おいしい煮玉子	
15	00:00:00	ジュンペイ	꧁꧂	
16	00:00:00	ほるもん	おいしい煮玉子	
17	00:00:00	タケノコ男	おいしい煮玉子	
18	00:00:00	バリ島のサボテン	おいしい煮玉子	
19	00:00:00	馬の骨に念仏	おいしい煮玉子	
20	00:00:02	Ami Saika	おいしい煮玉子	
21	00:00:10	らうらう	?!	
22	00:00:12	ヌルヌペペ	おいしい煮玉子	
23	00:00:15	竹輪	お、始まったかな	
24	00:00:16	岸辺一徳	おいしい煮玉子	
25	00:00:16	せせらぎ	きたー	
26	00:00:17	Armstone	おいしい煮玉子	
27	00:00:20	ミワタリ	おいしい煮玉子	
28	00:00:20	イヌージョンCHANNEL	​おいしい煮玉子	
29	00:00:21	Redmix	おいしい煮玉子	
30	00:00:21	eve 8848	おいしい煮玉子	
31	00:00:21	なんたら	おいしい煮玉子	
32	00:00:22	あい	おいしい煮玉子	
33	00:00:23	馬の骨に念仏	？？？	
34	00:00:23	尾花	おいしい煮玉子	
35	00:00:23	ゼッケン	きた！	
36	00:00:26	らうらう		
37	00:00:27	こみこ	おいしい煮玉子	
38	00:00:27	周恩来	おいしい煮玉子	
39	00:00:34	ほるもん	やったー	
40	00:00:35	ゼッケン	おいしい煮玉子	
41	00:00:35	_ Die	おいたまー	
42	00:00:36	なる	おいしい煮玉子	
43	00:00:36	mimi mimi	おいしい煮玉子	
44	00:00:40	たんこぶ	こんにちはー	
45	00:00:40	もずつき		
46	00:00:41	田中二郎	こんにちは	
47	00:00:42	Eトマト	おいしい煮玉子！元キングゥ!!	
48	00:00:47	Azure TV	おいしい煮玉子	
49	00:00:47	瑞鬼	おいしい煮玉子	
50	00:00:47	馬の骨に念仏	流石姉ちゃん！高評価！	
51	00:00:47	なんたら	ﾁｭﾜﾜﾜ…（ﾌﾞﾁｯ	
52	00:00:48	らうらう	JY	
53	00:00:49	サイレントフォレスト	おいしい煮玉子	
54	00:00:49	竹輪	JY	
55	00:00:51	あます	おいしい煮玉子	
56	00:00:54	周恩来	ちょっとわかる	
57	00:00:54	こみこ	可愛いムーブやめてください	
58	00:00:55	やみの子やみ鍋	おいしい煮玉子	
59	00:00:56	ライキ	こんにちはです～	
60	00:01:00	_ Die	JY	
61	00:01:00	ミワタリ	わかる	
62	00:01:01	aru ku	おいたま～	
63	00:01:03	霜月翔生希	なつかしい	
64	00:01:13	周恩来	JHじゃなくてJYだったのね	
65	00:01:16	イヌージョンCHANNEL	泣く	
66	00:01:19	なんたら	わかる	
67	00:01:20	ヌルヌペペ	懐かしすぎる	
68	00:01:21	霜月翔生希	いいよね…	
69	00:01:23	田中二郎	馬の骨の念仏さんおるw	
70	00:00:00	こみこ	煮玉子待機	
71	00:00:00	玉子王子	64って隠しキャラ少ないし今日はすぐ終わりそうだね！	
72	00:00:00	周恩来	おいしい煮玉子	
73	00:00:00	スモーク	おいたま	
74	00:00:00	ミワタリ	煮玉子	
75	00:00:00	岸辺一徳	꧁꧂<ｵｲｼｲﾆﾀﾏｺﾞ	
76	00:00:00	あい	おいしい煮玉子	
77	00:00:00	近藤亮	おいしい煮玉子	
78	00:00:00	畑秋	おいしい煮玉子	
79	00:00:00	なんたら	PK煮玉子	
80	00:00:00	らうらう	煮玉子おいしい	
81	00:00:00	竹輪	おいしい煮玉子〜	
82	00:00:00	ゼッケン	おにたま～	
83	00:00:00	_ Die	おいしい煮玉子	
84	00:00:00	ジュンペイ	おいしい煮玉子	
85	00:00:00	ジュンペイ	꧁꧂	
86	00:00:00	ほるもん	おいしい煮玉子	
87	00:00:00	タケノコ男	おいしい煮玉子	
88	00:00:00	バリ島のサボテン	おいしい煮玉子	
89	00:00:00	馬の骨に念仏	おいしい煮玉子	
90	00:00:02	Ami Saika	おいしい煮玉子	
91	00:00:10	らうらう	?!	
92	00:00:12	ヌルヌペペ	おいしい煮玉子	
93	00:00:15	竹輪	お、始まったかな	
94	00:00:16	岸辺一徳	おいしい煮玉子	
95	00:00:16	せせらぎ	きたー	
96	00:00:17	Armstone	おいしい煮玉子	
97	00:00:20	ミワタリ	おいしい煮玉子	
98	00:00:20	イヌージョンCHANNEL	​おいしい煮玉子	
99	00:00:21	Redmix	おいしい煮玉子	
100	00:00:21	eve 8848	おいしい煮玉子	
101	00:00:21	なんたら	おいしい煮玉子	
102	00:00:22	あい	おいしい煮玉子	
103	00:00:23	馬の骨に念仏	？？？	
104	00:00:23	尾花	おいしい煮玉子	
105	00:00:23	ゼッケン	きた！	
106	00:00:26	らうらう		
107	00:00:27	こみこ	おいしい煮玉子	
108	00:00:27	周恩来	おいしい煮玉子	
109	00:00:34	ほるもん	やったー	
110	00:00:35	ゼッケン	おいしい煮玉子	
111	00:00:35	_ Die	おいたまー	
112	00:00:36	なる	おいしい煮玉子	
113	00:00:36	mimi mimi	おいしい煮玉子	
114	00:00:40	たんこぶ	こんにちはー	
115	00:00:40	もずつき		
116	00:00:41	田中二郎	こんにちは	
117	00:00:42	Eトマト	おいしい煮玉子！元キングゥ!!	
118	00:00:47	Azure TV	おいしい煮玉子	
119	00:00:47	瑞鬼	おいしい煮玉子	
120	00:00:47	馬の骨に念仏	流石姉ちゃん！高評価！	
121	00:00:47	なんたら	ﾁｭﾜﾜﾜ…（ﾌﾞﾁｯ	
122	00:00:48	らうらう	JY	
123	00:00:49	サイレントフォレスト	おいしい煮玉子	
124	00:00:49	竹輪	JY	
125	00:00:51	あます	おいしい煮玉子	
126	00:00:54	周恩来	ちょっとわかる	
127	00:00:54	こみこ	可愛いムーブやめてください	
128	00:00:55	やみの子やみ鍋	おいしい煮玉子	
129	00:00:56	ライキ	こんにちはです～	
130	00:01:00	_ Die	JY	
131	00:01:00	ミワタリ	わかる	
132	00:01:01	aru ku	おいたま～	
133	00:01:03	霜月翔生希	なつかしい	
134	00:01:13	周恩来	JHじゃなくてJYだったのね	
135	00:01:16	イヌージョンCHANNEL	泣く	
136	00:01:19	なんたら	わかる	
137	00:01:20	ヌルヌペペ	懐かしすぎる	
138	00:01:21	霜月翔生希	いいよね…	
139	00:01:23	田中二郎	馬の骨の念仏さんおるw	
140	00:01:24	やみの子やみ鍋	なつかしい	
141	00:01:26	mimi mimi	こんなん絶対面白いやんけ・・・	
142	00:01:26	タケノコ男	かわいい	
143	00:01:27	ミワタリ	懐かしすぎて泣ける	
144	00:01:28	周恩来	なつかし	
145	00:01:31	Eトマト	これ見るとスマブラがどんだけ進化したのかが分かる	
146	00:01:37	あい	懐かしいなあ	
147	00:01:41	らうらう	カービィかわい	
148	00:01:42	なる	わくわくする	
149	00:01:45	もっぃ	おいしい煮玉子	
150	00:01:54	べるべる	おいしい煮玉子	
151	00:01:55	mk 95	おいしい煮玉子、懐かしいなー	
152	00:01:57	バリ島のサボテン	わくわく	
153	00:01:57	天然ステルス	おいしい煮玉子	
