行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	近藤亮	チャンネルはそのままで	
1	00:00:00	天然ステルス	おつかれー	
2	00:00:16	なにここ	おいたまー	
3	00:00:17	いぶきんぐ	おかえり煮玉子	
4	00:00:18	プラスワン	おいしい煮玉子	
5	00:00:18	あい	おいしい煮玉子	
6	00:00:19	Eトマト	おいしいにたまご	
7	00:00:19	ねこくーる	きた	
8	00:00:21	究極ド根性ダイコン	おいしい煮玉子	
9	00:00:23	FFDD	おいしい煮玉子	
10	00:00:23	御早和杯	おいしい煮玉子	
11	00:00:24	らうらう	おいしい煮玉子	
12	00:00:28	近藤亮	おいしい煮玉子	
13	00:00:31	行方不明	おいしい煮玉子	
14	00:00:31	ジャック・オー	おいしい煮玉子	
15	00:00:32	mogu sugar	草	
16	00:00:32	あい	かわいい	
17	00:00:32	らうらう	kawaii	
18	00:00:32	タケノコ男	おいしい煮玉子	
19	00:00:40	sio3go	おいしい煮玉子	
20	00:00:40	天然ステルス	おいしい煮玉子	
21	00:00:41	zero kuma	おいしい煮玉子	
22	00:00:41	biki koto	おいしい煮玉子	
23	00:00:42	ああ	おいしい煮玉子	
24	00:00:42	空気	おいしい煮玉子	
25	00:00:43	ぎゅー肉	おいしい煮玉子	
26	00:00:44	kuyno egq	かわいい	
27	00:00:47	じょーげん	おいしい煮玉子	
28	00:00:50	しねちゅー	おいしい煮玉子	
29	00:00:55	Eトマト	サクサク…？	
30	00:00:56	biki koto	なんとか歯車	
31	00:00:56	はこ	おいしい煮玉子	
32	00:00:56	mogu sugar	電話に出てるときの姉ちゃん	
33	00:01:00	通行人A	おいしい煮玉子	
34	00:01:02	ああ	ロリ姉ちゃん？	
35	00:01:10	ニオ_	忘れたは草	
36	00:01:10	ジャック・オー	よそ行き姉ちゃん	
37	00:01:16	なにここ	電話中の姉ちゃん	
38	00:01:18	究極ド根性ダイコン	ワンオク上がってる姉ちゃん	
39	00:01:20	しねちゅー	かわいい	
40	00:01:20	らうらう	うん	
41	00:01:22	行方不明	かわいい	
42	00:01:28	いぶきんぐ	じゃーん！	
43	00:01:28	ニオ_	簡単（ゴリ押し	
44	00:01:35	らうらう	かわいい	
45	00:01:43	Ryo Kamiya	かわいい	
46	00:01:54	なにここ	スピードギアブースターきたな	
47	00:01:54	HILO	こんにちは、この動画は初見です。声かわいいですね	
48	00:02:16	究極ド根性ダイコン	どんどんいつもの姉ちゃんになってきた	
49	00:02:40	タケノコ男	実家のような安心感	
50	00:03:14	mori mori	酸じゃない？	
51	00:03:16	biggs	おいしい煮玉子	
52	00:00:00	近藤亮	チャンネルはそのままで	
53	00:00:00	天然ステルス	おつかれー	
54	00:00:16	なにここ	おいたまー	
55	00:00:17	いぶきんぐ	おかえり煮玉子	
56	00:00:18	プラスワン	おいしい煮玉子	
57	00:00:18	あい	おいしい煮玉子	
58	00:00:19	Eトマト	おいしいにたまご	
59	00:00:19	ねこくーる	きた	
60	00:00:21	究極ド根性ダイコン	おいしい煮玉子	
61	00:00:23	FFDD	おいしい煮玉子	
62	00:00:23	御早和杯	おいしい煮玉子	
63	00:00:24	らうらう	おいしい煮玉子	
64	00:00:28	近藤亮	おいしい煮玉子	
65	00:00:31	行方不明	おいしい煮玉子	
66	00:00:31	ジャック・オー	おいしい煮玉子	
67	00:00:32	mogu sugar	草	
68	00:00:32	あい	かわいい	
69	00:00:32	らうらう	kawaii	
70	00:00:32	タケノコ男	おいしい煮玉子	
71	00:00:40	sio3go	おいしい煮玉子	
72	00:00:40	天然ステルス	おいしい煮玉子	
73	00:00:41	zero kuma	おいしい煮玉子	
74	00:00:41	biki koto	おいしい煮玉子	
75	00:00:42	ああ	おいしい煮玉子	
76	00:00:42	空気	おいしい煮玉子	
77	00:00:43	ぎゅー肉	おいしい煮玉子	
78	00:00:44	kuyno egq	かわいい	
79	00:00:47	じょーげん	おいしい煮玉子	
80	00:00:50	しねちゅー	おいしい煮玉子	
81	00:00:55	Eトマト	サクサク…？	
82	00:00:56	biki koto	なんとか歯車	
83	00:00:56	はこ	おいしい煮玉子	
84	00:00:56	mogu sugar	電話に出てるときの姉ちゃん	
85	00:01:00	通行人A	おいしい煮玉子	
86	00:01:02	ああ	ロリ姉ちゃん？	
87	00:01:10	ニオ_	忘れたは草	
88	00:01:10	ジャック・オー	よそ行き姉ちゃん	
89	00:01:16	なにここ	電話中の姉ちゃん	
90	00:01:18	究極ド根性ダイコン	ワンオク上がってる姉ちゃん	
91	00:01:20	しねちゅー	かわいい	
92	00:01:20	らうらう	うん	
93	00:01:22	行方不明	かわいい	
94	00:01:28	いぶきんぐ	じゃーん！	
95	00:01:28	ニオ_	簡単（ゴリ押し	
96	00:01:35	らうらう	かわいい	
97	00:01:43	Ryo Kamiya	かわいい	
98	00:01:54	なにここ	スピードギアブースターきたな	
99	00:01:54	HILO	こんにちは、この動画は初見です。声かわいいですね	
100	00:02:16	究極ド根性ダイコン	どんどんいつもの姉ちゃんになってきた	
101	00:02:40	タケノコ男	実家のような安心感	
102	00:03:14	mori mori	酸じゃない？	
103	00:03:16	biggs	おいしい煮玉子	
104	00:03:30	究極ド根性ダイコン	逆に氷が炎に効くかも	
105	00:03:31	Redlead	おいしい煮玉子	
106	00:03:36	HILO	ナルシストだからツンドラは自己主張がはげしい	
107	00:03:37	それ	ブタラバー	
108	00:03:37	伯爵	ラバーマンの武器好き	
109	00:03:38	はこ	ラバーメン！	
110	00:03:47	motiyomogi	おいしい煮玉子	
111	00:03:58	mori mori	草	
112	00:03:59	ぴねかっと	ぼよんぼよん	
113	00:04:02	らうらう	ぽよんぽよん	
114	00:04:03	HILO	たのしそう	
115	00:04:03	biggs	そういうことする	
116	00:04:04	キューだえもん	カービィのアレだ	
117	00:04:07	タケノコ男	たのしそう	
118	00:04:08	究極ド根性ダイコン	ﾎﾞﾖﾝﾎﾞﾖﾝﾎﾞﾖﾝ	
119	00:04:11	はこ	SASUKEとかでありそう	
120	00:04:23	HILO	なるほど、ジャンプ禁止	
121	00:04:52	ぴねかっと	高いとこから乗ったら大ジャンプしそう	
122	00:05:05	biggs	7で見たあれ	
123	00:05:13	HILO	ジャンプのために地面を蹴った力が反発しないのか	
124	00:05:21	しねちゅー	ジャンプ押しっぱはダメなの	
125	00:05:25	びっぐぼす	ジャンプボタン押しっぱでいいよ	
126	00:05:27	biggs	ジャンプおしっぱで何とかならねえかな･･･	
127	00:05:37	HILO	横に弾かれるの草	
128	00:05:42	めるカバ	キン肉マン？	
129	00:06:09	それ	楽しそう	
130	00:06:10	はまちハウマッチ	ぼよよーん	
131	00:06:11	ぴねかっと	ぴょーん	
132	00:06:11	mori mori	かわいい	
133	00:06:12	たんこぶ	おお	
134	00:06:16	究極ド根性ダイコン	楽しそう	
135	00:06:18	いぶきんぐ	おもしろい	
136	00:06:18	mogu sugar	はえ〜	
137	00:06:19	HILO	たのしそう	
138	00:06:20	らうらう	かわいい	
139	00:06:21	なにここ	楽しそう	
140	00:06:21	行方不明	たのしそう	
141	00:06:22	それ	良いギミックだ	
142	00:06:22	biggs	これは楽しい	
143	00:06:23	タケノコ男	おもしろい	
144	00:06:28	sio3go	楽しそうだ	
145	00:06:31	小えび	たのしそう	
146	00:06:35	HILO	かわいい	
147	00:06:37	ねこくーる	おもしろい	
148	00:06:45	mogu sugar	カップヘッドいそう	
149	00:06:52	HILO	姉ちゃんがたのしそうでたいへんかわいいです	
150	00:07:03	zero kuma	面白いギミックだな	
151	00:07:06	biggs	ビンタマシーン	
152	00:07:10	岸辺一徳	かわいい	
153	00:07:14	行方不明	かわいい	
154	00:07:17	ジャック・オー	かみかみ姉ちゃんかわいい	
155	00:07:20	biggs	かわいい	
156	00:07:22	mori mori	よかったね	
157	00:07:48	Eトマト	流石ロックマン	
158	00:07:50	いぶきんぐ	なるほど	
159	00:07:51	mori mori	おおー	
160	00:07:54	はまちハウマッチ	お尻叩かれた	
161	00:07:55	究極ド根性ダイコン	マジでビンタマシーンなのか…	
162	00:08:01	biggs	そうだね	
163	00:08:18	HILO	ビンタされる姉ちゃん	
164	00:08:28	motiyomogi	預言者姉ちゃん	
165	00:08:28	なにここ	みてなさい好き	
166	00:08:35	らうらう	みてなさい	
167	00:08:36	はまちハウマッチ	もやっとボール硬い	
168	00:08:45	いぶきんぐ	ブロックで一掃とか	
169	00:09:07	なにここ	JCだからね	
170	00:09:14	はまちハウマッチ	JCはIQサプリとか知らない	
171	00:09:33	biggs	降って来るとか知らない	
172	00:09:44	究極ド根性ダイコン	パワーツンドラとかでもよさそう	
173	00:09:59	HILO	浮いてる敵足場にできそうだったね	
174	00:10:02	らうらう	ほんとかー？	
175	00:10:03	Dylan Contiello	Hola :u	
176	00:10:04	なにここ	そうだね	
177	00:10:07	mori mori	姉ちゃんマゾなの？	
178	00:10:22	Dylan Contiello	Comentario español pasando.....	
179	00:10:27	biggs	逆だった	
180	00:10:42	かたもく	姉ちゃん？！	
181	00:10:44	ぴねかっと	草	
182	00:10:55	HILO	うまい	
183	00:10:56	nakiouzyo	邪魔者としても扱えるギミックなのね	
184	00:11:07	はまちハウマッチ	おいしいパエリア	
185	00:11:09	mori mori	えすぱにょーるは分かった	
186	00:11:11	小えび	オラオラ	
187	00:11:20	biggs	おいしい挨拶	
188	00:11:20	いぶきんぐ	うまい	
189	00:11:39	はまちハウマッチ	かわいい	
190	00:11:41	らうらう	もーもーかわいい	
191	00:11:42	なにここ	かわいい	
192	00:11:42	究極ド根性ダイコン	ピンボールだこれ	
193	00:11:43	タケノコ男	かわいい	
194	00:11:43	しねちゅー	かわいい	
195	00:11:43	あい	たのしそう	
196	00:11:44	かたもく	かわいい	
197	00:11:44	Ryo Kamiya	かわいい	
198	00:11:45	_ Die	かわいい	
199	00:11:45	biggs	かわいい	
200	00:11:46	行方不明	かわいい	
201	00:11:47	いぶきんぐ	かわいい	
202	00:11:47	秋箱	かわいい	
203	00:11:48	HILO	かわいい	
204	00:11:48	小えび	かわいい	
205	00:11:48	motiyomogi	やらしいステージ	
206	00:11:49	nakiouzyo	かわいい	
207	00:11:50	mori mori	ピンボールだ	
208	00:11:53	Redmix	かわいい	
209	00:11:56	HILO	ドチャクソすぎる	
210	00:11:56	Emo Emoemo	かわいい	
211	00:12:09	biggs	ドチャクソ跳ねマン	
212	00:12:26	HILO	バルーン1個だけだと途端に難易度あがる	
213	00:12:26	zero kuma	極めると早く行けそうな場所だね	
214	00:12:33	いぶきんぐ	うまい	
215	00:12:34	mori mori	真上に攻撃できるやつさっき手に入れてなかったっけ	
216	00:13:06	biggs	うまい	
217	00:13:06	mori mori	うまい	
218	00:13:09	HILO	ごり押し多	
219	00:13:09	行方不明	うまい	
220	00:13:15	なにここ	かしこい	
221	00:13:19	Eトマト	ダッシュコイルの出現速度は変わらないのか	
222	00:13:19	mori mori	おおー	
223	00:13:21	いぶきんぐ	かしこい	
224	00:13:32	小えび	おもちゃみたいでかわいい	
225	00:13:55	biggs	面白い	
226	00:13:57	究極ド根性ダイコン	バルーン的な質感すごい	
227	00:14:16	HILO	ペロペロされる姉ちゃん	
228	00:14:22	らうらう	つよい	
229	00:14:26	biggs	つよい	
230	00:14:26	いぶきんぐ	うまい	
231	00:14:27	Emo Emoemo	がんばれ姉ちゃん	
232	00:14:28	なにここ	つよい	
233	00:14:43	タケノコ男	がんばって	
234	00:14:53	いぶきんぐ	うまい！	
235	00:14:53	biggs	やったね	
236	00:14:54	らうらう	やったね	
237	00:14:54	究極ド根性ダイコン	うまい	
238	00:14:55	小えび	つよい	
239	00:14:55	motiyomogi	やったね	
240	00:14:57	ジャック・オー	やったね！	
241	00:14:58	sas b	やったね	
242	00:14:58	通行人A	うまい	
243	00:14:58	HILO	やったぜ	
244	00:14:59	タケノコ男	やったね	
245	00:15:01	zero kuma	うまい	
246	00:15:10	なにここ	そういえばスビーﾄﾞブースターつけないんだね姉ちゃん	
247	00:15:13	Eトマト	おうまい	
248	00:15:23	らうらう	草	
249	00:15:29	はまちハウマッチ	そんなー	
250	00:15:33	biggs	ｶｷﾝ	
251	00:15:39	いぶきんぐ	バスターか	
252	00:15:49	Redmix	ｼﾞｬﾝ	
253	00:15:58	biggs	許された	
254	00:16:07	HILO	ブロッカーが	
255	00:16:14	mori mori	草	
256	00:16:15	通行人A	ヒヤッとした	
257	00:16:15	なにここ	こわい	
258	00:16:15	ニャンコ先生	すごー	
259	00:16:15	ジャック・オー	あぶぶ	
260	00:16:18	biggs	うまい	
261	00:16:20	Redmix	うまい	
262	00:16:24	小えび	優しくて面白いステージだなぁ	
263	00:16:24	ハラヘリキタハラ	ロックマンも、もう11まで出たんだあ。画面きれい。	
264	00:16:41	biggs	エストの出番か	
265	00:17:00	なにここ	エスト缶大事	
266	00:17:04	Eトマト	シカッティングして行こう	
267	00:17:22	らうらう	でやすくなーる	
268	00:17:23	いぶきんぐ	無限湧きはシカッティングしていこう	
269	00:17:25	ねこくーる	これはこわい	
270	00:17:32	motiyomogi	草	
271	00:17:33	biggs	草	
272	00:17:33	究極ド根性ダイコン	草	
273	00:17:34	しねちゅー	そっちかーい	
274	00:17:34	HILO	草	
275	00:17:39	HILO	逆だった	
276	00:17:40	たんこぶ	草	
277	00:17:42	通行人A	やると思った	
278	00:17:55	バリ島のサボテン	おいしい煮玉子	
279	00:18:05	いぶきんぐ	回復ありがたい	
280	00:18:05	らうらう	でやすくなーるすごいな	
281	00:18:07	ハラヘリキタハラ	いまだにロックバスター上に撃てないんか。ライト博士がんばれよ。	
282	00:18:09	zero kuma	回復めっちゃ落ちるね	
283	00:18:10	究極ド根性ダイコン	カイフクデヤスクナールかなり強くない？	
284	00:18:10	それ	回復出まくるね	
285	00:18:17	mori mori	これ弾かれ先が右だったら右だったで穴に落ちてるんじゃ	
286	00:18:33	HILO	たしかに姉ちゃんにしてはサクサク進んでいる	
287	00:18:34	ねこくーる	稼ぎの成果もありそう	
288	00:18:46	たんこぶ	ヌルゲーか～？	
289	00:18:51	biggs	ぐえー	
290	00:18:51	はまちハウマッチ	わちゃわちゃ	
291	00:19:02	ぴねかっと	やらしい…	
292	00:19:04	HILO	どこでも保存ないのに	
293	00:19:07	いぶきんぐ	下から行ったほうが早そうな気配	
294	00:19:16	やたごかわはす	弾かれ方向は色で分かるのか	
295	00:19:24	なにここ	落ち着いて	
296	00:19:27	ニャンコ先生	下からラッシュ？	
297	00:19:27	らうらう	左端でラッシュじゃむりなんか	
298	00:19:32	はりそん	ダメージ覚悟なら普通にしたからいけたんじゃ	
299	00:19:39	らうらう	かわいい	
300	00:19:40	あい	スピード使っていこう	
301	00:19:41	タケノコ男	むっず	
302	00:19:42	究極ド根性ダイコン	雑魚うざってえ！	
303	00:19:42	小えび	難しい	
304	00:19:43	ぴねかっと	かわいい	
305	00:19:45	いぶきんぐ	ギア使お	
306	00:19:45	ハラヘリキタハラ	すげーw	
307	00:19:46	ss kk	難易度変えると中間セーブの数が変わるから死ぬ前提だと地獄見るかも	
308	00:19:46	行方不明	かわいい	
309	00:19:46	八木谷	わたわた	
310	00:19:47	かたもく	ああ	
311	00:19:49	biggs	ﾃｼｹﾆ	
312	00:19:52	八木谷	かわいい	
313	00:19:56	岸辺一徳	かわいい	
314	00:19:58	sio3go	そういうとこすき	
315	00:19:59	らうらう	すごい！	
316	00:20:00	はまちハウマッチ	やったね	
317	00:20:00	小えび	うまい	
318	00:20:01	なにここ	うまい	
319	00:20:01	mori mori	うまい	
320	00:20:01	zero kuma	おー！	
321	00:20:02	しねちゅー	うまうま	
322	00:20:02	ぴねかっと	うまい	
323	00:20:02	たんこぶ	さすクゥ	
324	00:20:03	かたもく	うまい	
325	00:20:03	タケノコ男	すごい	
326	00:20:04	HILO	いった	
327	00:20:04	究極ド根性ダイコン	うまい	
328	00:20:04	ねこくーる	かわいい	
329	00:20:04	ニャンコ先生	やった！	
330	00:20:05	biggs	うまい	
331	00:20:06	八木谷	やったね	
332	00:20:07	プラスワン	うまい	
333	00:20:09	あい	うまい	
334	00:20:12	nakiouzyo	すごい！	
335	00:20:12	biki koto	すごい	
336	00:20:15	HILO	さすが姉ちゃん	
337	00:20:18	HILO	うま	
338	00:20:24	HILO	かわいい	
339	00:20:50	ぴねかっと	草	
340	00:20:50	らうらう	かわい	
341	00:20:52	しねちゅー	草	
342	00:20:55	biggs	草	
343	00:20:58	タケノコ男	草	
344	00:21:00	かたもく	ドジっ娘姉ちゃん	
