行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	周恩来	お疲れ様です	
1	00:00:00	けいてんたん	お疲れ様です。	
2	00:00:00	ヘラ鹿	クリアまでどのぐらい掛かるのか教えて！エ〇い人！	
3	00:00:00	ついたち	そもそもどこまでやるの？	
4	00:00:00	水無月銀	RTAだと一時間くらい	
5	00:00:00	ヘラ鹿	RTAってあのヒバゴン連打のやつ？	
6	00:00:00	ついたち	ｺｯ､ｴｰ､ﾎﾞｸﾉ	
7	00:00:00	R gon	クゥ姉のポーズ四八マン真似してんのね...	
8	00:00:00	水無月銀	通常プレイの参考記録はわからない	
9	00:00:00	ヘラ鹿	あれで1時間かかるとか無駄にボリュームあるんすね・・・	
10	00:00:00	水無月銀	たぶんそうヒバゴン連打。見たの結構前だから内容忘れた	
11	00:00:00	ヘラ鹿	ありがとナス	
12	00:00:00	asi max	わに	
13	00:00:00	ついたち	このゲームあれだけ文字読ませるのにログ見れないってマジか	
14	00:00:00	水無月銀	みたけりゃもう一度遊べと	
15	00:00:00	ヘンリーダーガー	姉ちゃんのくしゃみ聞きたい	
16	00:00:00	せせらぎ	そういやクゥ姉ちゃんのアクキー受注受付って今日までだっけ	
17	00:00:00	プレコ	あーキーホルダー今日までだったね	
18	00:00:00	ヘラ鹿	クゥしゃみ	
19	00:00:00	くりお	四八マンの真似わろた	
20	00:00:00	もふ	後編開始ボーナス（仮）	￥480
21	00:00:00	Garden		￥100
22	00:00:00	はるにれ		￥100
23	00:00:00	周恩来		￥100
24	00:00:00	かーるポン		￥100
25	00:00:00	Garden	お花摘み代	￥200
26	00:00:00	かーるポン		￥100
27	00:00:00	スモーク		￥100
28	00:00:00	いぶきんぐ		￥1,000
29	00:00:00	スモーク	なぜ俺は休日に四八を……	￥1,000
30	00:00:00	ぎぎぎ		￥500
31	00:00:17	はるにれ	おかえり	
32	00:00:18	N. Masaki	おかえり	
33	00:00:19	tamachan0312	おかえり姉ちゃん！	
34	00:00:19	ヘンリーダーガー	kita!	
35	00:00:22	二階堂義盛	おかえり	
36	00:00:23	黒乃未果	おかえり	
37	00:00:24	くりお	おかえり！	
38	00:00:25	れもんれもん	きたああああああ	
39	00:00:26	ゴム井ソボロン	おかえり	
40	00:00:26	Guity [ギティ]	おきゃーり	
41	00:00:26	ついたち	おかー	
42	00:00:28	ゆおた	おかえり	
43	00:00:28	ヘンリーダーガー	とろろ食べた？	
44	00:00:28	ヘラ鹿	おかえり	
45	00:00:29	Aさん	おかえり	
46	00:00:29	かーるポン	おかえりー	
47	00:00:30	-カツキ-	おかえりなさい	
48	00:00:31	籐野虎鉄	カレーメシ食べた？	
49	00:00:31	柴犬	おかえり	
50	00:00:31	加藤大揮	おかえり	
51	00:00:31	ゆゆゆっくり	おかえりんご	
52	00:00:32	ドンさん	おかえりなさい	
53	00:00:32	こみこ	姉ちゃーん	
54	00:00:33	弐号。あくじき	おかえり	
55	00:00:40	焼肉太郎	闇から来た	
56	00:00:42	_ Die	おかえり	
57	00:00:43	かーるポン	姉ちゃんで描くなった	
58	00:00:43	ざるそば	おかえりなさい姉ちゃん	
59	00:00:46	けいてんたん	おかえりなさい	
60	00:00:47	tamachan0312	とろろやめろ	
61	00:00:50	ワドルドゥ隊長	おかえり	
62	00:00:53	ついたち	カピー飯	
63	00:00:53	Loki GH	おかえりー	
64	00:00:53	クラ	おかえり！後編で終わるのか！？	
65	00:00:54	ulura _777	おかえり姉ちゃん	
66	00:01:27	蒲公英ポポサ	もう終わりそうなのん？	
67	00:01:34	焼肉太郎	カレーメシチャージ	
68	00:01:34	クラ	あ、そうか終わらすだけならすぐでしたね	
69	00:00:00	周恩来	お疲れ様です	
70	00:00:00	けいてんたん	お疲れ様です。	
71	00:00:00	ヘラ鹿	クリアまでどのぐらい掛かるのか教えて！エ〇い人！	
72	00:00:00	ついたち	そもそもどこまでやるの？	
73	00:00:00	水無月銀	RTAだと一時間くらい	
74	00:00:00	ヘラ鹿	RTAってあのヒバゴン連打のやつ？	
75	00:00:00	ついたち	ｺｯ､ｴｰ､ﾎﾞｸﾉ	
76	00:00:00	R gon	クゥ姉のポーズ四八マン真似してんのね...	
77	00:00:00	水無月銀	通常プレイの参考記録はわからない	
78	00:00:00	ヘラ鹿	あれで1時間かかるとか無駄にボリュームあるんすね・・・	
79	00:00:00	水無月銀	たぶんそうヒバゴン連打。見たの結構前だから内容忘れた	
80	00:00:00	ヘラ鹿	ありがとナス	
81	00:00:00	asi max	わに	
82	00:00:00	ついたち	このゲームあれだけ文字読ませるのにログ見れないってマジか	
83	00:00:00	水無月銀	みたけりゃもう一度遊べと	
84	00:00:00	ヘンリーダーガー	姉ちゃんのくしゃみ聞きたい	
85	00:00:00	せせらぎ	そういやクゥ姉ちゃんのアクキー受注受付って今日までだっけ	
86	00:00:00	プレコ	あーキーホルダー今日までだったね	
87	00:00:00	ヘラ鹿	クゥしゃみ	
88	00:00:00	くりお	四八マンの真似わろた	
89	00:00:00	もふ	後編開始ボーナス（仮）	￥480
90	00:00:00	Garden		￥100
91	00:00:00	はるにれ		￥100
92	00:00:00	周恩来		￥100
93	00:00:00	かーるポン		￥100
94	00:00:00	Garden	お花摘み代	￥200
95	00:00:00	かーるポン		￥100
