行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	キタカシ	byebye takuya	
1	00:00:12	うぇいのる	おいしい煮玉子	
2	00:00:13	スモーク	おいしい煮玉子	
3	00:00:16	ジュンペイ	おいしい煮玉子	
4	00:00:18	ほるもん	おいしい煮玉子	
5	00:00:18	周恩来	おいしい煮玉子	
6	00:00:19	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
7	00:00:19	ホワイトラン衛兵	おいしい煮玉子	
8	00:00:20	えび	おいしい煮玉子	
9	00:00:20	九代目中山稲五朗	おいしい煮玉子	
10	00:00:21	内臓脂肪	おいしい煮玉子	
11	00:00:22	まりも	おいしい煮玉子	
12	00:00:22	motiyomogi	おいしい煮玉子	
13	00:00:23	カギアカギ	おいしい煮玉子	
14	00:00:24	天然ステルス	おいしい煮玉子	
15	00:00:24	らうらう	おいしい煮玉子	
16	00:00:24	なんたら	おいしい煮玉子	
17	00:00:24	じょーげん	おいしい煮玉子	
18	00:00:27	_ Die	おいしい煮玉子	
19	00:00:29	スルーラスト	おいしい煮玉子	
20	00:00:30	あい	おいしい煮玉子	
21	00:00:30	空気	おいしい煮玉子	
22	00:00:31	拡散の尖兵	おいしい煮玉子	
23	00:00:31	竹輪	おいたま〜〜	
24	00:00:31	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
25	00:00:31	JUNY	おいしい煮玉子	
26	00:00:32	ジョナサン・グレーン	おいしい煮玉子	
27	00:00:32	タケノコ男	おいしい煮玉子	
28	00:00:33	K. u	おいしい煮玉子	
29	00:00:34	しねちゅー	おいしい煮玉子	
30	00:00:36	Eトマト	おいしいメガ煮玉子	
31	00:00:37	かたもく	おいしいヤドン	
32	00:00:38	せせらぎ	はじまた	
33	00:00:41	eve 8848	おいしい煮玉子	
34	00:00:41	キタカシ	おいしい煮玉子	
35	00:00:43	こみこ	おいしい煮玉子	
36	00:00:44	HILO	おいしい煮玉子	
37	00:00:47	大野カムイ	おいしい煮玉子	
38	00:00:51	ねこくーる	おいメロ〜	
39	00:01:01	近藤大輔	おいしいピカチュウ	
