行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	なんたら	クゥChannelを待っています	
1	00:00:00	むらさきあんこ	スポンサー増えてきた…	
2	00:00:00	佐藤仁	そろそろかな	
3	00:00:00	タイラビ正常	遅刻しないの今日	
4	00:00:00	スズメ	こんばんワニノコー	
5	00:00:00	ジョナサン・グレーン	姉ちゃん！	
6	00:00:00	こみこ	緑を増やしてもどうせ焼かれる・・・	
7	00:00:00	ヘンリーダーガー	でろーん組の皆さんよろしくお願いします！	
8	00:00:00	シンクライト	スナック用意かんりょうですー	
9	00:00:00	かんてら	ああああ生被るー	
10	00:00:00	かーるポン	遅刻かな？	
11	00:00:00	究極ド根性ダイコン	もうすぐはじまる	
12	00:00:00	くじょうちゃん	大丈夫か胃	
13	00:00:00	にせき	チャット欄を緑化できるのは俺達だけだからよ	
14	00:00:00	SPARTACUS	こんばんワニノコ	
15	00:00:00	ゆきのだらり	20時だぞ姉ちゃん！	
16	00:00:00	周恩来	定時ヨシ！	
17	00:00:00	兵バイク	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
18	00:00:00	ゴギガガガギゴ	遅刻しないだと…！？	
19	00:00:00	tatami	カラスおいしい	
20	00:00:00	fami fami	姉ちゃんが遅刻するわけないだろ？	
21	00:00:00	なんたら	可能性は0%だ	
22	00:00:00	ねた	ツイートきてる～	
23	00:00:00	ゐにっつぬいど	こんばんは～	
24	00:00:00	mk 95	知ってた	
25	00:00:00	カレン#凛fam#楓組	待機	
26	00:00:00	あおぴ	ドキドキ	
27	00:00:00	ゆおた	ネトフリ民ですが、設定は英語音声、日本語字幕でOK？	
28	00:00:00	タンガロア	姉ちゃん大丈夫か！	
29	00:00:00	白鳥天羽【バーチャル百合お嬢様】	待機してますわ～！	
30	00:00:00	Shuzo	…よし時間通りだな！	
31	00:00:00	太田の民	遅刻かな(予定調和)	
32	00:00:00	夜歩く＠不定形生物	待機	
33	00:00:00	Loki GH	姉ちゃん、がんばれ・・！	
34	00:00:00	かしわぎ	こんばんワニノコ	
35	00:00:00	あっきー	クゥさん初見です	
36	00:00:00	キノ	姉ちゃん！！！！	
37	00:00:00	slocknock	こんばんワニノコ	
38	00:00:00	ネズミ2/2/6	さす姉	
40	00:00:00	anpan men	よし！	
41	00:00:00	ちょろまかし	こいこい！	
42	00:00:00	ぜんとりん	こんばんは	
43	00:00:00	ぐんとせ	おｋ	
44	00:00:00	もふ	いつも遅刻なんてしてないじゃないか（ぐるぐる目）	
45	00:00:00	プレコ	姉ちゃん定刻通りか	
46	00:00:00	りこった	嘘だ、5分は遅れるはずだ	
47	00:00:00	モコモン	こんばんはー	
48	00:00:00	かーるポン	がんばれー	
49	00:00:00	弥七	お姉ちゃん大丈夫か！	
50	00:00:04	core quad	今日は間に合ってよかった！	
51	00:00:05	ゆずりは	こんばんわ	
52	00:00:09	かーるポン	きたー	
53	00:00:10	いむう	こんばんわ	
54	00:00:10	Fuzuki K	姉ちゃん待ってた！	
55	00:00:10	hiro waka	こんばんは	
56	00:00:10	あなき	きた！	
57	00:00:11	りあすて	姉ちゃんすごい！間に合った！	
58	00:00:11	不良品	オッ	
59	00:00:12	太田の民	姉ちゃんがんばった！	
60	00:00:12	らうらう	あ	
61	00:00:13	Donald J.Trump	わーわーわー	
62	00:00:14	SPARTACUS	こんばんワニノコ	
63	00:00:14	なんたら	姉ちゃん！	
64	00:00:15	エリス	おゾ館通り	
65	00:00:15	ネズミ2/2/6	のりこめー＾＾	
66	00:00:15	タイラビ正常	きたーーーーー	
67	00:00:15	aru ku	姉ちゃんがんばれー！	
68	00:00:15	もっけいChannel	かわいい	
69	00:00:16	255	きた	
70	00:00:16	ねた	吹き替えより字幕がおすすめだそうです	
71	00:00:16	茨之介	おっ	
72	00:00:16	タタリ	もしもし	
73	00:00:16	星井ノルキア	こんばんは～～～～！！！	
74	00:00:16	Shuzo	こんばんわに	
75	00:00:16	しらたま	はいもしもし	
76	00:00:17	Melan	hazimatta	
77	00:00:17	しょけん	こんばんわ	
78	00:00:17	かんてら	きたああああああああ	
79	00:00:18	t-show	こんばんわ	
80	00:00:18	かりい	こんばんわ	
81	00:00:19	ルイボス	こんばんはー	
82	00:00:19	あるけみ	音きた	
83	00:00:19	_ Die	きた！	
84	00:00:19	エキノコ	きたああ	
85	00:00:19	プレコ	姉ちゃんの声だ	
86	00:00:19	周恩来	遅刻なし！高評価！	
87	00:00:20	son olso	遅刻無しできた！	
88	00:00:20	かたむっつり	もしもし	
89	00:00:20	究極ド根性ダイコン	姉ちゃん！	
90	00:00:20	バターとら	こんばんわ	
91	00:00:20	こらんだむ	こんばんは！	
92	00:00:20	凉	はじまった！	
93	00:00:20	yflon	もしもし	
94	00:00:20	ねこ	こんばんワニノコー	
95	00:00:00	なんたら	クゥChannelを待っています	
96	00:00:00	むらさきあんこ	スポンサー増えてきた…	
97	00:00:00	佐藤仁	そろそろかな	
98	00:00:00	タイラビ正常	遅刻しないの今日	
99	00:00:00	スズメ	こんばんワニノコー	
100	00:00:00	ジョナサン・グレーン	姉ちゃん！	
101	00:00:00	こみこ	緑を増やしてもどうせ焼かれる・・・	
102	00:00:00	ヘンリーダーガー	でろーん組の皆さんよろしくお願いします！	
103	00:00:00	シンクライト	スナック用意かんりょうですー	
104	00:00:00	かんてら	ああああ生被るー	
105	00:00:00	かーるポン	遅刻かな？	
106	00:00:00	究極ド根性ダイコン	もうすぐはじまる	
107	00:00:00	くじょうちゃん	大丈夫か胃	
108	00:00:00	にせき	チャット欄を緑化できるのは俺達だけだからよ	
109	00:00:00	SPARTACUS	こんばんワニノコ	
110	00:00:00	ゆきのだらり	20時だぞ姉ちゃん！	
111	00:00:00	周恩来	定時ヨシ！	
112	00:00:00	兵バイク	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
113	00:00:00	ゴギガガガギゴ	遅刻しないだと…！？	
114	00:00:00	tatami	カラスおいしい	
115	00:00:00	fami fami	姉ちゃんが遅刻するわけないだろ？	
116	00:00:00	なんたら	可能性は0%だ	
117	00:00:00	ねた	ツイートきてる～	
118	00:00:00	ゐにっつぬいど	こんばんは～	
119	00:00:00	mk 95	知ってた	
120	00:00:00	カレン#凛fam#楓組	待機	
121	00:00:00	あおぴ	ドキドキ	
122	00:00:00	ゆおた	ネトフリ民ですが、設定は英語音声、日本語字幕でOK？	
123	00:00:00	タンガロア	姉ちゃん大丈夫か！	
124	00:00:00	白鳥天羽【バーチャル百合お嬢様】	待機してますわ～！	
125	00:00:00	Shuzo	…よし時間通りだな！	
126	00:00:00	太田の民	遅刻かな(予定調和)	
127	00:00:00	夜歩く＠不定形生物	待機	
128	00:00:00	Loki GH	姉ちゃん、がんばれ・・！	
129	00:00:00	かしわぎ	こんばんワニノコ	
130	00:00:00	あっきー	クゥさん初見です	
131	00:00:00	キノ	姉ちゃん！！！！	
132	00:00:00	slocknock	こんばんワニノコ	
133	00:00:00	ネズミ2/2/6	さす姉	
135	00:00:00	anpan men	よし！	
136	00:00:00	ちょろまかし	こいこい！	
137	00:00:00	ぜんとりん	こんばんは	
138	00:00:00	ぐんとせ	おｋ	
139	00:00:00	もふ	いつも遅刻なんてしてないじゃないか（ぐるぐる目）	
140	00:00:00	プレコ	姉ちゃん定刻通りか	
141	00:00:00	りこった	嘘だ、5分は遅れるはずだ	
142	00:00:00	モコモン	こんばんはー	
143	00:00:00	かーるポン	がんばれー	
144	00:00:00	弥七	お姉ちゃん大丈夫か！	
145	00:00:04	core quad	今日は間に合ってよかった！	
146	00:00:05	ゆずりは	こんばんわ	
147	00:00:09	かーるポン	きたー	
148	00:00:10	いむう	こんばんわ	
149	00:00:10	Fuzuki K	姉ちゃん待ってた！	
150	00:00:10	hiro waka	こんばんは	
151	00:00:10	あなき	きた！	
152	00:00:11	りあすて	姉ちゃんすごい！間に合った！	
153	00:00:11	不良品	オッ	
154	00:00:12	太田の民	姉ちゃんがんばった！	
155	00:00:12	らうらう	あ	
156	00:00:13	Donald J.Trump	わーわーわー	
157	00:00:14	SPARTACUS	こんばんワニノコ	
158	00:00:14	なんたら	姉ちゃん！	
159	00:00:15	エリス	おゾ館通り	
160	00:00:15	ネズミ2/2/6	のりこめー＾＾	
161	00:00:15	タイラビ正常	きたーーーーー	
162	00:00:15	aru ku	姉ちゃんがんばれー！	
163	00:00:15	もっけいChannel	かわいい	
164	00:00:16	255	きた	
165	00:00:16	ねた	吹き替えより字幕がおすすめだそうです	
166	00:00:16	茨之介	おっ	
167	00:00:16	タタリ	もしもし	
168	00:00:16	星井ノルキア	こんばんは～～～～！！！	
169	00:00:16	Shuzo	こんばんわに	
170	00:00:16	しらたま	はいもしもし	
171	00:00:17	Melan	hazimatta	
172	00:00:17	しょけん	こんばんわ	
173	00:00:17	かんてら	きたああああああああ	
174	00:00:18	かりい	こんばんわ	
175	00:00:19	ルイボス	こんばんはー	
176	00:00:19	あるけみ	音きた	
177	00:00:19	_ Die	きた！	
178	00:00:19	エキノコ	きたああ	
179	00:00:19	プレコ	姉ちゃんの声だ	
180	00:00:19	周恩来	遅刻なし！高評価！	
181	00:00:20	son olso	遅刻無しできた！	
182	00:00:20	かたむっつり	もしもし	
183	00:00:20	究極ド根性ダイコン	姉ちゃん！	
184	00:00:20	バターとら	こんばんわ	
185	00:00:20	凉	はじまった！	
186	00:00:20	yflon	もしもし	
187	00:00:20	ねこ	こんばんワニノコー	
188	00:00:21	ぐえのこころ	キター	
189	00:00:21	どびん	もちもち	
190	00:00:21	Garden【VTuber】	もしもし	
191	00:00:21	S. Ninomiya	こんばんはー	
192	00:00:21	にせき	姉ちゃん！	
193	00:00:21	あんころも	こんばんみー	
194	00:00:21	tage	こんばんは！	
195	00:00:21	はいねこ	こんばんワニノコ	
