行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	バリ島のサボテン	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	Shota Hamada	おいしい煮玉子	
3	00:00:00	Redmix	おいしい煮玉子	
4	00:00:00	なんたら	おいしい煮玉子	
5	00:00:00	カギアカギ	おいしい煮玉子	
6	00:00:00	ログ	おいしい煮玉子	
7	00:00:00	岸辺一徳	おいしい煮玉子	
8	00:00:00	近藤亮	おいしい煮玉子	
9	00:00:00	ジャック・オー	おいしい煮玉子	
10	00:00:00	天然ステルス	おいしい煮玉子	
11	00:00:00	畑秋	​おいしい煮玉子	
12	00:00:00	T.のかね	おいしい煮玉子	
13	00:00:00	mk 95	おいしい煮玉子	
14	00:00:00	スモーク	おいたま	
15	00:00:00	タケノコ男	おいしい煮玉子	
16	00:00:00	こみこ	おいしい煮玉子	
17	00:00:00	じょーげん	おいしい煮玉子	
18	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
19	00:00:00	えび	おいしい煮玉子	
20	00:00:00	周恩来	おいしい煮玉子	
21	00:00:00	はまちハウマッチ	おいしい煮玉子	
22	00:00:00	あい	おいしい煮玉子	
23	00:00:00	カーマイン	おいしい煮玉子	
24	00:00:00	ああ	おいしい煮玉子	
25	00:00:00	結城晶	おいしい煮玉子	
26	00:00:00	なんたら		￥1,000
27	00:00:12	周恩来	！？	
28	00:00:15	ヌルヌペペ	おいしい煮玉子	
29	00:00:16	Redmix	おいしい煮玉子	
30	00:00:16	あい	！？	
31	00:00:16	eve 8848	おいしい煮玉子	
32	00:00:17	Lu na	お	
33	00:00:17	らうらう	！？	
34	00:00:18	近藤亮	おいしい煮玉子	
35	00:00:19	こみこ	ｵｯｹｰｲ	
36	00:00:19	八木谷	おいしい煮玉子	
37	00:00:19	うぇいのる	おいしい煮玉子	
38	00:00:20	究極ド根性ダイコン	白い！	
39	00:00:20	はまちハウマッチ	！？	
40	00:00:21	拡散の尖兵	おいしい煮玉子	
41	00:00:21	ジャック・オー	おいしい煮玉子	
42	00:00:22	バリ島のサボテン	おいしい煮玉子	
43	00:00:22	えび	！？	
44	00:00:22	aru ku	！？	
45	00:00:23	らうらう	おいしい煮玉子	
46	00:00:23	岸辺一徳	？！	
47	00:00:23	Shota Hamada	！？	
48	00:00:24	東京コノハムシ	おいしい煮玉子…！？	
49	00:00:24	桜田紅	2Pカラー	
50	00:00:24	ナウ	おいしい煮玉子	
51	00:00:25	天然ステルス	白姉ちゃん	
52	00:00:25	タケノコ男	おいしい煮玉子	
53	00:00:25	なる	2P姉ちゃんだ！！！！	
54	00:00:25	ログ	色！	
55	00:00:25	Ryo Kamiya	おいしい煮玉子	
56	00:00:26	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ って白い！？	
57	00:00:26	ヌルヌペペ	２Ｐカラーだ	
58	00:00:27	2 LCOM	かわいい	
59	00:00:28	呂宋鋼四郎	美味しい煮玉子	
60	00:00:28	カーマイン	おいしい煮玉子	
61	00:00:29	八木谷	！？	
62	00:00:29	K.T. ジャックリン	おいしい煮玉子	
63	00:00:29	なんたら	ﾈﾁｬﾅ	
64	00:00:29	Redmix	誰！？	
65	00:00:30	うぇいのる	？！	
66	00:00:30	mori mori	色違い姉ちゃん！	
67	00:00:31	むらさきあんこ	おいしい煮玉子	
68	00:00:32	ゴギガガガギゴ	白姉ちゃん！	
69	00:00:32	はまちハウマッチ	謎の白い姉ちゃん！	
70	00:00:32	あい	涼しげな姉ちゃんだ！	
71	00:00:32	周恩来	おいしい煮玉子	
72	00:00:32	ジャック・オー	早速２Ｐカラ―だ	
73	00:00:34	のなちき	2P姉ちゃん！！	
74	00:00:34	いぶきんぐ	おいしい煮玉子	
75	00:00:35	ジョナサン・グレーン	美味しい煮玉子 2Pカラーだ！	
76	00:00:00	バリ島のサボテン	おいしい煮玉子	
77	00:00:00	らうらう	おいしい煮玉子	
78	00:00:00	Shota Hamada	おいしい煮玉子	
79	00:00:00	Redmix	おいしい煮玉子	
80	00:00:00	なんたら	おいしい煮玉子	
81	00:00:00	カギアカギ	おいしい煮玉子	
82	00:00:00	ログ	おいしい煮玉子	
83	00:00:00	岸辺一徳	おいしい煮玉子	
84	00:00:00	近藤亮	おいしい煮玉子	
85	00:00:00	ジャック・オー	おいしい煮玉子	
86	00:00:00	天然ステルス	おいしい煮玉子	
87	00:00:00	畑秋	​おいしい煮玉子	
88	00:00:00	T.のかね	おいしい煮玉子	
89	00:00:00	mk 95	おいしい煮玉子	
90	00:00:00	スモーク	おいたま	
91	00:00:00	タケノコ男	おいしい煮玉子	
92	00:00:00	こみこ	おいしい煮玉子	
93	00:00:00	じょーげん	おいしい煮玉子	
94	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
95	00:00:00	えび	おいしい煮玉子	
96	00:00:00	周恩来	おいしい煮玉子	
97	00:00:00	はまちハウマッチ	おいしい煮玉子	
98	00:00:00	あい	おいしい煮玉子	
99	00:00:00	カーマイン	おいしい煮玉子	
100	00:00:00	ああ	おいしい煮玉子	
101	00:00:00	結城晶	おいしい煮玉子	
102	00:00:00	なんたら		￥1,000
103	00:00:12	周恩来	！？	
104	00:00:15	ヌルヌペペ	おいしい煮玉子	
105	00:00:16	Redmix	おいしい煮玉子	
106	00:00:16	あい	！？	
107	00:00:16	eve 8848	おいしい煮玉子	
108	00:00:17	Lu na	お	
109	00:00:17	らうらう	！？	
110	00:00:18	近藤亮	おいしい煮玉子	
111	00:00:19	こみこ	ｵｯｹｰｲ	
112	00:00:19	八木谷	おいしい煮玉子	
113	00:00:19	うぇいのる	おいしい煮玉子	
114	00:00:20	究極ド根性ダイコン	白い！	
115	00:00:20	はまちハウマッチ	！？	
116	00:00:21	拡散の尖兵	おいしい煮玉子	
117	00:00:21	ジャック・オー	おいしい煮玉子	
118	00:00:22	バリ島のサボテン	おいしい煮玉子	
119	00:00:22	えび	！？	
120	00:00:22	aru ku	！？	
121	00:00:23	らうらう	おいしい煮玉子	
122	00:00:23	岸辺一徳	？！	
123	00:00:23	Shota Hamada	！？	
124	00:00:24	東京コノハムシ	おいしい煮玉子…！？	
125	00:00:24	桜田紅	2Pカラー	
126	00:00:24	ナウ	おいしい煮玉子	
127	00:00:25	天然ステルス	白姉ちゃん	
128	00:00:25	タケノコ男	おいしい煮玉子	
129	00:00:25	なる	2P姉ちゃんだ！！！！	
130	00:00:25	ログ	色！	
131	00:00:25	Ryo Kamiya	おいしい煮玉子	
132	00:00:26	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ って白い！？	
133	00:00:26	ヌルヌペペ	２Ｐカラーだ	
134	00:00:27	2 LCOM	かわいい	
135	00:00:28	呂宋鋼四郎	美味しい煮玉子	
136	00:00:28	カーマイン	おいしい煮玉子	
137	00:00:29	八木谷	！？	
138	00:00:29	K.T. ジャックリン	おいしい煮玉子	
139	00:00:29	なんたら	ﾈﾁｬﾅ	
140	00:00:29	Redmix	誰！？	
141	00:00:30	うぇいのる	？！	
142	00:00:30	mori mori	色違い姉ちゃん！	
143	00:00:31	むらさきあんこ	おいしい煮玉子	
144	00:00:32	ゴギガガガギゴ	白姉ちゃん！	
145	00:00:32	はまちハウマッチ	謎の白い姉ちゃん！	
146	00:00:32	あい	涼しげな姉ちゃんだ！	
147	00:00:32	周恩来	おいしい煮玉子	
148	00:00:32	ジャック・オー	早速２Ｐカラ―だ	
149	00:00:34	のなちき	2P姉ちゃん！！	
150	00:00:34	いぶきんぐ	おいしい煮玉子	
151	00:00:35	ジョナサン・グレーン	美味しい煮玉子 2Pカラーだ！	
152	00:00:39	えび	かわいい！！	
153	00:00:39	T.のかね	かわいい！！！	
154	00:00:40	たんこぶ	こんばんはー！	
155	00:00:41	スルーラスト	おいしい煮玉子	
156	00:00:41	ナウ	さすがバーチャル	
157	00:00:41	かんてら	おいしい煮玉子	
158	00:00:43	こみこ	色反転姉ちゃん	
159	00:00:45	近藤亮	はじめまして！	
160	00:00:46	東京コノハムシ	冬毛？	
161	00:00:47	かんてら	！？	
162	00:00:47	いぶきんぐ	ほんとに白くなっちゃった…	
163	00:00:48	カギアカギ	おいしい煮玉子	
164	00:00:48	はまちハウマッチ	アイドルみたいでかわいいと思う	
165	00:00:49	ねこくーる	おいしい煮玉子	
166	00:00:50	佐藤太郎	こんばんは	
167	00:00:50	タケノコ男	かわいい	
168	00:00:55	かたもく	レッドアイズ・ブルーメタルホワイト・クゥ・フラン・ゾーパー	
169	00:00:55	mori mori	日光弱そう	
170	00:00:57	カギアカギ	！？	
171	00:00:59	究極ド根性ダイコン	かわいい	
172	00:01:00	周恩来	髪ファサァいい…	
173	00:01:07	八木谷	白姉ちゃんもかわいい	
174	00:01:07	かんてら	これはこれですごくかわいい！	
175	00:01:08	岸辺一徳	おしろい姉ちゃん	
176	00:01:08	あい	かわいい…	
177	00:01:08	バリ島のサボテン	2P姉ちゃんすき	
178	00:01:08	うぇいのる	白い制服は珍しい	
179	00:01:12	はまちハウマッチ	お化粧すごい	
180	00:01:14	天然ステルス	アルビノ	
181	00:01:17	タケノコ男	でかい	
182	00:01:18	らうらう	自慢げ姉ちゃんかわいい	
183	00:01:19	近藤亮	かわいい	
184	00:01:20	ナウ	ガチ恋距離	
185	00:01:20	かんてら	ああああああああ	
186	00:01:21	Shota Hamada	かわいい	
187	00:01:23	こみこ	ドンキーよりウチ見て	
188	00:01:23	なんたら	うわああああ！！！	
189	00:01:24	K.T. ジャックリン	かわいい	
190	00:01:24	ジョナサン・グレーン	ガチ恋距離	
191	00:01:25	Sea Sting	姉ちゃん感が増してる	
192	00:01:25	mk 95	かわいい！	
193	00:01:26	八木谷	かわいい！	
194	00:01:26	eve 8848	かわいい	
195	00:01:28	究極ド根性ダイコン	かわいい	
196	00:01:28	呂宋鋼四郎	満足姉ちゃん	
197	00:01:29	スモーク	かわいい！	￥1,000
198	00:01:30	カギアカギ	かわいいの権化かよ...	
199	00:01:30	バリ島のサボテン	かわいい	
200	00:01:33	mussaOren	おいしい煮玉子 かわいい	
201	00:01:34	タケノコ男	かわいすぎる	
202	00:01:34	秋箱	2P姉ちゃんだ！	
203	00:01:34	Ryo Kamiya	かわいい	
204	00:01:35	うぇいのる	かわいい	
205	00:01:36	岸辺一徳	おめめがうさぎさん	
206	00:01:37	えび	チークかわいい	
207	00:01:38	かんてら	かわいすぎる	
208	00:01:38	たんこぶ	かわいい	
209	00:01:38	はまちハウマッチ	バーチャルなら自由自在！	
210	00:01:39	ジャック・オー	レッドアイズ・ホワイトＪＣかわいい	
211	00:01:40	なんたら	かわいい	
212	00:01:40	かたもく	かわかわ	
213	00:01:41	Shota Hamada	おめめ？	
214	00:01:43	いぶきんぐ	整形草	
215	00:01:43	あい	かわいい	
216	00:01:44	結城晶	プチ整形	
217	00:01:44	スモーク	草	
218	00:01:44	周恩来	同じ色投げときますね	￥200
219	00:01:47	じょーげん	かわいい	
220	00:01:48	ねこくーる	かわかわ	
221	00:01:48	周恩来	かわいい	
222	00:01:56	らうらう	1Pになるの？	
223	00:01:59	えび		￥1,000
224	00:02:01	ジョナサン・グレーン	かわいい	
225	00:02:03	カーマイン	かわいい	
226	00:02:03	クロノス	可愛い～(´ ω `)	
227	00:02:04	天然ステルス	姉ちゃんがマイケル・ジャクソンに！	
228	00:02:05	東京コノハムシ	バーチャルだから自由 JC鼻整形自由	
229	00:02:06	ゴギガガガギゴ	かわいい かわいい	
230	00:02:07	周恩来	かわいい	
231	00:02:07	究極ド根性ダイコン	かわいい	
232	00:02:09	うぇいのる	いいね！	
233	00:02:10	バリ島のサボテン	JCは整形くらいするよね～	
234	00:02:11	タケノコ男	かわいい	
235	00:02:12	2 LCOM	整形する財力を持つJC	
236	00:02:25	Shota Hamada	湘南美容外科？	
237	00:02:26	近藤亮	自慢うれしい	
238	00:02:26	究極ド根性ダイコン	冬気に生え変わったわけじゃなかったのか	
239	00:02:29	周恩来	イエス！ゾーパークリニック	
240	00:02:30	ピヨリ.	可愛い	
241	00:02:30	subaru taira	美味しい煮玉子	
242	00:02:36	スモーク	JCの間で流行ってるからな	
243	00:02:37	東京コノハムシ	ジャクソン5のクゥ！	
244	00:02:38	ゴギガガガギゴ	可愛くなったのを自慢するJC かわいい	
245	00:02:40	subaru taira	可愛いっすね	
246	00:02:43	むらさきあんこ	好きな髪色だからやば…	
247	00:02:46	じょーげん	化粧した！！	
248	00:02:46	岸辺一徳	おしゃれ！	
249	00:02:52	周恩来	雪に隠れそうだ…	
250	00:02:52	らうらう	姉ちゃんが大人の階段をのぼってしまった・・・	
251	00:02:52	かんてら	お化粧めっちゃかわいいやばい	
