行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	たんこぶ	お疲れ様でした	
1	00:00:00	eve 8848	お疲れ様でした	
2	00:00:00	岸辺一徳	おつ煮玉子	
3	00:00:00	むらさきあんこ	おつだっしゅ！	
4	00:00:00	HILO	たにたま	
5	00:00:00	究極ド根性ダイコン	ぐるぐるおめめ姉ちゃんかわいい	
6	00:00:00	らうらう	かわいい！	
7	00:00:00	ZW犬死無能盾-肉無鶏	確かにここにあった煮玉子	
8	00:00:00	ホワイトラン衛兵	ぐるぐる煮玉子	
9	00:00:00	岸辺一徳	かわいい！	
10	00:00:00	えび	かわいい	
11	00:00:00	近藤亮	かわいい	
12	00:00:00	らうらう	千年帽子も参っとる	
13	00:00:00	なんたら	かわいい	
14	00:00:00	ヘンリーダーガー	グルグル目がかわいい！高評価！	
15	00:00:00	岸辺一徳		￥100
16	00:00:09	Fuzuki K	ヤッター！	
17	00:00:12	はるにれ	おいしい煮玉子	
18	00:00:12	なんたら	おいしい煮玉子	
19	00:00:18	岸辺一徳	LSD！LSD！	
20	00:00:19	究極ド根性ダイコン	おいしい煮玉子	
21	00:00:19	なる	おいしい煮玉子	
22	00:00:20	むらさきあんこ	おいしい煮玉子	
23	00:00:20	かんてら	おいしい煮玉子	
24	00:00:20	Garden	おいしい煮玉子	
25	00:00:21	鈴木おじさん	おいしい煮玉子	
26	00:00:21	うぇいのる	おいしい煮玉子	
27	00:00:22	らうらう	おいたま	
28	00:00:23	近藤大輔	LSDだ１	
29	00:00:24	さんぽーる	おいしい煮玉子	
30	00:00:24	えび	おいたま～	
31	00:00:26	岸辺一徳	おいしい煮玉子	
32	00:00:27	近藤亮	おいしい煮玉子	
33	00:00:27	ああ	おいしい煮玉子	
34	00:00:28	ポンコツジョン	おいしい煮玉子	
35	00:00:31	箸盛り【はしもり】	おいしい煮玉子	
36	00:00:31	Fuzuki K	声が疲れてる……	
37	00:00:33	べるべる	おいしい煮玉子	
38	00:00:33	袖口	おいしい煮玉子	
39	00:00:35	あい	おいしい煮玉子	
40	00:00:36	Yo mi	LSDすき	
41	00:00:36	タケノコ男	おいしい煮玉子	
42	00:00:36	真新八	おいしい煮玉子！	
43	00:00:39	ボマーズ大佐	おいしい煮玉子2個目	
44	00:00:48	ざなゔぃ	うわLSDだ（歓喜）	
45	00:00:48	秋箱	おいしい煮玉子	
46	00:00:51	カギアカギ	おいしい煮玉子	
47	00:00:52	ジュンペイ	おいしい煮玉子	
48	00:00:55	ねこくーる	おいしい煮玉子	
49	00:00:55	ヘンリーダーガー	おいしい煮玉子	
50	00:00:56	はるにれ	LSDキメて元気出して	
51	00:01:04	あまいさい	おいしい煮玉子	
52	00:01:05	真新八	お姉ちゃん元気出して…	
53	00:01:08	うぇいのる	dash寝過ごしてしまった…	
54	00:01:09	ボマーズ大佐	煮玉子キメる	
55	00:01:15	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
56	00:01:21	岸辺一徳	姉ちゃんに切手送っていいのか！	
57	00:01:22	秋箱	元気無いなら届いたおこめ食べよう	
58	00:01:22	究極ド根性ダイコン	もうヤバい	
59	00:01:27	ロンドベルジェニ	おいしい煮玉子	
60	00:01:33	らうらう	なんかもうおかしいゲーム	
61	00:01:34	タケノコ男	すでにキマってる	
62	00:01:38	えび	のっけからキマってる	
63	00:01:45	むらさきあんこ	スモウレスラー…	
64	00:01:47	近藤大輔	夢がいっぱい！	
65	00:00:00	たんこぶ	お疲れ様でした	
66	00:00:00	eve 8848	お疲れ様でした	
67	00:00:00	岸辺一徳	おつ煮玉子	
68	00:00:00	むらさきあんこ	おつだっしゅ！	
69	00:00:00	HILO	たにたま	
70	00:00:00	究極ド根性ダイコン	ぐるぐるおめめ姉ちゃんかわいい	
71	00:00:00	らうらう	かわいい！	
72	00:00:00	ZW犬死無能盾-肉無鶏	確かにここにあった煮玉子	
73	00:00:00	ホワイトラン衛兵	ぐるぐる煮玉子	
