行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	キタカシ	あ、あれ？30分後に始まりますって通知が44分前にきて……あれ？？	
1	00:00:00	キタカシ	待機	
2	00:00:00	なんたら	明日のクゥ姉は12時開始だからそれと間違えたんじゃないか	
3	00:00:00	10あああ	おいしい煮玉子	
4	00:00:00	キューだえもん	バーチャル時間はリアル時間と違うから…	
5	00:00:00	岸辺一徳	うっかり姉ちゃんかわいい	
6	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
7	00:00:00	らうらう	おいしい煮玉子	
8	00:00:00	こみこ	おいしい煮玉子	
9	00:00:00	岸辺一徳	おいしい煮玉子	
10	00:00:00	なんたら	おいしい煮玉子	
11	00:00:00	じょーげん	おいしい煮玉子	
12	00:00:00	Eトマト	おいしい煮玉子	
13	00:00:00	eve 8848	おいしい煮玉子	
14	00:00:00	らうらう	遅刻では？	
15	00:00:00	Eトマト	寝ちゃった？	
16	00:00:00	T.のかね	おいしい煮玉子	
17	00:00:00	キタカシ	美味しい煮卵	
18	00:00:00	なんたら	寝るのは楽しいからな…	
19	00:00:15	タケノコ男	おいしい煮玉子	
20	00:00:18	じょーげん	おいしい煮玉子	
21	00:00:19	Eトマト	おいしい煮玉子！	
22	00:00:26	ふーばー	おいしい煮玉子	
23	00:00:28	らうらう	おいしい煮玉子	
24	00:00:29	あい	おいしい煮玉子	
25	00:00:31	岸辺一徳	おいしい煮玉子	
26	00:00:31	Eトマト	寝ては居なかった	
27	00:00:32	こみこ	煮玉子ファング	
28	00:00:34	なんたら	おいしい煮玉子	
29	00:00:38	究極ド根性ダイコン	おいしい煮玉子	
30	00:00:45	助六	おいしい煮玉子	
31	00:00:52	aarar scsrt	おいしい煮玉子	
32	00:00:53	たんこぶ	こんにちはー	
33	00:01:00	ジョナサン・グレーン	おいしい煮玉子	
34	00:01:09	mori mori	はじまたまご	
35	00:01:14	味付けタマゴ	おいしい煮玉子	
36	00:01:16	むらさきあんこ	おいしい煮玉子	
37	00:01:19	タケノコ男	かわいい	
38	00:01:24	Fuzuki K	おいしい煮玉子	
39	00:01:25	らうらう	かわいい！	
40	00:01:27	T.のかね	かわいい	
41	00:01:28	岸辺一徳	かわいい	
42	00:01:28	みてるぞ	おいしい煮玉子・ファング	
43	00:01:29	あい	かわいい	
44	00:01:30	こみこ	AA化不可避	
45	00:01:31	ジョナサン・グレーン	かわいい	
46	00:01:37	キタカシ	ほんもののシグムントさまだー！	
47	00:01:37	Eトマト	ｻﾝﾚﾝﾀﾞｧ!	
48	00:01:38	eve 8848	かわいい	
49	00:01:38	タケノコ男	おいしい煮玉子ファング	
50	00:01:40	なんたら	目好き	
51	00:01:46	みつはちみつ	おいしい煮玉子	
52	00:01:58	匿名希望	姉ちゃんの姉ちゃん	
53	00:01:59	Fuzuki K	大姉ちゃんが衣服を纏ってるってだけでなんかおもしろい	
54	00:02:19	キタカシ	イグナントファングは今日見られそうですか？	
55	00:02:27	Eトマト	主人公が可哀想シリーズ	
56	00:02:35	こみこ	カペルくんの運命やいかに	
57	00:02:38	Fuzuki K	我！？	
58	00:02:42	T.のかね	かわいい	
59	00:02:46	近藤大輔	一人称ワレなの？	
60	00:02:47	Eトマト	実質クゥ＆ルゥチャンネル	
61	00:02:50	ふーばー	とうとつなBBA属性！	
62	00:02:55	みつはちみつ	なんやワレェ！	
63	00:03:04	ジョナサン・グレーン	カペルくんがひたすらかわいそうだった前回	
64	00:03:27	らうらう	ゾーパー家我流行ってるのか	
65	00:03:31	こみこ	広大なマップ！個性豊かな登場人物たち！	
66	00:03:34	なんたら	人違いなんですけど…	
67	00:03:34	Eトマト	カペルくんは救われるのだろうか	
68	00:03:43	近藤大輔	ニートの大冒険	
69	00:00:00	キタカシ	あ、あれ？30分後に始まりますって通知が44分前にきて……あれ？？	
70	00:00:00	キタカシ	待機	
71	00:00:00	なんたら	明日のクゥ姉は12時開始だからそれと間違えたんじゃないか	
72	00:00:00	10あああ	おいしい煮玉子	
73	00:00:00	キューだえもん	バーチャル時間はリアル時間と違うから…	
74	00:00:00	岸辺一徳	うっかり姉ちゃんかわいい	
75	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
76	00:00:00	らうらう	おいしい煮玉子	
77	00:00:00	こみこ	おいしい煮玉子	
78	00:00:00	岸辺一徳	おいしい煮玉子	
79	00:00:00	なんたら	おいしい煮玉子	
80	00:00:00	じょーげん	おいしい煮玉子	
81	00:00:00	Eトマト	おいしい煮玉子	
82	00:00:00	eve 8848	おいしい煮玉子	
83	00:00:00	らうらう	遅刻では？	
84	00:00:00	Eトマト	寝ちゃった？	
85	00:00:00	T.のかね	おいしい煮玉子	
86	00:00:00	キタカシ	美味しい煮卵	
87	00:00:00	なんたら	寝るのは楽しいからな…	
88	00:00:15	タケノコ男	おいしい煮玉子	
89	00:00:18	じょーげん	おいしい煮玉子	
90	00:00:19	Eトマト	おいしい煮玉子！	
91	00:00:26	ふーばー	おいしい煮玉子	
92	00:00:28	らうらう	おいしい煮玉子	
93	00:00:29	あい	おいしい煮玉子	
94	00:00:31	岸辺一徳	おいしい煮玉子	
95	00:00:31	Eトマト	寝ては居なかった	
96	00:00:32	こみこ	煮玉子ファング	
97	00:00:34	なんたら	おいしい煮玉子	
98	00:00:38	究極ド根性ダイコン	おいしい煮玉子	
99	00:00:45	助六	おいしい煮玉子	
100	00:00:52	aarar scsrt	おいしい煮玉子	
101	00:00:53	たんこぶ	こんにちはー	
102	00:01:00	ジョナサン・グレーン	おいしい煮玉子	
103	00:01:09	mori mori	はじまたまご	
104	00:01:14	味付けタマゴ	おいしい煮玉子	
105	00:01:16	むらさきあんこ	おいしい煮玉子	
106	00:01:19	タケノコ男	かわいい	
107	00:01:24	Fuzuki K	おいしい煮玉子	
108	00:01:25	らうらう	かわいい！	
109	00:01:27	T.のかね	かわいい	
110	00:01:28	岸辺一徳	かわいい	
111	00:01:28	みてるぞ	おいしい煮玉子・ファング	
112	00:01:29	あい	かわいい	
113	00:01:30	こみこ	AA化不可避	
114	00:01:31	ジョナサン・グレーン	かわいい	
115	00:01:37	キタカシ	ほんもののシグムントさまだー！	
116	00:01:37	Eトマト	ｻﾝﾚﾝﾀﾞｧ!	
117	00:01:38	eve 8848	かわいい	
118	00:01:38	タケノコ男	おいしい煮玉子ファング	
119	00:01:40	なんたら	目好き	
120	00:01:46	みつはちみつ	おいしい煮玉子	
121	00:01:58	匿名希望	姉ちゃんの姉ちゃん	
122	00:01:59	Fuzuki K	大姉ちゃんが衣服を纏ってるってだけでなんかおもしろい	
123	00:02:19	キタカシ	イグナントファングは今日見られそうですか？	
124	00:02:27	Eトマト	主人公が可哀想シリーズ	
125	00:02:35	こみこ	カペルくんの運命やいかに	
126	00:02:38	Fuzuki K	我！？	
127	00:02:42	T.のかね	かわいい	
128	00:02:46	近藤大輔	一人称ワレなの？	
129	00:02:47	Eトマト	実質クゥ＆ルゥチャンネル	
130	00:02:50	ふーばー	とうとつなBBA属性！	
131	00:02:55	みつはちみつ	なんやワレェ！	
132	00:03:04	ジョナサン・グレーン	カペルくんがひたすらかわいそうだった前回	
133	00:03:27	らうらう	ゾーパー家我流行ってるのか	
134	00:03:31	こみこ	広大なマップ！個性豊かな登場人物たち！	
135	00:03:34	なんたら	人違いなんですけど…	
136	00:03:34	Eトマト	カペルくんは救われるのだろうか	
137	00:03:43	近藤大輔	ニートの大冒険	
138	00:03:50	みてるぞ	前回まではテイルズやスタオーのストーリーのアレなところを凝縮したような話だったが今回はいかに	
139	00:03:51	Eトマト	親のスネかじってないから…	
140	00:03:54	みつはちみつ	かわいそう	
141	00:03:54	Fuzuki K	かわいそすぎるでしょ	
142	00:04:00	岸辺一徳	ひどい	
143	00:04:02	タケノコ男	カペルくんかわいそう	
144	00:04:06	T.のかね	かわいそう	
145	00:04:10	ふーばー	だいたい合ってるのが本当にひどい	
146	00:04:15	eve 8848	カペルくん...	
147	00:04:20	究極ド根性ダイコン	被害者のカペルくん	
148	00:04:23	Eトマト	カペルくんは救われるだろうか	
149	00:04:28	あい	ひどい	
150	00:04:29	近藤大輔	草	
151	00:04:30	キタカシ	シグムントのセフレのくだりが省略されてる？	
152	00:04:30	やみくも	かなしい	
153	00:04:31	岸辺一徳	つらい	
154	00:04:32	タケノコ男	畜生	
155	00:04:32	T.のかね	ほんま	
156	00:04:33	こみこ	草	
157	00:04:38	らうらう	カペルくん覚醒きたらどうせ全員手のひら返しする	
158	00:04:49	こみこ	何でもしてくれる女	
159	00:05:06	Eトマト	カペルとか言う初めて来た場所で道分からないのにパシられる奴	
160	00:05:08	究極ド根性ダイコン	暴論系ヒロイン	
161	00:05:09	むらさきあんこ	子供しか味方がいない…	
162	00:05:14	T.のかね	草	
163	00:05:14	みてるぞ	ツンデレと理不尽は違うと何度言えば	
164	00:05:33	近藤大輔	サムネの獣はまだ出ない？	
165	00:05:41	Shota Hamada	おいしぃ煮玉子	
