行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	内海柚	今姉ちゃんおけしょうしてるから・・・	
1	00:00:00	さんぽーる	誤差だよ誤差！	
2	00:00:00	近藤亮	やっぱり誤差だった	
3	00:00:00	周恩来	なんだ誤差か	
4	00:00:00	東原	遅れてくる方への配慮ですねこれは 優しいお姉ちゃん	
5	00:00:00	ナウ	誤差かもしれない	
6	00:00:00	岸辺一徳	21時だろうがこの四捨五入にかかれば造作もない	
7	00:00:00	ブロア	誤差は１０～２０分以内に納めれば許容範囲とする	
8	00:00:00	きなこあんこ	姉ちゃんが優しくて弟の俺も鼻が高いよ…	
9	00:00:00	ニーツちゃんねる	クゥちゃんさんは首を骨折してしまったらしいので、今緊急手術中、です	
10	00:00:00	らうらう	ええ・・・	
11	00:00:00	you you	重症すぎる	
12	00:00:00	ブロア	やばいじゃん！	
13	00:00:00	りあすて	日本標準時の水全部抜く	
14	00:00:00	タケノコ男	！？	
15	00:00:00	さんぽーる	いつものこと	
16	00:00:00	東京コノハムシ	安静にしてほしい	
17	00:00:00	こみこ	！？	
18	00:00:00	T.のかね	骨折！！？？？	
19	00:00:00	竹輪	えぇ……	
20	00:00:00	岸辺一徳	しなないで	
21	00:00:00	近藤亮	！？	
22	00:00:00	カギアカギ	病院だよぉ！	
23	00:00:00	東原	えぇ…	
24	00:00:00	佐藤太郎	マジかよ……	
25	00:00:00	ダンのすけ	重すぎぃ	
26	00:00:00	内海柚	強く生きて	
27	00:00:00	りあすて	危篤じゃん・・・	
28	00:00:00	鳶一マキナ	死ぬでしょ	
29	00:00:00	柔らな床	ご冥福を祈ります……	
30	00:00:00	周恩来	しなないで	
31	00:00:00	ナウ	死なないで	
32	00:00:00	こみこ	ヨガのしすぎで…	
33	00:00:00	近藤亮	お化粧のやりすぎか…	
34	00:00:00	きなこあんこ	しぬなーっねぇちゃん！	
35	00:00:00	えび	死なないで	
36	00:00:00	タケノコ男	しなないで	
37	00:00:00	ジャック・オー	致命傷なんだよなぁ	
38	00:00:00	あい	ヨガを極めた姉ちゃんが骨折なんて…	
39	00:00:00	さんぽーる	複雑骨折はJCの嗜み	
40	00:00:00	かんてら	しなないで	
41	00:00:00	スモーク	ああいつも傾いてゲームしてるから…	
42	00:00:00	りあすて	身体柔らかいから大丈夫だと信じたい	
43	00:00:00	T.のかね	バーチャルだから…	
44	00:00:00	Shota Hamada	致命傷やんけ	
45	00:00:00	究極ド根性ダイコン	しなないで	
46	00:00:00	東京コノハムシ	バーチャル骨折は軽症だと信じたい	
47	00:00:00	天然ステルス	マジか…	
48	00:00:00	ヘンリーダーガー	首骨折くらいでめげる姉ちゃんじゃない	
49	00:00:00	速水アクセル	こんばんわ	
50	00:00:08	岸辺一徳	こんはんわ！	
51	00:00:10	こみこ	おいしいたけのこ	
52	00:00:10	ブロア	かわいい	
53	00:00:11	周恩来	おいしいたけのこ	
54	00:00:12	mori mori	やったー	
55	00:00:12	カギアカギ	こんばんわ！	
56	00:00:13	ブロア	おいしいたけのこ	
57	00:00:13	りあすて	こんばんは	
58	00:00:14	はまちハウマッチ	おはこんばんにちは煮玉子	
59	00:00:14	究極ド根性ダイコン	こんばんわ	
60	00:00:14	さんぽーる	おいしいきのこ	
61	00:00:15	バリ島のサボテン	おいしいたけのこ	
62	00:00:15	袖口	おいしい煮玉子	
63	00:00:16	なんたら	全治！	
64	00:00:16	かたもく	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
65	00:00:17	速水アクセル	映りました！	
66	00:00:17	ナウ	生きてた！高評価！	
67	00:00:18	一般女児	おいしいたけのこ	
68	00:00:19	タケノコ男	こんばんは	
69	00:00:19	きなこあんこ	姉ちゃん生きとったかワレ！	
70	00:00:19	えび	おいたけ～	
71	00:00:20	らうらう	おいしい煮玉子	
72	00:00:20	ヘンリーダーガー	おいしい煮玉子	
73	00:00:22	T.のかね	おいたけ～	
74	00:00:23	内海柚	おいしいたけのこ	
75	00:00:23	てんめい	おいしいたけのこ	
76	00:00:24	あかきき	おはこんばんちは	
77	00:00:24	柔らな床	かわいい	
78	00:00:24	近藤亮	おいしいたけのこ	
79	00:00:25	いぶきんぐ	おいしいたけのこ	
80	00:00:25	お塩紅茶	こんばんは	
81	00:00:25	あい	おいしいたけのこ	
82	00:00:26	なんたら	ループって無い？	
83	00:00:26	ナウ	おいしいたけのこ	
84	00:00:26	天然ステルス	こんばんは	
85	00:00:27	Sea Sting	おいしいたけのこ	
86	00:00:27	Redmix	おいしい煮玉子	
87	00:00:27	さらしな	おいしいたけのこ	
88	00:00:27	Ryo Kamiya	おいしいたけのこ	
89	00:00:27	東京コノハムシ	おいしいたけのこ	
90	00:00:28	ブロア	リバーブしてる？	
91	00:00:28	かたもく	おいしい煮タケノコ	
92	00:00:29	kei suzune	おいしい煮玉子	
93	00:00:29	始祖くらげ	こんばんは〜	
94	00:00:29	ジャック・オー	おはこんばん煮玉子	
95	00:00:29	かんてら	姉ちゃん！	
96	00:00:30	岸辺一徳	おいしいたけのこ	
97	00:00:32	速水アクセル	おはこんばんちわー	
98	00:00:32	ボマーズ大佐	おいしいたけのこ	
99	00:00:34	お覇王ランド	おいしいたけのこ	
100	00:00:00	内海柚	今姉ちゃんおけしょうしてるから・・・	
101	00:00:00	さんぽーる	誤差だよ誤差！	
102	00:00:00	近藤亮	やっぱり誤差だった	
103	00:00:00	周恩来	なんだ誤差か	
104	00:00:00	東原	遅れてくる方への配慮ですねこれは 優しいお姉ちゃん	
105	00:00:00	ナウ	誤差かもしれない	
106	00:00:00	岸辺一徳	21時だろうがこの四捨五入にかかれば造作もない	
107	00:00:00	ブロア	誤差は１０～２０分以内に納めれば許容範囲とする	
108	00:00:00	きなこあんこ	姉ちゃんが優しくて弟の俺も鼻が高いよ…	
109	00:00:00	ニーツちゃんねる	クゥちゃんさんは首を骨折してしまったらしいので、今緊急手術中、です	
110	00:00:00	らうらう	ええ・・・	
111	00:00:00	you you	重症すぎる	
112	00:00:00	ブロア	やばいじゃん！	
113	00:00:00	りあすて	日本標準時の水全部抜く	
114	00:00:00	タケノコ男	！？	
115	00:00:00	さんぽーる	いつものこと	
116	00:00:00	東京コノハムシ	安静にしてほしい	
117	00:00:00	こみこ	！？	
118	00:00:00	T.のかね	骨折！！？？？	
119	00:00:00	竹輪	えぇ……	
120	00:00:00	岸辺一徳	しなないで	
121	00:00:00	近藤亮	！？	
122	00:00:00	カギアカギ	病院だよぉ！	
123	00:00:00	東原	えぇ…	
124	00:00:00	佐藤太郎	マジかよ……	
125	00:00:00	ダンのすけ	重すぎぃ	
126	00:00:00	内海柚	強く生きて	
127	00:00:00	りあすて	危篤じゃん・・・	
128	00:00:00	鳶一マキナ	死ぬでしょ	
129	00:00:00	柔らな床	ご冥福を祈ります……	
130	00:00:00	周恩来	しなないで	
131	00:00:00	ナウ	死なないで	
132	00:00:00	こみこ	ヨガのしすぎで…	
133	00:00:00	近藤亮	お化粧のやりすぎか…	
134	00:00:00	きなこあんこ	しぬなーっねぇちゃん！	
135	00:00:00	えび	死なないで	
136	00:00:00	タケノコ男	しなないで	
137	00:00:00	ジャック・オー	致命傷なんだよなぁ	
138	00:00:00	あい	ヨガを極めた姉ちゃんが骨折なんて…	
139	00:00:00	さんぽーる	複雑骨折はJCの嗜み	
140	00:00:00	かんてら	しなないで	
141	00:00:00	スモーク	ああいつも傾いてゲームしてるから…	
142	00:00:00	りあすて	身体柔らかいから大丈夫だと信じたい	
143	00:00:00	T.のかね	バーチャルだから…	
144	00:00:00	Shota Hamada	致命傷やんけ	
145	00:00:00	究極ド根性ダイコン	しなないで	
146	00:00:00	東京コノハムシ	バーチャル骨折は軽症だと信じたい	
147	00:00:00	天然ステルス	マジか…	
148	00:00:00	ヘンリーダーガー	首骨折くらいでめげる姉ちゃんじゃない	
149	00:00:00	速水アクセル	こんばんわ	
150	00:00:08	岸辺一徳	こんはんわ！	
151	00:00:10	こみこ	おいしいたけのこ	
152	00:00:10	ブロア	かわいい	
153	00:00:11	周恩来	おいしいたけのこ	
154	00:00:12	mori mori	やったー	
155	00:00:12	カギアカギ	こんばんわ！	
156	00:00:13	ブロア	おいしいたけのこ	
157	00:00:13	りあすて	こんばんは	
158	00:00:14	はまちハウマッチ	おはこんばんにちは煮玉子	
159	00:00:14	究極ド根性ダイコン	こんばんわ	
160	00:00:14	さんぽーる	おいしいきのこ	
161	00:00:15	バリ島のサボテン	おいしいたけのこ	
162	00:00:15	袖口	おいしい煮玉子	
163	00:00:16	なんたら	全治！	
164	00:00:16	かたもく	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
165	00:00:17	速水アクセル	映りました！	
166	00:00:17	ナウ	生きてた！高評価！	
167	00:00:18	一般女児	おいしいたけのこ	
168	00:00:19	タケノコ男	こんばんは	
169	00:00:19	きなこあんこ	姉ちゃん生きとったかワレ！	
170	00:00:19	えび	おいたけ～	
171	00:00:20	らうらう	おいしい煮玉子	
172	00:00:20	ヘンリーダーガー	おいしい煮玉子	
173	00:00:22	T.のかね	おいたけ～	
174	00:00:23	内海柚	おいしいたけのこ	
175	00:00:23	てんめい	おいしいたけのこ	
176	00:00:24	あかきき	おはこんばんちは	
177	00:00:24	柔らな床	かわいい	
