行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
1	00:00:00	mori mori	げつようび	
2	00:00:00	ドソドソ	おいしい煮玉子	
3	00:00:00	らうらう	​おいしい煮玉子	
4	00:00:00	くものいと	おいしい煮玉子	
5	00:00:00	味付けタマゴ	おいしい煮玉子	
6	00:00:00	なんたら	おいしい煮玉子	
7	00:00:00	EEB	一日中姉ちゃんといられるとか今日は最高だな！	
8	00:00:00	はるにれ	おいしい煮玉子	
9	00:00:00	フレイムリンクス	おいしい煮玉子	
10	00:00:00	ハイナマ	おいしい煮玉子	
11	00:00:00	さえのき	ぐんまけん	
12	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
13	00:00:00	monyamon	おいしい煮玉子	
14	00:00:00	ネズミ2/2/6	おいしい煮玉子	
15	00:00:00	ゆむし	おいしい煮玉子	
16	00:00:00	_ Die	おいしい煮玉子	
17	00:00:00	なんたら	姉の日はないからな…	
18	00:00:00	究極ド根性ダイコン	つまり姉ちゃんは実質母ちゃん？	
19	00:00:00	バーチャルYouTuberガニメデちゃんねる	姉ちゃんでもありママでもある…だと……？	
20	00:00:00	ふじ	ママ…ママどこ…(精神崩壊)	
21	00:00:00	らうらう	姉の日は12/6だぞ	
22	00:00:00	やよん	おいしい煮玉子	
23	00:00:00	ジョナサン・グレーン	ママンの日終わっちゃった…	
24	00:00:00	aizax 777	一週目が悔やまれるな、でもまあ起こったことはしょうがないか	
25	00:00:00	ブロア	おいしい煮玉子	
26	00:00:00	こみこ	お姉ちゃんママぁ	
27	00:00:00	らうらう	姉ちゃんにママ要素ある？	
28	00:00:00	くものいと	弟が拗らせてる…	
29	00:00:00	近藤亮	消えなかったらおうじゃのつるぎガチャで結局同じくらいかかってそう	
30	00:00:00	ふじ	あったとしてもママっていうかカーチャン？	
31	00:00:00	こみこ	ゲームが下手＝ママ	
32	00:00:00	究極ド根性ダイコン	料理が上手だぞ	
33	00:00:00	北南	配信ガチャ？	
34	00:00:00	mori mori	お帰り姉ちゃん（フライング）	
35	00:00:00	Ganon	あれ？枠が	
36	00:00:13	バーチャルYouTuberガニメデちゃんねる	料理が上手でゲームが下手 つまり……ママ……	
37	00:00:14	シルシルシルフィン	おかえり	
38	00:00:14	tage	おかえり	
39	00:00:15	エクセルシオール	おかえりなさい	
40	00:00:15	りあすて	おかえり	
41	00:00:15	せせらぎ	おかえり	
42	00:00:17	jastin nore	おかえりー	
43	00:00:19	ジョナサン・グレーン	おいしい煮玉子	
44	00:00:19	究極ド根性ダイコン	おかえり	
45	00:00:19	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
46	00:00:20	船見結衣	おかえりー！	
47	00:00:20	ナウ	おいしい煮玉子	
48	00:00:20	うぇいのる	お帰り	
49	00:00:21	フレイムリンクス	おかえり	
50	00:00:21	ブロア	おか玉子	
51	00:00:21	ミワタリ	おかえり	
52	00:00:22	むらさきあんこ	おいしいラスト枠	
53	00:00:22	habanero	おいしい煮玉子	
54	00:00:23	もふ	おいしい煮玉子	
55	00:00:23	なんたら	おいしい煮玉子	
56	00:00:24	Ganon	おかえり	
57	00:00:25	あい	おかえり	
58	00:00:25	monyamon	おかえり煮玉子	
59	00:00:25	死骸	おかえり	
60	00:00:26	ちきん南蛮	oisii	
61	00:00:26	周恩来	おいしい煮玉子～(多分ラスト)	
62	00:00:27	ハイナマ	おかえり	
63	00:00:27	tamachan0312	おいしい煮玉子～	
64	00:00:27	こみこ	おいしい煮玉子(ファイナル)	
65	00:00:28	ふじ	おかえり姉ちゃん	
