行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	morito	キャラメイクなう	
1	00:00:00	はるにれ	新発売の煮玉子	
2	00:00:00	うぇいのる	事前DLしてなかったな…	
3	00:00:00	ジャック・オー	やったぜ	
4	00:00:00	うたなん	ダウンロードに時間かかるのかな？	
5	00:00:00	son olso	楽しみすぎるぜ！	
6	00:00:00	モノちゃんねる	予約ですでにインストールまでできるんですよ	
7	00:00:00	ジュンペイ	姉ちゃん事前DLとかしてない？	
8	00:00:00	めるカバ	DL実況	
9	00:00:00	mk 95	姉ちゃんプリロードはしてるよね…？	
10	00:00:00	双葉ゆうま	この先確かに存在する煮玉子	
11	00:00:00	biggs	こんばんは	
12	00:00:00	Strayed	デフォ設定が事前DLじゃなかったっけ	
13	00:00:00	mori mori	ああ今日なんか	
14	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたまー	
15	00:00:00	mk 95	おにたまー	
16	00:00:00	サイレントフォレスト	こんばんはー	
17	00:00:00	せせらぎ	おたまごー	
18	00:00:00	八木谷	おいしい煮玉子	
19	00:00:00	究極ド根性ダイコン	姉ちゃん事前ロードやってるのかな	
20	00:00:00	ジュンペイ	おいたま派はばかだな…	
21	00:00:00	kuto	姉ちゃん特有のガバガバ事前準備	
22	00:00:00	Strayed	予約なしだと今からDLか	
23	00:00:00	周恩来	おいしい煮玉子	
24	00:00:00	ミワタリ	ダークソウル難しそう	
25	00:00:00	Garden	おにたまー	
26	00:00:00	son olso	事前DLしてないならちょい時間かかる感じかな？	
27	00:00:00	和音	おいしい煮玉子～	
28	00:00:00	らうらう	ダウンロード実況する？？？	
29	00:00:00	nou min	おいしい煮玉子	
30	00:00:00	めるカバ	あじ玉子？	
31	00:00:00	砂上きみず	おいしい煮玉子～	
32	00:00:00	ノンフロン	姉ちゃんに文明の利器が使えると思うのか	
33	00:00:00	究極ド根性ダイコン	ダウンロードしてる間姉ちゃんの巧みな話術で場を沸かせてほしい	
34	00:00:00	ミワタリ	おいしい煮玉子実況	
35	00:00:00	えび	おいしい煮玉子	
36	00:00:00	うるし	おいしい煮玉子	
37	00:00:00	むらさきあんこ	おいしい煮玉子	
38	00:00:00	うぇいのる	白弟の手助け凄そう	
39	00:00:00	coronbo	おいしい煮玉子	
40	00:00:00	ジュンペイ	おいしい煮玉子〜（挨拶）	
41	00:00:00	センギ	おいしい煮玉子	
42	00:00:00	D W	赤弟は？	
43	00:00:00	ぱうぜ	初見です	
44	00:00:00	いぶきんぐ	おいしい煮玉子	
45	00:00:00	Nas marl	おいしい煮玉子	
46	00:00:00	Strayed	ダクソ１もう全然覚えてないなー	
47	00:00:00	らうらう		￥100
48	00:00:00	ネズミ2/2/6		￥100
49	00:00:00	桜日ハル		￥120
50	00:00:00	めるカバ		￥120
51	00:00:00	ひむろ		￥108
52	00:00:00	Fuzuki K		￥100
53	00:00:00	enolcllams		￥112
54	00:00:00	R gon		￥100
55	00:00:00	青眼の白龍		￥3,000
56	00:00:00	らうらう		￥100
57	00:00:00	らうらう		￥100
58	00:00:00	Garden		￥100
59	00:00:00	ネズミ2/2/6		￥100
60	00:00:08	ジュンペイ	俺も初見煮玉子です	
61	00:00:10	monyamon	おいしい煮玉子	
62	00:00:15	Strayed	はじまった！	
63	00:00:15	究極ド根性ダイコン	始まった！	
64	00:00:15	ジョナサン・グレーン	おにたま〜	
65	00:00:16	うたなん	お！	
66	00:00:16	aru ku	最初のところで詰まりそう・・・	
67	00:00:17	らうらう	おいしい煮玉子	
68	00:00:17	たびびと	おいしい煮玉子	
69	00:00:19	むらさきあんこ	はじまった	
70	00:00:19	よーがの	おいしい煮玉子	
71	00:00:20	Fuzuki K	おいたま	
72	00:00:21	lunes	おいしい煮玉子	
73	00:00:21	son olso	！！	
74	00:00:21	双葉ゆうま	おいたま～	
75	00:00:21	行方不明	きた！	
76	00:00:22	食べる小魚	おいしい煮卵	
77	00:00:23	もっけいChannel	メガネかわいい	
78	00:00:24	ポンコツジョン	おいしい煮玉子	
79	00:00:24	ミワタリ	はじまった	
80	00:00:24	ブロア	おいしい煮玉子！	
81	00:00:24	のなちき	おいたまー	
82	00:00:24	めるカバ	また	
83	00:00:25	えび	おいたま～	
84	00:00:26	うぇいのる	おお	
85	00:00:26	周恩来		￥100
86	00:00:27	つくね	こんばんは	
87	00:00:27	habanero	おいしい煮玉子	
88	00:00:27	ジャック・オー	おいしい煮玉子	
89	00:00:28	son olso	きたぞ！！	
90	00:00:28	ZW犬死無能盾-肉無鶏	おいしい煮卵	
91	00:00:30	うるし	姉ちゃんがんばれ～～～～～～	
92	00:00:30	あい	おにたまー	
93	00:00:30	tage	おいたま～	
94	00:00:30	馬の骨に念仏	おいしい煮玉子	
95	00:00:31	灘こよみ	おいしい煮玉子	
96	00:00:31	らうらう	おいたま	
97	00:00:00	morito	キャラメイクなう	
98	00:00:00	はるにれ	新発売の煮玉子	
99	00:00:00	うぇいのる	事前DLしてなかったな…	
100	00:00:00	ジャック・オー	やったぜ	
101	00:00:00	うたなん	ダウンロードに時間かかるのかな？	
102	00:00:00	son olso	楽しみすぎるぜ！	
103	00:00:00	モノちゃんねる	予約ですでにインストールまでできるんですよ	
104	00:00:00	ジュンペイ	姉ちゃん事前DLとかしてない？	
105	00:00:00	めるカバ	DL実況	
106	00:00:00	mk 95	姉ちゃんプリロードはしてるよね…？	
107	00:00:00	双葉ゆうま	この先確かに存在する煮玉子	
108	00:00:00	biggs	こんばんは	
109	00:00:00	Strayed	デフォ設定が事前DLじゃなかったっけ	
110	00:00:00	mori mori	ああ今日なんか	
111	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたまー	
112	00:00:00	mk 95	おにたまー	
113	00:00:00	サイレントフォレスト	こんばんはー	
114	00:00:00	せせらぎ	おたまごー	
115	00:00:00	八木谷	おいしい煮玉子	
116	00:00:00	究極ド根性ダイコン	姉ちゃん事前ロードやってるのかな	
117	00:00:00	ジュンペイ	おいたま派はばかだな…	
118	00:00:00	kuto	姉ちゃん特有のガバガバ事前準備	
119	00:00:00	Strayed	予約なしだと今からDLか	
120	00:00:00	周恩来	おいしい煮玉子	
121	00:00:00	ミワタリ	ダークソウル難しそう	
122	00:00:00	Garden	おにたまー	
123	00:00:00	son olso	事前DLしてないならちょい時間かかる感じかな？	
124	00:00:00	和音	おいしい煮玉子～	
125	00:00:00	らうらう	ダウンロード実況する？？？	
126	00:00:00	nou min	おいしい煮玉子	
127	00:00:00	めるカバ	あじ玉子？	
128	00:00:00	砂上きみず	おいしい煮玉子～	
129	00:00:00	ノンフロン	姉ちゃんに文明の利器が使えると思うのか	
130	00:00:00	究極ド根性ダイコン	ダウンロードしてる間姉ちゃんの巧みな話術で場を沸かせてほしい	
131	00:00:00	ミワタリ	おいしい煮玉子実況	
132	00:00:00	えび	おいしい煮玉子	
133	00:00:00	うるし	おいしい煮玉子	
134	00:00:00	むらさきあんこ	おいしい煮玉子	
135	00:00:00	うぇいのる	白弟の手助け凄そう	
136	00:00:00	coronbo	おいしい煮玉子	
137	00:00:00	ジュンペイ	おいしい煮玉子〜（挨拶）	
138	00:00:00	センギ	おいしい煮玉子	
139	00:00:00	D W	赤弟は？	
140	00:00:00	ぱうぜ	初見です	
141	00:00:00	いぶきんぐ	おいしい煮玉子	
142	00:00:00	Nas marl	おいしい煮玉子	
143	00:00:00	Strayed	ダクソ１もう全然覚えてないなー	
144	00:00:00	らうらう		￥100
145	00:00:00	ネズミ2/2/6		￥100
146	00:00:00	桜日ハル		￥120
147	00:00:00	めるカバ		￥120
148	00:00:00	ひむろ		￥108
149	00:00:00	Fuzuki K		￥100
150	00:00:00	enolcllams		￥112
151	00:00:00	R gon		￥100
152	00:00:00	青眼の白龍		￥3,000
153	00:00:00	らうらう		￥100
154	00:00:00	らうらう		￥100
155	00:00:00	Garden		￥100
156	00:00:00	ネズミ2/2/6		￥100
