行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	motiyomogi	おつかれさま	
1	00:00:13	えび	おいしい煮玉子	
2	00:00:15	竹輪	おいしい煮玉子	
3	00:00:15	JUNY	おいしい煮玉子	
4	00:00:16	じょーげん	おいしい煮玉子	
5	00:00:23	うぇいのる	おいしい煮玉子	
6	00:00:29	スモーク	おいしい煮玉子	
7	00:00:30	キタカシ	おいしい煮玉子	
8	00:00:31	20分ねずみ	おいしいにたまご	
9	00:00:33	八木谷	おいしい煮玉子	
10	00:00:35	天然ステルス	おいしい煮玉子	
11	00:00:36	ナウ	おいしい煮玉子	
12	00:00:38	スモーク	出かわいい	
13	00:00:38	まりも	おいしい煮玉子	
14	00:00:38	くら	おいしい煮玉子	
15	00:00:40	タケノコ男	おいしい煮玉子	
16	00:00:41	ポルポル	おいしい煮玉子	
17	00:00:45	かたもく	おいしいヤドン	
18	00:00:49	motiyomogi	おいしい煮玉子	
19	00:00:50	biki koto	おいしい煮玉子	
20	00:00:51	うぇいのる	ピカ様かわいい…	
21	00:00:52	岸辺一徳	おいしい煮玉子	
22	00:00:57	究極ド根性ダイコン	おいしい煮玉子	
23	00:00:57	らうらう	おいたま	
24	00:00:57	ゴギガガガギゴ	おいしい煮玉子	
25	00:00:58	_ Die	おいしい煮玉子	
26	00:00:58	八木谷	かわいい	
27	00:01:00	さんぽーる	おいしい煮玉子	
28	00:01:02	ああ	おいしい煮玉子	
29	00:01:05	竹輪	かわいい	
30	00:01:05	えび	かわいい	
31	00:01:11	きたろー	おいしい煮玉子	
32	00:01:14	FFDD	かうぃあい	
33	00:01:14	ジュンペイ	おいしい煮玉子	
34	00:01:16	タケノコ男	かわいい	
35	00:01:29	Eトマト	おいしい煮卵	
36	00:01:46	eve 8848	おいしい煮玉子	
37	00:01:46	JUNY	よかった	
38	00:01:47	究極ド根性ダイコン	おいしかった煮玉子	
39	00:01:51	うぇいのる	おいしい煮玉子！	
40	00:01:52	らうらう	いっぱいたべた	
41	00:01:55	竹輪	おいしそう	
42	00:02:02	Eトマト	おいしい２玉子	
43	00:02:06	竹輪	不器用でかわいい	
44	00:02:08	らうらう	失敗したのはどうなったの	
45	00:02:09	ジュンペイ	失敗…？	
46	00:02:09	eve 8848	半分も	
47	00:02:10	スモーク	えぇ…	
48	00:02:11	_ Die	おいしかった煮玉子	
49	00:02:13	K. u	おいしい煮玉子	
50	00:00:00	motiyomogi	おつかれさま	
51	00:00:13	えび	おいしい煮玉子	
52	00:00:15	竹輪	おいしい煮玉子	
53	00:00:15	JUNY	おいしい煮玉子	
54	00:00:16	じょーげん	おいしい煮玉子	
55	00:00:23	うぇいのる	おいしい煮玉子	
56	00:00:29	スモーク	おいしい煮玉子	
57	00:00:30	キタカシ	おいしい煮玉子	
58	00:00:31	20分ねずみ	おいしいにたまご	
59	00:00:33	八木谷	おいしい煮玉子	
60	00:00:35	天然ステルス	おいしい煮玉子	
61	00:00:36	ナウ	おいしい煮玉子	
62	00:00:38	スモーク	出かわいい	
63	00:00:38	まりも	おいしい煮玉子	
64	00:00:38	くら	おいしい煮玉子	
65	00:00:40	タケノコ男	おいしい煮玉子	
66	00:00:41	ポルポル	おいしい煮玉子	
67	00:00:45	かたもく	おいしいヤドン	
68	00:00:49	motiyomogi	おいしい煮玉子	
69	00:00:50	biki koto	おいしい煮玉子	
70	00:00:51	うぇいのる	ピカ様かわいい…	
71	00:00:52	岸辺一徳	おいしい煮玉子	
72	00:00:57	究極ド根性ダイコン	おいしい煮玉子	
73	00:00:57	らうらう	おいたま	
74	00:00:57	ゴギガガガギゴ	おいしい煮玉子	
75	00:00:58	_ Die	おいしい煮玉子	
76	00:00:58	八木谷	かわいい	
77	00:01:00	さんぽーる	おいしい煮玉子	
78	00:01:02	ああ	おいしい煮玉子	
