行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	りあすて	​꧁🥚꧂	
1	00:00:00	T.のかね	大佐ァ！	
2	00:00:00	東京コノハムシ	投げ銭の大佐ァ！	
3	00:00:00	めるカバ	ァ！	
4	00:00:00	ポルポル	大佐ァ！	
5	00:00:00	D W	！	
6	00:00:00	ZW犬死無能盾-肉無鶏	大佐ァ！	
7	00:00:00	周恩来	！	
8	00:00:00	ミワタリ	大佐ァ！	
9	00:00:00	りあすて	ァ！	
10	00:00:00	なんたら	.	
11	00:00:00	秋箱	!	
12	00:00:00	むらさきあんこ	投げ銭ですでにニューロン代くらい投げてそうな大佐だ	
13	00:00:00	タケノコ男	ァ！	
14	00:00:00	近藤大輔	｜	
15	00:00:00	周恩来	ニュー(ロン)タイプ	
16	00:00:00	こみこ	遅刻勢に優しい姉ちゃん	
17	00:00:00	竹輪	ただの縦棒とかもう原型とどめてなくて草	
18	00:00:00	東京コノハムシ	¥200も積もればニューロンとなる	
19	00:00:00	らうらう	準備で既に個人向けじゃないことが明らか	
20	00:00:00	めるカバ	大佐の預金が…吸われていく…！？	
21	00:00:00	なんたら	遅刻…？	
22	00:00:00	ブロア	GCヨッシーの万有引力かなあ…	
23	00:00:00	HILO	フェアリスさん！	
24	00:00:00	Shota Hamada	インコォ！	
25	00:00:00	周恩来	個人勢がどんどん集まる	
26	00:00:00	らうらう	GCコロコロカービィだぞ	
27	00:00:00	ミワタリ	大佐お金大丈夫なの…？	
28	00:00:00	ジュンペイ	勝手に進む時間が悪いところもあると思う	
29	00:00:00	えび	JC時空ならまだ8時前	
30	00:00:00	東京コノハムシ	ニューロン欲しい人々のつどい	
31	00:00:00	岸辺一徳	遅刻ではない、時間の進みが速すぎるのだ	
32	00:00:00	秋箱	２０時まだ？	
33	00:00:00	ZW犬死無能盾-肉無鶏	姉ちゃんが注目されてて俺も鼻が高いよ…	
34	00:00:00	うぇいのる	コロコロカービィ勢は成仏して	
35	00:00:00	秋箱	インコ！	
36	00:00:00	T.のかね	姉ちゃんが注目の的に…	
37	00:00:00	めるカバ	コロコロカービィ兄貴成仏しろ	
38	00:00:00	周恩来	え！？比較用にキネクトとVIVEとopti trackとMVNを用意した姉ちゃんが！？	
39	00:00:00	バリ島のサボテン	姉ちゃん...よかったね...	
40	00:00:00	HILO	時間が早く来すぎただけで姉ちゃんは遅刻じゃないし	
41	00:00:00	東京コノハムシ	👋コロコロカービィ	
42	00:00:00	T.のかね	時が未来に進むと誰が決めたんだ	
43	00:00:00	秋箱	姉ちゃんならコロコロカービィGCとか手を滑らせてニューロンとかいうウェブカメラ壊しそう	
44	00:00:00	ブロア	グリニッジが悪いよ	
45	00:00:00	近藤大輔	そろそろ20時かな	
46	00:00:00	いぶきんぐ	時計の針が早く動きすぎるのが悪いんだよ	
47	00:00:00	ジュンペイ	だからコロコロカービィはやらねぇつってんだろ！	
48	00:00:00	りあすて	かかってこいよグリニッジ標準時	
49	00:00:00	Vtuberドーセット・アカホシ	授業料	￥200
50	00:00:00	Fairys Channel	授業料	￥240
51	00:00:00	フレイムリンクス		￥100
52	00:00:00	らうらう		￥100
53	00:00:00	カーマイン	死ぬなよ…姉ちゃん	￥240
54	00:00:00	まりも		￥100
55	00:00:02	秋箱	グリニッジ謝れや	
56	00:00:08	Shota Hamada	弟の世界線はずれてるからね	
57	00:00:12	畑秋		
58	00:00:12	なんたら	おいしい煮玉子	
59	00:00:12	ブロア	かわいい	
60	00:00:12	周恩来	20時さん遅いな…	
61	00:00:13	ヘンリーダーガー	おいしい煮玉子	
62	00:00:13	むらさきあんこ	おいしい煮玉子	
63	00:00:14	ブロア	おいしい煮玉子	
64	00:00:15	東京コノハムシ	おいしい煮玉子	
65	00:00:15	御早和杯	おいしい煮玉子	
66	00:00:15	らうらう	おいしい煮玉子	
67	00:00:16	HILO	来た！	
68	00:00:16	タケノコ男	かわいい	
69	00:00:16	ミワタリ	かわいい！	
70	00:00:16	もっけいChannel	エッッッッッッッッッッ	
71	00:00:17	ZW犬死無能盾-肉無鶏	メイドインヘブン起動してたな	
72	00:00:18	行方不明	おいしい煮玉子	
73	00:00:18	近藤大輔	かわいい！	
74	00:00:18	スモーク	おいたま	
75	00:00:18	ジョナサン・グレーン	うわーっかわいい！	
76	00:00:19	えび	おいたま～	
77	00:00:19	_ Die	おいしい煮玉子	
78	00:00:19	近藤亮	おいしい煮玉子	
79	00:00:19	カギアカギ	おいしいかわいい	
80	00:00:19	ドソドソ	おいしい煮玉子	
81	00:00:19	はてら	おいしい煮玉子	
82	00:00:20	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
83	00:00:20	八木谷	おいしい煮玉子	
84	00:00:21	いぶきんぐ	おいしい煮玉子	
85	00:00:21	うぇいのる	おいしい煮玉子	
86	00:00:21	めるカバ	おいしい煮玉子	
87	00:00:22	S N	すげえ	
88	00:00:22	らうらう	PBだ・・・・・・・・・	
89	00:00:22	竹輪	おいしい煮玉子	
90	00:00:23	てんめい	おいしい煮玉子	
91	00:00:23	じょーげん	おいしい煮玉子	
92	00:00:23	もっけいChannel	おいしい煮玉子	
93	00:00:23	tan sutan	おいしい煮玉子	
94	00:00:24	岸辺一徳	おいしい煮玉子	
95	00:00:24	HILO	おいしい煮玉子	
96	00:00:24	八木谷	かわいい	
97	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
98	00:00:25	秋箱	かわいい	
99	00:00:00	りあすて	​꧁🥚꧂	
100	00:00:00	T.のかね	大佐ァ！	
101	00:00:00	東京コノハムシ	投げ銭の大佐ァ！	
102	00:00:00	めるカバ	ァ！	
103	00:00:00	ポルポル	大佐ァ！	
104	00:00:00	D W	！	
105	00:00:00	ZW犬死無能盾-肉無鶏	大佐ァ！	
106	00:00:00	周恩来	！	
107	00:00:00	ミワタリ	大佐ァ！	
108	00:00:00	りあすて	ァ！	
109	00:00:00	なんたら	.	
110	00:00:00	秋箱	!	
111	00:00:00	むらさきあんこ	投げ銭ですでにニューロン代くらい投げてそうな大佐だ	
112	00:00:00	タケノコ男	ァ！	
113	00:00:00	近藤大輔	｜	
114	00:00:00	周恩来	ニュー(ロン)タイプ	
115	00:00:00	こみこ	遅刻勢に優しい姉ちゃん	
116	00:00:00	竹輪	ただの縦棒とかもう原型とどめてなくて草	
117	00:00:00	東京コノハムシ	¥200も積もればニューロンとなる	
118	00:00:00	らうらう	準備で既に個人向けじゃないことが明らか	
119	00:00:00	めるカバ	大佐の預金が…吸われていく…！？	
120	00:00:00	なんたら	遅刻…？	
121	00:00:00	ブロア	GCヨッシーの万有引力かなあ…	
122	00:00:00	HILO	フェアリスさん！	
123	00:00:00	Shota Hamada	インコォ！	
124	00:00:00	周恩来	個人勢がどんどん集まる	
125	00:00:00	らうらう	GCコロコロカービィだぞ	
126	00:00:00	ミワタリ	大佐お金大丈夫なの…？	
127	00:00:00	ジュンペイ	勝手に進む時間が悪いところもあると思う	
128	00:00:00	えび	JC時空ならまだ8時前	
129	00:00:00	東京コノハムシ	ニューロン欲しい人々のつどい	
130	00:00:00	岸辺一徳	遅刻ではない、時間の進みが速すぎるのだ	
131	00:00:00	秋箱	２０時まだ？	
132	00:00:00	ZW犬死無能盾-肉無鶏	姉ちゃんが注目されてて俺も鼻が高いよ…	
133	00:00:00	うぇいのる	コロコロカービィ勢は成仏して	
134	00:00:00	秋箱	インコ！	
135	00:00:00	T.のかね	姉ちゃんが注目の的に…	
136	00:00:00	めるカバ	コロコロカービィ兄貴成仏しろ	
137	00:00:00	周恩来	え！？比較用にキネクトとVIVEとopti trackとMVNを用意した姉ちゃんが！？	
138	00:00:00	バリ島のサボテン	姉ちゃん...よかったね...	
139	00:00:00	HILO	時間が早く来すぎただけで姉ちゃんは遅刻じゃないし	
140	00:00:00	東京コノハムシ	👋コロコロカービィ	
141	00:00:00	T.のかね	時が未来に進むと誰が決めたんだ	
142	00:00:00	秋箱	姉ちゃんならコロコロカービィGCとか手を滑らせてニューロンとかいうウェブカメラ壊しそう	
143	00:00:00	ブロア	グリニッジが悪いよ	
144	00:00:00	近藤大輔	そろそろ20時かな	
145	00:00:00	いぶきんぐ	時計の針が早く動きすぎるのが悪いんだよ	
146	00:00:00	ジュンペイ	だからコロコロカービィはやらねぇつってんだろ！	
147	00:00:00	りあすて	かかってこいよグリニッジ標準時	
148	00:00:00	Vtuberドーセット・アカホシ	授業料	￥200
149	00:00:00	Fairys Channel	授業料	￥240
150	00:00:00	フレイムリンクス		￥100
151	00:00:00	らうらう		￥100
152	00:00:00	カーマイン	死ぬなよ…姉ちゃん	￥240
153	00:00:00	まりも		￥100
154	00:00:02	秋箱	グリニッジ謝れや	
155	00:00:08	Shota Hamada	弟の世界線はずれてるからね	
156	00:00:12	畑秋		
157	00:00:12	なんたら	おいしい煮玉子	
158	00:00:12	ブロア	かわいい	
159	00:00:12	周恩来	20時さん遅いな…	
160	00:00:13	ヘンリーダーガー	おいしい煮玉子	
161	00:00:13	むらさきあんこ	おいしい煮玉子	
162	00:00:14	ブロア	おいしい煮玉子	
163	00:00:15	東京コノハムシ	おいしい煮玉子	
164	00:00:15	御早和杯	おいしい煮玉子	
165	00:00:15	らうらう	おいしい煮玉子	
166	00:00:16	HILO	来た！	
167	00:00:16	タケノコ男	かわいい	
168	00:00:16	ミワタリ	かわいい！	
169	00:00:16	もっけいChannel	エッッッッッッッッッッ	
170	00:00:17	ZW犬死無能盾-肉無鶏	メイドインヘブン起動してたな	
171	00:00:18	行方不明	おいしい煮玉子	
172	00:00:18	近藤大輔	かわいい！	
173	00:00:18	スモーク	おいたま	
174	00:00:18	ジョナサン・グレーン	うわーっかわいい！	
175	00:00:19	えび	おいたま～	
176	00:00:19	_ Die	おいしい煮玉子	
177	00:00:19	近藤亮	おいしい煮玉子	
178	00:00:19	カギアカギ	おいしいかわいい	
179	00:00:19	ドソドソ	おいしい煮玉子	
180	00:00:19	はてら	おいしい煮玉子	
181	00:00:20	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
182	00:00:20	八木谷	おいしい煮玉子	
183	00:00:21	いぶきんぐ	おいしい煮玉子	
184	00:00:21	うぇいのる	おいしい煮玉子	
185	00:00:21	めるカバ	おいしい煮玉子	
186	00:00:22	S N	すげえ	
187	00:00:22	らうらう	PBだ・・・・・・・・・	
188	00:00:22	竹輪	おいしい煮玉子	
189	00:00:23	てんめい	おいしい煮玉子	
190	00:00:23	じょーげん	おいしい煮玉子	
191	00:00:23	もっけいChannel	おいしい煮玉子	
192	00:00:23	tan sutan	おいしい煮玉子	
193	00:00:24	岸辺一徳	おいしい煮玉子	
194	00:00:24	HILO	おいしい煮玉子	
195	00:00:24	八木谷	かわいい	
196	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
197	00:00:25	秋箱	かわいい	
198	00:00:25	リフェ	かわいいー	
199	00:00:26	ミワタリ	おいしい煮玉子	
200	00:00:26	タケノコ男	おいしい煮玉子	
201	00:00:26	周恩来	おいしい煮玉子	
202	00:00:26	畑秋	😍😍😍	
203	00:00:26	むらさきあんこ	はいもう可愛い！	
204	00:00:26	EEB	おいしい煮玉子	
205	00:00:27	パーシー	可愛すぎ龍	
206	00:00:27	猫の散歩道	美味しい煮ューロン	
207	00:00:28	S N	おいしい煮玉子	
208	00:00:28	うぇいのる	！！！	
209	00:00:28	Shota Hamada	おいしい煮玉子	
210	00:00:28	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
211	00:00:29	行方不明	もうかわいい	
212	00:00:29	みつはちみつ	おいしい煮玉子	
213	00:00:29	ジュンペイ	おいしい煮玉子	
214	00:00:29	りあすて	おいしい煮玉子	
215	00:00:29	ヌルヌペペ	おいしい煮玉子	
216	00:00:29	めるカバ	あーダメダメえっちすぎます	
217	00:00:30	あい	おいしい煮玉子	
218	00:00:31	HILO	かわいい	
219	00:00:31	ふぁる	かわいい	
220	00:00:31	近藤亮	かわいいいいいいいいい	
221	00:00:31	Shota Hamada	かわいい	
222	00:00:31	東京コノハムシ	全身動いとる！かわいい！！！	
