行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	じょーげん	あーすき	
1	00:00:00	いぶきんぐ	どうせ死ぬってときは姉ちゃんに額の番号読み上げられたい	
2	00:00:00	HILO	ケモミミ姉ちゃんかわいかったよ	
3	00:00:00	ジャック・オー	千年帽子の中はああなってたのかー	
4	00:00:00	秋箱	姉ちゃんが不足して死にそう	
5	00:00:00	カーマイン	これは…姉ちゃんのかわいいが集中しすぎて、オーバーロードしているのか？	
6	00:00:00	なんたら	姉ちゃん分が不足して死んだ	
7	00:00:00	ねこくーる	もふりたい	
8	00:00:00	周恩来	姉ちゃんに焦らされとる…	
9	00:00:00	ホワイトラン衛兵	姉ちゃんどこ…	
10	00:00:00	らうらう	しっぽは？しっぽもついとるんか？	
11	00:00:00	究極ド根性ダイコン	千年帽子はケモ耳隠すためのものだったのか…	
12	00:00:00	岸辺一徳	姉ちゃん魔性すぎる…すき…	
13	00:00:00	HILO	これはけもみみおーこくとのコラボですね	
14	00:00:00	さんぽーる	お願いしますYoutube様はやく	
15	00:00:00	ジョナサン・グレーン	姉ちゃん…姉ちゃんどこ…	
16	00:00:00	꧁꧂クゥの部屋꧁꧂	yる	
17	00:00:00	Redmix	ｙ	
18	00:00:00	えび	Y	
19	00:00:00	うぇいのる	まだなの…姉ちゃん…	
20	00:00:00	T.のかね	ｙる	
21	00:00:00	ホワイトラン衛兵	Y	
22	00:00:00	biggs	ｙ	
23	00:00:00	ジョナサン・グレーン	y	
24	00:00:00	秋箱	yる！yるきた！	
25	00:00:00	じょーげん	Y	
26	00:00:00	むらさきあんこ	ｙったあ！	
27	00:00:00	カーマイン	姉ちゃん！！	
28	00:00:00	鈴木おじさん	ｙるのか！	
29	00:00:00	こみこ	ｙるね	
30	00:00:00	岸辺一徳	る	
31	00:00:00	らうらう	y	
32	00:00:00	なんたら	ｙる	
33	00:00:00	ヌルヌペペ	Ｙ	
34	00:00:00	あい	ｙ	
35	00:00:00	ジャック・オー	ｙ	
36	00:00:00	Cランサー	yる	
37	00:00:00	さんぽーる	ｙ	
38	00:00:00	HILO	姉ちゃん！	
39	00:00:00	岸辺一徳	yる！yる！	
40	00:00:00	うぇいのる	yられたい	
41	00:00:00	mk 95	yったぜ	
42	00:00:00	Redmix	ｙるまで待つ	
43	00:00:00	鈴木おじさん	ｙるんだな！今ここで！	
44	00:00:00	周恩来	yるんですかやったー！	
45	00:00:00	近藤亮	yったあああああああ	
46	00:00:00	ジャック・オー	ｙりおるマーン	
47	00:00:00	スモーク	気を落ち着かせておかないと	
48	00:00:00	nokonokoasyu	yてる	
49	00:00:00	じょーげん	ただいまのちゅっちゅ！！！！！	
50	00:00:00	カーマイン		￥120
51	00:00:13	あい	おいしい煮玉子	
52	00:00:16	ジャック・オー	おかえり煮玉子	
53	00:00:16	カーマイン	yくぜyくぜyくぜー！！！	
54	00:00:17	くりお	おかえり！	
55	00:00:17	さんぽーる	すき	
56	00:00:19	ジョナサン・グレーン	おいしい煮玉子	
57	00:00:19	なんたら	美味しい煮玉子	
58	00:00:20	えび	おにたま～	
59	00:00:20	mk 95	おいしい煮玉子	
60	00:00:22	いぶきんぐ	おいしい煮玉子	
61	00:00:22	鈴木おじさん	おいしい煮玉子	
62	00:00:23	ゴライアン	生きがい	
63	00:00:23	HILO	はじまった	
64	00:00:23	こみこ	おいしい煮玉子	
65	00:00:23	むらさきあんこ	おいしいケモミミ	
66	00:00:23	K.T. ジャックリン	おかえり煮玉子	
67	00:00:23	ゴギガガガギゴ	おかえり	
68	00:00:24	ホワイトラン衛兵	おいしい煮玉子	
69	00:00:24	Redmix	おいしい煮玉子	
70	00:00:27	ヌルヌペペ	おいしい煮玉子	
71	00:00:27	せせらぎ	きこえた！	
72	00:00:28	あい	聞こえる！	
73	00:00:28	死骸	おかえり姉ちゃん	
74	00:00:28	めるカバ	おいしい煮玉子	
75	00:00:28	らうらう	おいしい煮玉子	
76	00:00:28	周恩来	おいしい煮玉子	
77	00:00:28	天然ステルス	おいしい煮玉子	
78	00:00:29	mori mori	姉ちゃん！	
79	00:00:29	ねこくーる	おいしい煮玉子	
80	00:00:30	タケノコ男	おいしい煮玉子	
81	00:00:31	じょーげん	おいしい煮玉子	
82	00:00:32	刀根雅武	おいしい煮玉子	
83	00:00:32	桜田紅	おいしい煮玉子	
84	00:00:34	岸辺一徳	おいしい煮玉子	
85	00:00:34	eve 8848	かわいい声が聞こえる	
86	00:00:34	ポンコツジョン	おいしい煮玉子	
87	00:00:34	竹本カキフライ	おいたま～	
88	00:00:36	周恩来	かわいい	
89	00:00:37	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝ 大丈夫～？🤔	
90	00:00:37	T.のかね	おいしい煮玉子	
91	00:00:38	やみの子やみ鍋	おいしい煮玉子	
92	00:00:38	えび	ちゃんと声聞こえる！	
93	00:00:38	くりお	ケモミミ煮玉子	
94	00:00:39	eve 8848	おいしい煮玉子	
95	00:00:39	袖口	おいしい煮玉子	
96	00:00:40	Shota Hamada	おいしい煮玉子	
97	00:00:41	近藤亮	おいしい煮玉子	
98	00:00:42	らうらう	フレンドがいる。高評価	
99	00:00:00	じょーげん	あーすき	
100	00:00:00	いぶきんぐ	どうせ死ぬってときは姉ちゃんに額の番号読み上げられたい	
101	00:00:00	HILO	ケモミミ姉ちゃんかわいかったよ	
102	00:00:00	ジャック・オー	千年帽子の中はああなってたのかー	
103	00:00:00	秋箱	姉ちゃんが不足して死にそう	
104	00:00:00	カーマイン	これは…姉ちゃんのかわいいが集中しすぎて、オーバーロードしているのか？	
105	00:00:00	なんたら	姉ちゃん分が不足して死んだ	
106	00:00:00	ねこくーる	もふりたい	
107	00:00:00	周恩来	姉ちゃんに焦らされとる…	
108	00:00:00	ホワイトラン衛兵	姉ちゃんどこ…	
109	00:00:00	らうらう	しっぽは？しっぽもついとるんか？	
110	00:00:00	究極ド根性ダイコン	千年帽子はケモ耳隠すためのものだったのか…	
111	00:00:00	岸辺一徳	姉ちゃん魔性すぎる…すき…	
112	00:00:00	HILO	これはけもみみおーこくとのコラボですね	
113	00:00:00	さんぽーる	お願いしますYoutube様はやく	
114	00:00:00	ジョナサン・グレーン	姉ちゃん…姉ちゃんどこ…	
115	00:00:00	꧁꧂クゥの部屋꧁꧂	yる	
116	00:00:00	Redmix	ｙ	
117	00:00:00	えび	Y	
118	00:00:00	うぇいのる	まだなの…姉ちゃん…	
119	00:00:00	T.のかね	ｙる	
120	00:00:00	ホワイトラン衛兵	Y	
121	00:00:00	biggs	ｙ	
122	00:00:00	ジョナサン・グレーン	y	
123	00:00:00	秋箱	yる！yるきた！	
124	00:00:00	じょーげん	Y	
125	00:00:00	むらさきあんこ	ｙったあ！	
126	00:00:00	カーマイン	姉ちゃん！！	
127	00:00:00	鈴木おじさん	ｙるのか！	
128	00:00:00	こみこ	ｙるね	
129	00:00:00	岸辺一徳	る	
130	00:00:00	らうらう	y	
131	00:00:00	なんたら	ｙる	
132	00:00:00	ヌルヌペペ	Ｙ	
133	00:00:00	あい	ｙ	
134	00:00:00	ジャック・オー	ｙ	
135	00:00:00	Cランサー	yる	
136	00:00:00	さんぽーる	ｙ	
137	00:00:00	HILO	姉ちゃん！	
138	00:00:00	岸辺一徳	yる！yる！	
139	00:00:00	うぇいのる	yられたい	
140	00:00:00	mk 95	yったぜ	
141	00:00:00	Redmix	ｙるまで待つ	
142	00:00:00	鈴木おじさん	ｙるんだな！今ここで！	
143	00:00:00	周恩来	yるんですかやったー！	
144	00:00:00	近藤亮	yったあああああああ	
145	00:00:00	ジャック・オー	ｙりおるマーン	
146	00:00:00	スモーク	気を落ち着かせておかないと	
147	00:00:00	nokonokoasyu	yてる	
148	00:00:00	じょーげん	ただいまのちゅっちゅ！！！！！	
149	00:00:00	カーマイン		￥120
150	00:00:13	あい	おいしい煮玉子	
151	00:00:16	ジャック・オー	おかえり煮玉子	
152	00:00:16	カーマイン	yくぜyくぜyくぜー！！！	
153	00:00:17	くりお	おかえり！	
154	00:00:17	さんぽーる	すき	
