行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:15	あい	おいしい煮玉子	
1	00:00:15	周恩来	おいしい煮玉子	
2	00:00:19	岸辺一徳	おいしい煮玉子	
3	00:00:19	天然ステルス	おいしい煮玉子	
4	00:00:20	なんたら	おいしい煮玉子	
5	00:00:21	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
6	00:00:23	らうらう	おいしい煮玉子	
7	00:00:27	あい	かわいい	
8	00:00:28	なにここ	おいしい煮玉子	
9	00:00:28	イヌージョンCHANNEL	おいしい煮玉子	
10	00:00:29	motiyomogi	おいしい煮玉子	
11	00:00:30	周恩来	かわいい	
12	00:00:32	ジャック・オー	おいちい煮玉子	
13	00:00:34	なにここ	清楚ギアすき	
14	00:00:34	らうらう	清楚姉ちゃんだ！！！！	
15	00:00:34	ZW犬死無能盾-肉無鶏	姉ちゃん！？	
16	00:00:37	Ami Saika	おいしい煮玉子	
17	00:00:39	zero kuma	おいしい煮玉子	
18	00:00:39	しねちゅー	かわいい	
19	00:00:40	空気	おいしい煮玉子	
20	00:00:40	究極ド根性ダイコン	余所行き姉ちゃん	
21	00:00:40	九代目中山稲五朗	おいしい煮玉子	
22	00:00:41	sio3go	おいしい煮玉子	
23	00:00:43	ぴねかっと	おいしい煮玉子	
24	00:00:44	八木谷	おいしい煮玉子	
25	00:00:46	松本幸四郎	JCっぽい	
26	00:00:46	岸辺一徳		￥100
27	00:00:47	八木谷	よそいき	
28	00:00:48	ねこくーる	おいしい煮玉子	
29	00:00:52	ブロア	おいしい煮玉子	
30	00:00:53	ふーばー	おいしい煮玉子	
31	00:00:54	松本幸四郎	殺したので（清楚JC）	
32	00:00:54	じょーげん	殺したので	
33	00:00:56	abeshi	おいしい煮玉子	
34	00:01:02	mori mori	徐々に声が戻ってくの草	
35	00:01:04	なんたら		￥100
36	00:01:04	デンキヒツジ	おいしい煮玉子	
37	00:01:13	kuyno egq	おいしい煮玉子	
38	00:01:14	なにここ	じゃーん！	
39	00:01:15	ZW犬死無能盾-肉無鶏	どじゃあん	
40	00:01:16	周恩来	じゃーん！	
41	00:01:19	究極ド根性ダイコン	草	
42	00:01:20	motiyomogi	作るじゃーん！	
43	00:01:21	松本幸四郎	じゃーん	
44	00:01:22	タケノコ男	おいしい煮玉子	
45	00:01:27	ああ	おいしい煮玉子	
46	00:01:32	ブロア	じゃんじゃんじゃんじゃんじゃん！	
47	00:01:32	ジャック・オー	作るじゃーん	
48	00:01:32	なんたら	だめだったか…	
49	00:01:38	らうらう	じゃーん	
50	00:00:15	あい	おいしい煮玉子	
51	00:00:15	周恩来	おいしい煮玉子	
52	00:00:19	岸辺一徳	おいしい煮玉子	
53	00:00:19	天然ステルス	おいしい煮玉子	
54	00:00:20	なんたら	おいしい煮玉子	
55	00:00:21	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
56	00:00:23	らうらう	おいしい煮玉子	
57	00:00:27	あい	かわいい	
58	00:00:28	なにここ	おいしい煮玉子	
59	00:00:28	イヌージョンCHANNEL	おいしい煮玉子	
60	00:00:29	motiyomogi	おいしい煮玉子	
61	00:00:30	周恩来	かわいい	
62	00:00:32	ジャック・オー	おいちい煮玉子	
63	00:00:34	なにここ	清楚ギアすき	
64	00:00:34	らうらう	清楚姉ちゃんだ！！！！	
