行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	さぐん	お昼休憩に「野糞の予感」はまずいですよ！	
1	00:00:00	水無月銀	草	
2	00:00:00	Theia	確かに	
3	00:00:00	水無月銀	糞	
4	00:00:00	らうらう	野糞の予感みながら食べる煮玉子はさぞかしおいしいだろうなあ	
5	00:00:00	アルフォンス・ミュシャ	ヤバイ（ヤバイ）	
6	00:00:00	パリパリ海苔	奴らはリアル。僕らはバーチャル。	
7	00:00:00	Theia	カラスが食べたい	
8	00:00:00	名馬ポニー	俺にミソシタの何がわかるってんだよ！	
9	00:00:00	水無月銀	バーチャルだから自由！	
10	00:00:00	さぐん	「バーチャル」の言い方すこ	
11	00:00:00	パリパリ海苔	街中全裸ウォーキング自由！	
12	00:00:00	古今東西	配信見てるだけでミソシタの動向が分かるのほんと面白いわｗ	
13	00:00:00	水無月銀	ミソシタすきすき	
14	00:00:00	らうらう	ミソシタ総合チャットなんだなあ	
15	00:00:00	名馬ポニー	今日もスーパーミソシタRPGの配信だしな	
16	00:00:00	水無月銀	なにそのマリオくん感あるゲーム	
17	00:00:00	さぐん	ニーミちゃんも配信でミソシタ実況してたし実質コラボ多いんだよなぁ	
18	00:00:00	Shuzo	ポエムコアやったことないひともOK！	
19	00:00:00	助六	そんな装備で大丈夫か？	
20	00:00:00	水無月銀	大丈夫だ、問題ない	
21	00:00:00	名馬ポニー	大丈夫だ。僕は狂ってる	
22	00:00:00	くれみ	ミソシタと旅に出ようエロ本買おう～♪	
23	00:00:00	パリパリ海苔	エロ本を買った帰りに事故に会うなんて・・・良い笑いものじゃないか・・・	
24	00:00:00	水無月銀	ミソシタくんかわいい	
25	00:00:00	パリパリ海苔	スケベ心はフェニックス。何度だって立ち上がる。時間・空間を飛び越す不死鳥なり。良い言葉だなあ・・・	
26	00:00:00	佐々野いちご	きたわね	
27	00:00:00	アルケム	実質ミソシタコラボ	
28	00:00:00	Theia	雑ゥー！	
29	00:00:00	パリパリ海苔	新作のリズム感もすごくすきなミソシタ	
30	00:00:00	mk 95	車検大丈夫…？	
31	00:00:00	Shuzo	毎秒が記念日	
32	00:00:00	水無月銀	エエぞエエぞ	
33	00:00:00	アルケム	サイケ休憩画面じゃないやん！	
34	00:00:00	パリパリ海苔	揺れたじゃないか・・・	
35	00:00:00	名馬ポニー	それはリアルのやつの概念だろ…？	
36	00:00:00	アルケム	地震か・・・	
37	00:00:00	水無月銀	地震？	
38	00:00:00	Theia	地震？	
39	00:00:00	古今東西	そりゃリアルのやつの概念だ	
40	00:00:00	水無月銀	僕らはバーチャル？	
41	00:00:00	パリパリ海苔	ねえ母さん、ここにおいてあったナメクジみなかった？	
42	00:00:00	Theia	ナメクジなら雨の日に逃がしたでしょ	
43	00:00:00	水無月銀	不謹慎とは言わん	
44	00:00:00	二階堂義盛	カービィSDXならデータが危なかった	
45	00:00:00	gossy	バーチャル地震	
46	00:00:00	パリパリ海苔	ＶＢはＴＳＵＮＡＭＩを歌ったからな	
47	00:00:00	佐々野いちご	スパマリRPGならデータの心配はないというのか	
48	00:00:00	佐々野いちご	なんかの記念	￥200
49	00:00:00	nendoki	地震記念	￥200
50	00:00:16	なまこ	おあけり	
