行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	くれみ	ムーンサイドはマップないと迷いやすい…	
1	00:00:00	biggs	とっても悲しい二周目が始まった	
2	00:00:00	始祖くらげ	悲しい事件だったね...	
3	00:00:00	らうらう	ﾎﾉｶﾁｬﾝ姉ちゃん聞いてくるか・・・	
4	00:00:00	aizax 777	ホントにクリアして二週目なのかと思ったわ	
5	00:00:00	ロンドベルジェニ	実機故の悲劇よなぁ	
6	00:00:00	くりお	クリアするの何時になるやら…	
7	00:00:00	【たつーや】TA2-YA	ムーンサイドは移動先とエリアを理解しないとかなりきつい	
8	00:00:00	ジュンペイ	データはクリアされたぞ	
9	00:00:00	究極ド根性ダイコン	姉ちゃんに蹴られるとゲーム機は死ぬ	
10	00:00:00	EEB	あと姉ちゃんには10時間の猶予があるがまぁなんとかなるかな？	
11	00:00:00	aizax 777	クリアｗｗそうでしたね、データクリア	
12	00:00:00	カーキ	VCでやるのは女女か？	
13	00:00:00	くりお	掃除機ガッ で何人の子供泣いただろうか	
14	00:00:14	ナウ	おかえり	
15	00:00:14	もみじおろし	おかえり	
16	00:00:14	のどあめ	おかえり	
17	00:00:17	Ganon	あい	
18	00:00:18	メレンゲ	おかえり	
19	00:00:18	周恩来	おかえり	
20	00:00:18	ゆむし	俺も姉ちゃんにけられたい	
21	00:00:19	めろんソーダ	おかえり	
22	00:00:20	ミワタリ	おかえり	
23	00:00:21	【たつーや】TA2-YA	おかえり	
24	00:00:21	究極ド根性ダイコン	おかえり	
25	00:00:23	ああ	こんばんは	
26	00:00:23	ふじ	おかえり	
27	00:00:24	海苔城	おかえり	
28	00:00:25	馬の骨に念仏	おいしい煮玉子	
29	00:00:26	くりお	おかえり	
30	00:00:26	_ Die	おかえり	
31	00:00:27	八木谷	おかえりー	
32	00:00:28	ハイナマ	おかえり	
33	00:00:28	始祖くらげ	おかえり	
34	00:00:28	Strayed	おかえり	
35	00:00:28	いちごぱすた	おかえり	
36	00:00:29	のどあめ	おいしい煮玉子	
37	00:00:29	はるにれ	おかえり	
38	00:00:30	周恩来	おいしい煮玉子～	
39	00:00:30	こすふぃん	いいえ	
40	00:00:31	カーキ	おかえり	
41	00:00:31	ミワタリ	おいしい煮玉子	
42	00:00:31	ジュンペイ	おいしい煮玉子	
43	00:00:32	究極ド根性ダイコン	おいしい煮玉子	
44	00:00:32	らうらう	おいしい煮玉子～～～～～～	
45	00:00:33	メレンゲ	おいしい煮玉子	
46	00:00:33	むらさきあんこ	おいしい煮玉子	
47	00:00:33	fami fami	おかー	
48	00:00:34	monyamon	おいしい煮玉子	
49	00:00:34	EEB	お煮玉！	
50	00:00:34	Garden	おいしい煮玉子	
51	00:00:36	めろんソーダ	おいしい煮玉子	
52	00:00:36	tage	おいしい煮玉子	
53	00:00:37	晃ちゃん晃一	おかえりなさい	
54	00:00:38	ロンドベルジェニ	おかえり	
55	00:00:38	ulura _777	おかえり	
56	00:00:40	mouko	おいしい煮玉子～	
57	00:00:41	ブロア	おいしい煮玉子	
58	00:00:41	habanero	おいしい煮玉子	
59	00:00:42	ナウ	美味しい煮玉子	
60	00:00:42	ハイナマ	おいしい煮玉子	
61	00:00:45	もふ	おかえり煮玉子	
