行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	岸辺一徳	おいしい煮玉子	
1	00:00:00	ふかちゃんチャンネル	おいしい煮玉子	
2	00:00:09	_ Die	おいしい煮玉子	
3	00:00:12	周恩来	おいしい煮玉子	
4	00:00:13	aoringo	おいしい煮玉子	
5	00:00:14	さんぽーる	おいしい煮玉子	
6	00:00:16	らうらう	なんらかのお寿司🍣	
7	00:00:16	あい	おいしい煮玉子	
8	00:00:16	ふーばー	おいしい煮玉子	
9	00:00:17	草ぺんぺん	おいしい煮玉子	
10	00:00:18	habanero	おいしい煮玉子	
11	00:00:18	ふじ	おいしい煮玉子	
12	00:00:18	御早和杯	おいしい煮玉子	
13	00:00:19	ナウ	おいしい煮玉子	
14	00:00:21	スモーク	おいたま	
15	00:00:21	ほるもん	おいしいにたまご	
16	00:00:22	べるべる	おいしい煮玉子	
17	00:00:22	ゴギガガガギゴ	おいしい煮玉子	
18	00:00:24	Garden	おいしい煮玉子	
19	00:00:31	なる	おいしい煮玉子	
20	00:00:33	なんたら	おいしい煮玉子	
21	00:00:34	ナウ	もうちょっとだ	
22	00:00:35	zaff	おいしい煮玉子	
23	00:00:35	mori mori	ついにバグったかと	
24	00:00:35	あい	掃除来てる	
25	00:00:40	うぇいのる	おいしい煮玉子	
26	00:00:41	ヌルヌペペ	おいしい煮玉子	
27	00:00:42	らうらう	謎お絵かき	
28	00:00:42	たんこぶ	🥚	
29	00:00:47	Oscar 215D	おいしい煮玉子	
30	00:00:48	めるカバ	おいしい煮玉子	
31	00:00:56	mori mori	UNKO	
32	00:00:59	あい	UNKO	
33	00:00:59	ふーばー	○NKO	
34	00:01:01	ふかちゃんチャンネル	おいしい煮玉子	
35	00:01:04	らうらう	UNKO	
36	00:01:07	めるカバ	UNKO	
37	00:01:09	はこ	おいしい煮玉子	
38	00:01:10	弐号。あくじき	おいしい煮玉子	
39	00:01:11	ねこくーる	おいしい煮玉子	
40	00:01:13	うぇいのる	UNKO	
41	00:01:23	近藤亮	unko	
42	00:01:24	周恩来	UNKO OK	
43	00:01:31	内海柚	おいしい煮玉子	
44	00:01:32	あまいさい	おいしい煮玉子！	
45	00:01:32	肉赤子ちゃんPB	✨👌☺️👌✨	
46	00:01:35	さんぽーる	オアーー！！	
47	00:01:43	尾花	おいしい煮玉子	
48	00:01:47	うぇいのる	頑張るゾパ～	
49	00:01:57	ふかちゃんチャンネル	アイテム買った？	
50	00:02:04	らうらう	つらそうゾパ・・・・・・	
