行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	mk 95	おつたまー	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	周恩来	おいしい煮玉子	
3	00:00:00	Shuzo	たまご	
4	00:00:00	プレコ	おにたま	
5	00:00:00	うぇいのる	おいたまー	
6	00:00:00	岸辺一徳	3になった！	
7	00:00:00	らうらう	おいしいテクぼう	
8	00:00:00	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
9	00:00:09	ブロア	おいしい煮玉子	
10	00:00:12	岸辺一徳	おいしい煮玉子	
11	00:00:15	周恩来	おいしい煮玉子	
12	00:00:17	こみこ	おいしい煮玉子	
13	00:00:18	_ Die	おいしい煮玉子	
14	00:00:20	めるカバ	おいしいカンガルー	
15	00:00:22	まつ	おいしいいんキャ	
16	00:00:26	竹輪	おいしい煮玉子	
17	00:00:27	あい	おいしい煮玉子	
18	00:00:28	らうらう	おいしい煮玉子	
19	00:00:31	究極ド根性ダイコン	おいしいみず	
20	00:00:35	ふーばー	おいしい煮玉子	
21	00:00:36	えび	おいしい煮玉子	
22	00:00:40	有栖川夜魅	おいしい煮玉子	
23	00:00:41	ささささぬげ	おしい煮卵	
24	00:00:41	どんとこいぼのえもん侍	おいたま	
25	00:00:43	いぶきんぐ	おいしい煮玉子	
26	00:00:43	fami fami	おいしい煮玉子	
27	00:00:48	ねこくーる	おいしい煮玉子	
28	00:00:48	habanero	おいしい煮玉子	
29	00:00:50	ヌルヌペペ	おいしい煮玉子	
30	00:00:51	Shuzo	はじまった！高評価！	
31	00:00:52	バリ島のサボテン	おいたま	
32	00:00:56	ZW犬死無能盾-肉無鶏	おいしいミックス俺	
33	00:01:00	くれみ	おいしいみず～	
34	00:01:03	周恩来	六甲のおいしい水	
35	00:01:03	松本幸四郎	おいしい煮玉子	
36	00:01:04	/バンギ 山本	美味しい水	
37	00:01:09	ふーばー	み、、みず	
38	00:01:09	はるにれ	おいしい煮玉子	
39	00:01:10	aoringo	美味しい煮玉子	
40	00:01:12	うぇいのる	おいたまー	
41	00:01:30	竹輪	一気に戦力が上がったね	
42	00:01:34	岸辺一徳	お水系ポケモンジム	
43	00:01:35	Eトマト	美味しい煮玉子	
44	00:01:38	こみこ	ピッピのステータスやべぇ	
45	00:01:47	周恩来	おうた	
46	00:01:48	じょーげん	あなをほるのは時と場合を選ぼう！	
