行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	otamesi	
1	00:00:00	周恩来	tesuto	
2	00:00:00	なんたら	otamesi nitamago	
3	00:00:00	らうらう	wanitamaog	
4	00:00:00	_ Die	taiki	
5	00:00:00	Shota Hamada	muryo 30 nichi kan	
6	00:00:00	あい	tesuto ok	
7	00:00:13	なんたら	始まってる	
8	00:00:17	あい	おいしい煮玉子	
9	00:00:18	袖口	おいしい煮玉子	
10	00:00:19	ぶるう	おいしい煮玉子	
11	00:00:21	周恩来	hajimatteru	
12	00:00:26	Garden	oishii nitamago	
13	00:00:26	なんたら	おいしい煮玉子	
14	00:00:27	まぃと	おいしい煮玉子	
15	00:00:27	らうらう	NITAMAGO	
16	00:00:27	ジャック・オー	おいしい煮玉子	
17	00:00:28	八木谷	おいしい煮玉子	
18	00:00:30	Ami Saika	美味しい煮玉子	
19	00:00:30	ノンフロン	おいしいわにたまご	
20	00:00:30	周恩来	おいしい煮玉子	
21	00:00:31	kannagi	おいしい煮玉子	
22	00:00:31	かたもく	美味しいサンダーボルトファンタジー	
23	00:00:36	たんこぶ	こんばんはー	
24	00:00:39	mussaOren	おいしい煮玉子	
25	00:00:39	Redmix	おいしい煮玉子	
26	00:00:41	袖口	おいしい親子丼	
27	00:00:42	らうらう	すげえ豪華	
28	00:00:44	うぇいのる	おいしい煮玉子	
29	00:00:45	なんたら	ちゃんとご飯食べてる！高評価！	
30	00:00:45	ノンフロン	姉ちゃん普通のご飯食べるんだ	
31	00:00:46	尾花	おいしい煮玉子	
32	00:00:46	あい	珍しくまともだ	
33	00:00:47	ジャック・オー	おいしい親子丼	
34	00:00:48	Ami Saika	親子丼	
35	00:00:59	ぶるう	ちゃんとご飯食べてる！	
36	00:01:09	かたもく	ご飯食べてる！えらい！	
37	00:01:09	周恩来	姉ちゃんが食べ物を！？	
38	00:01:19	_ Die	餃子の皮じゃない！	
39	00:01:30	らうらう	おじさんがつよすぎる	
40	00:01:32	ノンフロン	最終話に繋げるための１クールだからな	
41	00:01:34	かたもく	今日休みだったから2週目見て設定も見てきたわ	
42	00:01:57	らうらう	女子力な	
43	00:01:58	ノンフロン	女子力たけー	
44	00:02:01	あい	JC力高めていこう	
45	00:02:06	周恩来	テクぼうネイルアート	
46	00:02:08	なんたら	傷つけないようにね	
47	00:02:10	らうらう	草	
48	00:02:28	周恩来	つるつるおつめ	
49	00:02:30	かたもく	れらたんの女子力が上がっていく・・・1万・・・2万・・・ばかな、3万だと？！	
50	00:02:37	ノンフロン	姉ちゃん肌がツルツルで凄いよね	
51	00:02:55	岸辺一徳	れらたん式テープマスキングや	
52	00:02:56	ノンフロン	女子力高いやん姉ちゃん	
53	00:02:56	たんこぶ	校則違反だ！！	
54	00:02:57	周恩来	また腰さすってる…	
55	00:02:58	かたもく	姉ちゃんの女子力	
56	00:02:59	なんたら	艷容	
57	00:00:00	꧁꧂クゥの部屋꧁꧂	otamesi	
58	00:00:00	周恩来	tesuto	
59	00:00:00	なんたら	otamesi nitamago	
60	00:00:00	らうらう	wanitamaog	
61	00:00:00	_ Die	taiki	
62	00:00:00	Shota Hamada	muryo 30 nichi kan	
63	00:00:00	あい	tesuto ok	
64	00:00:13	なんたら	始まってる	
65	00:00:17	あい	おいしい煮玉子	
66	00:00:18	袖口	おいしい煮玉子	
67	00:00:19	ぶるう	おいしい煮玉子	
68	00:00:21	周恩来	hajimatteru	
69	00:00:26	Garden	oishii nitamago	
70	00:00:26	なんたら	おいしい煮玉子	
71	00:00:27	まぃと	おいしい煮玉子	
72	00:00:27	らうらう	NITAMAGO	
73	00:00:27	ジャック・オー	おいしい煮玉子	
74	00:00:28	八木谷	おいしい煮玉子	
75	00:00:30	Ami Saika	美味しい煮玉子	
76	00:00:30	ノンフロン	おいしいわにたまご	
77	00:00:30	周恩来	おいしい煮玉子	
78	00:00:31	kannagi	おいしい煮玉子	
79	00:00:31	かたもく	美味しいサンダーボルトファンタジー	
80	00:00:36	たんこぶ	こんばんはー	
81	00:00:39	mussaOren	おいしい煮玉子	
82	00:00:39	Redmix	おいしい煮玉子	
83	00:00:41	袖口	おいしい親子丼	
84	00:00:42	らうらう	すげえ豪華	
85	00:00:44	うぇいのる	おいしい煮玉子	
86	00:00:45	なんたら	ちゃんとご飯食べてる！高評価！	
87	00:00:45	ノンフロン	姉ちゃん普通のご飯食べるんだ	
88	00:00:46	尾花	おいしい煮玉子	
89	00:00:46	あい	珍しくまともだ	
90	00:00:47	ジャック・オー	おいしい親子丼	
91	00:00:48	Ami Saika	親子丼	
92	00:00:59	ぶるう	ちゃんとご飯食べてる！	
93	00:01:09	かたもく	ご飯食べてる！えらい！	
94	00:01:09	周恩来	姉ちゃんが食べ物を！？	
95	00:01:19	_ Die	餃子の皮じゃない！	
96	00:01:30	らうらう	おじさんがつよすぎる	
97	00:01:32	ノンフロン	最終話に繋げるための１クールだからな	
98	00:01:34	かたもく	今日休みだったから2週目見て設定も見てきたわ	
99	00:01:57	らうらう	女子力な	
100	00:01:58	ノンフロン	女子力たけー	
101	00:02:01	あい	JC力高めていこう	
102	00:02:06	周恩来	テクぼうネイルアート	
103	00:02:08	なんたら	傷つけないようにね	
104	00:02:10	らうらう	草	
105	00:02:28	周恩来	つるつるおつめ	
106	00:02:30	かたもく	れらたんの女子力が上がっていく・・・1万・・・2万・・・ばかな、3万だと？！	
107	00:02:37	ノンフロン	姉ちゃん肌がツルツルで凄いよね	
108	00:02:55	岸辺一徳	れらたん式テープマスキングや	
109	00:02:56	ノンフロン	女子力高いやん姉ちゃん	
110	00:02:56	たんこぶ	校則違反だ！！	
111	00:02:57	周恩来	また腰さすってる…	
112	00:02:58	かたもく	姉ちゃんの女子力	
113	00:02:59	なんたら	艷容	
114	00:03:31	かたもく	たのしみらー	
115	00:03:49	なんたら	フラグ	
116	00:04:01	かたもく	おけまるー	
117	00:04:21	らうらう	steamセール今日でおわりか	
118	00:04:25	Ami Saika	楽しみ	
119	00:04:54	周恩来	特撮みたいだぁ	
120	00:04:56	mussaOren	楽しみこっちは初見だし	
121	00:04:56	jon black	もったいな	
122	00:05:04	あい	あの手の込んだ人形を・・・	
123	00:05:05	かたもく	ほんとに特撮みたいだね	
124	00:05:12	袖口	凝ってるなあ	
125	00:05:18	_ Die	もう出さないやつは爆殺するらしいね	
126	00:05:19	LINO HIKA	すごい	
127	00:05:25	八木谷	すごいなぁ…	
128	00:05:25	ノンフロン	吹っ飛ぶシーンも全部ぶん投げたりしてるっぽい	
129	00:05:35	かたもく	爆★殺	
130	00:05:40	周恩来	とりあえず爆殺	
131	00:05:55	佐藤仁	今来た	
132	00:05:57	Shota Hamada	人形師の仕事が増えるしね	
133	00:06:01	なんたら	ちょっとわかる	
134	00:06:17	らうらう	草	
135	00:06:19	かたもく	子供の話もしてたのに・・・	
136	00:06:27	周恩来	爆発して爆発しろ	
137	00:06:37	あい	でかいな	
138	00:06:38	かたもく	でかいな！	
139	00:06:58	通行人A	でっけぇなぁ	
140	00:07:01	なんたら	殺無生（二代目）	
141	00:07:03	八木谷	でかい	
142	00:07:12	通行人A	安いゾ	
143	00:07:12	かたもく	おけまる	
144	00:07:23	ぶるう	おけまる	
145	00:07:23	たんこぶ	ワンフェスのニトロプラスブースで展示されたりするね	
146	00:07:24	mussaOren	おっけー	
147	00:07:26	まぃと	おっけー	
148	00:07:32	周恩来	くしょ！	
149	00:07:39	らうらう	1？！？！？	
150	00:07:42	なんたら	つよい	
151	00:07:43	ノンフロン	ポータル２二人とも酔っちゃうんじゃ	
152	00:07:46	らうらう	神企画か？！	
153	00:07:57	Ami Saika	照れてる姉ちゃん	
154	00:08:00	Shota Hamada	！？	
155	00:08:01	かたもく	いいねぇ！いいねぇ！	
156	00:08:06	あい	いいね	
157	00:08:11	Shota Hamada	草	
158	00:08:23	かたもく	クゥれらｷﾃﾙ……ｷﾃﾙ……	
159	00:08:41	Shota Hamada	KAT-○UN	
160	00:09:18	あい	草	
161	00:09:27	らうらう	草	
162	00:09:38	かたもく	草、重すぎかよ	
163	00:09:42	周恩来	ギリギリでいきていたいすぎる…	
164	00:09:46	うぇいのる	間に合った…	
165	00:09:54	なんたら	<好きー	
166	00:09:55	Shota Hamada	ギスギスすぎる	
167	00:10:06	かたもく	照れる姉ちゃん可愛い	
168	00:10:15	周恩来	姉ちゃんが軽い女になっちまうー！	
169	00:10:16	あい	復帰失敗	
170	00:10:43	らうらう	クリアできるのかな・・・	
171	00:10:46	かたもく	ネスは復帰失敗するのが仕事だから・・・	
172	00:11:05	岸辺一徳	姉ちゃんの腕が暴れるとれらたんの肩に手を回してるように見える	
173	00:11:39	あい	ＢＣ	
174	00:11:47	ぶるう	BC	
175	00:11:53	周恩来	わーわーわー	
176	00:11:57	_ Die	LVだー	
177	00:11:59	あい	ライブなのか？	
178	00:12:02	かたもく	liveViewing	
179	00:12:19	周恩来	こいついつも	
180	00:12:20	あい	ほんとだよ	
181	00:12:22	_ Die	こいついつも恨まれてるな	
182	00:12:22	うぇいのる	いつもの	
183	00:12:27	なんたら	出クズ	
184	00:12:28	かたもく	在庫処理が間に合わない・・・	
185	00:12:31	八木谷	いつもの	
186	00:12:56	うぇいのる	過去編か…	
187	00:12:59	かたもく	せっちゃん！	
188	00:13:02	周恩来	挙手姉ちゃん	
189	00:13:03	あい	この二人が組んでたのかよ	
190	00:13:07	_ Die	お前元用心棒だったのか…	
191	00:13:08	mussaOren	せっちゃん！！	
192	00:13:11	周恩来	まじか	
193	00:13:18	なんたら	はいクゥさん	
194	00:13:27	かたもく	姉ちゃん興奮しすぎて手上げてるの草	
195	00:13:28	らうらう	挙手姉ちゃんかわいい	
196	00:13:31	あい	めっちゃ左手上げてる姉ちゃん	
197	00:13:35	ZW犬死無能盾-肉無鶏	！？	
198	00:13:40	岸辺一徳	つまり元彼同士……	
199	00:13:50	尾花	強い奴斬りたい欲満たせて金も貰えるいい仕事	
200	00:14:10	なんたら	なんか痴漢と誤解されないための姿勢みたい	
201	00:14:11	うぇいのる	自分が戦うのは信念に背くからな…	
202	00:14:22	かたもく	あ、下ろした、上げた	
203	00:14:58	岸辺一徳	本名なの？！	
204	00:15:02	かたもく	捨て子だったのか・・・	
205	00:15:03	うぇいのる	キラキラネーム	
206	00:15:12	尾花	殺無生って本名だったのか…	
207	00:15:29	かたもく	ここで過去編が・・・	
208	00:15:34	あい	やべえ	
209	00:15:35	周恩来	そんな過去が	
210	00:15:40	Garden	よく生きてたな…	
211	00:15:40	なんたら	でも名前はつけるんだ	
212	00:16:01	あい	ＺＩＰ	
213	00:16:08	かたもく	ママんが付けたんじゃね？	
214	00:16:12	なんたら	殺無生.zip	
215	00:16:13	Garden	ZIP！	
216	00:16:17	うぇいのる	不幸過ぎる…	
217	00:16:17	MING CHIEN HUNG	邪鳥鬼鳥が鳴いたw	
218	00:16:32	かたもく	oh......	
219	00:16:33	あい	ひでえ	
220	00:16:41	らうらう	ええ。。。	
221	00:16:50	岸辺一徳	なんで……	
222	00:16:51	周恩来	すさんだ幼少期	
223	00:16:52	なんたら	スタンドか？	
224	00:16:58	かたもく	そらおとん病むわ	
225	00:17:07	_ Die	状況がヤバすぎる	
226	00:17:16	あい	重すぎるだろ…	
227	00:17:22	うぇいのる	お、そうだな	
228	00:17:26	周恩来	かわいそう	
229	00:17:26	らうらう	たしかに	
230	00:17:35	かたもく	HAHAHAHA変えちゃえ変えちゃえー	
231	00:17:49	Garden	クズの思考	
232	00:17:53	岸辺一徳	ここだけ切り取るといいやつ	
233	00:17:57	尾花	色んな呼び名を持ってる奴が言うことが違うな	
234	00:18:03	Jessy Wong	鳳凰か	
235	00:18:08	岸辺一徳	舞い上がれ朱雀	
236	00:18:08	うぇいのる	トーナメント編来たコレ	
237	00:18:12	かたもく	朱雀!!!!	
238	00:18:24	なんたら	総当たりなんだ	
239	00:18:25	_ Die	最強トーナメント	
240	00:18:27	袖口	最大トーナメント	
241	00:18:36	八木谷	トーナメントだ	
242	00:18:46	Shota Hamada	四天王だ	
243	00:18:51	あい	こいつらもかよ	
244	00:18:51	周恩来	男と生まれたからには	
245	00:18:53	岸辺一徳	あっホテルマンが！	
246	00:18:57	_ Die	元気衆幹部だ	
247	00:19:01	ササミ	元気衆のみなさんだ	
248	00:19:06	周恩来	ホテルマーン！	
249	00:19:06	Garden	魔界統一トーナメント好き	
250	00:19:10	ぶるう	元気な頃の元気衆	
251	00:19:11	うぇいのる	まさかの再登場	
252	00:19:16	かたもく	あ、刀剣愛好団体の元気衆の皆さん	
253	00:19:26	八木谷	すごく久しぶりな感覚	
254	00:19:47	MING CHIEN HUNG	無能な女幹部も登場か	
255	00:19:49	うぇいのる	羽生かな？	
256	00:20:15	かたもく	剣聖か・・・・・・	
257	00:20:17	あい	何にしろ最後は恨まれ喧嘩別れが決まってるしね	
258	00:20:49	かたもく	師匠なんか・・・	
259	00:21:09	あい	なんだこのイケメン	
260	00:21:26	なんたら	もう元気だったんだ	
261	00:21:33	尾花	一話でやられた人！	
262	00:21:36	あい	相手が悪かったんだ	
263	00:21:40	_ Die	おじさんに直々に殺された人だしなぁ	
264	00:21:43	通行人A	強そう	
265	00:21:43	うぇいのる	アクションが相変わらず凄い	
266	00:21:50	周恩来	砂吹雪がすごい	
267	00:21:52	Ami Saika	元気衆なにしにきたんだろ	
268	00:21:56	あい	本編でなかった活躍だ！	
269	00:22:00	尾花	おじさん相手に鍔迫り合いまで持ち込んでたもんなぁ	
270	00:22:14	かたもく	あれ？別人？	
271	00:22:17	ササミ	ホテルマンとは違うなあ	
272	00:22:33	Ami Saika	弱イケメン	
273	00:22:42	うぇいのる	1話の人強かった…	
274	00:22:46	岸辺一徳	ぐえー	
275	00:22:51	あい	ああ	
276	00:22:51	通行人A	あの技当たるのか・・・	
277	00:22:55	かたもく	ぐえー꜀(.௰. ꜆)꜄	
278	00:22:56	nokonokoasyu	リョウフウセツジンは最低 みんな知ってるね	
279	00:22:56	_ Die	つよい	
280	00:22:57	周恩来	ヒエッ	
281	00:23:04	らうらう	幹部つよいじゃん。。。。。。	
282	00:23:11	かたもく	あの技当たるのかは草	
283	00:23:15	なんたら	少数のサドすぎる…	
284	00:23:36	岸辺一徳	絶対背景しっててちらつかせたんだろうなあ……	
285	00:23:45	かたもく	木刀で細切れにするからなぁ・・・おじさんは	
286	00:24:40	あい	普通にいいやつに見えちゃう	
287	00:24:55	ササミ	名にたくらんでるか分からないけど意外と考えてやってる風	
288	00:24:59	通行人A	剣士とはなにか	
289	00:25:08	うぇいのる	人形作る手間凄そう	
290	00:25:09	なんたら	いったいなにものなんだ…	
291	00:25:10	MING CHIEN HUNG	神箭手	
292	00:25:12	_ Die	弓おじさん？	
293	00:25:14	尾花	殺無生生まれと育ちの環境の割りに結構素直な性格してるね	
294	00:25:15	Ami Saika	かっこいい	
295	00:25:16	Shota Hamada	誰なんだー（棒	
296	00:25:16	かたもく	かっこいい！	
297	00:25:24	八木谷	かっこいい	
298	00:25:24	岸辺一徳	あれこの弓と声……	
299	00:25:25	周恩来	弓使いか	
300	00:25:27	あい	何やってんだこいつ	
301	00:25:32	かたもく	あ、クズかこいつ	
302	00:25:33	nokonokoasyu	ビジュアルしかかっこよくない弓	
303	00:25:38	らうらう	草	
304	00:25:39	なんたら	レギュレーション違反	
305	00:26:08	周恩来	煽りよる	
