行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	スモーク	ジーコはこのまま始まるのかな	
1	00:00:00	Shota Hamada	ジーコに切り替わってて草	
2	00:00:00	らうらう	おいしいジーコ	
3	00:00:00	ジャック・オー	おいしいジーコ	
4	00:00:00	張島サボ太	おいしいジーコ	
5	00:00:00	えび	おいしいジーコ	
6	00:00:00	東京コノハムシ	おいしいジーコ	
7	00:00:00	カーマイン		￥100
8	00:00:13	motiyomogi	おいしい煮玉子	
9	00:00:16	らうらう	かわいい	
10	00:00:17	ホワイトラン衛兵	おいしいジーコ	
11	00:00:18	じょーげん	おいしい煮玉子	
12	00:00:18	いぶきんぐ	おいしいジーコ	
13	00:00:19	ヌルヌペペ	おいしいジーコ	
14	00:00:20	mori mori	でた	
15	00:00:21	eve	おいしい煮玉子	
16	00:00:21	K. u	おいしい煮玉子	
17	00:00:23	ログ	おいしいジーコ	
18	00:00:23	カギアカギ	おいしいジーコ	
19	00:00:23	近藤亮	おいしいジーコ	
20	00:00:25	タケノコ男	おいしい煮玉子	
21	00:00:30	むらさきあんこ	おいしい煮玉子	
22	00:00:33	桜田紅	おいしい煮玉子	
23	00:00:34	T.のかね	おいしいジーコ	
24	00:00:37	岸辺一徳	おいしい煮玉子	
25	00:00:38	ヘンリーダーガー	おいしい煮玉子	
26	00:00:39	seafood	おいしい煮玉子	
27	00:00:46	くーねる	おいしいジーコ	
28	00:00:47	あのあれ	美味しき煮玉子	
29	00:00:47	らうらう	おいしい煮玉子	
30	00:00:48	mori mori	こういう季節イベント見ると一年経ったんだなって思う	
31	00:00:48	リフェ	おいしい煮玉子	
32	00:00:48	味付けタマゴ	おいしい煮玉子	
33	00:00:49	Ryo Kamiya	おいしい煮玉子	
34	00:00:50	ナウ	おいしい煮玉子	
35	00:00:51	たんこぶ	こんばんはー	
36	00:00:52	ジャック・オー	おいしい煮玉子	
37	00:00:52	究極ド根性ダイコン	おいしい煮玉子	
38	00:00:54	こみこ	ジーコサッカー(真)	
39	00:00:56	竹輪	おいしい煮玉子	
40	00:00:56	バーチャルYouTuberガニメデちゃんねる	ジーコ	
41	00:00:58	ぼんじりウマ太郎	おいしい煮玉子	
42	00:01:03	ねこくーる	おいしい煮玉子	
43	00:01:04	Shota Hamada	おいしいジーコ	
44	00:01:04	あのあれ	流石に瞳ではないですよねー	
45	00:01:05	カーマイン	おいしい煮玉子	
46	00:01:06	にけい	おいしい煮玉子	
47	00:01:08	sio3go	おいしい煮玉子	
48	00:01:09	東京コノハムシ	こんな季節イベント、他には無い！	
49	00:01:09	いぶきんぐ	真のジーコサッカーだ	
50	00:01:14	カーマイン	投稿ナウ！	
51	00:01:19	らうらう	わかる	
52	00:01:20	ジャック・オー	そうだね	
53	00:01:22	Shota Hamada	ありがとジーコ	
54	00:01:23	味付けタマゴ	そうだね	
55	00:00:00	スモーク	ジーコはこのまま始まるのかな	
56	00:00:00	Shota Hamada	ジーコに切り替わってて草	
57	00:00:00	らうらう	おいしいジーコ	
58	00:00:00	ジャック・オー	おいしいジーコ	
59	00:00:00	張島サボ太	おいしいジーコ	
60	00:00:00	えび	おいしいジーコ	
61	00:00:00	東京コノハムシ	おいしいジーコ	
62	00:00:00	カーマイン		￥100
63	00:00:13	motiyomogi	おいしい煮玉子	
64	00:00:16	らうらう	かわいい	
65	00:00:17	ホワイトラン衛兵	おいしいジーコ	
66	00:00:18	じょーげん	おいしい煮玉子	
67	00:00:18	いぶきんぐ	おいしいジーコ	
68	00:00:19	ヌルヌペペ	おいしいジーコ	
69	00:00:20	mori mori	でた	
