行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	編集済みですが何か?	sl教えて欲しい	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	ヌルヌペペ	おいしい煮玉子	
3	00:00:00	追放	おいしい煮玉子～	
4	00:00:00	はるにれ	おいしい煮玉子	
5	00:00:00	たびびと	おいしい煮玉子	
6	00:00:00	馬の骨に念仏	おいしい煮玉子	
7	00:00:00	クラースナヤ	おいしい煮玉子	
8	00:00:00	ハイナマ	おいしい煮玉子	
9	00:00:00	うるし	おいしい煮玉子	
10	00:00:00	ジョナサン・グレーン	おにたま〜	
11	00:00:00	Amserd	おいしい煮玉子	
12	00:00:00	食べる小魚	おいたまー	
13	00:00:00	なんたら	おいしい煮玉子	
14	00:00:00	畑秋	おいしい煮玉子	
15	00:00:00	ノンフロン	おにたま～	
16	00:00:00	えび	おいしい煮玉子	
17	00:00:00	せせらぎ	おしたま～	
18	00:00:00	カブキマン	おいしい煮玉子	
19	00:00:00	あまいさい	おにたま〜	
20	00:00:00	メレンゲ	おいたまー	
21	00:00:00	N. Masaki	おいしい煮玉子	
22	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたまー	
23	00:00:00	らうらう	​おいたまー♪	
24	00:00:00	袖口	おいしい煮卵	
25	00:00:00	zaff	おいたまー	
26	00:00:00	松本幸四郎	おいしい煮玉子	
27	00:00:00	_ Die	おいしい煮玉子	
28	00:00:00	バーチャルYouTuberガニメデちゃんねる	時間になったー楽しみー	
29	00:00:00	スモーク	おいたまを捧げよ	
30	00:00:00	ジョナサン・グレーン	おにたま〜	
31	00:00:00	らうらう	毎日やんのかな・・・	
32	00:00:00	伏葦たぐい	おいしい煮玉子	
33	00:00:00	nou min	おいにた～	
34	00:00:00	ポルポル	煮玉子を焚べよ	
35	00:00:00	zero kuma	おいしい煮玉子	
36	00:00:00	ノンフロン	今週はダクソに人間性捧げるとか言ってたし毎日やりそう	
37	00:00:00	ほるもん	にたまごー	
38	00:00:00	うぇいのる	おいしい煮玉子	
