行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	tesuto	
1	00:00:00	ノンフロン	tesuto	
2	00:00:00	らうらう	unko	
3	00:00:00	うぇいのる	unko ok	
4	00:00:00	あい	tesuto ok	
5	00:00:00	えび	Oishii Tesuto	
6	00:00:00	ジュンペイ	unko	
7	00:00:00	岸辺一徳	oi tama	
8	00:00:00	周恩来	cute unko	
9	00:00:00	ぶるう	ok unko	
10	00:00:00	_ Die	mattemashu	
11	00:00:00	岸辺一徳	wow	
12	00:00:00	Shota Hamada	boiled egg	
13	00:00:15	_ Die	おいしい煮玉子	
14	00:00:17	えび	Oi Tama~	
15	00:00:17	周恩来	ジト目姉ちゃん！	
16	00:00:18	Ami Saika	おいたま～	
17	00:00:20	ヌルヌペペ	おいしい煮玉子	
18	00:00:20	らうらう	ジト目姉ちゃん	
19	00:00:20	たんこぶ	始まってる！	
20	00:00:27	zero kuma	おいしい煮玉子	
21	00:00:27	ぶるう	おいしい煮玉子	
22	00:00:29	Garden	おいしい煮玉子	
23	00:00:33	ジュンペイ	おいしいわにたまご	
24	00:00:35	竹輪	おいしい煮玉子	
25	00:00:36	mussaOren	始まった おいしい煮玉子	
26	00:00:38	ノンフロン	おいしわにたまご	
27	00:00:45	ねこくーる	こんにちは！	
28	00:00:46	Ami Saika	えっ←可愛い	
29	00:00:46	松本幸四郎	開幕イチャつき	
30	00:00:50	岸辺一徳	おいしい煮玉子	
31	00:00:51	周恩来	おいしい煮玉子	
32	00:00:51	八木谷	こんばんわにたまご	
33	00:00:54	Eトマト	おいしい煮玉子	
34	00:00:54	かたもく	美味しい煮卵	
35	00:00:55	ノンフロン	姉ちゃんがれらたんの下まさぐっとる	
36	00:00:56	ジュンペイ	てぇてぇ	
37	00:01:38	岸辺一徳	買ったのか……	
38	00:01:41	ジャック・オー	Delicious Boiled egg	
39	00:01:43	らうらう	ipad買ったのか	
40	00:01:46	周恩来	パスは今日の8	
41	00:01:57	あい	かつて	
42	00:02:03	ジュンペイ	㌧	
43	00:02:07	えび	かつて持っていた煮玉子	
44	00:02:14	かたもく	クゥリッシュ飲みながらみるよ	
45	00:02:20	岸辺一徳	横からだけど㌧㌧	
46	00:02:25	Eトマト	羨ましい時代	
47	00:02:28	うぇいのる	ゾーパー家は進んでるなぁ	
48	00:02:28	たんこぶ	今の子はすごいなあ	
49	00:02:51	らうらう	大文字強制きらい	
50	00:03:01	周恩来	ベゼルにテプラでパスワードを書いておこう	
51	00:03:17	あい	諦めた	
52	00:03:31	松本幸四郎	諦めんな！諦めんなよ姉ちゃん！できる絶対できる！	
53	00:03:35	ジュンペイ	明日の劇場版に期待しよう	
54	00:03:43	ノンフロン	買った意味とは	
55	00:03:47	うぇいのる	グッバイipad	
56	00:03:47	かたもく	JCは諦めが早い	
57	00:04:09	Ami Saika	バチェラーだっけ	
58	00:04:21	Eトマト	今日は24時からルリちゃんの生放送	
59	00:04:41	ジュンペイ	今度の遊戯王リンクスコラボ楽しみ	
60	00:04:47	あい	おｋ	
61	00:04:47	うぇいのる	OK	
