行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	近藤亮	おいしい煮玉子	
1	00:00:00	まとら	おいしい煮玉子	
2	00:00:00	カーマイン	おいしい煮玉子:クゥフランゾーパークゥフランゾーパー2:	
3	00:00:00	JUNY	おいしい煮玉子	
4	00:00:00	スモーク	やったね	
5	00:00:00	らうらう	:クゥフランゾーパークゥフランゾーパー2:＜あ！	
6	00:00:00	ジャック・オー	おいしい青眼の白龍	
7	00:00:00	せせらぎ	おいしいアクリルプレート	
8	00:00:00	リフェ	おいしい煮玉子	
9	00:00:00	カギカギ	おいしい煮玉子	
10	00:00:00	じょーげん	ｳﾎｯｳﾎｯぼくﾁｬﾝｷｰ	
11	00:00:00	らうらう	純金製ブルーアイズホワイトドラゴンすごい	
12	00:00:00	こみこ	おいしい煮玉子龍	
13	00:00:00	ジャック・オー	:クゥフランゾーパークゥフランゾーパー2:<YAVAY…	
14	00:00:00	竹輪	めでたい記念日	
15	00:00:00	近藤亮	ブルーアイズ撮ってたら配信時間を過ぎてた記念日おめでとう	
16	00:00:00	究極ド根性ダイコン	おいしいブルーアイズ	
17	00:00:00	なんたら	おめでとう姉ちゃん	
18	00:00:00	らうらう	記念日だから祝わなきゃ	
19	00:00:00	motiyomogi	ゴールドなのかブルーなのかホワイトなのか	
20	00:00:00	K. u	おいしい煮玉子	
21	00:00:00	へたれもん	おいしい記念日	
22	00:00:00	ほるもん	おいしい煮玉子	
23	00:00:00	eve	おめでとう	
24	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
25	00:00:00	mk 95	記念日やったー	
26	00:00:00	クゥの部屋 Ch	やんごとない事情により少々遅刻します	
27	00:00:00	miso	やんごとないならやんごとない	
28	00:00:00	ゼッケン100	しょうがないね・・・しょうがないよ・・・	
29	00:00:00	せせらぎ	いったいどんな事情が...	
30	00:00:00	T.のかね	やんごとない	
31	00:00:00	カギカギ	やんごとない	
32	00:00:00	なんたら	しょうがないね	
33	00:00:00	motiyomogi	しかたない	
34	00:00:00	近藤亮	遅刻連絡えらい	
35	00:00:00	カーマイン	やんごとじゃいなら仕方ないな…	
36	00:00:00	ジョナサン・グレーン	やんごとない事情なら仕方ないね…	
37	00:00:00	竹輪	仕方ないね…	
38	00:00:00	らうらう	しょうがないなあ	
39	00:00:00	いぶきんぐ	やんごとないならしかたない	
40	00:00:00	スモーク	しょうがないねブルーアイズだもんね	
41	00:00:00	こみこ	団体、企業、個人などで独自の記念日を登録したいとお考えの方は、記念日の名称・日付・由来・目的・活動などの必要事項を 所定の「記念日登録申請書」にお書き込みの上、郵便、メール便、宅配便,ＦＡＸなどで日本記念日協会までお送りください	
42	00:00:00	究極ド根性ダイコン	やんごとないなら仕方ないよね	
43	00:00:00	ジャック・オー	やんごとないないもんね	
44	00:00:00	猫の散歩道	QBK（急にブルーアイズが来たから）	
45	00:00:00	陰キャバス竹中	おいしい煮玉子	
46	00:00:00	らうらう	​やんごとないなんて言葉なかなかでてこないよ。超JCはすごいなあ	
47	00:00:00	じょーげん	よきにはからうかー	
48	00:00:00	タケノコ男	おいしい煮玉子	
49	00:00:00	ねこくーる	おいしき煮玉子	
50	00:00:00	にけい		￥100
51	00:00:00	motiyomogi		￥100
52	00:00:00	むむめめ		￥100
53	00:00:17	ゼッケン100	おいしい煮玉子	
54	00:00:17	せせらぎ	はじまた	
55	00:00:18	天然ステルス	おいしい煮玉子	
56	00:00:18	桜田紅	おいしい煮玉子	
57	00:00:19	近藤亮	おいしい煮玉子	
58	00:00:19	motiyomogi	おいしい煮玉子	
59	00:00:19	ロンドベルジェニ	おいしい煮玉子	
60	00:00:19	ほるもん	おいしい煮玉子	
61	00:00:19	らうらう	おいしい煮玉子	
62	00:00:19	Ryo Kamiya	おいしい煮玉子	
63	00:00:24	カギカギ	おいしい煮玉子	
64	00:00:25	まつしたうらら	おいしい煮玉子	
65	00:00:26	じょーげん	おいしいにたまご	
66	00:00:27	sio3go	おいしい煮玉子	
67	00:00:27	カーマイン	おいしい煮玉子	
68	00:00:28	mori mori	姉ちゃんだ	
69	00:00:28	ヌルヌペペ	おいしい煮玉子	
70	00:00:28	竹輪	おいしい煮玉子	
71	00:00:28	ジャック・オー	:クゥフランゾーパークゥフランゾーパー2:おいしい煮玉子:クゥフランゾーパークゥフランゾーパー2:	
72	00:00:31	いぶきんぐ	おいしい煮玉子	
73	00:00:34	eve	おいしい煮玉子	
74	00:00:34	リフェ	おいしい煮玉子	
75	00:00:34	HILO	おいしい煮玉子	
76	00:00:34	らうらう	また落とし・・・	
77	00:00:34	にけい	おいしい煮玉子	
78	00:00:35	ぴねかっと	おいしい煮玉子	
79	00:00:35	まとら	おいしい煮玉子	
80	00:00:36	なんたら	また落としてる	
81	00:00:36	ジョナサン・グレーン	おいしい煮玉子	
82	00:00:36	陰キャバス竹中	おいしい煮玉子	
83	00:00:40	K. u	おいしい煮玉子	
84	00:00:40	竹輪	もうかわいい	
85	00:00:41	ナウ	おいしい煮玉子	
86	00:00:42	T.のかね	おいしい煮玉子	
87	00:00:43	カーマイン	かわいい	
88	00:00:43	厳かな守護者P	おいしい煮玉子	
89	00:00:44	あのあれ	美味しい煮玉子	
90	00:00:45	ジョナサン・グレーン	またなんか落としてる！	
91	00:00:48	mori mori	ジャンキーでゴミエリアとはお似合いだ	
92	00:00:49	HILO	なんか落とした？	
93	00:00:50	タケノコ男	かわいい	
94	00:00:50	らうらう	がちゃがちゃ	
95	00:00:51	eve	かわいい	
96	00:00:52	クラックリン	おいしい煮玉子	
97	00:00:52	いぶきんぐ	またなんか落とした…？	
98	00:00:55	D W	おいしい煮玉子	
99	00:01:01	らうらう	えこーがすごい	
100	00:00:00	近藤亮	おいしい煮玉子	
101	00:00:00	まとら	おいしい煮玉子	
102	00:00:00	カーマイン	おいしい煮玉子:クゥフランゾーパークゥフランゾーパー2:	
103	00:00:00	JUNY	おいしい煮玉子	
104	00:00:00	スモーク	やったね	
105	00:00:00	らうらう	:クゥフランゾーパークゥフランゾーパー2:＜あ！	
106	00:00:00	ジャック・オー	おいしい青眼の白龍	
107	00:00:00	せせらぎ	おいしいアクリルプレート	
108	00:00:00	リフェ	おいしい煮玉子	
109	00:00:00	カギカギ	おいしい煮玉子	
110	00:00:00	じょーげん	ｳﾎｯｳﾎｯぼくﾁｬﾝｷｰ	
