行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ネズミ2/2/6	おいしい煮玉子	
1	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
2	00:00:00	はるにれ	おいしい煮玉子	
3	00:00:00	八木谷	おいしい煮玉子	
4	00:00:00	もふ	おいしい煮玉子	
5	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
6	00:00:00	エクセルシオール	おいしい煮玉子	
7	00:00:00	yuya4000	そろそろ枠切り替えの間で寝落ちしそう	
8	00:00:00	beat 16	にいまたおごしい	
9	00:00:00	ドソドソ	おいしい煮玉子	
10	00:00:00	わん	高砂	
11	00:00:00	メレンゲ	おいしい煮玉子	
12	00:00:00	ずんどこべろんちょ	おいしい煮た孫	
13	00:00:00	Fish Sausage	おいしい煮玉子	
14	00:00:00	なにここ	おいしい煮玉子	
15	00:00:00	ハイナマ	​おいしい煮玉子	
16	00:00:00	habanero	おいしい煮玉子	
17	00:00:00	周恩来	おいしい煮玉子	
18	00:00:00	ふーばー	おいしい煮玉子🥚	
19	00:00:00	Two-tone	おいしい煮玉子	
20	00:00:00	くものいと	おいしい煮玉子	
21	00:00:00	秋箱	改めて思うけど姉ちゃんのサムネセンス良いよね	
22	00:00:00	あい	おいしい煮玉子	
23	00:00:07	じょーげん	おいしい煮玉子	
24	00:00:13	くりお	美味しい煮玉子	
25	00:00:13	monyamon	おいしい煮玉子	
26	00:00:19	【たつーや】TA2-YA	おかえり	
27	00:00:20	名馬ポニー	おいしい煮玉子	
28	00:00:20	tage	おいしい煮玉子	
29	00:00:20	鈴木おじさん	おいしい煮玉子	
30	00:00:20	_ Die	おいしい煮玉子	
31	00:00:21	秋箱	おいしい煮玉子	
32	00:00:22	mori mori	おかえり	
33	00:00:22	beat 16	おいしい煮玉子	
34	00:00:25	のどあめ	Delicious Marinated Boiled Egg	
35	00:00:26	くりお	どこまでいった？	
36	00:00:26	ヱンタ猫	おいしい煮玉子	
37	00:00:26	もみじおろし	おかえり煮玉子	
38	00:00:27	サライス研究所	おいしい煮玉子	
39	00:00:29	究極ド根性ダイコン	おかえり煮玉子	
40	00:00:30	くれみ	おいしい煮玉子&おせき	
41	00:00:31	zaff	おいしい煮玉子	
42	00:00:33	瀬戸みとせ	おいしい煮玉子	
43	00:00:35	竹輪	おいしい煮玉子	
44	00:00:35	K. u	おかえり卵	
45	00:00:39	みよ	delicious boiled egg	
46	00:00:40	ulura _777	おいしい煮玉子	
47	00:00:41	ヨッシー	おいしい煮玉子	
48	00:00:43	ああ	おいしい煮玉子～	
49	00:00:48	さえのき	もう少しで終盤入りだね	
50	00:00:49	尾花	おいしい煮玉子	
51	00:00:49	たびびと	おいしい煮玉子	
52	00:00:55	始祖くらげ	おかえり	
53	00:01:00	のどあめ	寝るか終わるか	
54	00:01:00	ヱンタ猫	罠か	
55	00:01:02	なにここ	おかえり煮玉子	
56	00:01:02	もっぃ	おい玉	
57	00:01:03	ぴちぴち鮮魚	おいしい煮玉子	
58	00:01:04	メレンゲ	おかえり	
59	00:01:05	Funnel	おいしい煮玉子	
60	00:01:08	鼻毛の錬金術師	おいしい煮玉子	
61	00:01:13	にりつかなえ	おいしい煮玉子	
62	00:01:13	TheShimaya	ピンククラウドに突入するのか	
63	00:01:17	周恩来	おいしい煮玉子～	
64	00:01:19	八木谷	おかえり煮玉子	
65	00:01:24	エクセルシオール	おかえりなさい	
66	00:01:27	くものいと	おかえり	
67	00:01:34	名馬ポニー	6・7ボスはあんまり強くないね	
68	00:01:39	八木谷	なんだこれ…	
69	00:01:39	mori mori	コワイ！	
70	00:01:39	ガラス蛍	おいしい煮卵	
71	00:01:41	秋箱	きもい	
72	00:01:42	くものいと	すっキモ	
73	00:00:00	ネズミ2/2/6	おいしい煮玉子	
74	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
75	00:00:00	はるにれ	おいしい煮玉子	
76	00:00:00	八木谷	おいしい煮玉子	
77	00:00:00	もふ	おいしい煮玉子	
