行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クレイジーキャッツマンチカン	おいしい煮玉子!	
1	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
2	00:00:00	通り縋りのRPGマニア	一方その頃、ブランドーさんの息子の汐華ハルノ君は…ギャングである『ある男』を助けていたッ！	
3	00:00:00	通り縋りのRPGマニア	ジョースター家の血縁がカオスなのは殆どジョセフと…『ジョナサンの首から上』のせいと聞いて|w・)汐華ハルノ君、ジョセフの叔父ですよ…(確か54歳年下)	
4	00:00:00	らうらう	​おいしい煮玉子	
5	00:00:00	Fuzuki K	おいしい	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:00	タケノコ男	おいしい煮玉子	
8	00:00:00	Shota Hamada	おいしい煮玉子	
9	00:00:00	カギカギ	おいしい煮玉子	
10	00:00:00	ジャック・オー	おいしい煮玉子　	
11	00:00:00	T.のかね	おいしい煮玉子	
12	00:00:00	Shuzo	おしんまじいい子	
13	00:00:00	mk 95	おいしい煮玉子	
14	00:00:00	らうらう	煮玉子ましん	
15	00:00:00	にけい	煮のんのん	
16	00:00:00	ジャック・オー	まじん煮玉子	
17	00:00:00	ニャンコ先生		￥100
18	00:00:15	JUNY	おいしい煮玉子	
19	00:00:15	りあすて	煮のんのん好き	
20	00:00:17	motiyomogi	おいしい煮玉子	
21	00:00:20	Ryo Kamiya	おいしい煮玉子	
22	00:00:22	Fuzuki K	お	
23	00:00:22	おさかな	おいしい煮玉子	
24	00:00:22	通り縋りのRPGマニア	おいしい煮玉子	
25	00:00:22	タケノコ男	おいしい煮玉子	
26	00:00:23	リフェ	おいしい煮玉子	
27	00:00:24	小さい胡麻塩	美味しい煮玉子	
28	00:00:27	りあすて	おいしい煮玉子	
29	00:00:30	ねこくーる	おいしい煮玉子	
30	00:00:32	Shota Hamada	はじまた	
31	00:00:32	sas b	おいしい煮玉子	
32	00:00:32	にけい	おいしい煮玉子	
33	00:00:34	T.のかね	おいしい煮玉子	
34	00:00:38	らむね。	おいしい煮玉子	
35	00:00:42	ニコラス・ケージ	美味しい煮た孫	
36	00:00:48	カギカギ	おいしい煮玉子	
37	00:00:51	ナウ	おいしい煮玉子	
38	00:00:52	ジャック・オー	おいしい煮玉子	
39	00:00:56	mori mori	割とある程度は順番通り	
40	00:00:57	クレイジーキャッツマンチカン	土日にかけて、ドラクエ５を寝ないでクリアお疲れ様でした!つらい時にチャットサポート出来なくてゴメンネ!	
41	00:00:59	らうらう	​おいしい煮玉子	
42	00:01:03	らうらう	また落としてる・・・・	
43	00:01:03	リフェ	草	
44	00:01:04	T.のかね	草	
45	00:01:06	motiyomogi	また落としてる…	
46	00:01:07	おさかな	つよい	
47	00:01:09	Shota Hamada	草	
48	00:01:26	いぶきんぐ	おいしい煮玉子	
49	00:01:39	Fuzuki K	全部見てたら頭煮玉子になる	
50	00:01:55	りあすて	JCじゃないから全部見たら体力こわれる	
51	00:02:21	K. u	美味しい煮玉子	
52	00:02:22	リフェ	草	
53	00:02:24	T.のかね	名作だったからね	
54	00:02:26	らうらう	草	
55	00:02:29	りあすて	わかる、名作が配信から伝わってきた ゲームの温度差で風邪ひかないようにね	
56	00:02:30	らうらう	一応・・・	
57	00:02:46	sas b	クｓ･･･奇ゲーに体を慣らしていこ	
58	00:02:47	ジャック・オー	神ゲーとクゥソゲーの温度差で風邪ひきそう	
59	00:02:49	Fuzuki K	一族の話だしジョジョもドラクエ５もいっしょよ	
60	00:03:12	りあすて	倒したスタンド使いが仲間になったからドラクエ５	
61	00:03:23	T.のかね	そうだね	
62	00:03:25	りあすて	いいに決まってるでしょ	
63	00:03:26	D W	草	
64	00:03:26	ナウ	もしかして	
65	00:03:27	sas b	気づいてしまったか	
66	00:03:28	おさかな	そこに気付くとは	
67	00:00:00	クレイジーキャッツマンチカン	おいしい煮玉子!	
68	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
69	00:00:00	通り縋りのRPGマニア	一方その頃、ブランドーさんの息子の汐華ハルノ君は…ギャングである『ある男』を助けていたッ！	
70	00:00:00	通り縋りのRPGマニア	ジョースター家の血縁がカオスなのは殆どジョセフと…『ジョナサンの首から上』のせいと聞いて|w・)汐華ハルノ君、ジョセフの叔父ですよ…(確か54歳年下)	
71	00:00:00	らうらう	​おいしい煮玉子	
72	00:00:00	Fuzuki K	おいしい	
73	00:00:00	リフェ	おいしい煮玉子	
74	00:00:00	タケノコ男	おいしい煮玉子	
75	00:00:00	Shota Hamada	おいしい煮玉子	
76	00:00:00	カギカギ	おいしい煮玉子	
77	00:00:00	ジャック・オー	おいしい煮玉子　	
78	00:00:00	T.のかね	おいしい煮玉子	
79	00:00:00	Shuzo	おしんまじいい子	
80	00:00:00	mk 95	おいしい煮玉子	
81	00:00:00	らうらう	煮玉子ましん	
82	00:00:00	にけい	煮のんのん	
83	00:00:00	ジャック・オー	まじん煮玉子	
84	00:00:00	ニャンコ先生		￥100
85	00:00:15	JUNY	おいしい煮玉子	
86	00:00:15	りあすて	煮のんのん好き	
87	00:00:17	motiyomogi	おいしい煮玉子	
88	00:00:20	Ryo Kamiya	おいしい煮玉子	
89	00:00:22	Fuzuki K	お	
90	00:00:22	おさかな	おいしい煮玉子	
91	00:00:22	通り縋りのRPGマニア	おいしい煮玉子	
92	00:00:22	タケノコ男	おいしい煮玉子	
93	00:00:23	リフェ	おいしい煮玉子	
94	00:00:24	小さい胡麻塩	美味しい煮玉子	
95	00:00:27	りあすて	おいしい煮玉子	
96	00:00:30	ねこくーる	おいしい煮玉子	
97	00:00:32	Shota Hamada	はじまた	
98	00:00:32	sas b	おいしい煮玉子	
99	00:00:32	にけい	おいしい煮玉子	
100	00:00:34	T.のかね	おいしい煮玉子	
101	00:00:38	らむね。	おいしい煮玉子	
102	00:00:42	ニコラス・ケージ	美味しい煮た孫	
103	00:00:48	カギカギ	おいしい煮玉子	
104	00:00:51	ナウ	おいしい煮玉子	
105	00:00:52	ジャック・オー	おいしい煮玉子	
106	00:00:56	mori mori	割とある程度は順番通り	
107	00:00:57	クレイジーキャッツマンチカン	土日にかけて、ドラクエ５を寝ないでクリアお疲れ様でした!つらい時にチャットサポート出来なくてゴメンネ!	
108	00:00:59	らうらう	​おいしい煮玉子	
109	00:01:03	らうらう	また落としてる・・・・	
110	00:01:03	リフェ	草	
111	00:01:04	T.のかね	草	
112	00:01:06	motiyomogi	また落としてる…	
113	00:01:07	おさかな	つよい	
114	00:01:09	Shota Hamada	草	
115	00:01:26	いぶきんぐ	おいしい煮玉子	
116	00:01:39	Fuzuki K	全部見てたら頭煮玉子になる	
117	00:01:55	りあすて	JCじゃないから全部見たら体力こわれる	
118	00:02:21	K. u	美味しい煮玉子	
119	00:02:22	リフェ	草	
120	00:02:24	T.のかね	名作だったからね	
121	00:02:26	らうらう	草	
122	00:02:29	りあすて	わかる、名作が配信から伝わってきた ゲームの温度差で風邪ひかないようにね	
123	00:02:30	らうらう	一応・・・	
124	00:02:46	sas b	クｓ･･･奇ゲーに体を慣らしていこ	
125	00:02:47	ジャック・オー	神ゲーとクゥソゲーの温度差で風邪ひきそう	
126	00:02:49	Fuzuki K	一族の話だしジョジョもドラクエ５もいっしょよ	
127	00:03:12	りあすて	倒したスタンド使いが仲間になったからドラクエ５	
128	00:03:23	T.のかね	そうだね	
129	00:03:25	りあすて	いいに決まってるでしょ	
130	00:03:26	D W	草	
131	00:03:26	ナウ	もしかして	
132	00:03:27	sas b	気づいてしまったか	
133	00:03:28	おさかな	そこに気付くとは	
134	00:03:32	ジャック・オー	お気付きになられましたか	
135	00:03:36	刀根雅武	たしかに	
136	00:04:11	らうらう	スマフォ耐えられなくて死ぬんじゃない？	
137	00:04:27	mori mori	どこをどうやったらそんな短縮できるんだあのゲーム	
138	00:04:39	Fuzuki K	ＰＳのドラクエ７の方が戦闘中の会話があるのでＰＳの方が好きだなあ	
139	00:04:40	リフェ	スマホって3DS版と同じなのかな？	
140	00:04:52	D W	でも大丈夫アップルならね	
141	00:04:52	T.のかね	便利～	
142	00:05:03	ジャック・オー	へー	
143	00:05:05	りあすて	そんなしらみつぶし探索ゲームなんだ	
144	00:05:10	通り縋りのRPGマニア	一方その頃、汐華ハルノ君は…ギャングの命を守っていたッ！	
145	00:05:10	motiyomogi	ほえ～	
146	00:05:11	Fuzuki K	そのおかげで占いババアがなんの役にも立たないんだよな	
147	00:05:12	Shota Hamada	今の子にはいいかもね～	
148	00:05:14	近藤亮	そうなんだ	
149	00:05:14	クレイジーキャッツマンチカン	クゥさんの昔動画見ました!アタック25サイコーに面白かったです！是非、クイズ動画またやってほしい!	
150	00:05:17	K. u	石板どんだけ時間喰ってたんだ…	
151	00:05:24	りあすて	ﾐﾐｯｸじゃん	
152	00:05:25	D W	！？	
153	00:05:28	T.のかね	草	
154	00:05:33	motiyomogi	自己紹介たすかる	
155	00:05:33	リフェ	草	
156	00:05:41	ナウ	なんでや	
157	00:05:43	おさかな	なぜ箱に	
