行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ノギ	おいしい煮玉子	
1	00:00:00	_ Tamaya	おいしい煮玉子	
2	00:00:00	_ Die	おいしい煮玉子	
3	00:00:00	じょーげん	おいしい煮玉子	
4	00:00:00	うぇいのる	おいしい煮玉子	
5	00:00:00	sio3go	おいしい煮玉子	
6	00:00:00	かたもく	もうそろそろお昼の時間…おいしい煮玉子を食べよう	
7	00:00:00	seafood		￥1,000
8	00:00:18	スモーク	おいしい煮玉子	
9	00:00:21	eve	おいしい煮玉子	
10	00:00:24	まりも	おいしい煮玉子	
11	00:00:26	らうらう	おいしい煮玉子	
12	00:00:31	なんたら	おいしい煮玉子	
13	00:00:36	のねずみ20日	おいしい煮玉子	
14	00:00:41	岸辺一徳	おいしい煮玉子	
15	00:00:42	カーマイン	おいしい煮玉子	
16	00:00:44	mori mori	おつにたまご	
17	00:00:54	ぴねかっと	おいしい煮玉子	
18	00:01:03	あい	おいしい煮玉子	
19	00:01:07	カーマイン	こんにち煮玉子	
20	00:01:19	さんぽーる祐三	おいしい煮玉子	
21	00:01:24	リフェ	おいしい煮玉子	
22	00:01:25	コンコン	おいしい煮玉子	
23	00:01:27	なんたら	ケゥ	
24	00:01:28	カーマイン	ねむそう	
25	00:01:31	eve	声が眠そう	
26	00:01:42	らうらう	ストレッチした？	
27	00:01:42	うぇいのる	けっこう戻されたなー	
28	00:02:00	岸辺一徳	石碑みたいなので今いる仲間確認できなかったっけ	
29	00:02:05	ナウ	おいしい煮玉子	
30	00:02:23	みてるぞ	いやー、気持ちのいい朝だねー。	
31	00:02:30	Clacklin/クラックリン	おいしい煮玉子	
32	00:02:45	ジョナサン・グレーン	おいしい煮玉子	
33	00:02:53	カーマイン	おいしい煮玉子	
34	00:02:53	近藤亮	おいしい煮玉子	
35	00:02:53	JUNY	あれ？始まってたわ	
36	00:02:54	ぴねかっと	おいしい煮玉子	
37	00:02:55	ねこくーる	おはメロ〜	
38	00:02:56	岸辺一徳	さすが煮玉子のクゥ	
39	00:02:59	えび	おいしい煮玉子	
40	00:03:13	Redlead	おいしい煮玉子	
41	00:03:13	Clacklin/クラックリン	おいしかった煮玉子	
42	00:03:17	なんたら	フランスパン・ベーコン・ミニトマト・煮玉子	
43	00:03:36	みてるぞ	イグナイト・煮玉子	
44	00:03:50	汁汁煮汁	おいしい煮玉子	
45	00:04:10	カーマイン	弟にも頂戴	
46	00:04:12	ジョナサン・グレーン	おいしそう	
47	00:04:17	うぇいのる	ワイルド	
48	00:04:19	mori mori	煮玉子のストックどんだけあったの	
49	00:04:25	岸辺一徳	ベーコン乗っけるところが女子力高い	
50	00:04:32	みてるぞ	もっと楽に食べられるように全部ミキサーにかけよ	
51	00:04:32	ナウ	眠かったからですかね	
52	00:04:52	ジョナサン・グレーン	ﾃｼｶﾆｨ	
53	00:05:17	岸辺一徳	まぁ加熱調理済みだしね……	
54	00:05:17	カーマイン	焼こ？	
55	00:05:19	のねずみ20日	生ベーコン美味しいよね	
56	00:05:20	近藤亮	えっ	
57	00:00:00	ノギ	おいしい煮玉子	
58	00:00:00	_ Tamaya	おいしい煮玉子	
59	00:00:00	_ Die	おいしい煮玉子	
60	00:00:00	じょーげん	おいしい煮玉子	
61	00:00:00	うぇいのる	おいしい煮玉子	
62	00:00:00	sio3go	おいしい煮玉子	
63	00:00:00	かたもく	もうそろそろお昼の時間…おいしい煮玉子を食べよう	
64	00:00:00	seafood		￥1,000
65	00:00:18	スモーク	おいしい煮玉子	
66	00:00:21	eve	おいしい煮玉子	
67	00:00:24	まりも	おいしい煮玉子	
68	00:00:26	らうらう	おいしい煮玉子	
69	00:00:31	なんたら	おいしい煮玉子	
70	00:00:36	のねずみ20日	おいしい煮玉子	
71	00:00:41	岸辺一徳	おいしい煮玉子	
72	00:00:42	カーマイン	おいしい煮玉子	
73	00:00:44	mori mori	おつにたまご	
74	00:00:54	ぴねかっと	おいしい煮玉子	
75	00:01:03	あい	おいしい煮玉子	
76	00:01:07	カーマイン	こんにち煮玉子	
77	00:01:19	さんぽーる祐三	おいしい煮玉子	
78	00:01:24	リフェ	おいしい煮玉子	
79	00:01:25	コンコン	おいしい煮玉子	
80	00:01:27	なんたら	ケゥ	
81	00:01:28	カーマイン	ねむそう	
82	00:01:31	eve	声が眠そう	
83	00:01:42	らうらう	ストレッチした？	
84	00:01:42	うぇいのる	けっこう戻されたなー	
85	00:02:00	岸辺一徳	石碑みたいなので今いる仲間確認できなかったっけ	
86	00:02:05	ナウ	おいしい煮玉子	
87	00:02:23	みてるぞ	いやー、気持ちのいい朝だねー。	
88	00:02:30	Clacklin/クラックリン	おいしい煮玉子	
89	00:02:45	ジョナサン・グレーン	おいしい煮玉子	
90	00:02:53	カーマイン	おいしい煮玉子	
91	00:02:53	近藤亮	おいしい煮玉子	
92	00:02:53	JUNY	あれ？始まってたわ	
93	00:02:54	ぴねかっと	おいしい煮玉子	
94	00:02:55	ねこくーる	おはメロ〜	
95	00:02:56	岸辺一徳	さすが煮玉子のクゥ	
96	00:02:59	えび	おいしい煮玉子	
97	00:03:13	Redlead	おいしい煮玉子	
98	00:03:13	Clacklin/クラックリン	おいしかった煮玉子	
99	00:03:17	なんたら	フランスパン・ベーコン・ミニトマト・煮玉子	
100	00:03:36	みてるぞ	イグナイト・煮玉子	
101	00:03:50	汁汁煮汁	おいしい煮玉子	
102	00:04:10	カーマイン	弟にも頂戴	
103	00:04:12	ジョナサン・グレーン	おいしそう	
104	00:04:17	うぇいのる	ワイルド	
105	00:04:19	mori mori	煮玉子のストックどんだけあったの	
106	00:04:25	岸辺一徳	ベーコン乗っけるところが女子力高い	
107	00:04:32	みてるぞ	もっと楽に食べられるように全部ミキサーにかけよ	
108	00:04:32	ナウ	眠かったからですかね	
109	00:04:52	ジョナサン・グレーン	ﾃｼｶﾆｨ	
110	00:05:17	岸辺一徳	まぁ加熱調理済みだしね……	
111	00:05:17	カーマイン	焼こ？	
112	00:05:19	のねずみ20日	生ベーコン美味しいよね	
113	00:05:20	近藤亮	えっ	
114	00:05:20	リフェ	えっ！？	
115	00:05:20	味付けタマゴ	おいしい煮玉子	
116	00:05:27	ゆるめ	えっ	
117	00:05:27	mori mori	それはハムで良いのでは	
118	00:05:29	みてるぞ	にんげん・・・？	
119	00:05:30	_ Die	焼こうよ…	
120	00:05:37	うぇいのる	生ハムみたいなものでしょーいけるいける	
121	00:05:39	ねこくーる	定期的にセーブって書き込んだ方が良さそう	
122	00:05:40	ジョナサン・グレーン	加熱調理してあるけどさぁ…	
123	00:05:48	eve	煮玉子シェイク...まずそう	
124	00:06:06	かたもく	姉ちゃんがバケットサンドとか作り始めたら偽物と疑うべきだね	
125	00:06:14	カーマイン	朝にポークビッツオススメだよ姉ちゃん	
126	00:06:24	ナウ	生で食べていいベーコンと生で食べちゃいけないベーコンがあるぞ、大抵大丈夫だけど	
127	00:06:30	eve	姉ちゃん！	
128	00:06:33	岸辺一徳	ヨシ！	
129	00:06:39	ログ	おいしい煮玉子	
130	00:06:41	ジョナサン・グレーン	ヨシ！	
131	00:06:44	みてるぞ	労災ヨシ	
132	00:06:52	竹輪	姉ちゃん…	
133	00:06:57	さんぽーる祐三	うーん見えてるかなぁ	
134	00:07:01	岸辺一徳	（固定し続けられる焦点）	
135	00:07:18	竹輪	姉ちゃん！？！？	
136	00:07:22	ログ	しぶといなｗ	
137	00:07:31	ジョナサン・グレーン	姉ちゃん…	
138	00:07:50	竹輪	ヨシ…	
139	00:07:50	リフェ	草	
140	00:07:50	ぴねかっと	ﾖｼ…	
141	00:07:50	らうらう	草	
142	00:07:51	Clacklin/クラックリン	ﾖｼ…	
143	00:07:56	うぇいのる	草	
144	00:07:56	ジョナサン・グレーン	草	
145	00:07:56	岸辺一徳	草	
146	00:07:59	らうらう	近い！	
147	00:08:01	近藤亮	草	
148	00:08:01	eve	草	
149	00:08:02	ログ	草	
150	00:08:04	さんぽーる祐三	なるほどなるほど	
151	00:08:04	かたもく	姉ちゃん・・・	
152	00:08:08	mori mori	さっき来たときこんな死屍累々だったっけ？	
153	00:08:09	竹輪	堪能している	
154	00:08:09	みてるぞ	なるほど？	
155	00:08:20	eve	満足した？	
156	00:08:32	カーマイン	調子が悪い	
157	00:08:41	うぇいのる	よかった	
158	00:08:43	リフェ	よかった	
159	00:08:45	岸辺一徳	やはり女の子はエネルギー……	
160	00:08:47	mori mori	途中で寝そう	
161	00:08:47	カーマイン	よかった	
162	00:08:54	eve	よかった	
163	00:08:56	竹輪	えろは偉大	
164	00:09:11	なんたら	エンディングまで寝るんじゃない	
165	00:09:28	みてるぞ	集めるってちゃんと仲間にする（生存）って意味なのね お姉ちゃん頑張ったね	
166	00:10:21	みてるぞ	ビッキーもかわいいよ！	
167	00:10:50	リフェ	チビいいよね	
168	00:10:53	りこった	ちびビッキーかわいい	
169	00:10:57	みてるぞ	ちびビッキーね…あれ時間旅行してきた感じだけど謎だよね	
170	00:10:59	カーマイン	のじゃ〜	
171	00:11:01	さんぽーる祐三	ねこますさん！？	
172	00:11:09	ジョナサン・グレーン	はいどーもー	
173	00:11:22	ノギ	外伝にも出てたけど誰にもその正体はわからない	
174	00:11:25	さんぽーる祐三	難しい問題じゃよね	
175	00:11:48	さんぽーる祐三	難しい問題じゃよね	
176	00:11:51	竹輪	姉ちゃん…	
177	00:12:18	うぇいのる	こいつらは犬なんだろうか	
178	00:12:21	eve	まるで姉ちゃんの企みを見抜いているかのようだ	
179	00:12:45	ねこくーる	手前側は攻撃されにくいのかな	
180	00:12:47	ぴねかっと	草	
181	00:12:59	ジョナサン・グレーン	翻弄されている	
182	00:13:06	竹輪	見せまいという意志を感じる	
183	00:13:08	リフェ	草	
184	00:13:15	カーマイン	姉ちゃん…？	
185	00:13:21	近藤亮	草	
186	00:13:23	りこった	このボス強いな	
187	00:13:31	JUNY	人生ってなかなか見えないね	
188	00:13:33	内海柚	おいしい煮玉子ー	
189	00:13:36	ぺぺ	弱ってるキャラ優先とかそんな感じでは	
190	00:13:55	竹輪	姉ちゃんの目的のため、次々と倒れて行く仲間たち	
191	00:14:00	近藤亮	レディへの気遣いのできる敵だな	
192	00:14:03	うぇいのる	がんばれー	
193	00:14:11	竹輪	ヨシ	
194	00:14:11	りこった	よし	
195	00:14:12	ジョナサン・グレーン	ヨシ！	
196	00:14:13	ぴねかっと	ガン見	
197	00:14:16	mori mori	みえてない	
198	00:14:17	うぇいのる	やったね	
199	00:14:17	なんたら	ヨシ！	
200	00:14:18	JUNY	みえない	
201	00:14:19	ナウ	ご堪能	
202	00:14:22	白雪	がっかりクゥ	
203	00:14:22	カーマイン	ヨシ！	
204	00:14:23	さんぽーる祐三	なるほどね	
205	00:14:26	近藤亮	よし	
206	00:14:33	ログ	うーん	
207	00:14:33	ナウ	ちょっと違ったか	
208	00:14:34	JUNY	違いのわかるJC	
209	00:14:36	竹輪	ご不満だった	
210	00:14:38	eve	がっかり	
211	00:14:59	ジョナサン・グレーン	かなしみ	
212	00:15:06	うぇいのる	よかった	
213	00:15:13	竹輪	姉ちゃんに元気が出てよかった	
214	00:15:13	カーマイン	がんばろう	
215	00:15:20	Clacklin/クラックリン	それさっきも言ってた	
216	00:15:38	mori mori	目を覚ますための行動と眠くなる時間経過の収支釣り合ってなさそう	
217	00:16:00	ジョナサン・グレーン	ヨシ！	
218	00:16:02	JUNY	たしかに	
219	00:16:07	ねこくーる	fight Koo!	
220	00:16:10	カーマイン	がんばえー	
221	00:16:10	eve	がんばれー！	
222	00:16:26	岸辺一徳	りょ！りょ！よいしょ！テンアゲファイト！	
223	00:16:27	和太郎	こんにちは	
224	00:16:28	らうらう	学校やだああああああああああああああああ	
225	00:16:33	なんたら	がんばれー	
226	00:16:35	Clacklin/クラックリン	go Takuya!	
227	00:16:43	竹輪	かわいいかわいい	
228	00:16:49	さんぽーる祐三	ルカ倒したのに結構続くんだね	
229	00:16:50	うぇいのる	わかる	
230	00:16:56	白雪	今度こそ倒しに？	
231	00:17:04	ぺぺ	寝てる間にもずの紋章終わっちゃったか	
232	00:18:03	ジョナサン・グレーン	学校行きたくないよね…	
233	00:18:41	ねこくーる	楽しい話しよう	
234	00:19:05	白雪	学校の楽しさを知るときもう学校には通ってない	
235	00:19:08	らうらう	wwwwwwwwww	
236	00:19:08	ねこくーる	草	
237	00:19:10	竹輪	かなしい…	
238	00:19:10	Redlead	かなしい…	
239	00:19:10	カーマイン	つらい…	
240	00:19:11	aarar scsrt	ないね草	
241	00:19:12	mori mori	かなしいなあ	
242	00:19:12	のねずみ20日	かなしい	
243	00:19:13	ジョナサン・グレーン	草	
244	00:19:13	ぴねかっと	草	
245	00:19:13	究極ド根性ダイコン	つらい	
246	00:19:14	近藤亮	草	
247	00:19:15	えび	かなしい	
248	00:19:15	しれちゅー	姉ちゃん…	
249	00:19:16	ログ	悲しくなった	
250	00:19:18	Clacklin/クラックリン	そっか…	
251	00:19:19	スモーク	お、おう	
252	00:19:19	らうらう	困っちゃったね	
253	00:19:20	さんぽーる祐三	メリークルシミマス！！	
254	00:19:22	なんたら	ない…	
255	00:19:22	JUNY	明日はラジオ第三回だね！準備はばっちり？	
256	00:19:22	eve	そんな...	
257	00:19:54	らうらう	でも来週末はスマブラSPだよ～	
258	00:20:06	白雪	被害者はロボ他数名	
259	00:20:06	竹輪	未視聴勢に配慮するのえらい	
260	00:20:19	みてるぞ	まあアレがポケモンだって感じの戦いだったね 見たい人は長いけど頑張って	
261	00:20:20	リフェ	面白かったよー	
262	00:20:37	クソカワKK	懐かしいゲームしてますね	
263	00:20:38	かたもく	熱かった	
264	00:20:44	うぇいのる	あれは食らったらキレるね…	
265	00:21:05	竹輪	たしかに面白いゲームだ	
266	00:21:11	K. u	美味しい煮玉子 ピカブイは各試合見どころあって良かった	
267	00:21:18	ジョナサン・グレーン	すごい	
268	00:21:22	カーマイン	よくできてる	
269	00:21:40	和太郎	幻想水滸伝２はね……傑作ですよ	
270	00:21:45	バーチャルミク廃立花	ピカブイ杯アーカイブ６時間くらいあるけど実際は準備中とか休憩の時間とかある	
271	00:21:58	白雪	強いワカバちゃんの師匠が弱いわけがなかった	
272	00:22:17	りこった	ワカバちゃんとセットでもっと強い	
273	00:22:40	ジョナサン・グレーン	ちょくちょく席外したり寝落ちしたりしてるから機会があれば自分でもやりたいね	
274	00:22:46	みてるぞ	まあこれの話自体は嫌な展開とかもあるから誰にでも勧められるわけじゃないけどね	
275	00:22:59	うぇいのる	へぇー	
276	00:23:01	らうらう	幼馴染攻撃は	
277	00:23:04	白雪	市民や一部権力者がくしょ	
278	00:23:06	biki koto	昼食食べた？	
279	00:23:26	和太郎	ここでワカバがレベル９０以上だとオーバーフローしてロンチャンチャンのレベルが一ケタとかになるんだっけ	
280	00:23:40	K. u	攻略ページみたけど単体火力枠なんね	
281	00:23:43	岸辺一徳	あんまり食べ過ぎても眠くなっちゃうからね	
282	00:23:44	カーマイン	煮玉子だけ…	
283	00:23:50	JUNY	ちゃんと煮玉子	
284	00:23:59	白雪	ちゃんと？？？	
285	00:24:02	さんぽーる祐三	完全食煮玉子	
286	00:24:07	近藤亮	煮玉子は完全栄養食	
287	00:24:16	竹輪	姉ちゃん少食なのか…	
288	00:24:20	ジョナサン・グレーン	ちゃんと…？	
289	00:24:20	みてるぞ	卵は栄養があるつまり完璧という理論	
290	00:24:25	JUNY	おいしいから大丈夫だよぉ	
291	00:24:46	うぇいのる	それは不味いのでは…	
292	00:24:46	竹輪	うらやましい	
293	00:24:47	ねこくーる	煮玉子だけで全栄養補給したい	
294	00:24:48	えび	すごい	
295	00:24:51	近藤亮	フレキシブルな胃だ	
296	00:24:56	ログ	いいなあ	
297	00:24:56	ジョナサン・グレーン	すごい	
298	00:24:57	カーマイン	ちゃんと食べて…	
299	00:25:11	aarar scsrt	胃適応系JC	
300	00:25:17	かたもく	つよつよ姉ちゃん	
301	00:25:36	近藤亮	さっきめっちゃお金使ったとこだ	
302	00:26:13	竹輪	お金がとぶね	
303	00:26:38	ジョナサン・グレーン	お金が…	
304	00:26:38	みてるぞ	豪遊	
305	00:26:43	mori mori	6桁が3桁に	
306	00:26:44	岸辺一徳	一応セーブしておく？	
307	00:27:06	らうらう	そうかな・・・	
308	00:27:08	カーマイン	ほんと？	
309	00:27:09	うぇいのる	すごい	
310	00:27:16	ジョナサン・グレーン	そうかも…	
311	00:27:20	竹輪	女の子見て覚醒した姉ちゃん	
312	00:27:22	Clacklin/クラックリン	それは安心だ	
313	00:27:28	なんたら	過去ってどの範囲だろう	
314	00:28:07	らうらう	のび	
315	00:28:07	カーマイン	かわいい	
316	00:28:10	増し増し	何で仲間になるのかわからないマルロくん	
317	00:28:13	竹輪	かわいい	
318	00:28:13	seafood	かわいい	
319	00:28:17	ジョナサン・グレーン	かわいい	
320	00:28:25	究極ド根性ダイコン	kawaii	
321	00:28:28	ノギ	ティント超えればダンジョン自体はロックアックスとルルノイエだしね	
322	00:28:48	白雪	セーブ分けポイントがあといくつだっけ	
323	00:28:54	みてるぞ	これでマインドシーカー1日やり続けるとかだったら折れるわ～	
324	00:28:56	さんぽーる祐三	ジェスこの野郎！！	
325	00:29:32	ジョナサン・グレーン	かわいい	
326	00:29:32	竹輪	帰らないで	
327	00:29:34	なんたら	ありがとう	
328	00:29:34	和太郎	ロックアックス結構面倒だった思い出があるんだけどなあ	
329	00:29:56	究極ド根性ダイコン	LSDみたいな雑談枠かな	
330	00:30:27	内海柚	そういやLSD最近見てないな	
331	00:30:31	みてるぞ	クーロンズゲートいいねえ	
332	00:30:38	究極ド根性ダイコン	ガラージュとかもよさそうだけど入手難度が…	
333	00:30:49	ねこくーる	まったり好き	
334	00:31:02	うぇいのる	高い…	
335	00:31:07	なんたら	辛い	
336	00:31:10	究極ド根性ダイコン	お高い…	
337	00:31:14	カーマイン	たっか	
338	00:31:21	リフェ	40万…	
339	00:31:37	さんぽーる祐三	Neuron✕2	
340	00:32:11	カーマイン	シロさんのやつかな	
341	00:32:24	Clacklin/クラックリン	トラ…	
342	00:32:33	うぇいのる	すごい	
343	00:32:36	ねこくーる	性能良くなったらダンスとかできそう	
344	00:32:41	リフェ	へーすごい	
345	00:32:41	あい	すごい	
