行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Tamaya	スアッ	
1	00:00:00	꧁꧂クゥの部屋꧁꧂	ほるまじお	
2	00:00:00	じょーげん	おしい	
3	00:00:00	らうらう	まいまい煮	
4	00:00:00	ニャンコ先生	だし巻きおでん用意しにゃいと	
5	00:00:00	こみこ	おい、デュエルしろよ	
6	00:00:00	_ Tamaya	🤴	
7	00:00:00	ジョナサン・グレーン	じょるのじょばーな	
8	00:00:00	にけい	まじ:クゥフランゾーパークゥフランゾーパー2:💕	
9	00:00:00	うぇいのる	:クゥフランゾーパークゥフランゾーパー2:いい…	
10	00:00:00	ホワイトラン衛兵	ししまい	
11	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
12	00:00:00	ZW犬死無能盾-肉無鶏	ゲンゲル～	
13	00:00:00	リフェ	おいしい煮玉子	
14	00:00:00	天然ステルス	おいしい煮玉子	
15	00:00:00	さんぽーる祐三	おいしいだし巻きおでん	
16	00:00:00	デンキヒツジ	おいしい煮玉子	
17	00:00:00	らうらう	おいしいおじい	
18	00:00:00	ジョナサン・グレーン	:クゥフランゾーパークゥフランゾーパー2::クゥフランゾーパールゥフランゾーパー:いいよね…	
19	00:00:00	らうらう	いい	
20	00:00:00	汁汁煮汁	おいしい煮玉子	
21	00:00:00	sas b	おいしい煮玉子	
22	00:00:00	究極ド根性ダイコン	まじおいしい	
23	00:00:00	ゼッケン100	おいしい煮玉子	
24	00:00:00	20分ねずみ	:クゥフランゾーパークゥフランゾーパー:おいしい:クゥフランゾーパークゥフランゾーパー2:煮玉子:クゥフランゾーパールゥフランゾーパー:	
25	00:00:00	JUNY	おいしい煮玉子	
26	00:00:00	ミワタリ	おいしい煮玉子	
27	00:00:00	_ Die	おいしい煮玉子	
28	00:00:00	大野カムイ	おいしい煮玉子	
29	00:00:00	ジョナサン・グレーン	卍おいしい煮玉子卍	
30	00:00:00	張島サボ太	おいしい煮玉子	
31	00:00:00	こみこ	おいしい煮玉子	
32	00:00:00	うぇいのる	おいしいだし巻き玉子	
33	00:00:00	りあすて	美味しい煮玉子	
34	00:00:00	eve 8848	おいしい煮玉子	
35	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
36	00:00:00	motiyomogi	おいしい煮玉子	
37	00:00:00	J T	おいしい煮玉子	
38	00:00:00	T.のかね	おいしい煮玉玉	
39	00:00:00	にけい	꧁煮꧂	
40	00:00:00	うぇいのる	煮子煮子	
41	00:00:00	蜂屋のシブ	おいしいだし巻き煮卵	
42	00:00:00	くりお	おおいしい煮玉子:クゥフランゾーパークゥフランゾーパー2:	
43	00:00:00	らうらう	し子し子玉玉まじ卍	
44	00:00:00	ゼッケン100	こら！！！	
45	00:00:00	なんたら	おおい玉子	
46	00:00:00	岸辺一徳	おいしい煮玉子	
47	00:00:00	張島サボ太	おいしい遅刻	
48	00:00:00	うぇいのる	圧力すごい	
49	00:00:00	なんたら		￥100
50	00:00:11	岸辺一徳	まじいい子	
51	00:00:11	なんたら	おいしい煮玉子	
52	00:00:14	ゼッケン100	きた！	
53	00:00:14	JUNY	はじまた	
54	00:00:15	motiyomogi	おいしい煮玉子	
55	00:00:16	さんぽーる祐三	おいしい煮玉子	
57	00:00:17	タケノコ男	おいしい煮玉子	
58	00:00:17	らうらう	おいしいにたまご	
59	00:00:17	リフェ	おいしい煮玉子	
60	00:00:17	あい	おいしい煮玉子	
61	00:00:18	_ Die	おいしい煮玉子	
62	00:00:19	うぇいのる	おいしい煮玉子	
63	00:00:20	Eトマト	おいしい圧力玉子	
64	00:00:20	ナウ	おいしい煮玉子	
65	00:00:21	天然ステルス	おいしい煮玉子	
66	00:00:22	まりも	おいしい煮玉子	
67	00:00:22	究極ド根性ダイコン	おいしい煮玉子	
68	00:00:22	eve 8848	おいしい煮玉子	
69	00:00:22	Ryo Kamiya	おいしい煮玉子	
70	00:00:23	大野カムイ	おいしい煮玉子	
71	00:00:23	いぶきんぐ	おいしい煮玉子	
72	00:00:23	ホワイトラン衛兵	おいしい煮玉子	
73	00:00:25	20分ねずみ	おいしい煮玉子	
74	00:00:26	張島サボ太	おいしい煮玉子	
75	00:00:26	岸辺一徳	おいしい煮玉子	
76	00:00:27	こみこ	誰この可愛い子	
77	00:00:28	seafood	おいしい煮玉子	
78	00:00:28	T.のかね	おいしい煮玉子	
79	00:00:30	やなぎかげ	おいしい出汁巻き	
80	00:00:30	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
81	00:00:32	生霊X	煮玉子力が高まり過ぎでは？	
82	00:00:33	なんたら	カチャカチャ	
83	00:00:34	sio3go	おいしい煮玉子	
84	00:00:37	デンキヒツジ	おいしい煮玉子	
85	00:00:39	ノギ	おいしいだし巻き卵	
86	00:00:43	みね	おいしいコーヒーだし玉子	
87	00:00:44	mori mori	おいしい	
88	00:00:44	くりお	卍:クゥフランゾーパークゥフランゾーパー:煮玉子:クゥフランゾーパークゥフランゾーパー2:卍	
89	00:00:45	いぶきんぐ	まじ煮玉子卍	
91	00:00:52	にけい	おいしい煮玉子	
92	00:00:54	Fine TK	美味しい煮玉子	
