行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:11	JUNY	おいしい煮玉子	
4	00:00:17	ミワタリ	おいしい煮玉子	
5	00:00:18	ナウ	おいしい煮玉子	
6	00:00:21	スモーク	おいしい煮玉子	
7	00:00:21	Redmix	おいしい煮玉子	
8	00:00:22	タケノコ男	おいしい煮玉子	
9	00:00:24	_ Die	おいしい煮玉子	
10	00:00:25	ヌルヌペペ	おいしい煮玉子	
11	00:00:27	小さい胡麻塩	おいしい煮玉子	
12	00:00:29	seafood	おいしい煮玉子	
13	00:00:30	りあすて	おいしい煮玉子	
14	00:00:37	ジャック・オー	おいしい煮玉子	
15	00:00:42	ほるもん	おいしい煮玉子	
16	00:00:42	sio3go	おいしい煮玉子	
17	00:00:43	ss kk	​おいしい煮玉子	
18	00:00:43	りあすて	昆虫採集？	
19	00:00:46	ホワイトラン衛兵	既にカオス…	
20	00:00:46	ああ	おいしい煮玉子	
21	00:00:50	桜田紅	おいしい煮玉子	
22	00:00:53	motiyomogi	おいしい煮玉子	
23	00:01:05	リフェ	凄い不思議そうなゲームだ…	
24	00:01:15	はおたど	おいしい煮玉子	
25	00:01:18	たんこぶ	結構TIZストーリー良いよ	
26	00:01:35	らうらう	TIZ	
27	00:01:37	真新八	再おいしい煮玉子	
28	00:01:42	スモーク	草	
29	00:01:42	x 7up	おいしい煮玉子～	
30	00:01:44	天然ステルス	おいしい煮玉子	
31	00:01:47	小さい胡麻塩	メーカーロゴみたい	
32	00:01:48	ナウ	？	
33	00:01:51	ミワタリ	こわい	
34	00:01:51	タケノコ男	こわい	
35	00:01:52	H Y	おいしい煮玉子	
36	00:01:53	_ Die	こわい	
37	00:01:53	motiyomogi	？？？？	
38	00:01:53	ホワイトラン衛兵	こわい	
39	00:01:57	ジャック・オー	こわい	
40	00:01:59	八木谷	おいしい煮玉子	
41	00:02:07	城ヶ崎涼	嗚呼電波おお電波	
42	00:02:10	天然ステルス	電波	
43	00:02:12	パンセポンセ	おいしい煮玉子	
44	00:02:13	リフェ	こわい	
45	00:02:16	x 7up	超技術だ…	
46	00:02:18	ジャック・オー	生命の神秘的なサムシング	
47	00:02:19	うましゃく	おいしい煮玉子	
48	00:02:19	八木谷	こわい	
49	00:02:27	城ヶ崎涼	PS時代の謎CGの風情よ	
50	00:02:28	ホワイトラン衛兵	狂気的…	
51	00:02:30	Ami Saika	PSって感じの雰囲気だ	
52	00:02:34	むむめめ	おいしい煮玉子	
53	00:00:00	らうらう	おいしい煮玉子	
54	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
55	00:00:00	リフェ	おいしい煮玉子	
56	00:00:11	JUNY	おいしい煮玉子	
57	00:00:17	ミワタリ	おいしい煮玉子	
58	00:00:18	ナウ	おいしい煮玉子	
59	00:00:21	スモーク	おいしい煮玉子	
60	00:00:21	Redmix	おいしい煮玉子	
61	00:00:22	タケノコ男	おいしい煮玉子	
62	00:00:24	_ Die	おいしい煮玉子	
63	00:00:25	ヌルヌペペ	おいしい煮玉子	
64	00:00:27	小さい胡麻塩	おいしい煮玉子	
65	00:00:29	seafood	おいしい煮玉子	
66	00:00:30	りあすて	おいしい煮玉子	
67	00:00:37	ジャック・オー	おいしい煮玉子	
68	00:00:42	ほるもん	おいしい煮玉子	
69	00:00:42	sio3go	おいしい煮玉子	
70	00:00:43	ss kk	​おいしい煮玉子	
71	00:00:43	りあすて	昆虫採集？	
72	00:00:46	ホワイトラン衛兵	既にカオス…	
73	00:00:46	ああ	おいしい煮玉子	
74	00:00:50	桜田紅	おいしい煮玉子	
75	00:00:53	motiyomogi	おいしい煮玉子	
76	00:01:05	リフェ	凄い不思議そうなゲームだ…	
77	00:01:15	はおたど	おいしい煮玉子	
78	00:01:18	たんこぶ	結構TIZストーリー良いよ	
79	00:01:35	らうらう	TIZ	
80	00:01:37	真新八	再おいしい煮玉子	
81	00:01:42	スモーク	草	
82	00:01:42	x 7up	おいしい煮玉子～	
83	00:01:44	天然ステルス	おいしい煮玉子	
84	00:01:47	小さい胡麻塩	メーカーロゴみたい	
85	00:01:48	ナウ	？	
86	00:01:51	ミワタリ	こわい	
87	00:01:51	タケノコ男	こわい	
88	00:01:52	H Y	おいしい煮玉子	
89	00:01:53	_ Die	こわい	
90	00:01:53	motiyomogi	？？？？	
91	00:01:53	ホワイトラン衛兵	こわい	
92	00:01:57	ジャック・オー	こわい	
93	00:01:59	八木谷	おいしい煮玉子	
94	00:02:07	城ヶ崎涼	嗚呼電波おお電波	
95	00:02:10	天然ステルス	電波	
96	00:02:12	パンセポンセ	おいしい煮玉子	
97	00:02:13	リフェ	こわい	
98	00:02:16	x 7up	超技術だ…	
99	00:02:18	ジャック・オー	生命の神秘的なサムシング	
100	00:02:19	うましゃく	おいしい煮玉子	
101	00:02:19	八木谷	こわい	
102	00:02:27	城ヶ崎涼	PS時代の謎CGの風情よ	
103	00:02:28	ホワイトラン衛兵	狂気的…	
104	00:02:30	Ami Saika	PSって感じの雰囲気だ	
105	00:02:34	むむめめ	おいしい煮玉子	
