行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	和音	おいたま	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	むむめめ	おいしい煮玉子	
4	00:00:00	白黒	おいし煮玉子	
5	00:00:00	御手洗ヨースケ	おいしい煮玉子	
6	00:00:00	HILO	おいしい煮玉子	
7	00:00:00	リフェ	おいしい煮玉子	
8	00:00:00	K. u	おいしい煮玉子	
9	00:00:00	ジャック・オー	おいしい煮玉子	
10	00:00:00	桜田紅	おいしい煮玉子	
11	00:00:00	クゥの部屋 Ch	１０分ぐらい遅れます すいません	
12	00:00:00	いぶきんぐ	おいしい煮玉子	
13	00:00:00	ジャック・オー	りょ	
14	00:00:00	匿名希望	おいしい煮玉子	
15	00:00:00	いぶきんぐ	りょ。	
16	00:00:00	HILO	進むペースの速い時間が悪いところあると思う	
17	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
18	00:00:00	ジョナサン・グレーン	時間空けてたのに出かける用事入ってしまった…つらみ	
19	00:00:00	ゼッケン100	おいしい煮玉子	
20	00:00:00	クロムア	おいしい煮玉子	
21	00:00:00	スモーク	おいしい煮玉子	
22	00:00:00	おさかな	おいしい煮玉子	
23	00:00:00	カーマイン	おいしい煮玉子	
24	00:00:00	biki koto	めんみ	
25	00:00:00	ジャック・オー	おいしいめんみ	
26	00:00:00	むむめめ		￥600
27	00:00:08	東京コノハムシ	おいしい煮玉子	
28	00:00:13	mk 95	おいしい煮玉子	
29	00:00:20	K. u	おいしい煮玉子	
30	00:00:21	motiyomogi	おいしい煮玉子	
31	00:00:22	リフェ	おいしい煮玉子	
32	00:00:23	HILO	おいしい煮玉子	
33	00:00:24	おさかな	おいしい煮玉子	
34	00:00:25	天然ステルス	おいしい煮玉子	
35	00:00:25	Ryo Kamiya	おいしい煮玉子	
36	00:00:26	カギカギ	おいしい煮玉子	
37	00:00:29	ジャック・オー	おいしい煮玉子　	
38	00:00:30	mori mori	おいしそう	
39	00:00:30	匿名希望	おいしい煮玉子	
40	00:00:30	防波亭土左衛門	おいしい煮玉子	
41	00:00:32	biki koto	おいしい煮玉子	
42	00:00:32	らうらう	​おいしい煮玉子	
43	00:00:32	レザクリエ	おいしい煮玉子	
44	00:00:37	東京コノハムシ	おいしい煮玉子	
45	00:00:37	うぇいのる	おいしい煮玉子	
46	00:00:37	らうらう	おてて	
47	00:00:39	りあすて	おいしい煮玉子	
48	00:00:39	motiyomogi	おゆび	
49	00:00:41	HILO	始まってるよ	
