行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Die	おつにた	
1	00:00:00	Yuiちゃんねる	おつにた	
2	00:00:00	Redmix	おつにた	
3	00:00:00	尾花	おつにた	
4	00:00:00	バーチャルYouTuberガニメデちゃんねる	おつにた	
5	00:00:00	tage	おつにた覚えた	
6	00:00:00	周恩来	おつにた	
7	00:00:00	いぶきんぐ	天啓としてのおつにた	
8	00:00:00	究極ド根性ダイコン	おつにた	
9	00:00:00	究極ド根性ダイコン	また姉ちゃんがナチュラルにパッケージに混ざってる	
10	00:00:00	くら	自然に混ざる姉ちゃん	
11	00:00:00	いぶきんぐ	かわいいよね	
12	00:00:00	ヌルヌペペ	自然に混ざってんなぁ	
13	00:00:00	zaff	姉ちゃんのサムネ芸好きだよ	
14	00:00:00	ねこくま	コブンが消されてる	
15	00:00:00	マーズ	姉ちゃんはコブンだった	
16	00:00:00	SOP	DASH３までやってほしいなぁ～	
17	00:00:00	マーズ	２ＤＤＡＳＨ３なら同人であるよ	
18	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
19	00:00:00	ヘンリーダーガー	おにたま～	
20	00:00:00	あい	おいしい煮玉子	
21	00:00:00	らうらう	​おいしい煮玉子🥚	
22	00:00:00	tage	windows許せねえ･･･	
23	00:00:00	もっぃ	Microsoftそういうとこやぞ	
24	00:00:00	Shuzo	まじかよ最低だなLinux…ジョブズがあの世で泣いてるわ	
25	00:00:00	らうらう	Windowsも休みたがっとる	
26	00:00:00	ひとーん	ゲイツって名前の奴にはろくな奴がいないからな	
27	00:00:00	陰キャバス竹中	おいたまー	
28	00:00:00	ヌルヌペペ	おいしい煮玉子	
29	00:00:00	らうらう	꧁🥚​꧂	
30	00:00:00	あい	🥚꧁꧂　	
31	00:00:00	なにここ	windows更新！ 高評価！	
32	00:00:00	うぇいのる	美味しい煮玉子	
33	00:00:00	ブロア	おいしい煮玉子	
34	00:00:00	陰キャバス竹中	ゲイツ今から刺しに行くから舞ってろよ！！	
35	00:00:00	なすこ	ゲイツの舞が今、はじまる	
36	00:00:00	陰キャバス竹中	ねぇちゃんの配信終わってから行くから、舞ってろよ！	
37	00:00:00	なすこ	開始時間が２２時になりました。	
38	00:00:00	らうらう	どでかいアプデ最近ふってきてたっけ・・・	
39	00:00:00	名馬ポニー	美味しい2玉子	
40	00:00:00	岸辺一徳	ちゃんと時間の訂正！高評価！	
41	00:00:00	もっぃ	煮	
42	00:00:00	Shuzo	5分前煮玉子	
43	00:00:00	らうらう	　　　　　　　　　　　	
44	00:00:00	ネズミ2/2/6	一人ぐらい持って行っても…バレへんか	
45	00:00:00	鼻毛の錬金術師	もうすぐ	
46	00:00:00	ブロア	おいしい煮玉子	
47	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
48	00:00:00	スルーラスト	おいしい煮玉子(๑>ڡ<๑)	
49	00:00:00	ネズミ2/2/6	おいしい煮玉子	
50	00:00:00	畑秋	第１回遊戯王デュエルリンクスVTuber杯優勝おめでとうございます(*'ω'ﾉﾉﾞ☆ﾊﾟﾁﾊﾟﾁ 第2、3、デュエルリンクスがある限りやってほしい！ 要望で視聴者も参加させてほしい(´∀｀) あと水着代	￥20,000
51	00:00:15	mori mori	姉ちゃんおはよう	
52	00:00:17	うぇいのる	美味しい煮玉子	
53	00:00:21	ゴギガガガギゴ	おいしい煮玉子	
54	00:00:22	八木谷	おいしい煮玉子	
55	00:00:23	Garden	おいしい煮玉子	
56	00:00:25	もっぃ	Delicious Boiled Egg	
57	00:00:26	ふーばー	おいたまー	
58	00:00:27	らうらう	おいしい煮玉子	
59	00:00:29	いぶきんぐ	おいしい煮玉子	
60	00:00:29	マーズ	おいしい煮玉子	
61	00:00:30	_ Die	おいしい煮玉子	
62	00:00:30	かたもく	おいしい煮卵DASH	
63	00:00:30	zaff	おいたまー	
64	00:00:31	なつヲキク	おいしい煮玉子	
65	00:00:33	あい	おいしい煮玉子～	
66	00:00:35	タケノコ男	おいしい煮玉子	
67	00:00:36	マーズ	ＤＡＳＨ２はいいぞ	
68	00:00:37	あまいさい	おいしい煮玉子	
69	00:00:38	なる	おいしい煮玉子	
70	00:00:40	R gon	おいたま	
71	00:00:44	スモーク	おいたま！	
72	00:00:45	ブセミ	おいしい煮玉子	
73	00:00:45	うぇいのる	꧁꧂<ｵｲｼｲﾆﾀﾏｺﾞｰ	
74	00:00:45	だるハチ	🥚	
75	00:00:46	究極ド根性ダイコン	おいしい煮玉子	
76	00:00:49	鼻毛の錬金術師	windowsのアプデ終わったか	
77	00:00:50	かたもく	DASH煮卵	
78	00:00:51	ヘンリーダーガー	おいしい煮玉子	
79	00:00:56	なすこ	美味しい煮玉子	
80	00:00:59	monyamon	おいしい煮玉子	
81	00:00:59	べるべる	oisii	
82	00:01:02	R gon	気付いたら登録者一万手前なのか	
83	00:01:04	空気	おいしい煮玉子	
84	00:01:04	内海柚	おいしい煮玉子	
85	00:01:08	あい	　🥚おいしい煮玉子！	
86	00:01:11	べるべる	おいしい煮卵	
87	00:01:11	ネズミ2/2/6	　←かわいい	
88	00:01:13	なすこ	ごめん今日初めて放送みたんだけどおいしい煮玉子って何？	
89	00:01:19	sas b	おいしい煮玉子	
90	00:01:19	Garden	前はおにたまって言ってたじゃん！	
91	00:01:20	砂上きみず	おいたま	
92	00:01:22	かたもく	あいさつやで	
