行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	H Y	おいしい煮玉子	
1	00:00:00	パンセポンセ	おいしい煮玉子	
2	00:00:00	Kei H	wako	
3	00:00:00	防人	おいしい煮玉子	
4	00:00:00	桜田紅	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	天然ステルス	おいしい煮玉子	
7	00:00:00	カギカギ	おいしい煮玉子	
8	00:00:00	小さい胡麻塩	おいしい煮玉子	
9	00:00:00	スモーク	おいしい煮玉子	
10	00:00:00	ゆおた	おいしい煮玉子	
11	00:00:00	二百三千	おいしい煮玉子	
12	00:00:00	Ganon	おいすぅい煮玉子	
13	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
14	00:00:00	D W	おいしい煮玉子	
15	00:00:00	近藤亮	おいしい煮玉子	
16	00:00:00	鉄馬	おいしい煮玉子	
17	00:00:00	みよ	おいしい煮玉子	
18	00:00:00	JUNY	おいしい煮玉子	
19	00:00:00	畑秋	​おいしい煮玉子	
20	00:00:00	K. u	おいしい煮玉子	
21	00:00:00	ジャック・オー	おいしい煮玉子	
22	00:00:16	sas b	おいしい煮玉子	
23	00:00:17	ナウ	おいしい煮玉子	
24	00:00:17	Ryo Kamiya	おいしい煮玉子	
25	00:00:17	のねずみ	おいしい煮玉子	
26	00:00:19	motiyomogi	おいしい煮玉子	
27	00:00:20	のなちき	おいしい煮玉子	
28	00:00:21	天然ステルス	おいしい煮玉子	
29	00:00:21	らうらう	おいしいにたまご	
30	00:00:22	タケノコ男	おいしい煮玉子	
31	00:00:23	ジョナサン・グレーン	おいしい煮玉子	
32	00:00:25	パンセポンセ	おいしい煮玉子	
33	00:00:28	JUNY	はじまった	
34	00:00:30	カギカギ	おいしい煮玉子	
35	00:00:32	小さい胡麻塩	おいしい煮玉子	
36	00:00:33	H Y	おいしい煮玉子	
37	00:00:34	Kei H	おはよう～	
38	00:00:48	ナウ	かたむき姉ちゃん	
39	00:00:51	ZX bankara	おはよー	
40	00:00:54	カギカギ	かわいい	
41	00:00:57	BDUパイソン	おはようございます～	
42	00:01:00	seafood	おいしい煮玉子	
43	00:01:03	sas b	\	
44	00:01:04	K. u	おいしい煮玉子	
45	00:01:11	なる	おいしい煮玉子 アルティマニア引っ張り出してきた	
46	00:01:11	のねずみ	10-2って長いの？	
47	00:01:16	リフェ	おいしい煮玉子	
48	00:01:21	sas b	何時間寝だめできました？	
49	00:01:22	Kei H	こっちはやった事無いから楽しみ	
