行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	悠	おめでとう	￥240
1	00:00:00	20分ねずみ	殿堂入りおつかれさまでした	￥1,000
2	00:00:15	らうらう	おいたま	
3	00:00:15	なんたら	おいしい煮玉子	
4	00:00:18	ホワイトラン衛兵	おいしい煮玉子	
5	00:00:19	ふじ	美味しい煮玉子	
6	00:00:23	御早和杯	おいしい煮玉子	
7	00:00:24	スモーク	おいしい煮玉子	
8	00:00:26	タケノコ男	おいしい煮玉子	
9	00:00:27	あちゅたん	最終回	
10	00:00:27	究極ド根性ダイコン	おいしい煮玉子	
11	00:00:32	20分ねずみ	おいしい煮玉子	
12	00:00:34	Garden	おいしい煮玉子	
13	00:00:37	eve 8848	おいしい煮玉子	
14	00:01:01	なる	おいしい煮玉子	
15	00:01:03	Clacklin	おいしい煮玉子	
16	00:01:19	にけい	おいしい煮玉子	
17	00:01:23	20分ねずみ	チャンピオンロードがどれだけ長いか	
18	00:01:26	しろみんてぃS	おいしい煮玉子	
19	00:01:36	ふたばred	おいしい煮玉子	
20	00:01:38	味付けタマゴ	おいしい煮玉子	
21	00:01:43	K. u	おいしい煮玉子	
22	00:01:46	スモーク	マジだ	
23	00:01:56	にけい	メタモンがいるところだ	
24	00:01:57	しろみんてぃS	バッジとかクリスタルの数を見て売るものを決めるショップ…	
25	00:01:58	うぇいのる	おいしい煮玉子	
26	00:02:03	くりお	おいしい煮玉子	
27	00:02:26	K. u	200じゃないんだすごい傷薬	
28	00:02:32	らうらう	あメタモン	
29	00:02:47	うぇいのる	はやい	
30	00:02:55	あちゅたん	最初のほう行ってもあるんだよね	
31	00:02:56	究極ド根性ダイコン	グリーン敗北RTA	
32	00:03:06	K. u	グリーン瞬殺されてる...	
33	00:03:18	ふたばred	グリーンくん負けるの早くない……？	
34	00:03:28	くりお	瞬殺草	
35	00:03:34	うぇいのる	初めてで加減が分からなかったんだろう…	
36	00:04:00	くりお	ラフレシアかわいいな	
37	00:04:23	ふじ	グリーンの草枠はナッシーだったっけ	
38	00:04:50	うぇいのる	進化してる…！	
39	00:04:54	究極ド根性ダイコン	なるほど…	
40	00:05:05	K. u	地面単タイプは重いんだって	
41	00:05:10	むむめめ	あのカラカラがこんなに立派になって・・・	
42	00:05:24	うぇいのる	草	
43	00:05:29	ふじ	鬼火読み剣の舞は草	
44	00:05:39	むむめめ	読みあい発生してる	
45	00:05:52	あちゅたん	あほだった	
46	00:06:00	結城晶	まだ舞える	
47	00:06:02	K. u	草から草	
48	00:06:13	なんたら	草	
49	00:06:18	スモーク	草	
50	00:00:00	悠	おめでとう	￥240
51	00:00:00	20分ねずみ	殿堂入りおつかれさまでした	￥1,000
52	00:00:15	らうらう	おいたま	
53	00:00:15	なんたら	おいしい煮玉子	
54	00:00:18	ホワイトラン衛兵	おいしい煮玉子	
55	00:00:19	ふじ	美味しい煮玉子	
56	00:00:23	御早和杯	おいしい煮玉子	
57	00:00:24	スモーク	おいしい煮玉子	
58	00:00:26	タケノコ男	おいしい煮玉子	
59	00:00:27	あちゅたん	最終回	
60	00:00:27	究極ド根性ダイコン	おいしい煮玉子	
61	00:00:32	20分ねずみ	おいしい煮玉子	
62	00:00:34	Garden	おいしい煮玉子	
63	00:00:37	eve 8848	おいしい煮玉子	
64	00:01:01	なる	おいしい煮玉子	
65	00:01:03	Clacklin	おいしい煮玉子	
66	00:01:19	にけい	おいしい煮玉子	
67	00:01:23	20分ねずみ	チャンピオンロードがどれだけ長いか	
68	00:01:26	しろみんてぃS	おいしい煮玉子	
69	00:01:36	ふたばred	おいしい煮玉子	
70	00:01:38	味付けタマゴ	おいしい煮玉子	
71	00:01:43	K. u	おいしい煮玉子	
72	00:01:46	スモーク	マジだ	
73	00:01:56	にけい	メタモンがいるところだ	
74	00:01:57	しろみんてぃS	バッジとかクリスタルの数を見て売るものを決めるショップ…	
75	00:01:58	うぇいのる	おいしい煮玉子	
76	00:02:03	くりお	おいしい煮玉子	
77	00:02:26	K. u	200じゃないんだすごい傷薬	
78	00:02:32	らうらう	あメタモン	
79	00:02:47	うぇいのる	はやい	
80	00:02:55	あちゅたん	最初のほう行ってもあるんだよね	
81	00:02:56	究極ド根性ダイコン	グリーン敗北RTA	
82	00:03:06	K. u	グリーン瞬殺されてる...	
83	00:03:18	ふたばred	グリーンくん負けるの早くない……？	
84	00:03:28	くりお	瞬殺草	
85	00:03:34	うぇいのる	初めてで加減が分からなかったんだろう…	
86	00:04:00	くりお	ラフレシアかわいいな	
87	00:04:23	ふじ	グリーンの草枠はナッシーだったっけ	
88	00:04:50	うぇいのる	進化してる…！	
89	00:04:54	究極ド根性ダイコン	なるほど…	
90	00:05:05	K. u	地面単タイプは重いんだって	
91	00:05:10	むむめめ	あのカラカラがこんなに立派になって・・・	
92	00:05:24	うぇいのる	草	
93	00:05:29	ふじ	鬼火読み剣の舞は草	
94	00:05:39	むむめめ	読みあい発生してる	
95	00:05:52	あちゅたん	あほだった	
96	00:06:00	結城晶	まだ舞える	
97	00:06:02	K. u	草から草	
98	00:06:13	なんたら	草	
99	00:06:18	スモーク	草	
100	00:06:53	スモーク	やったね	
101	00:06:55	くりお	やったね！	
102	00:06:59	eve 8848	やったね	
103	00:07:05	K. u	物理ならさすがに弱点でも耐えるよね	
104	00:07:09	タケノコ男	やったね	
105	00:07:14	岸辺一徳	いいやつ	
106	00:07:17	K. u	やったね	
107	00:07:29	ふたばred	可愛い奴め	
108	00:07:30	うぇいのる	いい子だ…	
109	00:07:32	スモーク	かわいい	
110	00:07:33	くりお	往生際悪い	
111	00:07:33	内海柚	死亡フラグかな	
112	00:07:35	タケノコ男	かわいい	
113	00:07:37	くりお	かわいい	
114	00:07:40	行方不明	かわいい	
