行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	　<おにたま～！	
1	00:00:00	うぇいのる	おいしい煮玉子	
2	00:00:00	究極ド根性ダイコン	　🥚	
3	00:00:00	岸辺一徳	おいしい煮玉子	
4	00:00:00	はるにれ	おいしい煮玉子	
5	00:00:00	ブロア	おいしい煮玉子	
6	00:00:00	tage	　🥖	
7	00:00:00	ネズミ2/2/6	　おいしい煮玉子　	
8	00:00:00	Garden	おいしい煮玉子	
9	00:00:00	ヌルヌペペ	おいしい煮玉子	
10	00:00:00	ささささぬげ	　	
11	00:00:00	さんぽーる祐三	おいしい煮玉子	
12	00:00:00	ハイナマ	おいしい煮玉子	
13	00:00:00	Garden		￥100
14	00:00:00	らうらう	おはなだい	￥200
15	00:00:08	プレコ	おにたまー	
16	00:00:18	究極ド根性ダイコン	おかえり煮玉子	
17	00:00:23	べるべる	おいたま	
18	00:00:27	ジョナサン・グレーン	おにたま〜	
19	00:00:28	mori mori	わこつ	
20	00:00:28	うぇいのる	おかえり	
21	00:00:30	竹輪	おいしい煮玉子	
22	00:00:30	岸辺一徳	おにいたま	
23	00:00:31	미아린ミアリン	Hello~!	
24	00:00:33	白雪	にたま	
25	00:00:33	尾花	おいしい煮玉子	
26	00:00:34	らうらう	おかたま	
27	00:00:34	近藤亮	おいしい煮玉子	
28	00:00:37	せせらぎ	おいたま～	
29	00:00:38	もふ	おいしい煮玉子	
30	00:00:39	TKG M	おいしい煮玉子！	
31	00:00:40	なる	おいしい煮玉子	
32	00:00:41	みつはちみつ	おかえり煮玉子	
33	00:00:46	スモーク	おいたま！	
34	00:00:47	いぶきんぐ	かえってきた煮玉子	
35	00:00:47	みよ	咳をしてもおいしい煮玉子	
36	00:00:50	八木谷	おかえり煮玉子	
37	00:00:51	近藤亮	Hola!	
38	00:00:51	tage	cute english	
39	00:00:52	キサラギ	おいしい煮玉子	
40	00:00:53	らうらう	kawaii english	
41	00:00:53	ぼたん	おかえり煮玉子	
42	00:00:54	レアリスム星人	おいしい煮玉子	
43	00:00:56	うぇいのる	ハロ煮玉子	
44	00:01:00	じょーげん	サムギョプサル草	
45	00:01:05	究極ド根性ダイコン	グローバル姉ちゃん	
46	00:01:06	あざーら	꧁꧂<ｵｲｼｲﾆﾀﾏｺﾞ	
47	00:01:06	むにむにまんじゅう	にーはお	
48	00:01:07	いぶきんぐ	サムギョプサル草	
49	00:01:11	岸辺一徳	チョナンカンかわいい	
50	00:01:12	ジョナサン・グレーン	cute english	
51	00:01:21	じょーげん	草彅剛	
52	00:01:23	すろっかす	おにたまー	
53	00:01:27	ノギ	そういえば今日の即売会に姉ちゃん表紙のやつあったね	
54	00:01:28	めるカバ	おいしい煮玉子	
55	00:01:45	究極ド根性ダイコン	あら	
56	00:01:45	はるにれ	!?	
57	00:01:45	じょーげん	ねえちゃああああん！１	
58	00:01:46	竹輪	あら	
59	00:01:52	白雪	おー？	
60	00:01:58	近藤亮	あれ？	
61	00:01:59	ハイナマ	パチモンにショックを受けて・・・	
62	00:02:00	ブロア	止まったり止まらなかったりしとる	
63	00:00:00	らうらう	　<おにたま～！	
64	00:00:00	うぇいのる	おいしい煮玉子	
65	00:00:00	究極ド根性ダイコン	　🥚	
66	00:00:00	岸辺一徳	おいしい煮玉子	
67	00:00:00	はるにれ	おいしい煮玉子	
68	00:00:00	ブロア	おいしい煮玉子	
69	00:00:00	tage	　🥖	
70	00:00:00	ネズミ2/2/6	　おいしい煮玉子　	
71	00:00:00	Garden	おいしい煮玉子	
72	00:00:00	ヌルヌペペ	おいしい煮玉子	
73	00:00:00	ささささぬげ	　	
74	00:00:00	さんぽーる祐三	おいしい煮玉子	
75	00:00:00	ハイナマ	おいしい煮玉子	
76	00:00:00	Garden		￥100
77	00:00:00	らうらう	おはなだい	￥200
78	00:00:08	プレコ	おにたまー	
79	00:00:18	究極ド根性ダイコン	おかえり煮玉子	
80	00:00:23	べるべる	おいたま	
81	00:00:27	ジョナサン・グレーン	おにたま〜	
82	00:00:28	mori mori	わこつ	
83	00:00:28	うぇいのる	おかえり	
84	00:00:30	竹輪	おいしい煮玉子	
85	00:00:30	岸辺一徳	おにいたま	
86	00:00:31	미아린ミアリン	Hello~!	
87	00:00:33	白雪	にたま	
88	00:00:33	尾花	おいしい煮玉子	
89	00:00:34	らうらう	おかたま	
90	00:00:34	近藤亮	おいしい煮玉子	
91	00:00:37	せせらぎ	おいたま～	
92	00:00:38	もふ	おいしい煮玉子	
93	00:00:39	TKG M	おいしい煮玉子！	
94	00:00:40	なる	おいしい煮玉子	
95	00:00:41	みつはちみつ	おかえり煮玉子	
96	00:00:46	スモーク	おいたま！	
97	00:00:47	いぶきんぐ	かえってきた煮玉子	
98	00:00:47	みよ	咳をしてもおいしい煮玉子	
99	00:00:50	八木谷	おかえり煮玉子	
100	00:00:51	近藤亮	Hola!	
101	00:00:51	tage	cute english	
102	00:00:52	キサラギ	おいしい煮玉子	
103	00:00:53	らうらう	kawaii english	
104	00:00:53	ぼたん	おかえり煮玉子	
105	00:00:54	レアリスム星人	おいしい煮玉子	
106	00:00:56	うぇいのる	ハロ煮玉子	
107	00:01:00	じょーげん	サムギョプサル草	
108	00:01:05	究極ド根性ダイコン	グローバル姉ちゃん	
109	00:01:06	あざーら	꧁꧂<ｵｲｼｲﾆﾀﾏｺﾞ	
110	00:01:06	むにむにまんじゅう	にーはお	
111	00:01:07	いぶきんぐ	サムギョプサル草	
112	00:01:11	岸辺一徳	チョナンカンかわいい	
113	00:01:12	ジョナサン・グレーン	cute english	
114	00:01:21	じょーげん	草彅剛	
115	00:01:23	すろっかす	おにたまー	
116	00:01:27	ノギ	そういえば今日の即売会に姉ちゃん表紙のやつあったね	
117	00:01:28	めるカバ	おいしい煮玉子	
118	00:01:45	究極ド根性ダイコン	あら	
119	00:01:45	はるにれ	!?	
120	00:01:45	じょーげん	ねえちゃああああん！１	
121	00:01:46	竹輪	あら	
122	00:01:52	白雪	おー？	
123	00:01:58	近藤亮	あれ？	
124	00:01:59	ハイナマ	パチモンにショックを受けて・・・	
125	00:02:00	ブロア	止まったり止まらなかったりしとる	
126	00:02:04	いぶきんぐ	もどった	
127	00:02:05	近藤亮	もどった	
128	00:02:07	全身酸素	直ってよかった	
129	00:02:07	うぇいのる	一瞬おちたね	
130	00:02:08	みつはちみつ	もどった	
131	00:02:08	プレコ	かえってきた	
132	00:02:10	らうらう	もどった	
133	00:02:11	じょーげん	帰ってきた	
134	00:02:12	FES:sydss037	こんばんはー	
135	00:02:14	さんぽーる祐三	もどった	
136	00:02:15	せせらぎ	KENZENなのか	
137	00:02:16	あざーら	いま大丈夫	
138	00:02:18	岸辺一徳	おかえり	
139	00:02:23	竹輪	おかえり	
140	00:02:24	TKG M	大丈夫そう	
141	00:02:27	らうらう	薄い本の話ししてたら堕ちた	
142	00:02:36	ハイナマ	回線的なあれかな	
143	00:02:39	ネズミ2/2/6	YouTubeさんあるある	
144	00:02:39	いぶきんぐ	YouTubeさんの配慮	
145	00:02:40	さんぽーる祐三	千年帽子のグッズ化待ってますよ俺は	
146	00:02:41	めるカバ	姉ちゃんのウス=イ本ほしい	
147	00:02:42	うぇいのる	YouTubeさんこれ見えますか	
148	00:02:46	究極ド根性ダイコン	評判いいパチモンで草	
149	00:02:55	八木谷	配慮されている	
150	00:03:00	らうらう	草	
151	00:03:03	えび	JC腕力	
152	00:03:04	八木谷	草	
153	00:03:17	ノギ	さはなくんちゃんさんが画像上げてた	
154	00:03:18	くものいと	シャワーササっと入ってきたがちょうどよかったかな	
155	00:03:19	らうらう	最近さくらレビュー多くてくしょ	
156	00:03:20	ネズミ2/2/6	正規品がナンバーワン！	
157	00:04:08	ぼたん	ピンチ…？	
158	00:04:16	究極ド根性ダイコン	また姉ちゃんがプルプルしちゃう	
159	00:04:16	うぇいのる	修理とかも考えると任天堂製がNO.1！	
160	00:04:23	いぶきんぐ	あらら	
161	00:04:25	らうらう	えっ	
162	00:04:26	くものいと	マジか	
163	00:04:26	ささささぬげ	草	
164	00:04:27	mori mori	草	
165	00:04:38	鼻毛の錬金術師	おいしい煮玉子	
166	00:04:39	せせらぎ	まさかのアマレコ	
167	00:04:40	究極ド根性ダイコン	そっちかぁ	
168	00:04:45	めるカバ	うn？？？	
169	00:04:48	K. u	nnnltu￥	
170	00:04:51	うぇいのる	ええ…	
171	00:04:52	ノンフロン	草	
172	00:04:52	らうらう	！？！？	
173	00:04:54	究極ド根性ダイコン	音だけ聞こえてる	
174	00:04:55	mori mori	草	
175	00:04:58	白雪	ふえるわかめ	
176	00:04:58	いぶきんぐ	データ増えてて草	
177	00:04:58	みつはちみつ	増えてる…？	
178	00:04:59	せせらぎ	増えるデータ	
179	00:05:00	ハイナマ	画面が	
180	00:05:00	ネズミ2/2/6	草	
181	00:05:00	tage	2周目じゃなくて良かった	
182	00:05:00	八木谷	草	
183	00:05:01	近藤亮	草	
184	00:05:01	くものいと	バックアップが取れてよかったじゃない	
185	00:05:06	鼻毛の錬金術師	増殖するデータ	
186	00:05:07	さんぽーる祐三	増えるワカメ	
187	00:05:09	K. u	増殖の魔法カードを発動されていたのか	
188	00:05:12	TKG M	アマレコォ…	
189	00:05:16	岸辺一徳	ごめんねパチモン	
190	00:05:16	ぼたん	とりあえずコントローラー無事なのはよかった	
191	00:05:17	あざーら	レビューは信用できる	
192	00:05:17	くものいと	なんか長い	
193	00:05:23	えび	でかい	
194	00:05:24	mori mori	縦に伸びてるんだよなあ	
195	00:05:26	究極ド根性ダイコン	比率変わったね	
196	00:05:28	さんぽーる祐三	縦長ねぇちゃん	
197	00:05:28	tage	アスペクト比がおかしい	
198	00:05:29	鼻毛の錬金術師	近い	
199	00:05:34	白雪	比率が	
200	00:05:41	バリ島のサボテン	おいしい煮玉子	
201	00:05:42	さえのき	データが増えた…？	
202	00:05:50	めるカバ	ミソシタのイチモツかな？	
203	00:05:50	肉赤子ちゃんPB	ミソシタのCD尼で2位にランクインしてんな	
204	00:05:54	うぇいのる	Mother3ガチ恋距離	
205	00:05:56	サヌ	しょけん	
206	00:06:04	らうらう	なにもしてないのにこわれた！	
207	00:06:06	ハイナマ	普通だったよ	
208	00:06:09	くものいと	よしもどった	
209	00:06:09	りあすて	通知来てなかった・・・おいたま～～	
210	00:06:09	Y	直った	
211	00:06:10	なる	なおった	
212	00:06:12	みつはちみつ	直った	
213	00:06:14	ヌルヌペペ	なおった	
214	00:06:15	岸辺一徳	꧁꧂<ﾅｵｯﾀｰ	
215	00:06:16	せせらぎ	もどった	
216	00:06:16	えび	大丈夫ー	
217	00:06:17	伏葦たぐい	もどった	
218	00:06:18	うぇいのる	戻った	
219	00:06:19	Garden	戻った	
220	00:06:19	ハイナマ	直った！	
221	00:06:25	究極ド根性ダイコン	よき	
222	00:06:27	バーチャルYouTuberガニメデちゃんねる	おいたまー	
223	00:06:31	mori mori	セーブ時間が十分違ってて草	
224	00:06:36	tage	かってにこわれた！	
225	00:06:37	内海柚	こんばん煮玉子	
226	00:06:38	さんぽーる祐三	『』＜設定ｶｴﾃｵｲﾀﾖ	
227	00:06:52	うぇいのる	ぶっつぶつだな…	
228	00:07:04	いぶきんぐ	砂漠	
229	00:07:13	くものいと	早めに言っとくと名づけタイム来るよ	
230	00:07:13	りあすて	砂漠	
231	00:07:13	究極ド根性ダイコン	胸糞ストーリー再開	
232	00:07:23	竹本カキフライ	邪悪な豚	
233	00:07:26	せせらぎ	ﾌﾞﾋｰ！	
234	00:07:26	らうらう	胸糞はもう嫌だよ	
235	00:07:31	うぇいのる	ﾌﾟｷﾞｰ	
236	00:07:31	めるカバ	プギィー！	
237	00:07:32	りあすて	これもやってて切なくなった	
238	00:07:33	べるべる	さあ次の名前はいかに	
239	00:07:45	mori mori	終わるまでずっと胸糞だよ	
240	00:07:48	らうらう	れらたん	
241	00:07:52	サヌ	このゲーム全体的にムナクソやからな…	
242	00:07:53	tage	カツマタ	
243	00:07:58	めるカバ	ジョージ	
244	00:08:02	さんぽーる祐三	サルージョン	
245	00:08:03	うるし	悪いがマザー３は基本ストーリー鬱だ	
246	00:08:06	ブロア	あー	
247	00:08:09	ささささぬげ	わかる	
248	00:08:16	白雪	そうでもないよ	
249	00:08:16	くものいと	このBGMも好きなんだ…	
250	00:08:19	せせらぎ	さっきの行商人か	
251	00:08:22	結城晶	弟かな？	
252	00:08:32	らうらう	姉ちゃん猿	
253	00:08:32	めるカバ	びんじょうくん	
254	00:08:40	サヌ	ほんとMOTHER3のドット絵すき	
255	00:08:42	えび	姉ちゃん猿	
256	00:08:48	近藤亮	ひどい	
257	00:08:58	サヌ	ﾇﾍﾍﾍ！	
258	00:09:00	竹本カキフライ	ゴリラ	
259	00:09:04	うぇいのる	データ	
260	00:09:04	えび	テクぼう	
261	00:09:05	伏葦たぐい	ヌへへ	
262	00:09:06	ナウ	ゴレイヌ	
263	00:09:07	いぶきんぐ	びんじょう	
264	00:09:07	さんぽーる祐三	たぬき	
265	00:09:08	猫の散歩道	チャルゴリで	
266	00:09:09	白雪	ヌヘヘヘ！	
267	00:09:09	なる	どんきー	
268	00:09:11	さえのき	とんかつ	
269	00:09:11	りあすて	データ	
