行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クゥの部屋 Ch	e	
1	00:00:00	桜田紅	おいしい煮玉子	
2	00:00:00	らうらう	e	
3	00:00:00	ぴねかっと	おいしい煮玉子	
4	00:00:00	カーマイン	e!!!!	
5	00:00:00	T.のかね	おいしい煮玉子	
6	00:00:00	T.のかね	おいしいe	
7	00:00:00	ああ	e:おいしい煮玉子	
8	00:00:00	らうらう	おいしいe	
9	00:00:00	ジョナサン・グレーン	e!!!!!	
10	00:00:00	カーマイン	eよね…	
11	00:00:00	T.のかね	e…	
12	00:00:00	ジョナサン・グレーン	e…	
13	00:00:00	eve	e	
14	00:00:00	スモーク	おいたま！	
15	00:00:00	りあすて	e	
16	00:00:00	あい	おいしい煮玉子	
17	00:00:00	タケノコ男	e	
18	00:00:00	biki koto	e?	
19	00:00:00	はまちハウマッチ	e	
20	00:00:00	リフェ	おいしい煮玉子	
21	00:00:00	motiyomogi	おいしい煮玉子	
22	00:00:00	めるカバ	元気のe	
23	00:00:00	カーマイン	始まりのe	
24	00:00:00	らうらう	おいしい煮egg	
25	00:00:12	あい	おいしい煮玉子	
26	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
27	00:00:16	まりも	おいしい煮玉子	
28	00:00:16	御早和杯	おいしい煮玉子	
29	00:00:18	ヌルヌペペ	おいしい煮玉子	
30	00:00:19	motiyomogi	おいしい煮玉子	
31	00:00:21	カーマイン	おいしい煮玉子	
32	00:00:22	猫の散歩道	美味しい煮卵ヨウ・ガーディアン	
33	00:00:23	ジャック・オー	おいしい煮玉子	
34	00:00:25	タケノコ男	おいしい煮玉子	
35	00:00:26	はまちハウマッチ	おいしい煮玉子	
36	00:00:27	aarar scsrt	おいしいntmg	
37	00:00:28	やみくもちゃんねる	おいしい煮玉子～	
38	00:00:29	リフェ	おいしい煮玉子	
39	00:00:29	名億MingYi	≧ω≦	
40	00:00:33	ジャック・オー	位置調整姉ちゃんかわいい	
41	00:00:33	FFDD	おいしい煮玉子	
42	00:00:34	eve	おいしい煮玉子	
43	00:00:35	らうらう	​おいしい煮玉子	
44	00:00:36	ねこくーる	おいしい煮玉子	
45	00:00:36	めるカバ	おいしい煮玉子	
46	00:00:40	はまちハウマッチ	X	
47	00:00:43	biki koto	X	
48	00:00:44	T.のかね	おいしい煮玉子	
49	00:00:46	カーマイン	X	
50	00:00:47	ぴねかっと	X	
51	00:00:52	カジキ三郎	おいしい煮玉子	
52	00:00:53	ジョナサン・グレーン	X	
53	00:00:57	rM233g	おいしい煮玉子	
54	00:01:03	陰キャバス竹中	おいしい煮玉子	
55	00:01:10	究極ド根性ダイコン	おいしい煮玉子	
56	00:01:27	しろいぬ	おいしい煮玉子	
57	00:01:32	ゴギガガガギゴ	おいしい煮玉子	
58	00:01:40	カーマイン	おかしいコントローラー	
59	00:01:40	はまちハウマッチ	ガバコン	
60	00:01:40	まきお	おいしい煮玉子	
61	00:01:52	うぇいのる	おいしい煮玉子	
62	00:01:54	めるカバ	そんなに	
63	00:01:54	猫の散歩道	E・HERO煮卵マン	
64	00:02:02	T.のかね	がんばえ	
65	00:02:15	らうらう	酔わなければいけるやろ・・・	
66	00:02:36	ユキイチゴ	おいしい煮玉子	
67	00:02:43	近藤亮	おいしい煮玉子	
68	00:02:43	ほるもん	おいしい煮玉子	
69	00:02:43	T.のかね	よかった…よかった…	
70	00:02:44	ぴねかっと	クゥソゲー見たい	
71	00:02:46	motiyomogi	ラブライブトーク楽しかったよ	
72	00:02:50	aarar scsrt	すごくよかった	
73	00:02:51	ワリオマニア	ラブライトークよかったぞお	
74	00:02:52	タケノコ男	ラブライブトークよかった	
75	00:00:00	クゥの部屋 Ch	e	
76	00:00:00	桜田紅	おいしい煮玉子	
77	00:00:00	らうらう	e	
78	00:00:00	ぴねかっと	おいしい煮玉子	
79	00:00:00	カーマイン	e!!!!	
80	00:00:00	T.のかね	おいしい煮玉子	
81	00:00:00	T.のかね	おいしいe	
82	00:00:00	ああ	e:おいしい煮玉子	
83	00:00:00	らうらう	おいしいe	
84	00:00:00	ジョナサン・グレーン	e!!!!!	
85	00:00:00	カーマイン	eよね…	
86	00:00:00	T.のかね	e…	
87	00:00:00	ジョナサン・グレーン	e…	
88	00:00:00	eve	e	
89	00:00:00	スモーク	おいたま！	
90	00:00:00	りあすて	e	
91	00:00:00	あい	おいしい煮玉子	
92	00:00:00	タケノコ男	e	
93	00:00:00	biki koto	e?	
94	00:00:00	はまちハウマッチ	e	
95	00:00:00	リフェ	おいしい煮玉子	
96	00:00:00	motiyomogi	おいしい煮玉子	
97	00:00:00	めるカバ	元気のe	
98	00:00:00	カーマイン	始まりのe	
99	00:00:00	らうらう	おいしい煮egg	
100	00:00:12	あい	おいしい煮玉子	
101	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
102	00:00:16	まりも	おいしい煮玉子	
103	00:00:16	御早和杯	おいしい煮玉子	
104	00:00:18	ヌルヌペペ	おいしい煮玉子	
105	00:00:19	motiyomogi	おいしい煮玉子	
106	00:00:21	カーマイン	おいしい煮玉子	
107	00:00:22	猫の散歩道	美味しい煮卵ヨウ・ガーディアン	
108	00:00:23	ジャック・オー	おいしい煮玉子	
109	00:00:25	タケノコ男	おいしい煮玉子	
110	00:00:26	はまちハウマッチ	おいしい煮玉子	
111	00:00:27	aarar scsrt	おいしいntmg	
112	00:00:28	やみくもちゃんねる	おいしい煮玉子～	
113	00:00:29	リフェ	おいしい煮玉子	
114	00:00:29	名億MingYi	≧ω≦	
115	00:00:33	ジャック・オー	位置調整姉ちゃんかわいい	
116	00:00:33	FFDD	おいしい煮玉子	
117	00:00:34	eve	おいしい煮玉子	
