行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	超寝起きだったけどギリギリ間に合いそう	
1	00:00:00	꧁꧂クゥの部屋꧁꧂	ツイッターとまちがえた	
2	00:00:00	フレイムリンクス	かわいい	
3	00:00:00	竹輪	かわいすぎる	
4	00:00:00	チョココロネ	暗黒煮卵	
5	00:00:00	らうらう	かわいい	
6	00:00:00	マイフェイバリットトリビアン	かわいい	
7	00:00:00	_ Die	かわいい	
8	00:00:00	パンセポンセ	かわいい	
9	00:00:00	おさかな	かわいい	
10	00:00:00	近藤亮	かわいい	
11	00:00:00	motiyomogi	かわいい	
12	00:00:00	煬帝.	間に合った_( ˙꒳˙ )_	
13	00:00:00	にけい	姉ちゃん！概要欄が「夕陽のカスカベボーイズ」になってる！	
14	00:00:00	にけい	アマゾンのリンクはあってる！	
15	00:00:00	えび	おいしい煮玉子	
16	00:00:00	らうらう	おいしい煮玉子	
17	00:00:00	リフェ	おいしい暗黒煮玉子	
18	00:00:00	_ Die	おいしい煮玉子	
19	00:00:00	mk 95	おいしい煮玉子	
20	00:00:00	スモーク	おいしい煮玉子	
21	00:00:00	Garden	おいしい煮玉子	
22	00:00:00	竹輪	おいしい煮玉子	
23	00:00:00	パンセポンセ	おいしい煮玉子	
24	00:00:00	motiyomogi	おいしい暗黒玉玉	
25	00:00:00	JUNY	おいしい煮玉子	
26	00:00:00	ss kk	​おいしい煮玉子	
27	00:00:10	おおーしん	おいしい煮玉子	
28	00:00:11	刀根雅武	おいしい煮玉子	
29	00:00:13	おさかな	おいしい煮玉子	
30	00:00:16	岸辺一徳	おいしい煮玉子	
31	00:00:17	プレラン	おいしい煮玉子	
32	00:00:18	マイフェイバリットトリビアン	おいしい煮玉子	
33	00:00:21	タケノコ男	おいしい煮玉子	
34	00:00:23	竹輪	おいしい煮玉子	
35	00:00:25	クロム	おいしい煮玉子	
36	00:00:25	ねころじかる	おいしい煮玉子	
37	00:00:26	デンキヒツジ	おいしい煮玉子。	
38	00:00:30	にけい	おいしい玉玉	
39	00:00:32	JUNY	はじまた	
40	00:00:33	らうらう	よろしくおねがいします	
41	00:00:43	ss kk	咲さん！	
42	00:00:44	D W	おいしい煮玉子	
43	00:00:44	リフェ	よろしくお願いします！	
44	00:00:47	T.のかね	おいしい煮玉子	
45	00:00:52	えび	白花さん！	
46	00:00:52	チョココロネ	暗黒煮卵	
47	00:00:52	にけい	はい、よろしくおねがいします	
48	00:00:53	sas b	おいしい煮玉子	
49	00:00:56	パンセポンセ	よろしくお願いします	
50	00:01:02	フレイムリンクス	おいしい煮玉子	
51	00:01:02	八木谷	おいしい煮玉子	
52	00:01:19	もずつき	おいしい煮玉子	
53	00:01:20	竹輪	はーい	
54	00:01:31	八木谷	草	
55	00:01:38	motiyomogi	暗黒玉玉	
56	00:01:40	近藤大輔	タマタマって煮玉子だったのか	
57	00:01:45	チョココロネ	クレヨンしんちゃん特有の有能オカマすき	
58	00:01:47	おおーしん	初めて見る	
59	00:01:55	にけい	初見です（映画が）	
60	00:01:55	竹輪	へぇー	
61	00:02:07	ジャック・オー	おいしい煮玉子	
62	00:02:09	岸辺一徳	せいじの方の努	
63	00:02:14	D W	タマタマ初見かもしれない	
64	00:02:27	リフェ	オカマは強キャラ	
65	00:02:27	フレイムリンクス	今作からひまわりが映画初参戦	
66	00:02:34	チョココロネ	ﾁｶｺﾞﾛｰ?ﾅﾝｶｰ?ﾍﾝﾀﾞｰ?	
67	00:02:35	おさかな	間違いなくつよい	
68	00:02:39	えび	大体強い	
69	00:03:42	岸辺一徳	アナログ作画に強いこだわりが…	
70	00:03:47	おおーしん	90年代はすごかった	
71	00:03:50	雨乃夏風	こんにちわー	
72	00:04:05	パンセポンセ	東宝	
73	00:04:08	JUNY	開幕飛行機	
74	00:04:09	フレイムリンクス	いつもの東宝	
75	00:04:10	D W	始まった…	
76	00:04:10	竹輪	はじまた	
77	00:00:00	꧁꧂クゥの部屋꧁꧂	超寝起きだったけどギリギリ間に合いそう	
78	00:00:00	꧁꧂クゥの部屋꧁꧂	ツイッターとまちがえた	
79	00:00:00	フレイムリンクス	かわいい	
80	00:00:00	竹輪	かわいすぎる	
81	00:00:00	チョココロネ	暗黒煮卵	
82	00:00:00	らうらう	かわいい	
83	00:00:00	マイフェイバリットトリビアン	かわいい	
84	00:00:00	_ Die	かわいい	
85	00:00:00	パンセポンセ	かわいい	
86	00:00:00	おさかな	かわいい	
87	00:00:00	近藤亮	かわいい	
88	00:00:00	motiyomogi	かわいい	
89	00:00:00	煬帝.	間に合った_( ˙꒳˙ )_	
90	00:00:00	にけい	姉ちゃん！概要欄が「夕陽のカスカベボーイズ」になってる！	
91	00:00:00	にけい	アマゾンのリンクはあってる！	
92	00:00:00	えび	おいしい煮玉子	
93	00:00:00	らうらう	おいしい煮玉子	
94	00:00:00	リフェ	おいしい暗黒煮玉子	
95	00:00:00	_ Die	おいしい煮玉子	
96	00:00:00	mk 95	おいしい煮玉子	
97	00:00:00	スモーク	おいしい煮玉子	
98	00:00:00	Garden	おいしい煮玉子	
99	00:00:00	竹輪	おいしい煮玉子	
100	00:00:00	パンセポンセ	おいしい煮玉子	
101	00:00:00	motiyomogi	おいしい暗黒玉玉	
102	00:00:00	JUNY	おいしい煮玉子	
103	00:00:00	ss kk	​おいしい煮玉子	
104	00:00:10	おおーしん	おいしい煮玉子	
105	00:00:11	刀根雅武	おいしい煮玉子	
106	00:00:13	おさかな	おいしい煮玉子	
107	00:00:16	岸辺一徳	おいしい煮玉子	
108	00:00:17	プレラン	おいしい煮玉子	
109	00:00:18	マイフェイバリットトリビアン	おいしい煮玉子	
110	00:00:21	タケノコ男	おいしい煮玉子	
111	00:00:23	竹輪	おいしい煮玉子	
112	00:00:25	クロム	おいしい煮玉子	
113	00:00:25	ねころじかる	おいしい煮玉子	
114	00:00:26	デンキヒツジ	おいしい煮玉子。	
