行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
1	00:00:00	フレイムリンクス	おいしい煮玉子～	
2	00:00:00	竹輪	おいたま〜	
3	00:00:00	なんたら	おいしい煮玉子	
4	00:00:00	鷹丸	おいしい煮玉子〜	
5	00:00:00	じょーげん	おいしい煮玉子	
6	00:00:00	らうらう	おいしい煮玉子	
7	00:00:00	えび	おいしい煮玉子	
8	00:00:00	天然ステルス	おいしい煮玉子	
9	00:00:00	カギアカギ	おいしい煮玉子	
10	00:00:00	周恩来	おいしい煮玉子	
11	00:00:00	フレイムリンクス	おいしいダチョウ	
12	00:00:00	さんぽーる祐三	おいしい煮玉子	
13	00:00:00	タケノコ男	おいしい煮玉子	
14	00:00:00	九尾桐岬	美味しい煮卵	
15	00:00:00	ログ	ダチョウの煮玉子	
16	00:00:00	スモーク	おいたま	
17	00:00:00	Eトマト	おいしい煮玉子	
18	00:00:00	こみこ	おいしい煮玉子	
19	00:00:00	あい	おいしい煮玉子	
20	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
21	00:00:00	D W		￥120
22	00:00:00	えび		￥100
23	00:00:14	桜田紅	おいしい煮玉子	
24	00:00:14	カギアカギ	おいしい煮玉子	
25	00:00:15	eve	おいしい煮玉子	
26	00:00:17	えび	おいたま～	
27	00:00:17	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
28	00:00:17	あい	おいしい煮玉子	
29	00:00:19	らうらう	おいしい煮玉子	
30	00:00:20	リフェ	おいしい煮玉子	
31	00:00:20	天然ステルス	おいしい煮玉子	
32	00:00:20	むらさきあんこ	おいしい煮玉子	
33	00:00:22	さんぽーる祐三	おいしいテク坊	
34	00:00:23	霜月翔生希	おいたま～	
35	00:00:25	うぇいのる	おいしい煮玉子	
36	00:00:26	Ryo Kamiya	おいしい煮玉子	
37	00:00:26	周恩来	おいしい煮玉子	
38	00:00:27	EEB	おいしい煮玉子	
39	00:00:27	せせらぎ	おいしい煮玉子～	
40	00:00:29	なんたら	おいしい煮玉子	
41	00:00:29	行方不明	おいしい煮玉子	
42	00:00:34	ナウ	おいしい煮玉子	
43	00:00:44	ねこくーる	おいしい煮玉子	
44	00:00:46	ジャック・オー	おいしい煮玉子	
45	00:00:49	らうらう	姉ちゃんどこ	
46	00:00:58	せせらぎ	姉ちゃん...どこ...	
47	00:01:08	ジョナサン・グレーン	姉ちゃんどこ…	
48	00:01:13	ロンドベルジェニ	おいしい煮玉子	
49	00:01:14	竹輪	消えちゃった…	
50	00:01:15	こみこ	姉ちゃん…姉ちゃん…	
51	00:01:16	あい	姉ちゃん…	
52	00:01:22	タケノコ男	姉ちゃん...	
53	00:01:24	ナウ	姉ちゃんどこ・・どこ	
54	00:01:30	typeG《夏目》	おいしい煮玉子	
55	00:01:35	うぇいのる	姉ちゃん…	
56	00:01:41	なんたら	声しか聞こえない…	
57	00:01:41	周恩来	姉ちゃんどこ😭	
58	00:01:41	竹輪	開幕かわいい	
59	00:01:43	らうらう	出前館	
