行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Tamaya	おいしいおにぎり	
1	00:00:00	キタカシ	おいおに～	
2	00:00:00	竹輪	おいしいおにぎり	
3	00:00:00	らうらう	おいしいおにぎり	
4	00:00:00	スモーク	おいたま	
5	00:00:00	ほるもん	おいしい	
6	00:00:00	さんぽーる	おいしい煮玉子	
7	00:00:00	なんたら	おいしい煮玉子	
8	00:00:00	Shota Hamada	おいしい煮玉子🍙	
9	00:00:00	ジャック・オー	あくまのおにぎり	
10	00:00:00	タケノコ男	おいしいおにぎり	
11	00:00:00	ジョナサン・グレーン	おいしい煮おにぎり	
12	00:00:11	あい	おいしい煮玉子	
13	00:00:15	らうらう	おみず	
14	00:00:27	eve 8848	おいしい煮玉子	
15	00:00:27	なんたら	今日で終わるかな	
16	00:00:28	ジョナサン・グレーン	おみず	
17	00:00:30	ジャック・オー	おいしい煮玉子	
18	00:00:35	T.のかね	おいしいおにぎり	
19	00:00:36	mussaOren	おいしい煮玉子	
20	00:00:46	カギアカギ	おいしい煮玉子	
21	00:00:47	むらさきあんこ	おいしいイグナイトファング	
22	00:00:48	らうらう	おいしい煮玉子	
23	00:00:49	竹輪	おいたま！	
24	00:00:53	なんたら	あーあーあー	
25	00:00:53	ショッキングピンク太郎	悪魔のおにぎり	
26	00:00:56	さんぽーる	おいしいおにぎり	
27	00:00:57	ねこくーる	こんにちは	
28	00:01:04	竹輪	かわいい	
29	00:01:19	Shota Hamada	こんにちは	
30	00:01:41	岸辺一徳	おいしい煮玉子	
31	00:01:52	なんたら	腐り切ってる英雄	
32	00:02:04	さんぽーる	おいしいあらすじ	
33	00:02:07	究極ド根性ダイコン	おいしい煮玉子	
34	00:02:13	かたもく	おいしい煮卵	
35	00:02:36	カギアカギ	シグムント様じゃない！低評価！	
36	00:02:48	さんぽーる	シグムント死んで仲良くなった	
37	00:03:35	竹本カキフライ	シグムント役の世代交代	
38	00:03:41	らうらう	エドカペ	
39	00:03:47	ジョナサン・グレーン	つまりエドカペｷﾃﾙのでは？	
40	00:03:49	さんぽーる	しかしよくなるのがほぼ終盤ってのが痛いね	
41	00:03:52	ねこくーる	カペエド	
42	00:04:04	mori mori	体張ってて草	
43	00:04:36	究極ド根性ダイコン	サイコ大姉ちゃん	
44	00:04:41	T.のかね	ひどい…	
45	00:04:43	らうらう	大姉ちゃん…	
46	00:04:45	竹輪	いけないもの…	
47	00:04:45	ジョナサン・グレーン	キメてる	
48	00:04:54	八木谷	リアクション芸人かな	
49	00:04:59	eve 8848	でもちょっとだけだったら体に良いんだっけ	
50	00:05:12	竹本カキフライ	ニッチなへんたい本でありそうなシチュ	
