行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	岸辺一徳	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	じょーげん	おいしい煮玉子	
4	00:00:11	aarar scsrt	おいしい煮玉子	
5	00:00:17	ジャック・オー	おいしい煮玉子	
6	00:00:17	なんたら	おいしい煮玉子	
7	00:00:18	張島サボ太	おいしい煮玉子	
8	00:00:18	ミワタリ	おいしい煮玉子	
9	00:00:20	岸辺一徳	おいしい煮玉子	
10	00:00:28	カギカギ	おいしい煮玉子	
11	00:00:31	スモーク	おいしい煮玉子	
12	00:00:32	いぶきんぐ	おいしい煮玉子	
13	00:00:32	らうらう	おいしい煮玉子	
14	00:00:32	motiyomogi	おいしい煮玉子	
15	00:00:33	ニャンコ先生	おいしい煮玉子	
16	00:00:33	eve	おいしい煮玉子	
17	00:00:36	JUNY	おいしい煮玉子	
18	00:00:37	hibisティオレー	おいしい煮玉子～	
19	00:00:40	味付けタマゴ	おいしい煮玉子	
20	00:00:40	ジョナサン・グレーン	おいしい煮玉子	
21	00:00:43	なんたら	また落としてる…	
22	00:00:43	aarar scsrt	はじまってる	
23	00:00:43	ナウ	おいしい煮玉子	
24	00:00:45	らうらう	はじまってるよ	
25	00:00:45	スモーク	始まってる	
26	00:00:47	eve	はじまってるよ	
27	00:00:47	いぶきんぐ	見えてるよー	
28	00:00:48	らうらう	また落としてる	
29	00:00:49	ニャンコ先生	はじまってる	
30	00:00:49	JUNY	はじまってるよ	
31	00:00:50	ミワタリ	はじまってる	
32	00:00:51	sio3go	おいしい煮玉子	
33	00:00:51	カギカギ	始まった煮玉子	
34	00:00:52	らうらう	はじまってるよ！	
35	00:00:53	岸辺一徳	はじまた	
36	00:00:55	ジャック・オー	始まってるよ	
37	00:00:56	うさやま	はじまってるで	
38	00:01:01	ジャック・オー	なに落としたの	
39	00:01:03	ジョナサン・グレーン	はじまってる	
40	00:01:03	クラックリン	おいしい煮玉子	
41	00:01:06	ほるもん	おいしい煮玉子	
42	00:01:06	あのあれ	もう始まってる！	
43	00:01:07	motiyomogi	チャットが反映されてない？	
44	00:01:07	Ryo Kamiya	おいしい煮玉子	
45	00:01:07	桜田紅	おいしい煮玉子	
46	00:01:08	パンセポンセ	おいしい煮玉子	
47	00:01:10	らうらう	なんだかよくわからないけどかわいい	
48	00:01:12	JUNY	配信画面のコメントが古い！	
49	00:01:13	八木谷	おいしい煮玉子	
50	00:01:13	ニャンコ先生	コメント欄違うんぬね	
51	00:01:14	じょーげん	おいしい煮玉子	
52	00:01:27	eve	おくちも動いてない？	
53	00:01:33	竹輪	おいしい煮玉子	
54	00:00:00	岸辺一徳	おいしい煮玉子	
55	00:00:00	らうらう	おいしい煮玉子	
56	00:00:00	カギカギ	おいしい煮玉子	
57	00:00:00	じょーげん	おいしい煮玉子	
58	00:00:11	aarar scsrt	おいしい煮玉子	
59	00:00:17	ジャック・オー	おいしい煮玉子	
60	00:00:17	なんたら	おいしい煮玉子	
61	00:00:18	張島サボ太	おいしい煮玉子	
62	00:00:18	ミワタリ	おいしい煮玉子	
63	00:00:20	岸辺一徳	おいしい煮玉子	
64	00:00:28	カギカギ	おいしい煮玉子	
65	00:00:31	スモーク	おいしい煮玉子	
66	00:00:32	いぶきんぐ	おいしい煮玉子	
67	00:00:32	らうらう	おいしい煮玉子	
68	00:00:32	motiyomogi	おいしい煮玉子	
69	00:00:33	ニャンコ先生	おいしい煮玉子	
70	00:00:33	eve	おいしい煮玉子	
71	00:00:36	JUNY	おいしい煮玉子	
72	00:00:37	hibisティオレー	おいしい煮玉子～	
73	00:00:40	味付けタマゴ	おいしい煮玉子	
74	00:00:40	ジョナサン・グレーン	おいしい煮玉子	
75	00:00:43	なんたら	また落としてる…	
76	00:00:43	aarar scsrt	はじまってる	
77	00:00:43	ナウ	おいしい煮玉子	
78	00:00:45	らうらう	はじまってるよ	
79	00:00:45	スモーク	始まってる	
80	00:00:47	eve	はじまってるよ	
81	00:00:47	いぶきんぐ	見えてるよー	
82	00:00:48	らうらう	また落としてる	
83	00:00:49	ニャンコ先生	はじまってる	
84	00:00:49	JUNY	はじまってるよ	
85	00:00:50	ミワタリ	はじまってる	
86	00:00:51	sio3go	おいしい煮玉子	
87	00:00:51	カギカギ	始まった煮玉子	
88	00:00:52	らうらう	はじまってるよ！	
89	00:00:53	岸辺一徳	はじまた	
90	00:00:55	ジャック・オー	始まってるよ	
91	00:00:56	うさやま	はじまってるで	
92	00:01:01	ジャック・オー	なに落としたの	
93	00:01:03	ジョナサン・グレーン	はじまってる	
94	00:01:03	クラックリン	おいしい煮玉子	
95	00:01:06	ほるもん	おいしい煮玉子	
96	00:01:06	あのあれ	もう始まってる！	
97	00:01:07	motiyomogi	チャットが反映されてない？	
98	00:01:07	Ryo Kamiya	おいしい煮玉子	
99	00:01:07	桜田紅	おいしい煮玉子	
100	00:01:08	パンセポンセ	おいしい煮玉子	
101	00:01:10	らうらう	なんだかよくわからないけどかわいい	
