行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	テレホタイムじゃないじゃん！	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	こみこ	おいしい煮玉子	
3	00:00:00	桜田紅	おいしい煮玉子	
4	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
5	00:00:00	おさかな	おいしい煮玉子	
6	00:00:00	いぶきんぐ	おいしい煮玉子	
7	00:00:00	むむめめ	おいしい煮玉子	
8	00:00:00	じょーげん	おいしい煮玉子	
9	00:00:00	らうらう	おいしい煮玉子	
10	00:00:00	スモーク	おいしい煮玉子	
11	00:00:00	竹輪	おいしい煮玉子	
12	00:00:00	ミワタリ	おいしい煮玉子	
13	00:00:00	Shota Hamada	おいしい煮玉子	
14	00:00:00	りあすて	おいしい煮玉子	
15	00:00:00	近藤亮	おいしい煮玉子	
16	00:00:00	白虎ガオトラ「コハク」	こんばんは	
17	00:00:00	防波亭土左衛門	おいしい煮玉子	
18	00:00:00	D W	おいしい煮玉子	
19	00:00:04	クゥの部屋 Ch	おいしい煮玉子	
20	00:00:10	カギカギ	おいしい煮玉子	
21	00:00:14	りあすて	もう草	
22	00:00:18	なんたら	おいしい煮玉子	
23	00:00:19	ホワイトラン衛兵	草	
24	00:00:19	motiyomogi	おいしい煮玉子	
25	00:00:19	じょーげん	草	
26	00:00:21	スモーク	！？	
27	00:00:21	小さい胡麻塩	おいしい煮玉子	
28	00:00:22	らうらう	ええ・・・	
29	00:00:22	タケノコ男	おいしい煮玉子	
30	00:00:22	ミワタリ	草	
31	00:00:23	近藤亮	草	
32	00:00:25	いぶきんぐ	草	
33	00:00:25	クゥの部屋 Ch	今日はゲーム実況ですが	
34	00:00:25	竹輪	！？	
35	00:00:28	やなぎかげ	おいしい煮玉子	
36	00:00:29	クゥの部屋 Ch	マイクは使いません	
37	00:00:30	うぇいのる	草	
38	00:00:30	D W	草	
39	00:00:30	カーマイン	おいしい煮玉子	
40	00:00:31	なんたら	なるほどね	
41	00:00:34	クゥの部屋 Ch	何をやるのかな～？	
42	00:00:34	Ryo Kamiya	草	
43	00:00:34	ぐらける	おいしい煮玉子	
44	00:00:34	らうらう	ええ・・・・・・・・・・	
45	00:00:34	motiyomogi	草	
46	00:00:35	バーチャルミク廃立花	（・∀・）ｵｲｼｲ ﾆｸｺﾌﾟｰﾝ ｸｴ!	
47	00:00:36	竹輪	草	
48	00:00:37	カギカギ	草	
49	00:00:37	ホワイトラン衛兵	斬新！	
50	00:00:37	クゥの部屋 Ch	これだ	
51	00:00:38	追放	ＡＡ懐かしい	
52	00:00:38	カーマイン	草	
53	00:00:39	_ Die	おいしい煮玉子	
54	00:00:39	刀根雅武	久々にワロタ	
55	00:00:40	リフェ	草	
56	00:00:41	小さい胡麻塩	クゥ・フラン・ゾーパーと学ぶクソゲー実況	
57	00:00:41	りあすて	やっぱ姉ちゃん好きだ	
58	00:00:42	柑橘おねえさん	草	
59	00:00:44	おさかな	なんて無茶な	
60	00:00:47	ぐらける	草	
61	00:00:48	こみこ	スレ立て行ってる？	
62	00:00:50	うぇいのる	どうなってるのこれ…	
