行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	biggs	おつにた	
1	00:00:00	らうらう	https://gaming.youtube.com/watch?v=kW...	
2	00:00:00	motiyomogi	高評価しとけば高く評価した動画から飛べるぞ	
3	00:00:00	畑秋	​おつたま！ 続きも楽しんでね(^▽^)/	￥1,000
4	00:00:00	ぴねかっと	やったね姉ちゃんあと少し頑張って！おやすみ～	￥500
5	00:00:10	らうらう	おいしい煮玉子	
6	00:00:16	うぇいのる	おいしい煮玉子	
7	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
8	00:00:16	JUNY	おいしい煮玉子	
9	00:00:17	じょーげん	おいしい煮玉子	
10	00:00:18	天然ステルス	おいしい煮玉子	
11	00:00:18	なんたら	おいしい煮玉子	
12	00:00:19	スモーク	おいしい煮玉子	
13	00:00:20	ささささぬげ	おい玉	
14	00:00:23	究極ド根性ダイコン	おいしい煮玉子	
15	00:00:24	海東純一	おいしい煮玉子	
16	00:00:24	Redmix	おいしい煮玉子	
17	00:00:26	FFDD	おいしい煮玉子	
18	00:00:27	マイフェイバリットトリビアン	おいしい煮玉子	
19	00:00:34	_ Die	おいしい煮玉子	
20	00:00:34	八木谷	おいしい煮玉子	
21	00:00:34	ほるもん	おいしい煮玉子	
22	00:00:37	陰キャバス竹中	おいしい煮玉子	
23	00:00:39	なる	開幕メッセージに欲望ダダ漏れでだめだった	
24	00:00:41	執爺	おいしい煮玉子	
25	00:00:44	sio3go	おいしい煮玉子	
26	00:00:49	しろみんてぃS	おいしい煮玉子	
27	00:00:56	JUNY	なに食べたのー？	
28	00:00:57	eve	おいしい煮玉子	
29	00:00:58	なんたら	ご飯食べてる！高評価！	
30	00:00:58	ねこくーる	おいメロ〜	
31	00:00:58	ああ	おいしい煮玉子	
32	00:01:11	デンキヒツジ	おいしい煮玉子	
33	00:01:11	motiyomogi	おいしい煮玉子	
34	00:01:29	うぇいのる	コメント残るんだな…	
35	00:01:30	内海柚	おいしい煮玉子	
36	00:01:42	陰キャバス竹中	弟のコメントひどいｗ	
37	00:01:57	竹輪	こわい	
38	00:01:58	なんたら	なるほど	
39	00:02:07	ナウ	おいしい煮玉子	
40	00:02:09	陰キャバス竹中	平たい麺族	
41	00:02:13	いぶきんぐ	おいしい麺類	
42	00:02:17	タケノコ男	おいしそう	
43	00:02:21	竹輪	えらい	
44	00:02:22	はまちハウマッチ	おいしい煮玉子	
45	00:02:24	ささささぬげ	脇が甘くないＪＣ	
46	00:02:25	海東純一	おいしい平たい麺類	
47	00:02:27	チキン肉なし	おいしい麺類	
48	00:02:34	うぇいのる	えらい	
49	00:02:51	JUNY	刀削麺！	
50	00:02:57	弐号。あくじき	おいしい煮玉子	
51	00:03:09	天然ステルス	おいしいゼリー	
52	00:03:12	なんたら	プレーン？	
53	00:00:00	biggs	おつにた	
54	00:00:00	らうらう	https://gaming.youtube.com/watch?v=kW...	
55	00:00:00	motiyomogi	高評価しとけば高く評価した動画から飛べるぞ	
56	00:00:00	畑秋	​おつたま！ 続きも楽しんでね(^▽^)/	￥1,000
57	00:00:00	ぴねかっと	やったね姉ちゃんあと少し頑張って！おやすみ～	￥500
58	00:00:10	らうらう	おいしい煮玉子	
59	00:00:16	うぇいのる	おいしい煮玉子	
60	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
61	00:00:16	JUNY	おいしい煮玉子	
62	00:00:17	じょーげん	おいしい煮玉子	
63	00:00:18	天然ステルス	おいしい煮玉子	
64	00:00:18	なんたら	おいしい煮玉子	
65	00:00:19	スモーク	おいしい煮玉子	
66	00:00:20	ささささぬげ	おい玉	
67	00:00:23	究極ド根性ダイコン	おいしい煮玉子	
68	00:00:24	海東純一	おいしい煮玉子	
69	00:00:24	Redmix	おいしい煮玉子	
70	00:00:26	FFDD	おいしい煮玉子	
71	00:00:27	マイフェイバリットトリビアン	おいしい煮玉子	
72	00:00:34	_ Die	おいしい煮玉子	
73	00:00:34	八木谷	おいしい煮玉子	
74	00:00:34	ほるもん	おいしい煮玉子	
75	00:00:37	陰キャバス竹中	おいしい煮玉子	
76	00:00:39	なる	開幕メッセージに欲望ダダ漏れでだめだった	
77	00:00:41	執爺	おいしい煮玉子	
78	00:00:44	sio3go	おいしい煮玉子	
79	00:00:49	しろみんてぃS	おいしい煮玉子	
80	00:00:56	JUNY	なに食べたのー？	
81	00:00:57	eve	おいしい煮玉子	
82	00:00:58	なんたら	ご飯食べてる！高評価！	
83	00:00:58	ねこくーる	おいメロ〜	
84	00:00:58	ああ	おいしい煮玉子	
85	00:01:11	デンキヒツジ	おいしい煮玉子	
86	00:01:11	motiyomogi	おいしい煮玉子	
87	00:01:29	うぇいのる	コメント残るんだな…	
88	00:01:30	内海柚	おいしい煮玉子	
89	00:01:42	陰キャバス竹中	弟のコメントひどいｗ	
90	00:01:57	竹輪	こわい	
91	00:01:58	なんたら	なるほど	
92	00:02:07	ナウ	おいしい煮玉子	
93	00:02:09	陰キャバス竹中	平たい麺族	
94	00:02:13	いぶきんぐ	おいしい麺類	
95	00:02:17	タケノコ男	おいしそう	
96	00:02:21	竹輪	えらい	
97	00:02:22	はまちハウマッチ	おいしい煮玉子	
98	00:02:24	ささささぬげ	脇が甘くないＪＣ	
99	00:02:25	海東純一	おいしい平たい麺類	
100	00:02:27	チキン肉なし	おいしい麺類	
101	00:02:34	うぇいのる	えらい	
102	00:02:51	JUNY	刀削麺！	
103	00:02:57	弐号。あくじき	おいしい煮玉子	
104	00:03:09	天然ステルス	おいしいゼリー	
105	00:03:12	なんたら	プレーン？	
106	00:03:17	いぶきんぐ	ウイダー持ち	
107	00:03:27	究極ド根性ダイコン	草	
108	00:03:31	らうらう	👌	
109	00:03:31	クロムア	おいしいウイダー	
110	00:03:34	なんたら	片手にモンボ、片手にウィダー	
111	00:03:34	いぶきんぐ	草	
112	00:03:36	しれちゅー	おいしくないんだ…	
113	00:03:40	motiyomogi	草	
114	00:03:43	竹輪	草	
115	00:03:43	スモーク	草	
116	00:03:43	らうらう	草	
117	00:03:45	陰キャバス竹中	おいしくないウィダーinゼリー	
118	00:03:47	タケノコ男	案件こなくなる	
119	00:04:01	ささささぬげ	モンボコントローラーがあればポテチ食いながらプレイできちまうんだ！	
120	00:04:09	狂死朗	初見です、もしかして煮玉子の人ですか？	
121	00:04:45	らうらう	草	
122	00:04:46	ぴねかっと	おいしい煮玉子	
123	00:04:47	助六	ダチョウの卵のひとでもある	
124	00:04:52	ナウ	煮玉子のクゥ	
