行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	能天気雨	アタックチャンス待機	
1	00:00:00	じょーげん	おいしい煮玉子	
2	00:00:00	岸辺一徳	おいしい煮玉子	
3	00:00:00	らうらう	おいしい煮玉子	
4	00:00:00	うましゃく	おいしい煮玉子	
5	00:00:00	Armstone	おいしい煮玉子	
6	00:00:00	小さい胡麻塩	おいしい煮玉子	
7	00:00:00	竹輪	おいしい煮玉子	
8	00:00:00	天然ステルス	おいしい煮玉子	
9	00:00:00	スモーク	おいしい煮玉子	
10	00:00:00	竹輪	サムネかわいい	
11	00:00:00	いぶきんぐ	おいしい煮玉子	
12	00:00:00	_ Die	おいしい煮玉子	
13	00:00:00	パンセポンセ	おいしい煮玉子	
14	00:00:00	なにここ	美味しい煮玉子	
15	00:00:00	ヌルヌペペ	おいしい煮玉子	
16	00:00:00	パンセポンセ	コ ロ ン ビ ア	
17	00:00:00	x 7up	おいしい煮玉子！！	
18	00:00:00	おさかな	おいしい煮玉子	
19	00:00:00	こみこ	おいしい児玉清	
20	00:00:00	ああ	おいしい煮玉子25	
21	00:00:00	スモーク	コロンビア！	￥1,000
22	00:00:00	shocomi		￥120
23	00:00:00	腰痛	またクイズやってほしいw	￥500
24	00:00:00	のねずみ20日		￥1,000
25	00:00:00	N W		￥100
26	00:00:14	のねずみ20日	おいしい煮玉子	
27	00:00:15	seafood	おいしい煮玉子	
28	00:00:18	らうらう	おいしい煮玉子	
29	00:00:18	なんたら	おいしい煮玉子	
30	00:00:18	JUNY	おいしい煮玉子	
31	00:00:20	タケノコ男	おいしい煮玉子	
32	00:00:23	_ Die	おいしい煮玉子	
33	00:00:27	パンセポンセ	おいしい煮玉子	
34	00:00:28	おさかな	おいしい煮玉子	
35	00:00:31	らうらう	かしこそう	
36	00:00:32	ねぎ男	おいしい煮玉子	
37	00:00:34	biki koto	おいしい煮玉子	
38	00:00:35	竹輪	おいしい煮玉子 メガネかわいい！！	
39	00:00:39	こみこ	おいしい煮玉子	
40	00:00:39	かげを	おいしい煮玉子	
41	00:00:44	天然ステルス	おいしい煮玉子	
42	00:00:44	いぶきんぐ	メガネかわいい	
43	00:00:45	タケノコ男	メガネかわいい	
44	00:00:53	なにここ	クイズゲー…漢字検定ゲーム…うっ頭が	
45	00:00:55	ああ	ｱﾀｯｯ!!!!	
46	00:00:57	biki koto	25	
47	00:00:57	JUNY	まんまやん	
48	00:00:58	近藤亮	おいしい煮玉子	
49	00:00:59	mori mori	おいしかわい	
50	00:01:10	なんたら	ﾊﾟﾈﾙｸｲｰｽﾞﾊﾟﾈﾙｸｲｰｽﾞ	
51	00:01:12	mk 95	おいしい煮玉子	
52	00:01:21	いぶきんぐ	にじゅーごっ	
53	00:01:23	sas b	おいしい煮玉子	
54	00:01:29	のねずみ20日	たのしみ	
55	00:01:35	うぇいのる	おいしい煮玉子	
56	00:01:37	パンセポンセ	おおー	
57	00:01:40	biki koto	コロンビア	
58	00:01:52	リフェ	おいしい煮玉子	
59	00:01:53	JUNY	そこから	
60	00:01:53	ニャンコ先生	知的	
61	00:01:54	らうらう	すごい	
62	00:01:55	岸辺一徳	例のOPだ	
63	00:01:55	ああ	すごい	
64	00:01:57	じょーげん	キャラメイクまで！	
65	00:01:59	うぇいのる	すごい	
66	00:01:59	こみこ	バーチャル界からお越しのクゥさん	
67	00:02:02	竹輪	すごい	
68	00:02:08	うましゃく	いいね	
69	00:02:14	らうらう	姉	
70	00:02:15	なんたら	姉	
71	00:00:00	能天気雨	アタックチャンス待機	
72	00:00:00	じょーげん	おいしい煮玉子	
73	00:00:00	岸辺一徳	おいしい煮玉子	
74	00:00:00	らうらう	おいしい煮玉子	
75	00:00:00	うましゃく	おいしい煮玉子	
76	00:00:00	Armstone	おいしい煮玉子	
77	00:00:00	小さい胡麻塩	おいしい煮玉子	
78	00:00:00	竹輪	おいしい煮玉子	
79	00:00:00	天然ステルス	おいしい煮玉子	
80	00:00:00	スモーク	おいしい煮玉子	
81	00:00:00	竹輪	サムネかわいい	
82	00:00:00	いぶきんぐ	おいしい煮玉子	
83	00:00:00	_ Die	おいしい煮玉子	
84	00:00:00	パンセポンセ	おいしい煮玉子	
85	00:00:00	なにここ	美味しい煮玉子	
86	00:00:00	ヌルヌペペ	おいしい煮玉子	
87	00:00:00	パンセポンセ	コ ロ ン ビ ア	
88	00:00:00	x 7up	おいしい煮玉子！！	
89	00:00:00	おさかな	おいしい煮玉子	
90	00:00:00	こみこ	おいしい児玉清	
91	00:00:00	ああ	おいしい煮玉子25	
92	00:00:00	スモーク	コロンビア！	￥1,000
93	00:00:00	shocomi		￥120
94	00:00:00	腰痛	またクイズやってほしいw	￥500
95	00:00:00	のねずみ20日		￥1,000
96	00:00:00	N W		￥100
97	00:00:14	のねずみ20日	おいしい煮玉子	
98	00:00:15	seafood	おいしい煮玉子	
99	00:00:18	らうらう	おいしい煮玉子	
100	00:00:18	なんたら	おいしい煮玉子	
101	00:00:18	JUNY	おいしい煮玉子	
102	00:00:20	タケノコ男	おいしい煮玉子	
103	00:00:23	_ Die	おいしい煮玉子	
104	00:00:27	パンセポンセ	おいしい煮玉子	
105	00:00:28	おさかな	おいしい煮玉子	
106	00:00:31	らうらう	かしこそう	
107	00:00:32	ねぎ男	おいしい煮玉子	
108	00:00:34	biki koto	おいしい煮玉子	
109	00:00:35	竹輪	おいしい煮玉子 メガネかわいい！！	
110	00:00:39	こみこ	おいしい煮玉子	
111	00:00:39	かげを	おいしい煮玉子	
112	00:00:44	天然ステルス	おいしい煮玉子	
113	00:00:44	いぶきんぐ	メガネかわいい	
114	00:00:45	タケノコ男	メガネかわいい	
115	00:00:53	なにここ	クイズゲー…漢字検定ゲーム…うっ頭が	
116	00:00:55	ああ	ｱﾀｯｯ!!!!	
117	00:00:57	biki koto	25	
118	00:00:57	JUNY	まんまやん	
119	00:00:58	近藤亮	おいしい煮玉子	
120	00:00:59	mori mori	おいしかわい	
121	00:01:10	なんたら	ﾊﾟﾈﾙｸｲｰｽﾞﾊﾟﾈﾙｸｲｰｽﾞ	
122	00:01:12	mk 95	おいしい煮玉子	
123	00:01:21	いぶきんぐ	にじゅーごっ	
124	00:01:23	sas b	おいしい煮玉子	
125	00:01:29	のねずみ20日	たのしみ	
126	00:01:35	うぇいのる	おいしい煮玉子	
127	00:01:37	パンセポンセ	おおー	
128	00:01:40	biki koto	コロンビア	
129	00:01:52	リフェ	おいしい煮玉子	
130	00:01:53	JUNY	そこから	
131	00:01:53	ニャンコ先生	知的	
132	00:01:54	らうらう	すごい	
133	00:01:55	岸辺一徳	例のOPだ	
134	00:01:55	ああ	すごい	
135	00:01:57	じょーげん	キャラメイクまで！	
136	00:01:59	うぇいのる	すごい	
137	00:01:59	こみこ	バーチャル界からお越しのクゥさん	
138	00:02:02	竹輪	すごい	
139	00:02:08	うましゃく	いいね	
140	00:02:14	らうらう	姉	
141	00:02:15	なんたら	姉	
142	00:02:19	JUNY	クイズ回答者として番組に参加するわけね	
143	00:02:25	おさかな	姉	
144	00:02:27	なにここ	バーチャルクイズ番組！？	
145	00:02:29	ESP	おいしい煮玉子	
146	00:02:40	らうらう	2006年うまれなんだ・・・	
147	00:02:41	岸辺一徳	なるほどね	
148	00:02:42	じょーげん	草	
149	00:02:43	sas b	草	
150	00:02:44	こみこ	草	
151	00:02:46	近藤亮	草	
152	00:02:46	竹輪	なるほどね	
153	00:02:47	いぶきんぐ	なるほど	
154	00:02:47	らうらう	？！！？！？	
155	00:02:47	ああ	なるほどね	
156	00:02:48	結城晶	せっかくだからね	
157	00:02:48	JUNY	草	
158	00:02:48	ヌルヌペペ	草	
159	00:02:49	パンセポンセ	錬金術師	
160	00:02:49	タケノコ男	草	
161	00:02:49	スモーク	草	
162	00:02:49	mk 95	草	
163	00:02:49	ニャンコ先生	せっかくだから	
164	00:02:53	かげを	草	
165	00:02:55	あのあれ	錬金術師？	
166	00:02:55	うぇいのる	草	
167	00:02:56	なにここ	草	
168	00:03:00	おさかな	アルケミスト	
169	00:03:03	竹輪	草	
170	00:03:06	mk 95	そうだね、せっかくだらね	
171	00:03:08	なにここ	錬金術師しよ	
172	00:03:08	じょーげん	姉の錬金術師	
173	00:03:09	岸辺一徳	ﾈｰｻﾝ！	
174	00:03:11	結城晶	クゥのアトリエ	
175	00:03:13	ねこくーる	おいしい煮玉子	
176	00:03:14	いぶきんぐ	錬金術士選べるんだ…	
177	00:03:14	JUNY	もっさい	
178	00:03:16	のねずみ20日	13歳っぽくない	
179	00:03:22	こみこ	リアルすぎる	
180	00:03:22	おさかな	煮玉子の錬金術師	
181	00:03:24	リフェ	草	
182	00:03:25	なにここ	この見た目で錬金術師をしていらっしゃる	
183	00:03:26	キューだえもん	草	
184	00:03:27	なんたら	カスタマイズってなんだろ	
185	00:03:27	ニャンコ先生	2006年生まれに見えない	
186	00:03:42	x 7up	細かい…	
187	00:03:44	らうらう	13歳にして	
188	00:03:45	Armstone	くいだおれ人形	
189	00:03:56	あのあれ	ポップコーンの入れ物みたいな服	
190	00:04:01	岸辺一徳	えぇ……	
191	00:04:02	リフェ	草	
192	00:04:02	ニャンコ先生	ジェンダーフリーなゲーム？	
193	00:04:12	らうらう	すごい	
194	00:04:18	竹輪	すごい	
195	00:04:19	リフェ	取り込み出来るのすごい	
196	00:04:22	じょーげん	LSDの弟みたいだぁ	
197	00:04:24	なんたら	外部から取り込めるんだ…	
198	00:04:28	のねずみ20日	既に奇ゲーの臭いがする	
199	00:04:39	ほるもん	おいしい煮玉子	
200	00:04:49	岸辺一徳	北海道出身の錬金術師って牛さんになっちゃった	
201	00:04:55	うぇいのる	草	
202	00:04:57	らうらう	草	
203	00:04:58	竹輪	うさんくさい	
204	00:05:01	近藤亮	草	
205	00:05:03	パンセポンセ	草	
206	00:05:03	小さい胡麻塩	草	
207	00:05:04	天然ステルス	USBに姉ちゃんの顔を取り込めばいけそう	
208	00:05:04	スモーク	草	
209	00:05:07	こみこ	だっせぇ…	
210	00:05:08	タケノコ男	草	
211	00:05:09	ねこくーる	草	
212	00:05:10	JUNY	もっと髪型のオシャレがんばろ？	
213	00:05:35	x 7up	長い	
214	00:05:53	ああ	充実してる	
