行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
1	00:00:00	天然ステルス	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	らうらう	おいしい煮玉子	
4	00:00:00	こみこ	おいしい煮玉子	
5	00:00:00	ほるもん	おいしい煮玉子	
6	00:00:00	スモーク	おいしい煮玉子	
7	00:00:00	ジャック・オー	おいしい煮玉子	
8	00:00:00	ぴねかっと	おいしい煮玉子	
9	00:00:00	JUNY	おいしい煮玉子	
10	00:00:00	motiyomogi	おいしい煮玉子	
11	00:00:00	T.のかね	​おいしい煮玉子	
12	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
13	00:00:00	バーチャルYouTuberガニメデちゃんねる	ちょっとだけ遅刻かな…	
14	00:00:00	ああ	おいしい煮玉子	
15	00:00:00	らうらう	Neuron準備RTAしてるな	
16	00:00:00	リフェ	おいしい煮玉子	
17	00:00:00	eve	おいしい煮玉子	
18	00:00:00	バーチャルYouTuberガニメデちゃんねる	配信準備RTA中っぽいこといってたもんなぁ	
19	00:00:00	なんたら	お着替え中…？	
20	00:00:00	T.のかね	急いで壊したりしないでね・・・	
21	00:00:00	めるカバ	おいしい煮玉子	
22	00:00:00	バーチャルYouTuberガニメデちゃんねる	配信のためにお着換え中と考えたらそれはっ……！？	
23	00:00:00	めるカバ	:クゥフランゾーパークゥフランゾーパー2:💦	
24	00:00:00	らうらう	制服から制服に着替えるだけなんだよなあ・・・	
25	00:00:00	T.のかね	かわいい	
26	00:00:00	東京コノハムシ	おいしい煮玉子	
27	00:00:00	ねこくーる	おいしい煮玉子	
28	00:00:00	クゥの部屋 Ch	matte	
29	00:00:00	ぴねかっと	matu	
30	00:00:00	T.のかね	matu	
31	00:00:00	らうらう	matu	
32	00:00:00	東京コノハムシ	matu	
33	00:00:00	なんたら	matsu	
34	00:00:00	カギカギ	matsu	
35	00:00:00	スモーク	matteru	
36	00:00:00	タケノコ男	matu	
37	00:00:00	eve	matsu	
38	00:00:00	桜田紅	matsu	
39	00:00:00	ジャック・オー	sibasi matsu	
40	00:00:00	らうらう		￥100
41	00:00:00	ぴねかっと		￥100
42	00:00:00	Ami Saika		￥100
43	00:00:08	東京コノハムシ	🎍	
44	00:00:14	なんたら	かわいい	
45	00:00:15	こみこ	はいかわいい	
46	00:00:15	らうらう	？!?	
47	00:00:16	ぴねかっと	おいしい煮玉子	
48	00:00:18	天然ステルス	kita	
49	00:00:18	JUNY	おっ	
50	00:00:20	タケノコ男	かわいい	
51	00:00:20	あい	かわいい	
52	00:00:20	T.のかね	かわいい	
53	00:00:21	ジョナサン・グレーン	かわいい	
54	00:00:21	カギカギ	おいしいかわいい	
55	00:00:21	motiyomogi	おいしい煮玉子	
56	00:00:22	桜田紅	おいしい煮玉子	
57	00:00:23	らうらう	かわいい	
58	00:00:25	ヌルヌペペ	おいしい煮玉子	
59	00:00:25	スモーク	かわいい！	
60	00:00:27	めるカバ	かわいい	
61	00:00:27	リフェ	かわいい	
62	00:00:29	ゼッケン100	おいしい煮玉子	
63	00:00:30	eve	kawaii	
64	00:00:30	クロムア	おいしい煮玉子	
65	00:00:30	ぐらける	かわいい	
66	00:00:31	ジャック・オー	おいしい煮玉子	
67	00:00:32	_ Die	かわいい	
68	00:00:34	らうらう	えなに	
69	00:00:37	mori mori	おはよう煮玉子	
70	00:00:38	ゴギガガガギゴ	おいしい煮玉子	
71	00:00:38	まりも	おいしい煮玉子	
72	00:00:38	JUNY	ﾊﾟｼｬﾊﾟｼｬﾊﾟｼｬ	
73	00:00:39	らうらう	かわいい	
74	00:00:39	Ryo Kamiya	おいしい煮玉子	
75	00:00:41	ゼッケン100	姉ちゃんの顔が近い！かわいい！	
76	00:00:41	なんたら	なるほど	
77	00:00:42	カギカギ	ﾊﾟｼｬﾊﾟｼｬ	
78	00:00:42	せせらぎ	お？	
79	00:00:42	T.のかね	ああ・・・	
80	00:00:45	東京コノハムシ	おいしい煮玉子	
81	00:00:49	motiyomogi	ﾊﾟｼｬﾊﾟｼｬ	
82	00:00:50	にけい	あれね！	
83	00:00:52	ぴねかっと	過ぎたことはしょうがない	
84	00:00:54	カギカギ	ええんやで	
85	00:00:55	らうらう	ええんやで・・・・・・・・	
86	00:00:55	ゴギガガガギゴ	ﾊﾟｼｬﾊﾟｼｬ	
87	00:00:55	JUNY	フラッシュの発光にお気を付けください	
88	00:00:56	mori mori	ﾊﾟｼｬｯﾊﾟｼｬﾊﾟｼｬｯ	
89	00:00:56	スモーク	ええんやで	
90	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
91	00:00:00	天然ステルス	おいしい煮玉子	
92	00:00:00	カギカギ	おいしい煮玉子	
93	00:00:00	らうらう	おいしい煮玉子	
94	00:00:00	こみこ	おいしい煮玉子	
95	00:00:00	ほるもん	おいしい煮玉子	
96	00:00:00	スモーク	おいしい煮玉子	
97	00:00:00	ジャック・オー	おいしい煮玉子	
98	00:00:00	ぴねかっと	おいしい煮玉子	
99	00:00:00	JUNY	おいしい煮玉子	
100	00:00:00	motiyomogi	おいしい煮玉子	
101	00:00:00	T.のかね	​おいしい煮玉子	
102	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
103	00:00:00	バーチャルYouTuberガニメデちゃんねる	ちょっとだけ遅刻かな…	
104	00:00:00	ああ	おいしい煮玉子	
105	00:00:00	らうらう	Neuron準備RTAしてるな	
106	00:00:00	リフェ	おいしい煮玉子	
107	00:00:00	eve	おいしい煮玉子	
108	00:00:00	バーチャルYouTuberガニメデちゃんねる	配信準備RTA中っぽいこといってたもんなぁ	
109	00:00:00	なんたら	お着替え中…？	
110	00:00:00	T.のかね	急いで壊したりしないでね・・・	
111	00:00:00	めるカバ	おいしい煮玉子	
112	00:00:00	バーチャルYouTuberガニメデちゃんねる	配信のためにお着換え中と考えたらそれはっ……！？	
113	00:00:00	めるカバ	:クゥフランゾーパークゥフランゾーパー2:💦	
114	00:00:00	らうらう	制服から制服に着替えるだけなんだよなあ・・・	
115	00:00:00	T.のかね	かわいい	
116	00:00:00	東京コノハムシ	おいしい煮玉子	
117	00:00:00	ねこくーる	おいしい煮玉子	
118	00:00:00	クゥの部屋 Ch	matte	
119	00:00:00	ぴねかっと	matu	
120	00:00:00	T.のかね	matu	
121	00:00:00	らうらう	matu	
122	00:00:00	東京コノハムシ	matu	
