行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	꧁꧂クゥの部屋꧁꧂ を待っています 2019年4月13日 13:00	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	パンセポンセ	おいしい煮玉子	
3	00:00:00	mk 95	おいしい煮玉子	
4	00:00:00	Loki GH	おいしい煮玉子	
5	00:00:00	小さい胡麻塩	おいしい煮玉子	
6	00:00:13	けいてんたん	おいしいわにたまご	
7	00:00:16	らうらう	​おいしい煮玉子	
8	00:00:18	motiyomogi	おいしい煮玉子	
9	00:00:21	seafood	おいしい煮玉子	
10	00:00:21	JUNY	おいしい煮玉子	
11	00:00:24	にけい	おいしい煮玉子	
12	00:00:30	ゼッケン100	おいしい煮玉子	
13	00:00:31	sas b	おいしい煮玉子	
14	00:00:31	ss kk	おいしい煮玉子	
15	00:00:31	ジョナサン・グレーン	おいしい煮玉子	
16	00:00:35	なんたら	おいしい煮玉子	
17	00:00:37	おさかな	おいしい煮玉子	
18	00:00:38	らうらう	もうはじまってる	
19	00:00:41	小泉鈍一郎	おいしい煮玉子	
20	00:00:45	Loki GH	まさかの遅刻なし	
21	00:00:47	にけい	はうっとる？	
22	00:00:53	カギカギ	おいしい煮玉子	
23	00:01:04	らうらう	草	
24	00:01:04	ゼッケン100	かわいい	
25	00:01:05	motiyomogi	すごい	
26	00:01:14	なんたら	わかる	
27	00:01:25	Loki GH	すごい！	
28	00:01:27	JUNY	ふふ	
29	00:01:40	JUNY	クレしん風のやつかわいい	
30	00:01:42	ゼッケン100	この絵かわいい	
31	00:01:46	小泉鈍一郎	かわいい	
32	00:01:47	パンセポンセ	かわいい	
33	00:01:48	クロム	かわいい	
34	00:01:48	motiyomogi	かわいい	
35	00:01:50	ゼッケン100	COOL	
36	00:01:50	リフェ	かわいい	
37	00:01:52	Loki GH	COOL	
38	00:02:12	Loki GH	見たことないー	
39	00:02:28	けいてんたん	だいぶ前に見たからうろ覚え	
40	00:02:35	なんたら	オカマ以前/以後	
41	00:02:44	JUNY	オカマ前 オカマ後	
42	00:03:08	にけい	れらたん今日ガツガツしとるな！	
43	00:03:16	ゼッケン100	わかる	
44	00:03:27	Loki GH	れらたんかわいい	
45	00:03:29	ナウ	おいしい煮玉子	
46	00:03:46	JUNY	ちょうどよくなった	
47	00:03:51	motiyomogi	おっけー	
48	00:03:51	tschappie	いい感じ	
49	00:03:54	小さい胡麻塩	ちょうどよい	
50	00:03:58	フレイムリンクス	おいしい煮玉子	
51	00:04:08	タケノコ男	おいしい煮玉子	
52	00:04:11	ぽぼす	おいしい煮玉子	
53	00:04:13	ゼッケン100	おいしいゆで玉子	
54	00:00:00	らうらう	꧁꧂クゥの部屋꧁꧂ を待っています 2019年4月13日 13:00	
55	00:00:00	リフェ	おいしい煮玉子	
56	00:00:00	パンセポンセ	おいしい煮玉子	
57	00:00:00	mk 95	おいしい煮玉子	
58	00:00:00	Loki GH	おいしい煮玉子	
59	00:00:00	小さい胡麻塩	おいしい煮玉子	
60	00:00:13	けいてんたん	おいしいわにたまご	
61	00:00:16	らうらう	​おいしい煮玉子	
62	00:00:18	motiyomogi	おいしい煮玉子	
63	00:00:21	seafood	おいしい煮玉子	
64	00:00:21	JUNY	おいしい煮玉子	
65	00:00:24	にけい	おいしい煮玉子	
66	00:00:30	ゼッケン100	おいしい煮玉子	
67	00:00:31	sas b	おいしい煮玉子	
68	00:00:31	ss kk	おいしい煮玉子	
69	00:00:31	ジョナサン・グレーン	おいしい煮玉子	
70	00:00:35	なんたら	おいしい煮玉子	
71	00:00:37	おさかな	おいしい煮玉子	
72	00:00:38	らうらう	もうはじまってる	
73	00:00:41	小泉鈍一郎	おいしい煮玉子	
74	00:00:45	Loki GH	まさかの遅刻なし	
75	00:00:47	にけい	はうっとる？	
76	00:00:53	カギカギ	おいしい煮玉子	
77	00:01:04	らうらう	草	
78	00:01:04	ゼッケン100	かわいい	
79	00:01:05	motiyomogi	すごい	
80	00:01:14	なんたら	わかる	
81	00:01:25	Loki GH	すごい！	
82	00:01:27	JUNY	ふふ	
83	00:01:40	JUNY	クレしん風のやつかわいい	
84	00:01:42	ゼッケン100	この絵かわいい	
85	00:01:46	小泉鈍一郎	かわいい	
86	00:01:47	パンセポンセ	かわいい	
87	00:01:48	クロム	かわいい	
88	00:01:48	motiyomogi	かわいい	
89	00:01:50	ゼッケン100	COOL	
90	00:01:50	リフェ	かわいい	
91	00:01:52	Loki GH	COOL	
92	00:02:12	Loki GH	見たことないー	
93	00:02:28	けいてんたん	だいぶ前に見たからうろ覚え	
94	00:02:35	なんたら	オカマ以前/以後	
95	00:02:44	JUNY	オカマ前 オカマ後	
96	00:03:08	にけい	れらたん今日ガツガツしとるな！	
97	00:03:16	ゼッケン100	わかる	
98	00:03:27	Loki GH	れらたんかわいい	
99	00:03:29	ナウ	おいしい煮玉子	
100	00:03:46	JUNY	ちょうどよくなった	
101	00:03:51	motiyomogi	おっけー	
102	00:03:51	tschappie	いい感じ	
103	00:03:54	小さい胡麻塩	ちょうどよい	
104	00:03:58	フレイムリンクス	おいしい煮玉子	
105	00:04:08	タケノコ男	おいしい煮玉子	
106	00:04:11	ぽぼす	おいしい煮玉子	
107	00:04:13	ゼッケン100	おいしいゆで玉子	
108	00:04:25	らうらう	おいしいゆで玉子	
109	00:04:37	JUNY	姉ちゃんが食べ物で健康気にしてるとこ初めて見た	
110	00:04:40	けいてんたん	コンビニのくん玉うまいぞ	
111	00:04:41	なんたら	温度が下がりにくいのかも	
112	00:04:44	tschappie	ふたつでじゅうぶんですよ	
113	00:04:46	Loki GH	煮玉子用意しておけばよかった・・・	
114	00:04:53	せせらぎ	こんにちわ煮玉子	
115	00:05:18	JUNY	はじまった！	
116	00:05:18	ゼッケン100	Q	
117	00:05:21	パンセポンセ	東宝	
118	00:05:22	けいてんたん	東 宝	
119	00:05:24	Loki GH	東宝	
120	00:05:24	おさかな	東宝	
121	00:05:28	D W	はじまった	
122	00:05:29	フレイムリンクス	いつもの東宝	
123	00:05:29	ナウ	q	
124	00:05:34	mk 95	世界観が違う！	
125	00:06:07	ss kk	概要欄が白花咲さん？	
126	00:06:07	motiyomogi	やったか！？	
127	00:06:10	リフェ	やったか！？	
128	00:06:11	ゼッケン100	やったか！？	
129	00:06:11	クロム	やったか？！	
130	00:06:12	けいてんたん	やったか！？はフラグ	
131	00:06:13	フレイムリンクス	やったか！？	
132	00:06:20	JUNY	保志さんか	
133	00:06:22	ナウ	やったか！？	
134	00:06:52	D W	でた	
135	00:06:52	パンセポンセ	オカマだ	
136	00:06:54	フレイムリンクス	いつものオカマ	
137	00:06:54	けいてんたん	ええ声のオカマ	
138	00:06:57	クロム	オカマだ！！	
139	00:06:58	JUNY	即オカマ	
140	00:07:00	カギカギ	声がもうつよそう	
141	00:07:07	おさかな	勝てない感がすごい	
142	00:07:09	らうらう	魔女？	
143	00:07:21	motiyomogi	つよい	
144	00:07:21	リフェ	つよい	
145	00:07:28	ゼッケン100	つよい	
146	00:07:28	ジャック・オー	つよい	
147	00:07:29	JUNY	手ぇ	
148	00:07:31	おさかな	つよい	
149	00:07:34	フレイムリンクス	結構所々怖いシーンあるよね	
150	00:07:42	tschappie	つよい	
151	00:07:43	mk 95	指の動き良いな	
152	00:07:54	けいてんたん	なつかしい歌だ！	
153	00:07:55	motiyomogi	クレイアニメすき	
154	00:07:55	パンセポンセ	なつかしい	
155	00:08:00	リフェ	なつかしい	
156	00:08:06	mk 95	なつかしい	
157	00:08:10	ジャック・オー	クレイアニメすごい	
158	00:08:12	D W	ヘンダーランドちょくちょくホラーなとこある	
159	00:08:34	うぇいのる	おいしい煮玉子	
160	00:08:38	けいてんたん	これまだぶりぶりざえもんが喋ってるころ？	
161	00:08:42	クロム	サンバの怖かったね	
162	00:08:43	リフェ	前半ちょっと暗めだよね	
163	00:08:43	ぽぼす	踊れアミーゴのやつか	
164	00:09:00	mk 95	埼玉	
165	00:09:05	おさかな	ｻｲﾀﾏｰ	
166	00:09:05	リフェ	埼玉	
167	00:09:06	Loki GH	埼玉	
168	00:09:08	ジャック・オー	埼玉	
169	00:09:15	motiyomogi	埼玉	
170	00:09:19	tschappie	ｻｲﾀﾏｻｲﾀﾏ！	
171	00:09:57	らうらう	草	
172	00:09:59	ゼッケン100	草	
173	00:10:02	D W	こいつら・・・	
174	00:10:04	クロム	リアリティとか言い出した	
175	00:10:33	フレイムリンクス	しんちゃんひろしみさえの3人家族はこの映画で最後で、次の暗黒タマタマでひまわりINだったね	
176	00:10:36	ねこくーる	おいしい煮玉子	
177	00:10:40	ジャック・オー	風間君を純粋な目で見れなくなってる…	
178	00:10:41	Loki GH	こいつらｗ	
179	00:11:16	リフェ	でたー	
180	00:11:32	けいてんたん	しんちゃんの音の外し方が神がかってる	
181	00:11:39	小さい胡麻塩	例の歌	
182	00:11:41	もっけい	グンマー	
183	00:11:43	D W	グンマー	
184	00:11:44	ぽぼす	群馬だったのか・・・	
185	00:11:44	フレイムリンクス	群馬か…	
186	00:11:48	ジャック・オー	グンマー	
187	00:12:00	もっけい	ひろしの晩酌豪華すぎぃ	
188	00:12:13	小さい胡麻塩	めっちゃ料理用意されとる	
189	00:12:20	mk 95	おかず付きで瓶ビール…	
190	00:12:30	フレイムリンクス	草	
191	00:12:30	D W	草	
192	00:12:36	もっけい	ここからのシーンの逆光表現が怖くてすき	
193	00:12:55	おさかな	ここからもう非日常っぽい	
194	00:12:57	ゼッケン100	ほんとだ	
195	00:13:03	ジャック・オー	たしかに	
196	00:13:05	もっけい	クレしんの時代は光の表現がキツくても許されてたなぁ	
197	00:13:10	小さい胡麻塩	たしかに	
198	00:13:14	D W	どうしたひろし	
199	00:13:31	フレイムリンクス	組長	
200	00:13:43	ナウ	映画の音放送に入っちゃってないか	
201	00:13:45	Loki GH	確かに光すごい	
202	00:13:46	もっけい	眩しすぎる	
203	00:13:47	フレイムリンクス	チーターおるやん	
204	00:14:04	mk 95	うわキツ	
205	00:14:39	せせらぎ	草	
206	00:14:45	リフェ	草	
207	00:14:55	Loki GH	うわきつ	
208	00:14:59	もっけい	この映画をリアルタイムで見てた子供も今では先生より年上・・・	
209	00:15:00	カギカギ	みじかい	
210	00:15:00	フレイムリンクス	松坂先生…幼稚園の遠足でその格好は…	
211	00:15:01	ゼッケン100	うわキツ	
212	00:15:03	けいてんたん	ﾎﾞﾃﾞｨｺﾝｼｬｽ	
213	00:15:09	小さい胡麻塩	うわキツ	
214	00:15:09	おさかな	こわい…	
215	00:15:19	motiyomogi	こわい	
216	00:15:23	小さい胡麻塩	逆セクハラ	
217	00:15:27	クロム	園児の前ですることか・・・	
218	00:15:28	らうらう	苦情不可避	
219	00:15:30	リフェ	草	
220	00:15:34	けいてんたん	寄せてあげてるのか	
221	00:15:41	タケノコ男	草	
222	00:15:46	D W	草	
223	00:15:53	もっけい	コンギョ	
224	00:16:15	ゼッケン100	めんみソング	
225	00:16:16	もっけい	今回のランキングでブタのヒヅメが入ってなかったのは誠に遺憾である	
226	00:16:22	motiyomogi	草	
227	00:16:39	フレイムリンクス	なんとなく時代を感じるPA	
228	00:16:42	Loki GH	えぇ・・	
229	00:16:44	もっけい	何人か消えても気づかなそう	
230	00:16:46	リフェ	草	
231	00:17:07	Loki GH	北関東的な景色	
232	00:17:07	もっけい	グンマーといえば原住民	
233	00:17:07	tschappie	ぐんまけん	
234	00:17:08	ゼッケン100	かわいそう	
235	00:17:11	フレイムリンクス	草	
