行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョージガリバー	バーチャル晩飯くってくる	
1	00:00:00	ぐら	これでいい これでいい	
2	00:00:00	水無月銀	とっくの昔に高評価済み	
3	00:00:00	パリパリ海苔	デス様見直しててもいいんやな	
4	00:00:00	こみこ	デス高評価	
5	00:00:00	二階堂義盛	ここは世界最大のミソシタファンチャットルーム…	
6	00:00:00	バーチャルミク廃立花	ミソシタばっかみてるとようつべがミソシタおススメしてきそうで恐ろしい	
7	00:00:00	ヨッシー	かわいい	￥200
8	00:00:17	周恩来	お	
9	00:00:22	プレコ	きたきた	
10	00:00:22	mori mori	OBSという謎のきのうがなんやかんやあって枠がなんやかんや変わったのは理解できた	
11	00:00:23	Theia	お	
12	00:00:25	ああ	ミソシタからきまシタ	
13	00:00:25	N. Masaki	やあ	
14	00:00:25	ゆきやこちゃんねる	こんばんはー	
15	00:00:25	ついたち	おかえり姉ちゃん	
16	00:00:26	完ちゃん	わはー	
17	00:00:26	ぽーちき	お	
18	00:00:26	レモンティー	お	
19	00:00:26	味付けタマゴ	おかえり	
20	00:00:27	ゴギガガガギゴ	きたか	
21	00:00:28	はるにれ	おかえり	
22	00:00:28	ミント	おかえり	
23	00:00:30	つみっく	ふっかーつ！	
24	00:00:31	閣下もやし	オッ	
25	00:00:31	ジョージガリバー	おかえり	
26	00:00:32	エールグレイ	きたー！	
27	00:00:32	むぎやちゃんねる	おかえりー	
28	00:00:33	_ Die	おかえり	
29	00:00:33	らうらう	おあ	
30	00:00:34	Luce	きたー	
31	00:00:36	まぃと	おかえりー	
32	00:00:37	八木谷	おかえりー	
33	00:00:39	Aさん	お帰りなさい	
34	00:00:41	メディ	おかえり	
35	00:00:42	タタリ	おかえり	
36	00:00:43	パリパリ海苔	おかえりなのだわ	
37	00:00:44	うちま	おかえりー	
38	00:00:45	かーるポン	okaeri-	
39	00:00:46	あます	おかえり	
40	00:00:49	グランザメス	わーい神ゲーだー	
41	00:00:53	水無月銀	おかえりー！	
42	00:00:53	竹輪	おかえり	
43	00:01:03	ぽーちき	おかえりねーちゃん	
44	00:01:05	真新八	おかえり〜	
45	00:01:05	ゴギガガガギゴ	おかえり！	
46	00:01:06	空気	こんばんは～	
47	00:01:07	ミント	しゃーない	
48	00:01:10	二階堂義盛	チャット欄って共通なのねー	
49	00:01:14	Ton-Tパイセン	おかえりー	
50	00:01:14	キリンリキ【鼓膜カンパニー公式】	おかえりなさい	
51	00:01:20	アリス	おかえり	
52	00:01:22	悠	おかえりー	
53	00:01:24	そでりゅー	おかえりー	
54	00:01:31	畢竟	オアエリ	
55	00:01:36	-カツキ-	おかえりなさいませ	
56	00:01:36	ああ	おかえり	
57	00:00:00	ジョージガリバー	バーチャル晩飯くってくる	
58	00:00:00	ぐら	これでいい これでいい	
59	00:00:00	水無月銀	とっくの昔に高評価済み	
60	00:00:00	パリパリ海苔	デス様見直しててもいいんやな	
61	00:00:00	こみこ	デス高評価	
62	00:00:00	二階堂義盛	ここは世界最大のミソシタファンチャットルーム…	
63	00:00:00	バーチャルミク廃立花	ミソシタばっかみてるとようつべがミソシタおススメしてきそうで恐ろしい	
64	00:00:00	ヨッシー	かわいい	￥200
65	00:00:17	周恩来	お	
66	00:00:22	プレコ	きたきた	
67	00:00:22	mori mori	OBSという謎のきのうがなんやかんやあって枠がなんやかんや変わったのは理解できた	
68	00:00:23	Theia	お	
69	00:00:25	ああ	ミソシタからきまシタ	
70	00:00:25	N. Masaki	やあ	
71	00:00:25	ゆきやこちゃんねる	こんばんはー	
72	00:00:25	ついたち	おかえり姉ちゃん	
73	00:00:26	完ちゃん	わはー	
74	00:00:26	ぽーちき	お	
75	00:00:26	レモンティー	お	
76	00:00:26	味付けタマゴ	おかえり	
77	00:00:27	ゴギガガガギゴ	きたか	
78	00:00:28	はるにれ	おかえり	
79	00:00:28	ミント	おかえり	
80	00:00:30	つみっく	ふっかーつ！	
81	00:00:31	閣下もやし	オッ	
82	00:00:31	ジョージガリバー	おかえり	
83	00:00:32	エールグレイ	きたー！	
84	00:00:32	むぎやちゃんねる	おかえりー	
85	00:00:33	_ Die	おかえり	
86	00:00:33	らうらう	おあ	
87	00:00:34	Luce	きたー	
88	00:00:36	まぃと	おかえりー	
89	00:00:37	八木谷	おかえりー	
90	00:00:39	Aさん	お帰りなさい	
91	00:00:41	メディ	おかえり	
92	00:00:42	タタリ	おかえり	
93	00:00:43	パリパリ海苔	おかえりなのだわ	
94	00:00:44	うちま	おかえりー	
95	00:00:45	かーるポン	okaeri-	
96	00:00:46	あます	おかえり	
97	00:00:49	グランザメス	わーい神ゲーだー	
98	00:00:53	水無月銀	おかえりー！	
99	00:00:53	竹輪	おかえり	
100	00:01:03	ぽーちき	おかえりねーちゃん	
101	00:01:05	真新八	おかえり〜	
102	00:01:05	ゴギガガガギゴ	おかえり！	
