行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:21	ヌルヌペペ	おいしい煮玉子	
1	00:00:23	はるにれ	おいしい煮玉子	
2	00:00:24	あい	おいしい煮玉子	
3	00:00:25	なんたら	おいしい煮玉子	
4	00:00:30	らうらう	おにたま	
5	00:00:34	もっぃ	おかえり煮玉子	
6	00:00:35	むらさきあんこ	再開した	
7	00:00:40	エクセルシオール	おいしい煮玉子	
8	00:00:56	ふーばー	おいしい煮玉子	
9	00:02:05	ふじ	おいしい煮玉子	
10	00:03:07	あい	おまかわ	
11	00:03:08	もっぃ	おまかわ	
12	00:03:08	らうらう	おまかわ	
13	00:03:12	なんたら	おまかわ	
14	00:03:14	内海柚	おいしい煮玉子	
15	00:03:17	なにここ	おいしい煮玉子	
16	00:03:24	エクセルシオール	そういえば3はαとかβ横に並んでないのか	
17	00:03:51	おかえり	かわいい	
18	00:03:53	もっぃ	コッチヲミロォ	
19	00:03:54	らうらう	かわいい	
20	00:04:00	エクセルシオール	かわいい	
21	00:04:00	ふーばー	そうです そうです	
22	00:04:54	らうらう	ゾーパー家の冷蔵庫は空なの	
23	00:05:00	むらさきあんこ	足が！	
24	00:05:02	もっぃ	おみあし	
25	00:05:05	なんたら	おみあし	
26	00:05:19	内海柚	あぐら姉ちゃん	
27	00:05:25	ふーばー	冷蔵庫にマヨネーズくらいあるのでは？	
28	00:06:01	ぼたん	よいこじゃない説	
29	00:06:13	らうらう	かわいい	
30	00:06:17	みよ	ごぜん１１時で寝れるかな・・・	
31	00:06:18	ほるもん	かわいい	
32	00:06:42	らうらう	ダメジャーがあるぞ	
33	00:06:55	スコッティスコスコ	おはよぅございます 結婚してください	
34	00:06:56	ぼたん	なによ！	
35	00:07:02	ブロア	おいしい煮玉子	
36	00:07:13	なんたら	姉ちゃん姿勢が	
37	00:07:26	ブロア	おみあし	
38	00:07:29	かたもく	おいしい煮卵	
39	00:07:29	ふじ	マヨネーズ登山に持っていくと良いんだっけ	
40	00:07:40	やたごかわはす	こわがらせるポーズ	
41	00:07:51	キタカシ	おはようございます	
42	00:07:59	もっぃ	おみあし代	￥200
43	00:08:14	ぼたん	カロリーが凄いからマヨネーズ持ってくといいんだっけ？	
44	00:08:20	かたもく	プロゴルファー猿は草	
45	00:08:26	内海柚	山マヨは非常食では	
46	00:08:31	なんたら	卵黄！油！酢！	
47	00:08:38	ふじ	通常の食事の調味に使えるのと高カロリーなので万が一の時にも食いつなぎやすいとか	
48	00:09:03	キタカシ	マヨネーズは完全栄養食	
49	00:09:44	もっぃ	姉ちゃんのうなじ	
50	00:00:21	ヌルヌペペ	おいしい煮玉子	
51	00:00:23	はるにれ	おいしい煮玉子	
52	00:00:24	あい	おいしい煮玉子	
53	00:00:25	なんたら	おいしい煮玉子	
54	00:00:30	らうらう	おにたま	
55	00:00:34	もっぃ	おかえり煮玉子	
56	00:00:35	むらさきあんこ	再開した	
57	00:00:40	エクセルシオール	おいしい煮玉子	
58	00:00:56	ふーばー	おいしい煮玉子	
59	00:02:05	ふじ	おいしい煮玉子	
60	00:03:07	あい	おまかわ	
61	00:03:08	もっぃ	おまかわ	
62	00:03:08	らうらう	おまかわ	
63	00:03:12	なんたら	おまかわ	
64	00:03:14	内海柚	おいしい煮玉子	
65	00:03:17	なにここ	おいしい煮玉子	
66	00:03:24	エクセルシオール	そういえば3はαとかβ横に並んでないのか	
67	00:03:51	おかえり	かわいい	
68	00:03:53	もっぃ	コッチヲミロォ	
69	00:03:54	らうらう	かわいい	
70	00:04:00	エクセルシオール	かわいい	
71	00:04:00	ふーばー	そうです そうです	
72	00:04:54	らうらう	ゾーパー家の冷蔵庫は空なの	
73	00:05:00	むらさきあんこ	足が！	
74	00:05:02	もっぃ	おみあし	
75	00:05:05	なんたら	おみあし	
76	00:05:19	内海柚	あぐら姉ちゃん	
77	00:05:25	ふーばー	冷蔵庫にマヨネーズくらいあるのでは？	
78	00:06:01	ぼたん	よいこじゃない説	
79	00:06:13	らうらう	かわいい	
80	00:06:17	みよ	ごぜん１１時で寝れるかな・・・	
81	00:06:18	ほるもん	かわいい	
82	00:06:42	らうらう	ダメジャーがあるぞ	
83	00:06:55	スコッティスコスコ	おはよぅございます 結婚してください	
84	00:06:56	ぼたん	なによ！	
85	00:07:02	ブロア	おいしい煮玉子	
86	00:07:13	なんたら	姉ちゃん姿勢が	
87	00:07:26	ブロア	おみあし	
88	00:07:29	かたもく	おいしい煮卵	
89	00:07:29	ふじ	マヨネーズ登山に持っていくと良いんだっけ	
90	00:07:40	やたごかわはす	こわがらせるポーズ	
91	00:07:51	キタカシ	おはようございます	
92	00:07:59	もっぃ	おみあし代	￥200
93	00:08:14	ぼたん	カロリーが凄いからマヨネーズ持ってくといいんだっけ？	
94	00:08:20	かたもく	プロゴルファー猿は草	
95	00:08:26	内海柚	山マヨは非常食では	
96	00:08:31	なんたら	卵黄！油！酢！	
97	00:08:38	ふじ	通常の食事の調味に使えるのと高カロリーなので万が一の時にも食いつなぎやすいとか	
98	00:09:03	キタカシ	マヨネーズは完全栄養食	
99	00:09:44	もっぃ	姉ちゃんのうなじ	
100	00:09:57	むらさきあんこ	よががすごい	
101	00:10:12	らうらう	姉ちゃんどこ	
102	00:10:14	かたもく	行かないで	
103	00:10:19	ぼたん	朝ヨガ	
104	00:10:20	ぐぐ	いかないで	
105	00:10:25	なんたら	ヨガ代	￥200
106	00:10:35	上野	お疲れ様です	
107	00:10:35	もっぃ	T	
108	00:10:48	ブロア	Tの予感	
109	00:10:51	内海柚	クゥ姉ちゃんのヨガ健康法	
110	00:10:53	エクセルシオール	ヨガはJCの嗜み	
111	00:11:07	かたもく	おかえり	
112	00:11:10	ぼたん	おかえりなさい	
113	00:11:14	ほるもん	おかえり	
114	00:11:21	ふーばー	既に脚見えてて草	
115	00:11:26	なんたら	脚の行儀が悪い	
116	00:11:32	ヌルヌペペ	足が	
117	00:11:34	ブロア	かわいいおあし	
118	00:11:40	らうらう	あぐらかいてゲームするJCいいよねいいよ	
119	00:11:49	ほるもん	ヨガタイム	
120	00:11:56	なんたら	あぐらいい…	
121	00:12:09	ふーばー	アッコさん！	
122	00:12:09	やたごかわはす	あぐらゲーム	
124	00:12:46	ふじ	ちゃんとヒモヘビも吊るされてるの草	
125	00:12:54	みよ	脇・・・？	
126	00:13:06	かたもく	どせいさんの脇のしたって・・・どこ？	
127	00:15:00	ブロア	ｸｩｳｳｳｳｳｳｳ	
128	00:15:03	なんたら	クゥーー！	
129	00:15:10	らうらう	プニキイイイイイイイイイイイ	
130	00:15:15	内海柚	死にそうになるたびに形見使わないかドキドキする…	
131	00:15:16	かたもく	人？	
132	00:15:42	ふーばー	完全に理解した（わかってない）	
133	00:16:01	おかえり	勝又かな？	
134	00:16:04	やたごかわはす	アッコにおまかせ	
135	00:16:12	ぼたん	すげぇ！アッコさん帰ってきた！	
136	00:16:19	ブロア	みーんみーん！	
137	00:16:24	かたもく	(●´・⊃・)しってます	
138	00:16:25	ブロア	かわいい	
139	00:16:40	もっぃ	アッコさんすげえ！	
140	00:18:21	ブロア	女ァ！！	
141	00:18:36	ぼたん	いい湯だな〜	
142	00:18:48	なんたら	女サスケェ！	
143	00:18:57	エクセルシオール	ぐんまけん	
144	00:19:04	もみじおろし	おはようございます	
145	00:19:10	かたもく	(●´・⊃・)ぐんまけん	
146	00:19:22	もっぃ	お前はまだグンマを知らない	
147	00:19:24	ぼたん	秘境ぐんまけん	
148	00:20:38	はるにれ	フットレスト破壊してたし…	
149	00:20:49	白雪	おはにたま	
150	00:20:59	心愛	初見です、ハードって何でやってますか？	
151	00:21:27	もっぃ	最新ハード	
152	00:21:34	かたもく	WiiUやで	
153	00:21:45	ふーばー	嫌な事件だったね...	
154	00:21:58	かたもく	悲しい事件だったよね・・・	
155	00:22:07	ふじ	アレがなければあそこまでギリギリじゃなかったよね	
156	00:22:15	御早和杯	けとばしたのは初耳…	
157	00:22:23	Ganon	はえ〜〜〜	
158	00:22:23	エクセルシオール	6時間はあまりにも大きい	
159	00:22:25	北南	0% 0% 0%	
160	00:22:28	マル	せやねぇ	
161	00:22:32	らうらう	ふぇありすのクロノトリガーなんかあったんか	
162	00:22:35	かたもく	カートリッジでの実況は、辞めようね！	
163	00:22:43	あい	線短いからね	
164	00:22:48	名馬ポニー	嫌な事件だったね…	
165	00:22:58	ちきん南蛮	経験者は語る	
166	00:23:07	ぼたん	VCやらアーカイブスやらはありがたい…	
167	00:23:11	御早和杯	VCやアーカイブと実機は微妙に違ったりするからね…	
168	00:23:27	むらさきあんこ	ファミコンミニとかソフトいっぱい入ってるしそのへんもありね…	
169	00:23:27	ブロア	あのどせいさんに話しかけるんだっけ…	
170	00:24:04	ふじ	1+2も大分仕様違った記憶 特に1の方	
171	00:24:18	らうらう	SwitchでもVC配信しないかなあ	
172	00:24:19	ちきん南蛮	壁近くのどせいさんは？	
173	00:24:49	ぼたん	1+2の1は海外版ベースなのもあって色々違いますね	
174	00:25:00	ブロア	そうか。	
175	00:25:34	もっぃ	謝感的倒圧	
176	00:25:59	ニャークス	チャンネル登録３回しときます	
177	00:26:02	鼻毛の錬金術師	おはよう。起きたら凄く進んでた	
178	00:26:39	ぼたん	ポジティブJC	
179	00:26:40	もっぃ	一番下のどせいさんつよい	
180	00:26:40	ZW犬死無能盾-肉無鶏	おはよう煮玉子 進捗どうですか	
181	00:26:40	ほるもん	むよん	
182	00:26:57	ふーばー	アッコさんすげぇ！	
183	00:27:03	鼻毛の錬金術師	寝る前は4章だったのに昨日結局何時に寝たの？	
184	00:27:05	エクセルシオール	さすがアッコさん！	
185	00:27:08	らうらう	アッコさん壁登ってる！	
186	00:27:14	ブロア	かわいい	
187	00:27:19	やたごかわはす	すげぇよ！アッコさん！	
188	00:27:25	ヌルヌペペ	12時までにはおわりそうだね	
189	00:28:00	なんたら	ポンプのときに寝てたクゥ	
190	00:28:10	ぼたん	エビの素揚げは手堅くうまい	
191	00:28:11	もっぃ	おつまみセットを嗜むJC	
192	00:28:14	エクセルシオール	思ったより豪華そうなおつまみセットだ	
193	00:28:31	おかえり	この曲好き	
194	00:29:10	ブロア	チュー	
195	00:29:10	らうらう	ちゅっ	
196	00:29:44	もっぃ	このセンスほんとすき	
197	00:29:47	ぐぐ	こういうセンスだいすき	
198	00:29:55	ふじ	こういうところのセンスはすごいと思うわ	
