行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	究極ド根性ダイコン	21時からの配信も楽しみ	
1	00:00:00	potage10	youtube垢はホイホイ名前変えられなかったような	
2	00:00:00	らうらう	そういえばまだ姉ちゃんからもらったちょこ食べてないわ	
3	00:00:00	らうらう	あ	
4	00:00:00	potage10	ここ↓？	
5	00:00:00	ぽーちき	パリピを滅ぼす	
6	00:00:00	EEB	こうなったのも	
7	00:00:00	EEB	すべてパリピのせいだな	
8	00:00:00	ゆるふわ院	正座待機	
9	00:00:00	草ぺんぺん	ここ？	
10	00:00:00	ちゃん。わに わに	そうだよ	
11	00:00:00	ネズミ2/2/6	これも全部パリピって奴が悪いんだ！	
12	00:00:00	しろみんてぃS	わこつー	
13	00:00:00	Theia	おのれパリピ	
14	00:00:00	竹輪	お姉ちゃんの生放送邪魔したぱりぴぜってえ許さねぇ	
15	00:00:00	Romko S	🔥パリピ🔥	
18	00:00:00	双星すたみ	パリピ系Vtuber	
19	00:00:00	EEB	実際パリピって何すんだろディスコで踊るの？	
20	00:00:11	鼠犬/チューケン	ん？	
21	00:00:13	- 567	お	
22	00:00:14	Guestman	おかえり	
23	00:00:14	穀潰之熊 バーチャルなろう作家	がはは	
24	00:00:14	究極ド根性ダイコン	そりゃもうノリノリで	
25	00:00:18	Theia	お	
26	00:00:19	EEB	きた	
27	00:00:20	神子ロス	お？	
28	00:00:20	なまこ	はいよ	
29	00:00:20	N. Masaki	お？	
30	00:00:24	こじろうくん	お	
31	00:00:24	双星すたみ	おかえりー	
32	00:00:24	むーたらしゅ	おかえり	
33	00:00:25	くろなぎ	お	
34	00:00:26	ミント	お	
35	00:00:27	パテントブルー	ここでよろしい？	
36	00:00:28	やさシヴァ	きたのかしら	
37	00:00:30	ウイｌお	おかえり	
38	00:00:31	タタリ	きた？	
39	00:00:32	ぶらぼーやっほー	ママすき	
40	00:00:32	ゴギガガガギゴ	きたか	
41	00:00:33	高橋知希	おかえり	
42	00:00:34	こみこ	姉ちゃん！	
43	00:00:35	究極ド根性ダイコン	はじまった？	
44	00:00:37	OilDrinker	きたわね	
45	00:00:37	ネズミ2/2/6	おかえり	
46	00:00:38	竹輪	きたっぽい？	
47	00:00:38	しろみんてぃS	お？	
48	00:00:40	- 567	おかえり	
49	00:00:41	Des	きたか！	
50	00:00:42	ドソドソ	姉ちゃん！	
51	00:00:43	ポーン	丘？	
52	00:00:44	怪盗Jupiter	おかえり	
53	00:00:48	ミールドル	きた	
54	00:00:48	カツキ	？	
55	00:00:49	エールグレイ	姉ちゃんおかえり	
56	00:00:50	キラ	お か え り	
57	00:00:50	オルリス01	こんばんは～	
58	00:00:52	Ira Ak	きたでござるか？	
59	00:00:55	真新八	お か え り と言うか今来た	
60	00:00:59	オンゴロ	おかえり	
61	00:01:00	ついたち	姉ちゃんきた？	
62	00:01:01	骸の男	きたわね。	
63	00:01:02	響一朗	はじまった？	
64	00:01:02	Romko S	おかえり	
65	00:01:03	ゆるふわ院	🔥	
66	00:01:03	OilDrinker	またダメ？	
67	00:01:04	サライラ	お	
68	00:01:16	みーまる	ん？	
69	00:00:00	究極ド根性ダイコン	21時からの配信も楽しみ	
70	00:00:00	potage10	youtube垢はホイホイ名前変えられなかったような	
71	00:00:00	らうらう	そういえばまだ姉ちゃんからもらったちょこ食べてないわ	
72	00:00:00	らうらう	あ	
73	00:00:00	potage10	ここ↓？	
74	00:00:00	ぽーちき	パリピを滅ぼす	
75	00:00:00	EEB	こうなったのも	
76	00:00:00	EEB	すべてパリピのせいだな	
77	00:00:00	ゆるふわ院	正座待機	
78	00:00:00	草ぺんぺん	ここ？	
79	00:00:00	ちゃん。わに わに	そうだよ	
80	00:00:00	ネズミ2/2/6	これも全部パリピって奴が悪いんだ！	
81	00:00:00	しろみんてぃS	わこつー	
82	00:00:00	Theia	おのれパリピ	
83	00:00:00	竹輪	お姉ちゃんの生放送邪魔したぱりぴぜってえ許さねぇ	
84	00:00:00	Romko S	🔥パリピ🔥	
87	00:00:00	双星すたみ	パリピ系Vtuber	
88	00:00:00	EEB	実際パリピって何すんだろディスコで踊るの？	
89	00:00:11	鼠犬/チューケン	ん？	
90	00:00:13	- 567	お	
91	00:00:14	Guestman	おかえり	
92	00:00:14	穀潰之熊 バーチャルなろう作家	がはは	
93	00:00:14	究極ド根性ダイコン	そりゃもうノリノリで	
94	00:00:18	Theia	お	
95	00:00:19	EEB	きた	
96	00:00:20	神子ロス	お？	
97	00:00:20	なまこ	はいよ	
98	00:00:20	N. Masaki	お？	
99	00:00:24	こじろうくん	お	
100	00:00:24	双星すたみ	おかえりー	
101	00:00:24	むーたらしゅ	おかえり	
102	00:00:25	くろなぎ	お	
103	00:00:26	ミント	お	
104	00:00:27	パテントブルー	ここでよろしい？	
105	00:00:28	やさシヴァ	きたのかしら	
106	00:00:30	ウイｌお	おかえり	
107	00:00:31	タタリ	きた？	
108	00:00:32	ぶらぼーやっほー	ママすき	
109	00:00:32	ゴギガガガギゴ	きたか	
110	00:00:33	高橋知希	おかえり	
111	00:00:34	こみこ	姉ちゃん！	
112	00:00:35	究極ド根性ダイコン	はじまった？	
113	00:00:37	OilDrinker	きたわね	
114	00:00:37	ネズミ2/2/6	おかえり	
115	00:00:38	竹輪	きたっぽい？	
116	00:00:38	しろみんてぃS	お？	
117	00:00:40	- 567	おかえり	
118	00:00:41	Des	きたか！	
119	00:00:42	ドソドソ	姉ちゃん！	
120	00:00:43	ポーン	丘？	
121	00:00:44	怪盗Jupiter	おかえり	
122	00:00:48	ミールドル	きた	
123	00:00:48	カツキ	？	
124	00:00:49	エールグレイ	姉ちゃんおかえり	
125	00:00:50	キラ	お か え り	
126	00:00:50	オルリス01	こんばんは～	
127	00:00:52	Ira Ak	きたでござるか？	
128	00:00:55	真新八	お か え り と言うか今来た	
129	00:00:59	オンゴロ	おかえり	
130	00:01:00	ついたち	姉ちゃんきた？	
131	00:01:01	骸の男	きたわね。	
132	00:01:02	響一朗	はじまった？	
