行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ぴねかっと	おいしい煮玉子	
1	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
2	00:00:00	じょーげん	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	らうらう	​おいしい煮玉子	
5	00:00:00	桜田紅	おいしい煮玉子	
6	00:00:00	ほるもん	おいしい煮玉子	
7	00:00:00	こみこ	おいしい煮玉子	
8	00:00:00	防波亭土左衛門	おいしい煮玉子	
9	00:00:00	岸辺一徳	おいしい煮玉子	
10	00:00:00	ヌルヌペペ	おいしい煮玉子	
11	00:00:00	ジャック・オー	おいしい煮玉子（仮）	
12	00:00:00	おさかな	おいしい煮玉子	
13	00:00:00	ナウ	四八（仮）の日イブってなんだろう	
14	00:00:00	小さい胡麻塩	おいしい煮玉子	
15	00:00:00	らうらう		￥100
16	00:00:12	岸辺一徳	おいしい煮玉子	
17	00:00:17	にけい	おいしい煮玉子	
18	00:00:18	ジュンペイ	おいしいლ(´ڡ`ლ)	
19	00:00:20	タケノコ男	おいしい煮玉子	
20	00:00:21	らうらう	おいしいにたまご	
21	00:00:21	のねずみ20日	おいしい煮玉子	
22	00:00:21	ゆおた	おいしい煮玉子	
23	00:00:21	ナウ	おいしい煮玉子	
24	00:00:22	スモーク	おいしい煮玉子	
25	00:00:22	sio3go	おいしい煮玉子	
26	00:00:23	ぴねかっと	おいしい煮玉子	
27	00:00:24	レザクリエ	おいしい煮玉子	
28	00:00:24	御早和杯	おいしい煮玉子	
29	00:00:24	らうらう	？	
30	00:00:26	ss kk	​おいしい煮玉子	
31	00:00:28	らうらう	かわいい	
32	00:00:30	タケノコ男	かわいい	
33	00:00:31	こみこ	ひぇ～	
34	00:00:33	FFDD	おいしい煮玉子	
35	00:00:35	クロム	おいしい煮玉子	
36	00:00:35	ホワイトラン衛兵	かわいい	
37	00:00:35	おさかな	かわいい	
38	00:00:35	防波亭土左衛門	おいしい煮玉子	
39	00:00:37	タンガロア	おいしい煮玉子	
40	00:00:41	らうらう	え？？	
41	00:00:42	カギカギ	おいしい煮玉子	
42	00:00:42	ヤマタノオロチ	おいしい煮玉子	
43	00:00:43	D W	美味しいクソゲー	
44	00:00:43	ヘンリーダーガー	おいしい煮玉子	
45	00:00:44	スモーク	草	
46	00:00:46	クロム	？？	
47	00:00:47	防波亭土左衛門	かわいい	
48	00:00:48	岸辺一徳	JCは絡まりがち	
49	00:00:49	ほるもん	おいしい煮玉子	
50	00:00:50	リフェ	なるほど	
51	00:00:51	ホワイトラン衛兵	草	
52	00:00:53	おさかな	表情筋が絡まってる	
53	00:00:53	タンガロア	かわいい	
54	00:00:54	こみこ	表情筋が絡まる(バーチャル表現)	
55	00:00:54	じょーげん	落としたかと	
56	00:00:55	らうらう	表情筋ってからまるんだ	
57	00:00:56	プラスワン	おいしい煮玉子	
58	00:00:58	ゆおた	名作	
59	00:00:59	プラスワン	かわいい	
60	00:01:01	ジュンペイ	ミソシ タ	
61	00:01:10	ラルエメ	おいしい煮玉子	
62	00:01:12	こみこ	BGMなつかしい	
63	00:01:13	月夜	おいしい煮玉子	
64	00:01:13	ヘンリーダーガー	なつかしい	
65	00:00:00	ぴねかっと	おいしい煮玉子	
66	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
67	00:00:00	じょーげん	おいしい煮玉子	
68	00:00:00	リフェ	おいしい煮玉子	
69	00:00:00	らうらう	​おいしい煮玉子	
70	00:00:00	桜田紅	おいしい煮玉子	
71	00:00:00	ほるもん	おいしい煮玉子	
72	00:00:00	こみこ	おいしい煮玉子	
73	00:00:00	防波亭土左衛門	おいしい煮玉子	
74	00:00:00	岸辺一徳	おいしい煮玉子	
75	00:00:00	ヌルヌペペ	おいしい煮玉子	
76	00:00:00	ジャック・オー	おいしい煮玉子（仮）	
77	00:00:00	おさかな	おいしい煮玉子	
78	00:00:00	ナウ	四八（仮）の日イブってなんだろう	
