行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	aa aa	カフェインの棒ってなんだろう…	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	パンセポンセ	おいしい煮玉子	
4	00:00:00	aa aa	おいしい煮玉子	
5	00:00:00	リフェ	おいしい煮玉子	
6	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
7	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
8	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
9	00:00:00	JUNY	おいしい煮玉子	
10	00:00:00	むむめめ	おいしい煮玉子	
11	00:00:00	スモーク	おいしい煮玉子	
12	00:00:00	九代目中山稲五朗	おいしい煮玉子	
13	00:00:00	mk 95	おいしい煮玉子	
14	00:00:00	竹輪	おいしい煮玉子	
15	00:00:00	biki koto	おいしい煮玉子	
16	00:00:00	しーぽん	おいしい煮玉子	
17	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
18	00:00:00	ねこくーる	おいしい煮玉子	
19	00:00:00	にけい	玉	
20	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
21	00:00:00	たびびと	おいしい煮玉子	
22	00:00:00	じょーげん	おいしい煮玉子	
23	00:00:00	うぇいのる	おいしい煮玉子	
24	00:00:14	seafood	おいしい煮玉子	
25	00:00:17	助六	おいしい煮玉子	
26	00:00:17	motiyomogi	おいしい煮玉子	
27	00:00:18	らうらう	おいしい煮玉子	
28	00:00:19	Ryo Kamiya	おいしい煮玉子	
29	00:00:19	にけい	おいしい煮玉子	
30	00:00:20	カギカギ	おいしい煮玉子	
31	00:00:21	リフェ	おいしい煮玉子	
32	00:00:22	ジョナサン・グレーン	おいしい煮玉子	
33	00:00:22	ナウ	おいしい煮玉子	
34	00:00:23	のなちき	おいしい煮玉子	
35	00:00:24	mk 95	おいしい煮玉子	
36	00:00:25	究極ド根性ダイコン	おいしい煮玉子	
37	00:00:25	aa aa	おいしい煮玉子	
38	00:00:25	JUNY	はじまった	
39	00:00:26	sio3go	おいしい煮玉子	
40	00:00:28	パンセポンセ	おいしい煮玉子	
41	00:00:30	九代目中山稲五朗	おいしい煮玉子	
42	00:00:37	助六	親の顔よりみた棺	
43	00:00:40	通り縋りのRPGマニア	おいしい煮玉子	
44	00:00:44	はおたど	おいしい煮玉子	
45	00:00:45	行方不明	おいしい煮玉子	
46	00:01:05	のねずみ	おいしい煮玉子	
47	00:01:06	通り縋りのRPGマニア	親の棺より見た棺	
48	00:01:11	竹輪	煮玉子おいしい	
49	00:01:15	aa aa	親父の場所にいけなくて霧になれるようになったんだっけ	
50	00:01:26	ジュンペイ	おいしい煮玉子	
51	00:01:32	ミワタリ	おいしい煮玉子	
52	00:02:46	motiyomogi	草	
53	00:02:46	うぇいのる	草	
54	00:02:47	のねずみ	草	
55	00:02:48	リフェ	草	
56	00:02:52	助六	武器によってはコマンド入力でいろんな特殊攻撃がでるのは知ってる？	
57	00:02:54	aa aa	草	
58	00:02:55	らうらう	草	
59	00:02:57	ジョナサン・グレーン	草	
60	00:03:22	通り縋りのRPGマニア	ネメシスの様な、武器に憑依した霊体系モンスターには、剣部分にしか当たり判定が無いのです|w・)にょきにょき	
61	00:03:26	小さい胡麻塩	おいしい煮玉子	
62	00:03:33	aa aa	ロッドが万能すぎる	
63	00:04:02	助六	上と攻撃	
64	00:04:46	パンセポンセ	ノックバックあるある	
65	00:04:57	八木谷	おいしい煮玉子	
66	00:05:15	にけい	下がまだあるね	
67	00:05:33	mori mori	ドット絵きれいだなあ	
68	00:05:53	はおたど	最新ハード！	
69	00:06:01	aa aa	PS3までレトロゲーらしいよ姉ちゃん…	
70	00:06:02	うぇいのる	すごい	
71	00:06:03	ねこくーる	きれい	
72	00:06:05	究極ド根性ダイコン	匠の技を感じる	
73	00:06:18	助六	PS時代のオーパーツ	
74	00:00:00	aa aa	カフェインの棒ってなんだろう…	
75	00:00:00	らうらう	おいしい煮玉子	
76	00:00:00	カギカギ	おいしい煮玉子	
77	00:00:00	パンセポンセ	おいしい煮玉子	
78	00:00:00	aa aa	おいしい煮玉子	
79	00:00:00	リフェ	おいしい煮玉子	
80	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
81	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
82	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
83	00:00:00	JUNY	おいしい煮玉子	
84	00:00:00	むむめめ	おいしい煮玉子	
