行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	マリポーサマリポーサ	今やばいことになってますね…	
1	00:00:00	クゥの部屋 Ch	OCGやってないからTCGでも別にいいんだよね…遊ばせてくれ…	
2	00:00:00	うるし	何！？playmakerが大きく映ってるならVRAINSのストーリーがあるのではないのか！？	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	ニャンコ先生	できるかにゃ？	
5	00:00:00	いぶきんぐ	おいしい煮玉子	
6	00:00:00	うぇいのる	おいしい煮玉子	
7	00:00:00	ゴギガガガギゴ	おいしい煮玉子	
8	00:00:00	パンセポンセ	おいしい煮玉子	
9	00:00:00	スモーク	おいしい煮玉子	
10	00:00:00	らうらう	​おいしい煮玉子	
11	00:00:00	桜田紅	おいしい煮玉子	
12	00:00:00	チキン肉なし	おいしい煮玉子	
13	00:00:00	クゥの部屋 Ch	起動するじゃん	
14	00:00:00	小さい胡麻塩	美味しい煮玉子	
15	00:00:00	らうらう	やったね	
16	00:00:00	cotoka toka	起動おめ	
17	00:00:00	リフェ	おー	
18	00:00:00	うるし	おいしい煮玉子	
19	00:00:00	小さい胡麻塩	よかった	
20	00:00:00	いぶきんぐ	やったね	
21	00:00:00	cotoka toka	おいしい煮玉子	
22	00:00:00	biki koto	いけー	
23	00:00:00	クゥの部屋 Ch	音が出ない	
24	00:00:00	クゥの部屋 Ch	ちょっとまってください	
25	00:00:00	いぶきんぐ	oh	
26	00:00:00	スモーク	え	
27	00:00:00	らうらう	はい	
28	00:00:00	竹輪	がんばえ〜	
29	00:00:00	motiyomogi	まちます	
30	00:00:00	うぇいのる	がんばえー	
31	00:00:00	sas b	おいしい煮玉子	
32	00:00:00	始祖くらげ	おいしい煮玉子	
33	00:00:00	毒入りトマト	おいしいにたまご	
34	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
35	00:00:00	黄咲隼	おいしい煮玉子	
36	00:00:00	T.のかね	おいしい煮玉子	
37	00:00:00	ジャック・オー	おいしい煮玉子	
38	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
39	00:00:00	クゥの部屋 Ch	あと数分	
40	00:00:00	いぶきんぐ	はーい	
41	00:00:00	小さい胡麻塩	おｋ	
42	00:00:00	うぇいのる	初期デッキどんなもんだろうなー	
43	00:00:00	ジョナサン・グレーン	たのしみ	
44	00:00:00	biki koto	たのしみ	
45	00:00:00	うるし	あんまり調べてないんだけど何らかでポイント貯めてパック剥いたりするタイプなのかな？	
46	00:00:00	毒入りトマト	初期デッキ結構良い	
47	00:00:16	うぇいのる	おいしい煮玉子	
48	00:00:18	motiyomogi	おいしい煮玉子	
49	00:00:21	らうらう	おいしい煮玉子	
50	00:00:23	JUNY	おいしい煮玉子	
51	00:00:24	パンセポンセ	おいしい煮玉子	
52	00:00:24	小さい胡麻塩	美味しい煮玉子	
53	00:00:27	リフェ	おいしい煮玉子	
54	00:00:28	いぶきんぐ	おいしい煮玉子	
55	00:00:28	ゴギガガガギゴ	おいしい煮玉子	
56	00:00:32	むらさきあんこ	おいしい煮玉子	
57	00:00:33	コンコン	おいしい煮玉子	
58	00:00:34	biki koto	おいしい煮玉子	
