行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	最終章だから枠変えだよ	
1	00:00:00	じょーげん	姉ちゃんはもうやばいと思った	
2	00:00:00	クロム	なるほど ありがとうございます。	
3	00:00:00	なんたら	１４時から再開	
4	00:00:00	蒼井エリミch	14時から仕事.....	
5	00:00:00	ブロア	おいしい煮玉子	
6	00:00:00	周恩来	おいしい煮玉子	
7	00:00:00	バーチャルミク廃立花	おいしい煮玉子	
8	00:00:00	らうらう	おいしい煮玉子	
9	00:00:00	みてるぞ	おーいしい煮玉子	
10	00:00:00	白雪	おーいしい煮玉子	
11	00:00:00	ハイナマ	おいしい煮玉子	
12	00:00:00	Garden	おいしい煮玉子	
13	00:00:00	みよ	煮玉子	
14	00:00:00	岸辺一徳	おいしい煮玉子	
15	00:00:00	せせらぎ	おーいしい煮玉子	
16	00:00:00	くものいと	おーいしい煮玉子	
17	00:00:00	なんたら	おいしい煮玉子	
18	00:00:00	ミワタリ	おいしい煮玉子	
19	00:00:00	究極ド根性ダイコン	おーいしい煮玉子	
20	00:00:00	tage	おーいしい煮玉子	
21	00:00:00	らうらう	遅刻ではー？？	
22	00:00:00	ブロア	１５分までならだいじょうぶだってー	
23	00:00:00	鼻毛の錬金術師	こんにちはー！ｺﾝﾆﾁﾊ！	
24	00:00:00	えび	おーいしい煮玉子	
25	00:00:00	らうらう		￥100
26	00:00:00	もっぃ	メジャーデビューおめでとう	￥200
27	00:00:00	スモーク	お疲れ様！	￥1,000
28	00:00:10	岸辺一徳	おいしい煮玉子	
29	00:00:14	なんたら	　​꧁꧂　	
30	00:00:15	せせらぎ	おかえり	
31	00:00:16	うぇいのる	おいしい煮玉子	
32	00:00:17	ふーばー	おいしい煮玉子	
33	00:00:17	ミワタリ	おせき	
34	00:00:19	周恩来	おいしい煮玉子	
35	00:00:22	えび	おせき	
36	00:00:25	ふじ	おいしい煮玉子	
37	00:00:25	ミワタリ	おいしい煮玉子	
38	00:00:31	mori mori	おかえり	
39	00:00:31	くれみ	おいしい煮玉子	
40	00:00:32	habanero	おいしい煮玉子	
41	00:00:34	らうらう	꧁　꧂	
42	00:00:34	むらさきあんこ	おかえり姉ちゃん	
43	00:00:35	白雪	おーいしい煮玉子	
44	00:00:40	じょーげん	ｺﾆﾁﾊｰ	
45	00:00:40	x 7up	おいしい煮玉子	
46	00:00:41	なんたら	ﾋﾟﾛﾋﾟﾛﾋﾟﾛﾋﾟﾛﾋﾟﾛﾋﾟﾛﾋﾟﾛﾋﾟﾛ	
47	00:00:43	ミワタリ	無理しないでね姉ちゃん	
48	00:00:44	究極ド根性ダイコン	公式おせき	
49	00:00:45	天然ステルス	おーいしい煮玉子	
50	00:00:50	鼻毛の錬金術師	もうこれ以上枠は分けずこれで終わらせるという覚悟！	
51	00:00:53	tage	おせき！高評価！	
52	00:00:53	せせらぎ	꧁꧂＜ｶﾞﾝﾊﾞﾙｿﾞｰ	
53	00:01:07	スモーク	おいたま	
54	00:01:22	鼻毛の錬金術師	ファ？！	
55	00:01:23	周恩来	がんばれー	
56	00:01:35	tage	おわるだろ･･･午前中には･･･	
57	00:01:37	らうらう	テクぼうもがんばるんやで	
58	00:01:54	habanero	꧁꧂＜ﾜﾝﾜﾝ	
59	00:01:56	うぇいのる	やったね	
60	00:02:05	Kへきる	真相は君の目で確かめてみてくれ！	
61	00:02:17	鼻毛の錬金術師	長い	
62	00:02:18	天然ステルス	こっからはもう戻れない	
63	00:02:27	Two-tone	煮玉子〜	
64	00:02:36	Dwi Mulyo Sutanto	キター！	
65	00:02:37	くれみ	ねっとり	
66	00:02:38	biggs	おいしい煮玉子	
67	00:02:38	なんたら	ぽー↑きー↓	
68	00:02:39	究極ド根性ダイコン	スマブラXで有名なアレ	
69	00:02:47	なんたら	えっ	
70	00:02:49	周恩来	きたあ	
