行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	スモーク	おいしい煮玉子	
4	00:00:00	竹輪	おいしい煮玉子	
5	00:00:00	天然ステルス	おいしい煮玉子	
6	00:00:00	ジャック・オー	おいしい煮玉子　	
7	00:00:00	カギカギ	おいしい煮玉子	
8	00:00:00	こみこ	故郷ネアポリスのおいしい煮玉子	
9	00:00:00	biggs	おいしい煮玉子	
10	00:00:00	ねこくーる	おいしい煮玉子	
11	00:00:00	ジャック・オー	こいつに煮玉子を食わしてやりたいんですがかまいませんね！	
12	00:00:00	ジョナサン・グレーン	おいしいピッツァ	
13	00:00:17	ジョナサン・グレーン	おいしい煮玉子	
14	00:00:19	いぶきんぐ	おいしい煮玉子	
15	00:00:19	らうらう	おいしい煮玉子	
16	00:00:20	リフェ	おいしい煮玉子	
17	00:00:20	カギカギ	おいしい煮玉子	
18	00:00:21	ホワイトラン衛兵	おいしい煮玉子	
19	00:00:22	motiyomogi	おいしい煮玉子	
20	00:00:23	天然ステルス	おいしい煮玉子	
21	00:00:27	小さい胡麻塩	美味しい煮玉子	
22	00:00:29	にけい	おいしい煮玉子	
23	00:00:29	竹輪	おいしい煮玉子	
24	00:00:33	らうらう	よろしくおねがいします	
25	00:00:36	こみこ	おいしい煮玉子	
26	00:00:37	motiyomogi	大丈夫	
27	00:00:40	biggs	おいしい煮玉子	
28	00:00:41	ホワイトラン衛兵	大丈夫	
29	00:00:48	リフェ	あらら…	
30	00:00:48	Cランサー	おいしい煮卵	
31	00:00:54	ジャック・オー	おいしい煮玉子	
32	00:00:59	かげを	おいしい煮玉子	
33	00:01:04	にけい	ちょっとゴロゴロしてる	
34	00:01:16	ワイン妖精	こんばんはおいしい煮玉子	
35	00:01:19	らうらう	アニメおいこしちゃう	
36	00:01:32	ジャック・オー	熱いスタンドバトル（物理）	
37	00:01:49	Cランサー	もう終盤っすねえ	
38	00:01:52	biggs	俺はもうやばいと思う	
39	00:02:24	こみこ	あっここかぁ	
40	00:02:47	竹輪	強すぎる	
41	00:03:00	Cランサー	ジョジョでも最上位のゲスコンビ	
42	00:03:31	リフェ	なんか口開けてる二人笑える	
43	00:03:34	こみこ	ジョルノくん頭キレすぎる	
44	00:03:36	biggs	あまりにも強い	
45	00:04:05	Cランサー	下にいてはナランチャ	
46	00:04:35	いぶきんぐ	効率的に街ごと人を消すことに特化しててこわい	
47	00:04:55	こみこ	節子！	
48	00:05:00	Cランサー	イヤしんぼめ！！	
49	00:05:11	motiyomogi	おいしい甘いの	
50	00:05:12	ジャック・オー	◻◻◻💨	
51	00:05:20	究極ド根性ダイコン	良お～しよしよしよしよしよし	
52	00:05:26	biggs	よーしよしよしよしよしよし	
53	00:05:50	こみこ	悠々と歩く	
54	00:06:24	motiyomogi	草	
55	00:06:28	ねこくーる	戻された！	
56	00:06:29	らうらう	つよい	
57	00:06:41	スモーク	振り出しに戻る	
58	00:06:41	biggs	ふりだしにもどる	
59	00:06:41	Cランサー	オアシス、破壊力Aなんだよなあ	
60	00:06:43	リフェ	つよい	
61	00:06:45	ホワイトラン衛兵	つよい	
62	00:06:48	motiyomogi	やべっ	
63	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
64	00:00:00	らうらう	おいしい煮玉子	
65	00:00:00	リフェ	おいしい煮玉子	
66	00:00:00	スモーク	おいしい煮玉子	
67	00:00:00	竹輪	おいしい煮玉子	
68	00:00:00	天然ステルス	おいしい煮玉子	
69	00:00:00	ジャック・オー	おいしい煮玉子　	
70	00:00:00	カギカギ	おいしい煮玉子	
71	00:00:00	こみこ	故郷ネアポリスのおいしい煮玉子	
72	00:00:00	biggs	おいしい煮玉子	
73	00:00:00	ねこくーる	おいしい煮玉子	
74	00:00:00	ジャック・オー	こいつに煮玉子を食わしてやりたいんですがかまいませんね！	
75	00:00:00	ジョナサン・グレーン	おいしいピッツァ	
76	00:00:17	ジョナサン・グレーン	おいしい煮玉子	
77	00:00:19	いぶきんぐ	おいしい煮玉子	
78	00:00:19	らうらう	おいしい煮玉子	
79	00:00:20	リフェ	おいしい煮玉子	
80	00:00:20	カギカギ	おいしい煮玉子	
81	00:00:21	ホワイトラン衛兵	おいしい煮玉子	
82	00:00:22	motiyomogi	おいしい煮玉子	
83	00:00:23	天然ステルス	おいしい煮玉子	
84	00:00:27	小さい胡麻塩	美味しい煮玉子	
85	00:00:29	にけい	おいしい煮玉子	
86	00:00:29	竹輪	おいしい煮玉子	
87	00:00:33	らうらう	よろしくおねがいします	
88	00:00:36	こみこ	おいしい煮玉子	
89	00:00:37	motiyomogi	大丈夫	
90	00:00:40	biggs	おいしい煮玉子	
91	00:00:41	ホワイトラン衛兵	大丈夫	
92	00:00:48	リフェ	あらら…	
93	00:00:48	Cランサー	おいしい煮卵	
94	00:00:54	ジャック・オー	おいしい煮玉子	
95	00:00:59	かげを	おいしい煮玉子	
96	00:01:04	にけい	ちょっとゴロゴロしてる	
97	00:01:16	ワイン妖精	こんばんはおいしい煮玉子	
98	00:01:19	らうらう	アニメおいこしちゃう	
99	00:01:32	ジャック・オー	熱いスタンドバトル（物理）	
100	00:01:49	Cランサー	もう終盤っすねえ	
101	00:01:52	biggs	俺はもうやばいと思う	
102	00:02:24	こみこ	あっここかぁ	
103	00:02:47	竹輪	強すぎる	
104	00:03:00	Cランサー	ジョジョでも最上位のゲスコンビ	
105	00:03:31	リフェ	なんか口開けてる二人笑える	
106	00:03:34	こみこ	ジョルノくん頭キレすぎる	
107	00:03:36	biggs	あまりにも強い	
108	00:04:05	Cランサー	下にいてはナランチャ	
109	00:04:35	いぶきんぐ	効率的に街ごと人を消すことに特化しててこわい	
110	00:04:55	こみこ	節子！	
111	00:05:00	Cランサー	イヤしんぼめ！！	
112	00:05:11	motiyomogi	おいしい甘いの	
113	00:05:12	ジャック・オー	◻◻◻💨	
114	00:05:20	究極ド根性ダイコン	良お～しよしよしよしよしよし	
115	00:05:26	biggs	よーしよしよしよしよしよし	
116	00:05:50	こみこ	悠々と歩く	
117	00:06:24	motiyomogi	草	
118	00:06:28	ねこくーる	戻された！	
119	00:06:29	らうらう	つよい	
120	00:06:41	スモーク	振り出しに戻る	
121	00:06:41	biggs	ふりだしにもどる	
122	00:06:41	Cランサー	オアシス、破壊力Aなんだよなあ	
123	00:06:43	リフェ	つよい	
124	00:06:45	ホワイトラン衛兵	つよい	
125	00:06:48	motiyomogi	やべっ	
126	00:07:01	八木谷	つよい	
127	00:07:07	motiyomogi	つよい	
128	00:07:33	らうらう	確定では	
129	00:08:20	リフェ	HPないから倒せはしないのかな？	
