行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	天然ステルス	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	ヌルヌペペ	おいしい煮玉子	
5	00:00:00	スモーク	おいしい煮玉子	
6	00:00:00	T.のかね	おいしい煮玉子	
7	00:00:00	竹輪	おいしい煮玉子	
8	00:00:00	seafood	おいしい煮玉子	
9	00:00:00	えび	おいしい煮玉子	
10	00:00:00	クロム	おいしい煮玉子	
11	00:00:00	イカを干す機械	おいしい煮玉子	
12	00:00:00	カーマイン	おいしい煮玉子	
13	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
14	00:00:00	こみこ	おいしい煮玉子	
15	00:00:00	ミワタリ	おいしい煮玉子	
16	00:00:00	パンセポンセ	おいしい煮玉子	
17	00:00:00	ニャンコ先生	美味しいゴリラ	
18	00:00:00	刀根雅武	おちしい煮玉子	
19	00:00:00	じょーげん	おいしい煮玉子	
20	00:00:00	いぶきんぐ	おいしい煮玉子	
21	00:00:00	らうらう	姉ちゃんどこ	
22	00:00:00	カーマイン	ゴリラパワーキンジラレタチカラ	
23	00:00:00	クロム	姉ちゃん大丈夫かな	
24	00:00:00	mk 95	おいしいバナナ	
25	00:00:00	JUNY	おいしい煮玉子	
26	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
27	00:00:00	ヘンリーダーガー	姉ちゃんどこ…	
28	00:00:00	カーマイン	姉ちゃんisどこ	
29	00:00:00	らうらう	この後すぐ（26分前）	
30	00:00:00	ジョナサン・グレーン	姉ちゃん…どこ…？	
31	00:00:00	ヘンリーダーガー	ゴリラになってしまったからPC操作出来ない説	
32	00:00:00	いぶきんぐ	ウホ…	
33	00:00:00	らうらう	サムネのゴリラ姉ちゃんかわいい	
34	00:00:00	motiyomogi	ウホウホ！？ウホホホホ…	
35	00:00:00	竹輪	おくちかわいい	
36	00:00:00	T.のかね	ウホ？ウホホホウホ	
37	00:00:00	ヘンリーダーガー	ウホウホウホッ！	
38	00:00:00	motiyomogi	ウホッ❤ウホッ❤	
39	00:00:00	ジョナサン・グレーン	ウホーッ！	
40	00:00:00	JUNY	ポコポコポコポコ！（ドラミング）	
41	00:00:00	Shuzo	やったね！	￥200
42	00:00:11	カーマイン	　←ウホウホウホホッ❤️	
43	00:00:15	motiyomogi	おいしい煮玉子	
44	00:00:15	T.のかね	黒い	
45	00:00:16	天然ステルス	姉ちゃん！	
46	00:00:17	えび	おいしい煮玉子	
47	00:00:18	リフェ	おいしい煮玉子	
48	00:00:19	ミワタリ	おいしい煮玉子	
49	00:00:19	aarar scsrt	!!	
50	00:00:20	竹輪	おいしい煮玉子	
51	00:00:20	らうらう	黒い！	
52	00:00:21	JUNY	！！	
53	00:00:21	結城晶	黒い	
54	00:00:22	カギカギ	黒い！	
55	00:00:23	ジョナサン・グレーン	おいしい煮玉子	
56	00:00:23	むむめめ	:クゥフランゾーパー旧フランゾーパー::クゥフランゾーパー旧フランゾーパー::クゥフランゾーパー旧フランゾーパー:	
57	00:00:24	ナウ	おいしい煮玉子	
58	00:00:24	ねぎ男	おいしい煮玉子	
59	00:00:25	いぶきんぐ	おいしいバナナ	
60	00:00:25	D W	おっ	
61	00:00:25	J u d a s s	おいしい煮玉子	
62	00:00:25	スモーク	姉ちゃん！	
63	00:00:26	ニャンコ先生	ウホホホっ！	
64	00:00:26	aarar scsrt	おいしい煮玉子	
65	00:00:26	らうらう	おいしい煮玉子	
66	00:00:26	motiyomogi	１Pカラーだ	
67	00:00:26	桜田紅	おいしい煮玉子	
68	00:00:27	ヘンリーダーガー	おいしい煮玉子	
69	00:00:31	FFDD	かわいい	
70	00:00:31	ミワタリ	姉ちゃん！	
71	00:00:31	空気	おいしい煮玉子	
72	00:00:32	パンセポンセ	おいしい煮玉子	
73	00:00:32	クロム	おいしい煮玉子！	
74	00:00:33	ジョナサン・グレーン	:クゥフランゾーパー旧フランゾーパー:	
75	00:00:34	mk 95	うわ可愛い	
76	00:00:34	じょーげん	おいしい煮玉子	
77	00:00:35	こみこ	おいしい煮玉子	
78	00:00:36	ねぎ男	黒い！	
79	00:00:37	mori mori	姉ちゃん、色が！	
80	00:00:38	竹輪	茶髪姉ちゃんだ！	
81	00:00:38	JUNY	おいしい煮玉子	
82	00:00:38	sio3go	おいしい煮玉子	
83	00:00:38	ヘンリーダーガー	懐かしい黒姉ちゃんだ！	
84	00:00:38	らうらう	　→:クゥフランゾーパー旧フランゾーパー:	
85	00:00:39	ヌルヌペペ	おいしい煮玉子	
86	00:00:39	じょーげん	姉ちゃんだ！！！	
87	00:00:39	ゼッケン100	黒姉ちゃんだ！！	
88	00:00:40	八木谷	おいしい煮玉子 茶かわいい	
89	00:00:40	ジャック・オー	おいしい煮玉子	
90	00:00:41	カーマイン	うわあああああああああああ黒姉ちゃんだあああああああああああああ！！！！！！！！！！！！！！！！	
91	00:00:00	らうらう	おいしい煮玉子	
92	00:00:00	天然ステルス	おいしい煮玉子	
93	00:00:00	カギカギ	おいしい煮玉子	
94	00:00:00	リフェ	おいしい煮玉子	
95	00:00:00	ヌルヌペペ	おいしい煮玉子	
96	00:00:00	スモーク	おいしい煮玉子	
97	00:00:00	T.のかね	おいしい煮玉子	
98	00:00:00	竹輪	おいしい煮玉子	
99	00:00:00	seafood	おいしい煮玉子	
100	00:00:00	えび	おいしい煮玉子	
101	00:00:00	クロム	おいしい煮玉子	
102	00:00:00	イカを干す機械	おいしい煮玉子	
103	00:00:00	カーマイン	おいしい煮玉子	
104	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
105	00:00:00	こみこ	おいしい煮玉子	
106	00:00:00	ミワタリ	おいしい煮玉子	
107	00:00:00	パンセポンセ	おいしい煮玉子	
108	00:00:00	ニャンコ先生	美味しいゴリラ	
109	00:00:00	刀根雅武	おちしい煮玉子	
110	00:00:00	じょーげん	おいしい煮玉子	
111	00:00:00	いぶきんぐ	おいしい煮玉子	
112	00:00:00	らうらう	姉ちゃんどこ	
113	00:00:00	カーマイン	ゴリラパワーキンジラレタチカラ	
114	00:00:00	クロム	姉ちゃん大丈夫かな	
115	00:00:00	mk 95	おいしいバナナ	
116	00:00:00	JUNY	おいしい煮玉子	
117	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
118	00:00:00	ヘンリーダーガー	姉ちゃんどこ…	
119	00:00:00	カーマイン	姉ちゃんisどこ	
120	00:00:00	らうらう	この後すぐ（26分前）	
121	00:00:00	ジョナサン・グレーン	姉ちゃん…どこ…？	
122	00:00:00	ヘンリーダーガー	ゴリラになってしまったからPC操作出来ない説	
123	00:00:00	いぶきんぐ	ウホ…	
124	00:00:00	らうらう	サムネのゴリラ姉ちゃんかわいい	
125	00:00:00	motiyomogi	ウホウホ！？ウホホホホ…	
126	00:00:00	竹輪	おくちかわいい	
127	00:00:00	T.のかね	ウホ？ウホホホウホ	
128	00:00:00	ヘンリーダーガー	ウホウホウホッ！	
129	00:00:00	motiyomogi	ウホッ❤ウホッ❤	
130	00:00:00	ジョナサン・グレーン	ウホーッ！	
131	00:00:00	JUNY	ポコポコポコポコ！（ドラミング）	
132	00:00:00	Shuzo	やったね！	￥200
133	00:00:11	カーマイン	　←ウホウホウホホッ❤️	
134	00:00:15	motiyomogi	おいしい煮玉子	
135	00:00:15	T.のかね	黒い	
136	00:00:16	天然ステルス	姉ちゃん！	
137	00:00:17	えび	おいしい煮玉子	
138	00:00:18	リフェ	おいしい煮玉子	
139	00:00:19	ミワタリ	おいしい煮玉子	
140	00:00:19	aarar scsrt	!!	
141	00:00:20	竹輪	おいしい煮玉子	
142	00:00:20	らうらう	黒い！	
143	00:00:21	JUNY	！！	
144	00:00:21	結城晶	黒い	
145	00:00:22	カギカギ	黒い！	
146	00:00:23	ジョナサン・グレーン	おいしい煮玉子	
147	00:00:23	むむめめ	:クゥフランゾーパー旧フランゾーパー::クゥフランゾーパー旧フランゾーパー::クゥフランゾーパー旧フランゾーパー:	
148	00:00:24	ナウ	おいしい煮玉子	
149	00:00:24	ねぎ男	おいしい煮玉子	
150	00:00:25	いぶきんぐ	おいしいバナナ	
151	00:00:25	D W	おっ	
152	00:00:25	J u d a s s	おいしい煮玉子	
153	00:00:25	スモーク	姉ちゃん！	
154	00:00:26	ニャンコ先生	ウホホホっ！	
155	00:00:26	aarar scsrt	おいしい煮玉子	
156	00:00:26	らうらう	おいしい煮玉子	
157	00:00:26	motiyomogi	１Pカラーだ	
158	00:00:26	桜田紅	おいしい煮玉子	
159	00:00:27	ヘンリーダーガー	おいしい煮玉子	
160	00:00:31	FFDD	かわいい	
161	00:00:31	ミワタリ	姉ちゃん！	
162	00:00:31	空気	おいしい煮玉子	
163	00:00:32	パンセポンセ	おいしい煮玉子	
164	00:00:32	クロム	おいしい煮玉子！	
165	00:00:33	ジョナサン・グレーン	:クゥフランゾーパー旧フランゾーパー:	
166	00:00:34	mk 95	うわ可愛い	
167	00:00:34	じょーげん	おいしい煮玉子	
168	00:00:35	こみこ	おいしい煮玉子	
169	00:00:36	ねぎ男	黒い！	
170	00:00:37	mori mori	姉ちゃん、色が！	
171	00:00:38	竹輪	茶髪姉ちゃんだ！	
172	00:00:38	JUNY	おいしい煮玉子	
173	00:00:38	sio3go	おいしい煮玉子	
174	00:00:38	ヘンリーダーガー	懐かしい黒姉ちゃんだ！	
175	00:00:38	らうらう	　→:クゥフランゾーパー旧フランゾーパー:	
176	00:00:39	ヌルヌペペ	おいしい煮玉子	
177	00:00:39	じょーげん	姉ちゃんだ！！！	
178	00:00:39	ゼッケン100	黒姉ちゃんだ！！	
179	00:00:40	八木谷	おいしい煮玉子 茶かわいい	
180	00:00:40	ジャック・オー	おいしい煮玉子	
181	00:00:41	カーマイン	うわあああああああああああ黒姉ちゃんだあああああああああああああ！！！！！！！！！！！！！！！！	
182	00:00:43	ぴねかっと	:クゥフランゾーパー旧フランゾーパー:	
183	00:00:43	Ryo Kamiya	おいしい煮玉子	
184	00:00:43	ミワタリ	かわいい	
185	00:00:44	リフェ	かわいい	
186	00:00:44	カギカギ	かわいい	
187	00:00:44	aarar scsrt	かわいい	
188	00:00:44	えび	:クゥフランゾーパー旧フランゾーパー:	
189	00:00:45	らうらう	かわいい	
