行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
2	00:00:00	_ Die	おいしい煮玉子	
3	00:00:00	JUNY	おいしい煮玉子	
4	00:00:00	パンセポンセ	おいしい煮玉子	
5	00:00:00	べるべる	おいしい煮玉子	
6	00:00:00	しれちゅー	おいしい煮玉子	
7	00:00:00	ジャック・オー	おいしい弐玉子	
8	00:00:00	桜田紅	おいしい煮玉子	
9	00:00:00	くりお	おいしい煮玉子	
10	00:00:00	むむめめ	おいしい煮玉子	
11	00:00:00	シンヤ	おいしい煮卵	
12	00:00:00	リフェ	おいしい煮玉子	
13	00:00:00	小さい胡麻塩	おいしい煮玉子	
14	00:00:00	うぇいのる	おいしい煮玉子	
15	00:00:00	ka Moni	おいしい煮玉子	
16	00:00:00	ゼッケン100	おいしい煮玉子	
17	00:00:00	クゥの部屋 Ch	test	
18	00:00:00	白黒	おいしい煮玉子	
19	00:00:00	らうらう	test	
20	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
21	00:00:00	白雪	おいしいtest	
22	00:00:00	近藤大輔	delicious nitamago	
23	00:00:00	JUNY	tasty boiled eggs	
24	00:00:00	ゼッケン100	test	
25	00:00:00	K. u	おいしい煮玉子	
26	00:00:00	竹やぶ	テイスティテスト煮玉子	
27	00:00:00	腰痛	お疲れ様	￥300
28	00:00:00	のねずみ		￥1,000
29	00:00:17	まりも	おいしい煮玉子	
30	00:00:18	くりお	おいしい煮玉子	
31	00:00:19	ゼッケン100	おいしい煮玉子	
32	00:00:19	スモーク	おいしい煮玉子	
33	00:00:20	究極ド根性ダイコン	おいしい煮玉子	
34	00:00:20	Ryo Kamiya	おいしい煮玉子	
35	00:00:21	のねずみ	おいしい煮玉子	
36	00:00:23	らうらう	おいしい煮玉子	
37	00:00:23	ふーばー	おいしい煮玉子	
38	00:00:24	_ Die	おいしい煮玉子	
39	00:00:25	Lain 428	おいしい煮玉子	
40	00:00:26	JUNY	おいしい煮玉子	
41	00:00:26	リフェ	おいしい煮玉子	
42	00:00:34	究極ド根性ダイコン	ハウってる	
43	00:00:36	白雪	tasty煮玉子	
44	00:00:36	ゼッケン100	始まったよ	
45	00:00:37	うぇいのる	声が	
46	00:00:37	sio3go	おいしい煮玉子	
47	00:00:39	JUNY	あれ？声が遅れて聞こえてくるよ	
48	00:00:40	らむね。	おいしい煮玉子	
49	00:00:41	粘土	おいしい煮玉子	
50	00:00:42	K. u	おいしい煮玉子	
51	00:00:45	_ Die	ハウリング煮玉子	
52	00:00:45	味付けタマゴ	おいしい煮玉子	
53	00:00:52	にけい	おいしい煮玉子	
54	00:00:56	ss kk	おいしい煮玉子	
55	00:01:02	らうらう	え	
56	00:01:06	うぇいのる	草	
57	00:01:06	パンセポンセ	おいしい煮玉子	
58	00:01:07	くりお	寝ちゃったかと思って心配した	
59	00:01:08	らうらう	かわいい	
60	00:01:09	岸辺一徳	草	
61	00:01:12	むむめめ	草	
62	00:01:12	しれちゅー	ええ…	
63	00:01:12	コルトン	美味しい煮卵	
64	00:01:13	sio3go	ﾅﾝﾃｺｯﾀｲ	
65	00:01:15	まりも	草	
66	00:01:16	スモーク	草	
67	00:01:16	miasa	草	
68	00:01:18	_ Die	草	
69	00:01:19	べるべる	以降って言ったからセーフ	
70	00:01:23	桜田紅	虚空に向かって話してたのか	
71	00:01:24	ゼッケン100	バーチャルYoutuberのクゥさんこんにちは	
72	00:01:25	ふーばー	かわいい	
73	00:01:26	まつしたうらら	おいしい煮玉子	
74	00:01:30	らうらう	！！ータイマー！！	
75	00:01:38	JUNY	なんかgamingもなくなってるね	
76	00:01:42	ニャンコ先生	おのれyoutube	
77	00:00:00	らうらう	おいしい煮玉子	
78	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
79	00:00:00	_ Die	おいしい煮玉子	
80	00:00:00	JUNY	おいしい煮玉子	
81	00:00:00	パンセポンセ	おいしい煮玉子	
82	00:00:00	べるべる	おいしい煮玉子	
83	00:00:00	しれちゅー	おいしい煮玉子	
84	00:00:00	ジャック・オー	おいしい弐玉子	
85	00:00:00	桜田紅	おいしい煮玉子	
86	00:00:00	くりお	おいしい煮玉子	
87	00:00:00	むむめめ	おいしい煮玉子	
88	00:00:00	シンヤ	おいしい煮卵	
89	00:00:00	リフェ	おいしい煮玉子	
90	00:00:00	小さい胡麻塩	おいしい煮玉子	
91	00:00:00	うぇいのる	おいしい煮玉子	
92	00:00:00	ka Moni	おいしい煮玉子	
93	00:00:00	ゼッケン100	おいしい煮玉子	
