行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:12	うぇいのる	おいしい煮玉子	
1	00:00:13	スモーク	おいしい煮玉子	
2	00:00:16	ジュンペイ	おいしい煮玉子	
3	00:00:18	ほるもん	おいしい煮玉子	
4	00:00:18	周恩来	おいしい煮玉子	
5	00:00:19	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
6	00:00:20	九代目中山稲五朗	おいしい煮玉子	
7	00:00:21	内臓脂肪	おいしい煮玉子	
8	00:00:22	まりも	おいしい煮玉子	
9	00:00:22	motiyomogi	おいしい煮玉子	
10	00:00:23	カギカギ	おいしい煮玉子	
11	00:00:24	天然ステルス	おいしい煮玉子	
12	00:00:24	らうらう	おいしい煮玉子	
13	00:00:24	なんたら	おいしい煮玉子	
14	00:00:24	じょーげん	おいしい煮玉子	
15	00:00:27	_ Die	おいしい煮玉子	
16	00:00:29	スルーラスト	おいしい煮玉子	
17	00:00:30	あい	おいしい煮玉子	
18	00:00:30	空気	おいしい煮玉子	
19	00:00:31	拡散の尖兵	おいしい煮玉子	
20	00:00:31	竹輪	おいたま〜〜	
21	00:00:31	チキン肉なし	おいしい煮玉子	
22	00:00:31	JUNY	おいしい煮玉子	
23	00:00:32	ジョナサン・グレーン	おいしい煮玉子	
24	00:00:32	タケノコ男	おいしい煮玉子	
25	00:00:33	K. u	おいしい煮玉子	
26	00:00:34	しれちゅー	おいしい煮玉子	
27	00:00:36	毒入りトマト	おいしいメガ煮玉子	
28	00:00:37	かたもく	おいしいヤドン	
29	00:00:38	せせらぎ	はじまた	
30	00:00:41	eve	おいしい煮玉子	
31	00:00:43	こみこ	おいしい煮玉子	
32	00:00:44	HILO	おいしい煮玉子	
33	00:00:47	大野カムイ	おいしい煮玉子	
34	00:00:51	ねこくーる	おいメロ〜	
35	00:01:01	近藤大輔	おいしいピカチュウ	
36	00:01:04	岸辺一徳	おいしい煮玉子	
37	00:01:05	なる	おいしい煮玉子	
38	00:01:10	毒入りトマト	おいしいお茶	
39	00:01:10	九代目中山稲五朗	おいしい🍇	
40	00:01:14	ゼッケン100	おいしいほしいも	
41	00:01:14	らうらう	おいしいイーブイ	
42	00:01:21	T.のかね	おいしい煮玉子	
43	00:01:26	むらさきあんこ	おいしい煮玉子	
44	00:01:30	たんこぶ	おいしいズリのみ	
45	00:01:33	超獣ぎが	おいしいきんのたま	
46	00:01:36	むらさきあんこ	おいしい煮玉子	
47	00:01:48	近藤亮	おいしい煮玉子	
48	00:02:04	うぇいのる	カスミもピカチュウいたら楽勝だな！	
49	00:02:08	らうらう	かわいい	
50	00:00:12	うぇいのる	おいしい煮玉子	
51	00:00:13	スモーク	おいしい煮玉子	
52	00:00:16	ジュンペイ	おいしい煮玉子	
53	00:00:18	ほるもん	おいしい煮玉子	
54	00:00:18	周恩来	おいしい煮玉子	
55	00:00:19	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
56	00:00:20	九代目中山稲五朗	おいしい煮玉子	
57	00:00:21	内臓脂肪	おいしい煮玉子	
58	00:00:22	まりも	おいしい煮玉子	
59	00:00:22	motiyomogi	おいしい煮玉子	
60	00:00:23	カギカギ	おいしい煮玉子	
61	00:00:24	天然ステルス	おいしい煮玉子	
62	00:00:24	らうらう	おいしい煮玉子	
63	00:00:24	なんたら	おいしい煮玉子	
64	00:00:24	じょーげん	おいしい煮玉子	
65	00:00:27	_ Die	おいしい煮玉子	
66	00:00:29	スルーラスト	おいしい煮玉子	
67	00:00:30	あい	おいしい煮玉子	
68	00:00:30	空気	おいしい煮玉子	
69	00:00:31	拡散の尖兵	おいしい煮玉子	
70	00:00:31	竹輪	おいたま〜〜	
71	00:00:31	チキン肉なし	おいしい煮玉子	
72	00:00:31	JUNY	おいしい煮玉子	
73	00:00:32	ジョナサン・グレーン	おいしい煮玉子	
74	00:00:32	タケノコ男	おいしい煮玉子	
75	00:00:33	K. u	おいしい煮玉子	
76	00:00:34	しれちゅー	おいしい煮玉子	
77	00:00:36	毒入りトマト	おいしいメガ煮玉子	
78	00:00:37	かたもく	おいしいヤドン	
79	00:00:38	せせらぎ	はじまた	
80	00:00:41	eve	おいしい煮玉子	
81	00:00:43	こみこ	おいしい煮玉子	
