行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
1	00:00:25	aa aa	おいしい煮玉子	
2	00:00:34	パンセポンセ	おいしい煮玉子	
3	00:00:36	motiyomogi	おいしい煮玉子	
4	00:00:42	岸辺一徳	おいしい煮玉子	
5	00:00:44	Redmix	おいしい煮玉子	
6	00:00:45	eve	おいしい煮玉子	
7	00:01:00	ナウ	おいしい煮玉子	
8	00:01:04	岸辺一徳	すごい	
9	00:01:06	天然ステルス	おいしい煮玉子	
10	00:01:06	motiyomogi	りんごさんだ！	
11	00:01:12	ジャック・オー	おいしい煮玉子	
12	00:01:23	motiyomogi	スペシャルゲストすご	
13	00:01:27	ナウ	一旦待つ	
14	00:01:29	ジャック・オー	本日のゲスト（二人目）	
15	00:01:32	パンセポンセ	おいしいQooりんご	
16	00:01:38	be be	１ターン待とう	
17	00:02:12	ほるもん	おいしい煮玉子	
18	00:02:15	ナウ	なんじゃと	
19	00:02:27	motiyomogi	すごい	
20	00:03:39	内海柚	おいしい煮玉子ー	
21	00:04:45	八木谷	おいしい煮玉子	
22	00:04:56	内海柚	レベル上げ中？	
23	00:05:23	eve	即死こわい	
24	00:05:32	にけい	稼ぎに使うには強すぎたか	
25	00:10:03	motiyomogi	おみず	
26	00:10:09	ナウ	絵面だけ見ると注ボス戦とかに見えないでもない	
27	00:10:19	散歩で健康	スウォームや	
28	00:11:27	散歩で健康	リュックのこれフィギュアで欲しいw	
29	00:11:42	motiyomogi	草	
30	00:14:00	Kei H	さあいこう	
31	00:14:04	ナウ	よし	
32	00:14:06	motiyomogi	やったね	
33	00:14:11	ホワイトラン衛兵	やったね	
34	00:14:13	eve	やったね	
35	00:14:26	ジャック・オー	やったね	
36	00:15:40	にけい	戦うばっかだから本体のAP上がりにくいのかな	
37	00:15:40	aa aa	HPすごい	
38	00:19:30	ナウ	来た	
39	00:20:01	ポンポン	おいしいにたまご	
40	00:20:26	ディープブリザード	おはようございまおいしい煮卵	
41	00:20:51	さとしからすま	おいしいにたまごってなに？	
42	00:20:56	ポンポン	魔王の朝は早い	
43	00:21:02	aa aa	ルールーとかも変身してほしかった	
44	00:21:25	ディープブリザード	魔王の歳になるとあまり長い時間寝られないのである…	
45	00:21:33	スモーク	なるほど	
46	00:21:41	ポンポン	もうルールーがパインに…	
47	00:21:52	Kei H	なぜ煮玉子ｗ	
48	00:21:56	ナウ	小学生・・・？	
49	00:21:58	パンセポンセ	草	
50	00:22:11	岸辺一徳	草	
51	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
52	00:00:25	aa aa	おいしい煮玉子	
53	00:00:34	パンセポンセ	おいしい煮玉子	
54	00:00:36	motiyomogi	おいしい煮玉子	
55	00:00:42	岸辺一徳	おいしい煮玉子	
56	00:00:44	Redmix	おいしい煮玉子	
57	00:00:45	eve	おいしい煮玉子	
58	00:01:00	ナウ	おいしい煮玉子	
59	00:01:04	岸辺一徳	すごい	
60	00:01:06	天然ステルス	おいしい煮玉子	
61	00:01:06	motiyomogi	りんごさんだ！	
62	00:01:12	ジャック・オー	おいしい煮玉子	
63	00:01:23	motiyomogi	スペシャルゲストすご	
64	00:01:27	ナウ	一旦待つ	
65	00:01:29	ジャック・オー	本日のゲスト（二人目）	
66	00:01:32	パンセポンセ	おいしいQooりんご	
67	00:01:38	be be	１ターン待とう	
68	00:02:12	ほるもん	おいしい煮玉子	
69	00:02:15	ナウ	なんじゃと	
70	00:02:27	motiyomogi	すごい	
71	00:03:39	内海柚	おいしい煮玉子ー	
72	00:04:45	八木谷	おいしい煮玉子	
