行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クゥの部屋 Ch	tesuto	
1	00:00:00	なんたら	待っています	
2	00:00:00	岸辺一徳	待っています	
3	00:00:00	らうらう	oitama	
4	00:00:00	あい	tesuto ok	
5	00:00:00	うぇいのる	おいしい煮玉子	
6	00:00:00	毒入りトマト	おいしい煮玉子	
7	00:00:00	タチャンカ	unko	
8	00:00:00	EEB	おいしい煮玉子	
9	00:00:00	mussaOren	おいしい煮玉子	
10	00:00:00	岸辺一徳	おいしい煮玉子	
11	00:00:00	ヌルヌペペ	おいしい煮玉子	
12	00:00:00	Shota Hamada	こんばんわ煮玉子	
13	00:00:00	あい	おいしい煮玉子	
14	00:00:00	なんたら	おいしい煮玉子	
15	00:00:00	クゥの部屋 Ch	不具合イングだぜー！	
16	00:00:00	クゥの部屋 Ch	ちょっと待って	
17	00:00:00	あい	了解	
18	00:00:00	なんたら	私待つわ	
19	00:00:00	岸辺一徳	いつまでも待つわ	
20	00:00:00	らうらう	さよならKindle	
21	00:00:00	Shota Hamada	待つわ	
22	00:00:00	毒入りトマト	了解	
23	00:00:00	うぇいのる	wait nitamago	
24	00:00:00	_ Die	まーつーわ	
25	00:00:00	クゥの部屋 Ch	いけるう	
26	00:00:00	岸辺一徳	マジか！	
27	00:00:00	あい	やったね	
28	00:00:00	毒入りトマト	やったぜ	
29	00:00:00	なんたら	ヨシ！	
30	00:00:00	タケノコ男	おいしい煮玉子	
31	00:00:00	かたもく	きゃー遅刻遅刻ー	
32	00:00:09	_ Die	おいしい煮玉子	
33	00:00:09	岸辺一徳	おいしい煮玉子	
34	00:00:09	あい	おいしい煮玉子	
35	00:00:16	うぇいのる	おいしい煮玉子	
36	00:00:18	なんたら	おいしい煮玉子	
37	00:00:18	mussaOren	きた！！	
38	00:00:18	ジャック・オー	おいしい煮玉子	
39	00:00:19	Garden	おいしい煮玉子	
40	00:00:21	zero kuma	おいしい煮玉子	
41	00:00:21	EEB	おいしい煮玉子	
42	00:00:21	なにここ	まにあった！	
43	00:00:23	かたもく	美味しい煮卵	
44	00:00:23	らうらう	もうはじまってる！	
45	00:00:24	Shota Hamada	うごいたー	
46	00:00:25	毒入りトマト	おいしい煮玉子	
47	00:00:26	八木谷	おいしい煮玉子	
48	00:00:29	なにここ	おいしい煮玉子	
49	00:00:32	かたもく	いえーいみてるー	
50	00:00:32	まぃと	おいしい煮玉子	
51	00:00:32	尾花	おいしい煮玉子	
52	00:00:37	Ami Saika	写ってる	
53	00:00:41	_ Die	いえーい	
54	00:00:45	白猫きゃっとちゃん	おいしい煮玉子	
55	00:00:46	kannagi	おいしい煮玉子	
56	00:00:49	プラスワン	美味しい煮卵	
57	00:00:53	うぇいのる	ラグが少なくなってる！好評価！	
58	00:00:56	あい	やったね	
59	00:00:57	タケノコ男	おいしい煮玉子	
