行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい煮玉子　	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	スモーク	おいしい煮玉子	
4	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
5	00:00:00	らうらう	大姉ちゃんどこ	
6	00:00:00	クゥの部屋 Ch	おくれます	
7	00:00:00	ねこくーる	はーい	
8	00:00:00	究極ド根性ダイコン	おけまる	
9	00:00:00	リフェ	りょ！	
10	00:00:00	ジャック・オー	りょ	
11	00:00:00	JUNY	よいしょ	
12	00:00:00	クゥの部屋 Ch	あと５分	
13	00:00:00	らうらう	hai	
14	00:00:15	ジャック・オー	おいしい煮玉子	
15	00:00:17	リフェ	おいしい煮玉子	
16	00:00:18	JUNY	はじまった	
17	00:00:19	motiyomogi	おいしい煮玉子	
18	00:00:21	らうらう	​おいしい煮玉子	
19	00:00:23	seafood	おいしい煮玉子	
20	00:00:24	ねこくーる	おいしい煮玉子	
21	00:00:26	T.のかね	おいしい煮玉子	
22	00:00:26	sas b	おいしい煮玉子	
23	00:00:30	にけい	おいしい煮玉子	
24	00:00:32	Ryo Kamiya	おいしい煮玉子	
25	00:00:33	小さい胡麻塩	おいしい煮玉子	
26	00:00:41	mori mori	まってたまご	
27	00:00:49	JUNY	だいじょうぶ	
28	00:00:52	T.のかね	大丈夫そう	
29	00:01:28	究極ド根性ダイコン	今日こそ勝てるかな…	
30	00:01:36	motiyomogi	がんばえー	
31	00:01:38	mori mori	地獄のホロホロ鳥倒せなかったよ・・・	
32	00:01:40	らうらう	攻略法は？	
33	00:01:43	スモーク	鳥に負けたんだっけ	
34	00:02:06	ジャック・オー	　💢🐤🐓🐤	
35	00:02:11	T.のかね	うんこ！	
36	00:02:16	motiyomogi	草	
37	00:02:17	らうらう	うんこ！！！	
38	00:02:18	スモーク	草	
39	00:02:21	Ryo Kamiya	草	
40	00:02:22	近藤亮	草	
41	00:02:23	リフェ	回復もしてきて辛かったよね…	
42	00:02:24	せせらぎ	うんことかね	
43	00:02:36	mori mori	煮詰まった姉が良くやる	
44	00:03:24	T.のかね	草	
45	00:03:27	らうらう	うんこ・・・	
46	00:03:28	リフェ	草	
47	00:03:28	motiyomogi	ポジティブうんち	
48	00:03:33	スモーク	お、おう	
49	00:03:41	mori mori	何て高度なかわいいだろう	
