行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	tesuto	
1	00:00:00	꧁꧂クゥの部屋꧁꧂	tesuto2	
2	00:00:00	꧁꧂クゥの部屋꧁꧂	unko	
3	00:00:00	꧁꧂クゥの部屋꧁꧂	ok	
4	00:00:00	岸辺一徳	unko	
5	00:00:00	なんたら	unko ok	
6	00:00:00	あい	ok	
7	00:00:00	近藤亮	unko suki	
8	00:00:00	らうらう	ｏｉｓｉｉ unko	
9	00:00:00	_ Die	ok!	
10	00:00:00	岸辺一徳	ok	
11	00:00:00	タチャンカ	unko ok	
12	00:00:00	うぇいのる	おいしい煮玉子 unkoとは…？	
13	00:00:00	EEB	ok onitama	
14	00:00:00	竹輪	ok nitamago	
15	00:00:00	Shota Hamada	i done	
16	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
17	00:00:00	ジュンペイ	おいしいunko	
18	00:00:00	鼻毛の錬金術師	おいしいunkoだと…	
19	00:00:00	らうらう	pk unko	
20	00:00:00	鼻毛の錬金術師	強い(確信)	
21	00:00:00	mussaOren	おいしい…un煮玉子～	
22	00:00:00	なんたら	10分と見た	
23	00:00:00	岸辺一徳	12分！	
24	00:00:00	ジュンペイ	遅刻する姉ちゃんも悪いと思う	
25	00:00:05	竹輪	15分だと思います	
26	00:00:14	Ami Saika	おいたま	
27	00:00:15	せせらぎ	こんばんわにたまご	
28	00:00:16	うぇいのる	来たー！	
29	00:00:17	EEB	おいしい煮玉子	
30	00:00:17	なんたら	おいしい煮玉子	
31	00:00:18	あい	おいしい煮玉子	
32	00:00:22	通行人A	おいしいにたまご	
33	00:00:29	えび	おいたま～	
34	00:00:34	たんこぶ	こんばんわー	
35	00:00:37	ねこくーる	こんばんは	
36	00:00:44	らうらう	わにたまご	
37	00:00:44	Ami Saika	始まってるよ～	
38	00:01:01	食べる小魚	おいたま	
39	00:01:21	kannagi	おいしい煮玉子	
40	00:01:30	ジュンペイ	こんばんunko	
41	00:01:31	鼻毛の錬金術師	動画途中で止まらないようにダウンロードしてきた	
42	00:01:32	かたもく	おいしいサンダーボルトファンタジー	
43	00:02:02	ジュンペイ	姉ちゃんまたれらたんまさぐってる…	
44	00:02:16	かたもく	れらたんさわさわ	
45	00:02:30	助六	おにたま	
46	00:02:32	岸辺一徳	Thunderbolt Fantasy	
47	00:02:33	むらさきあんこ	姉ちゃんのおへやだ	
48	00:02:35	うぇいのる	いつもの	
49	00:02:37	食べる小魚	T	
50	00:02:41	Garden	T	
51	00:02:46	鼻毛の錬金術師	これはヨガするな	
52	00:03:03	タケノコ男	おいしい煮玉子	
53	00:03:15	Ami Saika	Kinectv2にしようぜ	
54	00:03:17	えび	室温がまたすごいことになってそう	
55	00:03:26	食べる小魚	よし、やろう	
56	00:03:27	あい	そうなんだ	
57	00:03:33	ぜったいWhiteCalmきゃっと/白猫	こんばんは	
58	00:03:41	かたもく	ごよんをおくれ	
59	00:03:45	なんたら	つよい	
60	00:03:45	鼻毛の錬金術師	先週の金曜から楽しいことしかない	
61	00:03:57	うぇいのる	特撮好きだから楽しみ	
62	00:03:57	FFDD	虚淵さん脚本なのか	
63	00:04:02	岸辺一徳	主題歌小さいおっさん	
64	00:04:05	あい	期待	
65	00:04:35	かたもく	Amazonさまさまやな	
66	00:04:52	ジュンペイ	アマプラ様は素晴らしいです	
67	00:05:06	かたもく	あツゥイ！	
68	00:05:33	えび	準備OK！	
69	00:05:33	たんこぶ	だいじょうぶ！	
70	00:05:34	Shota Hamada	OK!	
71	00:05:35	竹輪	おk	
72	00:05:40	食べる小魚	準備完了しました	
73	00:05:45	らうらう	くしゃみん	
74	00:05:46	sangel	くしゃみ	
75	00:00:00	꧁꧂クゥの部屋꧁꧂	tesuto	
76	00:00:00	꧁꧂クゥの部屋꧁꧂	tesuto2	
77	00:00:00	꧁꧂クゥの部屋꧁꧂	unko	
78	00:00:00	꧁꧂クゥの部屋꧁꧂	ok	
79	00:00:00	岸辺一徳	unko	
