行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	味付けタマゴ	落ちます。成し遂げることを応援しておりますノシ	
1	00:00:00	せせらぎ	あと40~50分くらいで1週目に追いつけそうな感じ？	
2	00:00:00	リトマス	たぶんそんなかからないと思うけどもうすぐやな	
3	00:00:00	nickel	仙豆だ、食え	
4	00:00:00	さんぽーる	ありがとう	
5	00:00:00	究極ド根性ダイコン	サターンバレーで大体1/4くらいだっけ	
6	00:00:12	唐松坂ラーチ	T	
7	00:00:15	せせらぎ	おかえり	
8	00:00:15	ちきん南蛮	T	
9	00:00:20	_ Die	おかえり	
10	00:00:21	【たつーや】TA2-YA	おかえり	
11	00:00:21	もみじおろし	おかえり	
12	00:00:22	あい	おかえり	
13	00:00:22	始祖くらげ	おかえり	
14	00:00:23	さんぽーる	おっすおっす	
15	00:00:25	猫神楽	おかえりー	
16	00:00:25	むらさきあんこ	おかえり姉ちゃん	
17	00:00:26	mori mori	おつおつお	
18	00:00:28	ディープブリザード	おかえりである…	
19	00:00:29	田中ぷにえ	お邪魔しますでゲソー	
20	00:00:29	馬の骨に念仏	おいしい煮玉子	
21	00:00:29	Strayed	おかえりー	
22	00:00:30	こみこ	おかえり煮玉子	
23	00:00:31	死骸	おかえり	
24	00:00:31	20分ねずみ	おかえりー	
25	00:00:31	プレコ	おかえり	
26	00:00:37	ブリ_切り身チャンネル	おかえりなさい	
27	00:00:38	nickel	おかえリスト	
28	00:00:42	めるカバ	おかえり煮玉子	
29	00:00:50	ふーばー	おいしい煮玉子	
30	00:00:57	いちごぱすた	おかえりー	
31	00:01:02	食べる小魚	おかえりー	
32	00:01:08	mori mori	ｶﾞﾝﾊﾞｯﾃ	
33	00:01:10	焼肉太郎	おはよう	
34	00:01:22	mori mori	元より無謀だし・・・	
35	00:01:26	究極ド根性ダイコン	終わるだろ…(明日の)午前中には…	
36	00:01:31	tage	8時からやって4時間だから今日の0時に終わる	
37	00:01:32	せせらぎ	ミサイルばんばん使うか	
38	00:01:37	プレコ	おっそうだな	
39	00:01:42	りあすて	煮玉子^～	
40	00:01:43	mori mori	姉ちゃんにそんなの無理に決まってるだろ！	
41	00:01:44	ふーばー	JC特有のガバガバ皮算用からのガバガバ見積	
42	00:01:50	_ Die	そうだね	
43	00:01:52	ぶるう	お、おう…	
44	00:02:01	らうらう	学業に影響でない程度にがんばって	
45	00:02:06	めるカバ	ノミと同類よぉー！	
46	00:02:09	ささささぬげ	JC特有の男気	
47	00:02:18	りあすて	ォワァー	
48	00:02:19	20分ねずみ	スキップサンドばんばんつかっていこう	
49	00:02:27	いちごぱすた	いけるんだ（雑計算）	
50	00:02:39	mori mori	マザー2逃げ成功率低いからなあ	
51	00:02:44	始祖くらげ	アクシデントは辛いわ、頑張れ〜	
52	00:03:18	始祖くらげ	敵出なくなるまで部屋出入りしてた思い出	
53	00:03:24	フレイムリンクス	いっちょレベル上げしようか	
54	00:03:25	くものいと	魔法職のHPは昔から低い	
55	00:03:31	tamachan0312	こころちゃん元々HPひくい	
56	00:00:00	味付けタマゴ	落ちます。成し遂げることを応援しておりますノシ	
57	00:00:00	せせらぎ	あと40~50分くらいで1週目に追いつけそうな感じ？	
58	00:00:00	リトマス	たぶんそんなかからないと思うけどもうすぐやな	
59	00:00:00	nickel	仙豆だ、食え	
60	00:00:00	さんぽーる	ありがとう	
61	00:00:00	究極ド根性ダイコン	サターンバレーで大体1/4くらいだっけ	
62	00:00:12	唐松坂ラーチ	T	
63	00:00:15	せせらぎ	おかえり	
64	00:00:15	ちきん南蛮	T	
65	00:00:20	_ Die	おかえり	
66	00:00:21	【たつーや】TA2-YA	おかえり	
67	00:00:21	もみじおろし	おかえり	
68	00:00:22	あい	おかえり	
69	00:00:22	始祖くらげ	おかえり	
70	00:00:23	さんぽーる	おっすおっす	
71	00:00:25	猫神楽	おかえりー	
72	00:00:25	むらさきあんこ	おかえり姉ちゃん	
73	00:00:26	mori mori	おつおつお	
74	00:00:28	ディープブリザード	おかえりである…	
75	00:00:29	田中ぷにえ	お邪魔しますでゲソー	
76	00:00:29	馬の骨に念仏	おいしい煮玉子	
77	00:00:29	Strayed	おかえりー	
78	00:00:30	こみこ	おかえり煮玉子	
79	00:00:31	死骸	おかえり	
80	00:00:31	20分ねずみ	おかえりー	
81	00:00:31	プレコ	おかえり	
82	00:00:37	ブリ_切り身チャンネル	おかえりなさい	
83	00:00:38	nickel	おかえリスト	
84	00:00:42	めるカバ	おかえり煮玉子	
85	00:00:50	ふーばー	おいしい煮玉子	
86	00:00:57	いちごぱすた	おかえりー	
87	00:01:02	食べる小魚	おかえりー	
88	00:01:08	mori mori	ｶﾞﾝﾊﾞｯﾃ	
89	00:01:10	焼肉太郎	おはよう	
90	00:01:22	mori mori	元より無謀だし・・・	
91	00:01:26	究極ド根性ダイコン	終わるだろ…(明日の)午前中には…	
92	00:01:31	tage	8時からやって4時間だから今日の0時に終わる	
93	00:01:32	せせらぎ	ミサイルばんばん使うか	
94	00:01:37	プレコ	おっそうだな	
95	00:01:42	りあすて	煮玉子^～	
96	00:01:43	mori mori	姉ちゃんにそんなの無理に決まってるだろ！	
97	00:01:44	ふーばー	JC特有のガバガバ皮算用からのガバガバ見積	
98	00:01:50	_ Die	そうだね	
99	00:01:52	ぶるう	お、おう…	
100	00:02:01	らうらう	学業に影響でない程度にがんばって	
101	00:02:06	めるカバ	ノミと同類よぉー！	
102	00:02:09	ささささぬげ	JC特有の男気	
103	00:02:18	りあすて	ォワァー	
104	00:02:19	20分ねずみ	スキップサンドばんばんつかっていこう	
105	00:02:27	いちごぱすた	いけるんだ（雑計算）	
106	00:02:39	mori mori	マザー2逃げ成功率低いからなあ	
107	00:02:44	始祖くらげ	アクシデントは辛いわ、頑張れ〜	
108	00:03:18	始祖くらげ	敵出なくなるまで部屋出入りしてた思い出	
109	00:03:24	フレイムリンクス	いっちょレベル上げしようか	
110	00:03:25	くものいと	魔法職のHPは昔から低い	
111	00:03:31	tamachan0312	こころちゃん元々HPひくい	
112	00:03:45	mori mori	うっわあｗ	
113	00:03:53	馬の骨に念仏	脳筋こころちゃん	
114	00:03:56	始祖くらげ	エロ本βやっぱり笑う	
115	00:04:05	焼肉太郎	いのる要員だから	
116	00:04:15	Sakutaro Hayamine	いやらしい///	
117	00:04:15	biggs	二冊目のエロ本	
118	00:04:35	くものいと	それこそ祈ればたまに状態異常消えるんじゃない	
119	00:04:44	mori mori	同じく	
120	00:04:45	tage	PKファイヤー	
121	00:04:50	mori mori	ペンシルロケットだよ	
122	00:04:54	始祖くらげ	焼こう	
123	00:04:58	究極ド根性ダイコン	汚物は消毒だ	
124	00:05:00	ジョナサン・グレーン	おかえり	
125	00:05:17	究極ド根性ダイコン	ｵ゛ｯ	
126	00:05:21	うぇいのる	PKｴﾛｰﾎﾝ	
127	00:05:24	mori mori	昼めし食っといてよかったぜ	
128	00:05:24	Sakutaro Hayamine	JCファイヤー	
129	00:05:25	馬の骨に念仏	😭😭😭	
130	00:05:28	りこった	草	
131	00:05:31	御早和杯	ﾝｶﾞｯ	
132	00:05:35	こすふぃん	実際にゲップを録音して使うという狂気	
133	00:05:38	めるカバ	スマブラ民	
134	00:05:40	タケノコ男	草	
135	00:05:41	フレイムリンクス	きたない	
136	00:05:41	くものいと	SEはスタッフのゲップをサンプリングしたものをそのまま使っているぞ	
137	00:05:42	始祖くらげ	じいしき👻	
138	00:05:45	メレンゲ	姉ちゃんゲップした？	
139	00:05:46	tage	スタッフのリアルゲップを聴かされるプレイヤー	
140	00:05:48	tamachan0312	上B技そろそろPKサンダーから変更して？	
141	00:05:53	Aruma T	フリーズで固まらなかったけ	
142	00:06:00	馬の骨に念仏	げっぷ民	
143	00:06:04	究極ド根性ダイコン	多分ほとんどの現代人はみんなスマブラからマザーシリーズ知るよね	
144	00:06:11	かんかん照り	自在にゲップ出す人に頼んだらしい	
145	00:06:16	プレコ	JCだからねそうだよね	
146	00:06:18	焼肉太郎	64からだよねネスは	
147	00:06:19	tamachan0312	復帰が詰んでるんだよぉ	
148	00:06:23	らうらう	姉ちゃん初スマブラなに？	
149	00:06:29	フレイムリンクス	PKサンダーのせいで復帰力が積んでるネス…	
150	00:06:39	こすふぃん	事由にオナラとゲップができるスタッフが居てその人をサンプリングしたんだっけ	
151	00:06:40	ヴルグ 借金200万ヴェル	そういえばクゥさんは母上に何をプレゼントするのですかね？	
152	00:06:41	くものいと	ゲップは自在に出せるでしょうって思った	
153	00:06:44	始祖くらげ	私はマザー1、2から知った口	
154	00:06:48	究極ド根性ダイコン	ｹﾞｯｺｳｶﾞｧ…	
155	00:06:58	めるカバ	(落下するネス)	
156	00:07:05	ジョナサン・グレーン	ウワーッ！	
157	00:07:07	キラ	サムス(半ギレ)	
158	00:07:09	伏葦たぐい	リュカなんて海外発売してないのに出てるから	
159	00:07:09	うぇいのる	ｹﾞｯｺｳｶﾞｧ…好き	
160	00:07:12	Strayed	スマブラでネスって名前があるのを知った	
161	00:07:13	dou natsu	人材の宝庫だなぁ・・・	
162	00:07:14	猫神楽	空気飲み込むと出来るは分かる	
163	00:07:20	tamachan0312	そろそろアレが出てきますね・・・	
164	00:07:21	いちごぱすた	ゲップって自由に出せるもんじゃないの！？	
165	00:07:24	zuttomo	アナルで息できる人たまにいるよね	
166	00:07:46	さんぽーる	じいしき死にそう というワード	
167	00:07:48	りあすて	おしり民がいるようだな	
168	00:08:08	馬の骨に念仏	物理を上げてこころで殴る	
169	00:08:10	mori mori	あれ	
170	00:08:12	伏葦たぐい	あれ	
171	00:08:21	くものいと	あれ	
172	00:08:24	究極ド根性ダイコン	あれ	
173	00:08:25	biggs	あれ	
174	00:08:26	馬の骨に念仏	アレ	
175	00:08:27	フレイムリンクス	このゲームだって完成の目処が立たなくなったのを0から再作成されて完成したゲームだしな…	
176	00:08:30	うぇいのる	あれ	
177	00:08:31	nickel	あれ	
178	00:08:32	始祖くらげ	良かったリロードしたら治った	
179	00:08:43	くものいと	ごきげんようお久しぶり	
180	00:08:56	りあすて	そんな映画があるんか・・・・	
181	00:08:58	究極ド根性ダイコン	せめて縛るのは20だけにしない…？	
182	00:09:03	ばくろす	あれとか言わない	
183	00:09:09	tage	おかえり	
184	00:09:12	バーチャル先行者	おは姉ちゃん	
185	00:09:18	フレイムリンクス	ようやく戻ってきた・・・	
186	00:09:21	馬の骨に念仏	ただいま	
187	00:09:22	mori mori	ジェフの戦闘力五割くらい損するよ	
188	00:09:24	食べる小魚	ぽぇーん、ぷー。	
189	00:09:24	究極ド根性ダイコン	おかえり	
190	00:09:27	biggs	実質クリア	
191	00:09:27	キラ	おかえり	
192	00:09:28	こすふぃん	おかえり	
193	00:09:29	mori mori	やったー	
194	00:09:30	ふーばー	おかえり	
195	00:09:30	りあすて	実質クリア	
196	00:09:30	くものいと	ここまでだったか	
197	00:09:30	タコスドン	おかえり	
198	00:09:31	せせらぎ	ただいまサターンバレー…	
199	00:09:31	鼻毛の錬金術師	お疲れ様です	
200	00:09:32	ジョナサン・グレーン	おかえり	
201	00:09:33	のどあめ	もうクリアでいいんじゃない？はひどい	
202	00:09:33	Sakutaro Hayamine	もう勝ったも同然だな！	
203	00:09:33	伏葦たぐい	どせいさんすき	
204	00:09:34	nickel	ぽえーん。ぷー。	
205	00:09:34	バーチャル先行者	戻ってきたってデータでも消えてたの…？	
206	00:09:35	くろばね	もう一回本体蹴ってみよ	
207	00:09:39	メレンゲ	おかえり	
208	00:09:39	タケノコ男	お疲れ様です	
209	00:09:41	あい	おかえり	
210	00:09:48	馬の骨に念仏	実質clear	
211	00:09:49	ジュンペイ	何いってんだよ姉ちゃん！！	
212	00:09:51	フレイムリンクス	約4時間でようやく再スタートか・・・	
213	00:09:51	バーチャル先行者	Oh…	
214	00:09:51	くものいと	ジェフはミサイルとロケット	
215	00:09:52	わっしーな	おかえり	
216	00:09:54	めるカバ	ぐんまけん	
217	00:09:54	mori mori	できるます	
218	00:09:56	_ Die	おかえり	
219	00:10:03	こみこ	スタートから12時間経過か	
220	00:10:05	始祖くらげ	ほんとお疲れ様、おかえり	
221	00:10:05	バーチャルYouTuberガニメデちゃんねる	おかえり	
222	00:10:09	らうらう	なんかもう達成感ある…	
223	00:10:12	いちごぱすた	もう昼だけどお姉ちゃん飯食ってる？	
224	00:10:13	mori mori	は？偶然消えたんじゃなくて蹴り飛ばしたの？	
225	00:10:13	スプーキー【Spooky Night】	おかえり	
226	00:10:15	Tokonomo	データふっとびも醍醐味ということでね	
227	00:10:19	プレコ	状況再現を試みよう	
228	00:10:20	穀潰之熊 バーチャルなろう作家	おきのどくですがミソシタのデータはきえてしまいました	
229	00:10:24	ジュンペイ	4時間でリカバリできた	
230	00:10:29	究極ド根性ダイコン	基本的にペンシルミサイルとスーパーバズーカとスーパーチューチューだけで生きていけるよね	
231	00:10:30	もみじおろし	パパ今10万円くらい振り込んでなかった？	
232	00:10:36	馬の骨に念仏	長かったなぁ	
233	00:10:36	Sakutaro Hayamine	最近ゲームのデータ吹っ飛ぶことなくなったなー	
234	00:10:50	mori mori	それは朝食というんだよなあ	
235	00:10:57	biggs	宿屋に泊まると直してくれるんだっけ	
236	00:11:02	始祖くらげ	(私が寝落ちしたのちょうどこの辺だわ...)	
237	00:11:06	さんぽーる	あるよ	
238	00:11:25	mori mori	左上じゃなかったっけ	
239	00:11:30	アジーナ森雪	上のショップでおろせる	
240	00:11:35	いちごぱすた	休みの日1食しか食わん俺が言うのもアレだがちゃんと栄養補給はしような	
241	00:11:47	始祖くらげ	銀行あったはず	
242	00:11:57	りあすて	正直さびのもとは便利	
243	00:12:04	究極ド根性ダイコン	エナジーロボ用アイテム	
244	00:12:13	くものいと	またなー！	
245	00:12:17	neiteng	またなぁ！	
246	00:12:27	さんぽーる	そうだよ	
247	00:12:28	食べる小魚	マジだよ	
248	00:12:31	tage	3分放置	
249	00:12:35	tamachan0312	ガチで3分まつ	
250	00:12:41	始祖くらげ	出た３分待つ	
251	00:12:47	くものいと	ららら こわいよう	
252	00:12:48	うぇいのる	ポケモンでもあったな	
253	00:12:49	いちごぱすた	その場で二つの時を刻め	
254	00:12:51	tamachan0312	歌って！	
255	00:12:53	さんぽーる	放置するしかねぇなぁ！？	
256	00:12:53	究極ド根性ダイコン	姉ちゃんの堪能なトーク力でつなぐんだよ！	
257	00:12:53	こみこ	レジアイスのやつ	
258	00:12:54	恩田由紀	トークで	
259	00:12:55	猫神楽	姉ちゃんとおしゃべりしてればすぐだよ	
260	00:12:55	らうらう	3分おうた	
261	00:12:55	食べる小魚	その間にカップ麺準備する	
262	00:12:56	ディープブリザード	ラララーってかんじなんだよな…	
263	00:12:56	mori mori	姉ちゃんのフリートークだよ	
264	00:12:59	Strayed	カップ麺にお湯入れて待つ	
265	00:12:59	せせらぎ	おうたかな	
266	00:12:59	タケノコ男	歌って	
267	00:12:59	深咲	雑談で持たせるんだよ！	
268	00:12:59	岸辺一徳	おうたうたって	
269	00:13:00	ジョナサン・グレーン	おうた	
270	00:13:03	Sakutaro Hayamine	能動的三分間	
271	00:13:05	こすふぃん	ミソシタ歌えばすぐよ	
272	00:13:14	mori mori	できるます	
273	00:13:19	フレイムリンクス	適当に雑談しよう	
274	00:13:20	tage	姉ちゃんのフリートーク楽しみだな	
275	00:13:24	プレコ	MFB歌えば終わるよ	
276	00:13:25	20分ねずみ	色々売ろう	
277	00:13:31	tamachan0312	三分間ミソシタ流すか	
278	00:13:35	Aruma T	ミッドナイトファイティングブリーフ歌おう	
279	00:13:49	始祖くらげ	うったりかったりどせいさん	
280	00:13:56	鼻毛の錬金術師	マザーって作品どのぐらいあるんだろう	
281	00:13:58	mori mori	ちず	
282	00:14:04	アジーナ森雪	ガム	
283	00:14:08	tamachan0312	ミソシタカラオケに入って欲しい	
284	00:14:09	のどあめ	遊戯王とアイカツはもう語ったから次は何語るの姉ちゃん	
285	00:14:13	いちごぱすた	壊れたエアガンって何に使うん？	
286	00:14:17	始祖くらげ	今のところ3作	
287	00:14:25	neiteng	次は遊戯王とアイカツだぞ	
288	00:14:52	究極ド根性ダイコン	遊戯王とアイカツの次は映画と音楽を語ってもらうしかない	
289	00:14:56	タコスドン	まだラブライブがある	
290	00:14:58	くものいと	いまのところというか4はもう出ないんでなかったか	
291	00:15:00	かたもく	MOTHER続編とかでないかなぁ	
292	00:15:04	いちごぱすた	壊れてるのにパワーアップしてくれるのか	
293	00:15:06	こみこ	プリリズ語って	
294	00:15:09	DFC	ジェフのIQ成長運が悪いとなかなか直らないんだよね	
295	00:15:12	おっちゃん	有志が作ってるやつどうなったんだ	
296	00:15:25	くろばね	遊戯王の次はカードヒーロー語るしかないよなぁ？	
297	00:15:35	らうらう	有志がつくってるやつは任天堂にえぬじーされて消されてなかったか	
298	00:15:38	始祖くらげ	遊戯王トークならいくらでも聞ける自信あるわ	
299	00:15:39	nickel	クロスハンター語る？	
300	00:15:48	Sakutaro Hayamine	プリパラの映画見た？	
301	00:15:57	neiteng	遊戯王しか語れねぇ…	
302	00:16:02	Strayed	同じ道具がスタックできない時代	
303	00:16:05	始祖くらげ	カードヒーローも...良いよね...！	
304	00:16:07	みてるぞ	クロスハンターやってもらおうか	
