行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:13	ドソドソ	姉ちゃん！？	
1	00:00:19	秋箱	お！？	
2	00:00:22	ネズミ2/2/6	草	
3	00:00:25	灘こよみ	姉ちゃん！	
4	00:00:26	ジョナサン・グレーン	姉ちゃん！	
5	00:00:28	頭痛薬	姉ちゃん！？	
6	00:00:29	もふ	姉ちゃん突発すぎでは…？	
7	00:00:30	秋箱	聞こえてるよ！	
8	00:00:31	行方不明	大丈夫なの？	
9	00:00:32	_ Die	!?	
10	00:00:34	Hisuki	乁( ◔ ౪◔)ㄏ	
11	00:00:35	きっこ	突発すぎる	
12	00:00:37	とがま日和	姉ちゃん！？	
13	00:00:38	Ushi Mitz	姉ちゃん！！？？？	
14	00:00:41	スモーク	ゲリラ！？	
15	00:00:42	匿名	姐ちゃん！？	
16	00:00:44	秋箱	画面動かして見て！	
17	00:00:46	畑秋	おいしい煮卵	
18	00:00:54	りあすて	姉ちゃん！？	
19	00:00:55	ゆば	突発！	
20	00:01:00	ジョナサン・グレーン	おいしい煮玉子	
21	00:01:03	もふ	おいしい煮玉子	
22	00:01:10	灘こよみ	覇級ミカエルの攻略の参考にさせてもらいます	
23	00:01:10	Ushi Mitz	ちゃん姉！？？	
24	00:01:11	秋箱	あ、ごめん、バナー動いてるから大丈夫そう！	
25	00:01:13	真新八	美味しい煮玉子	
26	00:01:23	りあすて	おいしい煮玉子	
27	00:01:28	かんてら	おいしい煮玉子	
28	00:01:31	ネズミ2/2/6	かわいい姉ちゃん	
29	00:01:41	なんたら	リアルに微動だにしない姉ちゃん	
30	00:01:45	ulura _777	突発過ぎィ！	
31	00:01:57	かんてら	元気だな姉ちゃん	
32	00:02:00	秋箱	姉ちゃんも動いてるし声も大丈夫だし画面も動いとる	
33	00:02:07	猫の散歩道	明日が日曜でよかった	
34	00:02:07	らうらう	こんばん煮玉子！	
35	00:02:09	fami fami	一昨日初めたところだから雰囲気だけ参考にしよう	
36	00:02:10	uraraうらら	知ってるよなもちろん	
37	00:02:15	OilDrinker	おはYUA〜（異端）	
38	00:02:18	竹輪	おいしい煮玉子〜！	
39	00:02:38	タケノコ男	おいしい煮玉子	
40	00:02:39	りあすて	なるほどね	
41	00:02:50	りあすて	強キャラ	
42	00:02:52	ガルシア	なるほど 時限式のイベントなんですね	
43	00:02:53	秋箱	なるほどね	
44	00:02:58	なんたら	余裕があったらやろうと思ってて余裕があったのでやった	
45	00:02:59	OilDrinker	ってことはここから日付が変わるまで生放送をする！？！？！？	
46	00:03:00	竹輪	今決めたは草	
47	00:03:07	灘こよみ	何で行く予定ですか？	
48	00:03:12	らうらう	雰囲気でやってる	
49	00:03:24	耶律阿保機	クゥ姉生放送やりすぎて心配になる	
50	00:00:13	ドソドソ	姉ちゃん！？	
51	00:00:19	秋箱	お！？	
52	00:00:22	ネズミ2/2/6	草	
53	00:00:25	灘こよみ	姉ちゃん！	
54	00:00:26	ジョナサン・グレーン	姉ちゃん！	
55	00:00:28	頭痛薬	姉ちゃん！？	
56	00:00:29	もふ	姉ちゃん突発すぎでは…？	
57	00:00:30	秋箱	聞こえてるよ！	
58	00:00:31	行方不明	大丈夫なの？	
59	00:00:32	_ Die	!?	
60	00:00:34	Hisuki	乁( ◔ ౪◔)ㄏ	
61	00:00:35	きっこ	突発すぎる	
62	00:00:37	とがま日和	姉ちゃん！？	
63	00:00:38	Ushi Mitz	姉ちゃん！！？？？	
64	00:00:41	スモーク	ゲリラ！？	
65	00:00:42	匿名	姐ちゃん！？	
66	00:00:44	秋箱	画面動かして見て！	
67	00:00:46	畑秋	おいしい煮卵	
68	00:00:54	りあすて	姉ちゃん！？	
69	00:00:55	ゆば	突発！	
70	00:01:00	ジョナサン・グレーン	おいしい煮玉子	
71	00:01:03	もふ	おいしい煮玉子	
72	00:01:10	灘こよみ	覇級ミカエルの攻略の参考にさせてもらいます	
73	00:01:10	Ushi Mitz	ちゃん姉！？？	
74	00:01:11	秋箱	あ、ごめん、バナー動いてるから大丈夫そう！	
75	00:01:13	真新八	美味しい煮玉子	
76	00:01:23	りあすて	おいしい煮玉子	
77	00:01:28	かんてら	おいしい煮玉子	
78	00:01:31	ネズミ2/2/6	かわいい姉ちゃん	
79	00:01:41	なんたら	リアルに微動だにしない姉ちゃん	
80	00:01:45	ulura _777	突発過ぎィ！	
81	00:01:57	かんてら	元気だな姉ちゃん	
82	00:02:00	秋箱	姉ちゃんも動いてるし声も大丈夫だし画面も動いとる	
83	00:02:07	猫の散歩道	明日が日曜でよかった	
84	00:02:07	らうらう	こんばん煮玉子！	
85	00:02:09	fami fami	一昨日初めたところだから雰囲気だけ参考にしよう	
86	00:02:10	uraraうらら	知ってるよなもちろん	
87	00:02:15	OilDrinker	おはYUA〜（異端）	
88	00:02:18	竹輪	おいしい煮玉子〜！	
