行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	motiyomogi		￥100
1	00:00:00	いぶきんぐ	　ていうかもう寝よ？	￥200
2	00:00:32	mori mori	おいしい勝利	
3	00:00:32	motiyomogi	おいしい煮玉子	
4	00:00:33	なんたら	おいしい煮玉子	
5	00:00:39	近藤亮	おいしい煮玉子	
6	00:00:41	eve	おいしい煮玉子	
7	00:00:41	ジャック・オー	まじおいしい煮玉子	
8	00:00:42	じょーげん	おいしい煮玉子	
9	00:00:45	カギアカギ	おいしい煮玉子	
10	00:00:45	らうらう	おいしい煮玉子！！！！！！！！！！！！！！！	
11	00:00:46	ゴギガガガギゴ	おいしい煮玉子	
12	00:00:47	ロンドベルジェニ	おいしい煮玉子	
13	00:00:49	JUNY	おいしい煮玉子	
14	00:00:55	リフェ	おいしい煮玉子	
15	00:00:57	ホワイトラン衛兵	おいしい煮玉子	
16	00:01:05	にけい	おいしい煮玉子	
17	00:01:06	ねこくーる	こんばんはおいしい煮玉子	
18	00:01:07	あい	おいしい煮玉子	
19	00:01:12	カーマイン	おいしい煮玉子卍　　　	
20	00:01:18	白雪	おいしい煮玉子	
21	00:01:34	尾花	おいしい煮玉子	
22	00:01:36	Eトマト	おいしいマルス	
23	00:01:55	近藤亮	揚げおかき美味しいね、教えてくれてありがとう	
24	00:02:02	かたもく	おいしいSMASH	
25	00:02:33	カーマイン	おいしいおかき	
26	00:02:47	J T	おいしい煮玉子	
27	00:02:52	Eトマト	姉ちゃん、実際に対戦する時は何コン使う？	
28	00:02:54	motiyomogi	もぐクゥ	
29	00:03:01	カーマイン	かわいい	
30	00:03:02	なんたら	たしかにおいしい	
31	00:03:02	近藤亮	かわいい	
32	00:03:08	らうらう	かわいい！	
33	00:03:08	eve	かわいい	
34	00:03:09	Eトマト	OKAKI	
35	00:03:10	らうらう	ぼりぼり	
36	00:03:20	ホワイトラン衛兵	かわいい	
37	00:03:27	白雪	半身のクッパを取り戻したクゥフランゾーパーに敵はない	
38	00:03:27	天然ステルス	おいしい煮玉子	
39	00:03:51	Eトマト	通れなくなったのだー	
40	00:03:54	motiyomogi	！？	
41	00:04:14	Eトマト	全部幼いとねー	
42	00:04:28	なんたら	かしこい	
43	00:05:13	Eトマト	あれってキーラ戦になるんかな、てっきりキーラは直接今いる場所にいくのかと行くのかと	
44	00:05:17	白雪	トワプリの平原だー	
45	00:05:43	うぇいのる	突進するやつと汚いやつ担当のワリオ	
46	00:05:59	motiyomogi	つよい	
47	00:06:02	ホワイトラン衛兵	やったね	
48	00:06:04	Eトマト	ワリオバイク復活にインターバルが付いたワリオ	
49	00:06:08	カーマイン	つよい	
50	00:00:00	motiyomogi		￥100
51	00:00:00	いぶきんぐ	　ていうかもう寝よ？	￥200
52	00:00:32	mori mori	おいしい勝利	
53	00:00:32	motiyomogi	おいしい煮玉子	
54	00:00:33	なんたら	おいしい煮玉子	
55	00:00:39	近藤亮	おいしい煮玉子	
56	00:00:41	eve	おいしい煮玉子	
57	00:00:41	ジャック・オー	まじおいしい煮玉子	
58	00:00:42	じょーげん	おいしい煮玉子	
59	00:00:45	カギアカギ	おいしい煮玉子	
60	00:00:45	らうらう	おいしい煮玉子！！！！！！！！！！！！！！！	
61	00:00:46	ゴギガガガギゴ	おいしい煮玉子	
62	00:00:47	ロンドベルジェニ	おいしい煮玉子	
63	00:00:49	JUNY	おいしい煮玉子	
64	00:00:55	リフェ	おいしい煮玉子	
65	00:00:57	ホワイトラン衛兵	おいしい煮玉子	
66	00:01:05	にけい	おいしい煮玉子	
67	00:01:06	ねこくーる	こんばんはおいしい煮玉子	
68	00:01:07	あい	おいしい煮玉子	
69	00:01:12	カーマイン	おいしい煮玉子卍　　　	
70	00:01:18	白雪	おいしい煮玉子	
71	00:01:34	尾花	おいしい煮玉子	
72	00:01:36	Eトマト	おいしいマルス	
73	00:01:55	近藤亮	揚げおかき美味しいね、教えてくれてありがとう	
74	00:02:02	かたもく	おいしいSMASH	
75	00:02:33	カーマイン	おいしいおかき	
76	00:02:47	J T	おいしい煮玉子	
77	00:02:52	Eトマト	姉ちゃん、実際に対戦する時は何コン使う？	
78	00:02:54	motiyomogi	もぐクゥ	
79	00:03:01	カーマイン	かわいい	
80	00:03:02	なんたら	たしかにおいしい	
81	00:03:02	近藤亮	かわいい	
82	00:03:08	らうらう	かわいい！	
83	00:03:08	eve	かわいい	
84	00:03:09	Eトマト	OKAKI	
85	00:03:10	らうらう	ぼりぼり	
86	00:03:20	ホワイトラン衛兵	かわいい	
87	00:03:27	白雪	半身のクッパを取り戻したクゥフランゾーパーに敵はない	
88	00:03:27	天然ステルス	おいしい煮玉子	
89	00:03:51	Eトマト	通れなくなったのだー	
90	00:03:54	motiyomogi	！？	
91	00:04:14	Eトマト	全部幼いとねー	
92	00:04:28	なんたら	かしこい	
93	00:05:13	Eトマト	あれってキーラ戦になるんかな、てっきりキーラは直接今いる場所にいくのかと行くのかと	
94	00:05:17	白雪	トワプリの平原だー	
95	00:05:43	うぇいのる	突進するやつと汚いやつ担当のワリオ	
96	00:05:59	motiyomogi	つよい	
97	00:06:02	ホワイトラン衛兵	やったね	
98	00:06:04	Eトマト	ワリオバイク復活にインターバルが付いたワリオ	
99	00:06:08	カーマイン	つよい	
100	00:06:13	ジョナサン・グレーン	おいしい煮玉子	
101	00:06:26	天然ステルス	ロボットじゃない方のロブ	
102	00:06:28	Eトマト	それ以外は強化されたらしいけどね	
103	00:06:35	うぇいのる	イカのBGMいいなぁ	
104	00:06:37	motiyomogi	ツイーティング	
105	00:06:39	JUNY	ツイーティングタイム	
106	00:06:49	eve	生ツイーティングだ	
107	00:07:22	カーマイン	DIOみたいなポーズになっとる	
108	00:07:24	にけい	ステージのポリゴンが昔のまんまだ	
109	00:08:31	カーマイン	昔のステージそのままなのか	
110	00:08:39	なんたら	ドットが荒い	
111	00:09:07	ジョナサン・グレーン	ハイラル城もだけど懐かしいよね	
112	00:09:22	尾花	イカちゃんがインクが付いてる相手に対してダメージアップ	
113	00:09:22	にけい	こんなドット荒かったっけ…	
114	00:09:42	motiyomogi	なつかしいッスわ～（ＪＣ）	
115	00:10:02	天然ステルス	塊魂のリメイク版もこんな感じだった	
116	00:10:06	ぽぼす	ここヒトカゲ出てきたっけ	
117	00:10:21	うぇいのる	草	
118	00:10:23	尾花	フシギバナ強いよねここ	
119	00:10:31	なんたら	草	
120	00:10:33	ジョナサン・グレーン	草	
121	00:10:34	ねこくーる	草	
122	00:10:35	ホワイトラン衛兵	草	
123	00:10:38	近藤亮	草	
124	00:10:38	尾花	草	
125	00:10:43	eve	草	
126	00:10:43	カーマイン	サンキューフシギダネ！	
127	00:10:44	ぽぼす	草（花）	
128	00:10:47	JUNY	なんか勝った	
129	00:11:27	motiyomogi	つよい	
130	00:11:29	ホワイトラン衛兵	うまい	
